Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,21.01,21.6,20.77,21.26,12.686608,2700
2012-02-22,21.469999,21.469999,21.120001,21.190001,12.644836,9800
2012-02-23,21.25,21.450001,21.23,21.25,12.68064,17000
2012-02-24,21.01,21.139999,21.01,21.09,12.585162,500
2012-02-27,21.049999,21.25,21,21,12.531455,11500
2012-02-28,21.5,21.51,20.950001,21.09,12.585162,19500
2012-02-29,21,21.02,20.860001,20.99,12.52549,10700
2012-03-01,20.879999,21.5,20.799999,21.5,12.829824,5200
2012-03-02,21.51,21.620001,20.98,21.120001,12.603066,11200
2012-03-05,21.120001,21.120001,21.120001,21.120001,12.603066,0
2012-03-06,21,21.23,20.969999,21,12.531455,1500
2012-03-07,21.059999,21.25,21,21.049999,12.561293,2300
2012-03-08,21,21.02,21,21.02,12.543392,500
2012-03-09,21.16,21.16,20.120001,20.5,12.23309,32800
2012-03-12,20.66,20.889999,20.5,20.77,12.394207,12800
2012-03-13,20.950001,20.98,20.75,20.85,12.441946,1800
2012-03-14,20.92,21,20.85,20.950001,12.501618,1700
2012-03-15,20.950001,21,20.950001,21,12.531455,500
2012-03-16,21,21,20.950001,21,12.531455,3400
2012-03-19,21.190001,21.190001,21,21,12.531455,1400
2012-03-20,21.1,21.1,21,21.02,12.543392,400
2012-03-21,21,21.110001,21,21.01,12.537423,900
2012-03-22,21,21.02,21,21,12.531455,1400
2012-03-23,21,21.190001,21,21.01,12.537423,1500
2012-03-26,21.17,21.17,21,21,12.531455,200
2012-03-27,21,21.02,21,21,12.531455,1600
2012-03-28,21.049999,21.049999,21.049999,21.049999,12.561293,600
2012-03-29,21,21.190001,21,21.190001,12.644836,3100
2012-03-30,21.15,21.290001,21.15,21.200001,12.650804,3200
2012-04-02,21.290001,21.92,21.049999,21.07,12.573227,3200
2012-04-03,21.52,21.52,21,21.27,12.692575,8400
2012-04-04,21.25,21.4,21.049999,21.049999,12.561293,700
2012-04-05,21.01,21.360001,21,21,12.531455,1500
2012-04-09,21.049999,22.299999,21.049999,21.530001,12.847726,600
2012-04-10,21.309999,21.700001,21.1,21.280001,12.698543,3000
2012-04-11,21.25,22.1,21.25,21.92,13.080453,4700
2012-04-12,21.860001,22.309999,21.52,21.65,12.919335,5100
2012-04-13,21.6,22.17,20.18,21.32,12.722411,1500
2012-04-16,21.4,21.83,20.98,21.209999,12.656769,8500
2012-04-17,21.610001,22.66,21.23,21.309999,12.716443,9200
2012-04-18,21.43,21.799999,21.4,21.4,12.770151,3100
2012-04-19,21.610001,22.030001,21.450001,22.030001,13.146094,2800
2012-04-20,22.190001,22.469999,22.120001,22.360001,13.343018,1500
2012-04-23,22.4,22.809999,22,22,13.128191,6200
2012-04-24,22.5,22.5,22.200001,22.200001,13.24754,300
2012-04-25,22.290001,23,21.6,22.440001,13.390755,900
2012-04-26,22.290001,23,22.290001,22.85,13.635418,4400
2012-04-27,22.91,25.99,22.9,24.290001,14.494718,7200
2012-04-30,24.18,24.18,23.5,23.99,14.315696,8400
2012-05-01,23.68,24.190001,23.68,24.190001,14.435044,3500
2012-05-02,24.190001,24.549999,24.190001,24.26,14.476815,2900
2012-05-03,24.5,24.799999,24.42,24.719999,14.751313,6300
2012-05-04,24.83,25.25,24.620001,24.889999,14.852759,7500
2012-05-07,25,25.209999,24.51,25.15,15.007913,21000
2012-05-08,24.889999,25.98,24.700001,25.690001,15.330149,13900
2012-05-09,25.969999,26.040001,24.75,24.969999,14.900496,10000
2012-05-10,25.299999,25.299999,24.530001,24.9,14.858727,4900
2012-05-11,24.99,25.370001,24.6,25.370001,15.139193,13500
2012-05-14,24.99,25.07,24.26,24.75,14.769216,11700
2012-05-15,24.790001,25.09,24.620001,24.77,14.781151,10000
2012-05-16,24.33,24.75,24.299999,24.5,14.620034,2900
2012-05-17,24.25,25.879999,22,23.1,13.784601,8800
2012-05-18,22.549999,23,21.5,22.450001,13.396724,4300
2012-05-21,22.450001,23.68,22.4,23.68,14.13071,700
2012-05-22,23.379999,24.299999,22.27,23.57,14.06507,2800
2012-05-23,23.280001,25.389999,21.360001,24.15,14.411175,6400
2012-05-24,23.969999,24.25,23.700001,23.700001,14.142644,800
2012-05-25,23.700001,24.9,23.700001,24.540001,14.643903,5500
2012-05-29,24.67,25.67,23.9,24.120001,14.393272,13300
2012-05-30,24.209999,24.709999,24.209999,24.290001,14.494718,1100
2012-05-31,24.200001,25.299999,22.52,24.5,14.620034,14100
2012-06-01,24.1,25.030001,24.059999,25,14.918401,4800
2012-06-04,25.549999,27.48,24.91,26.5,15.813504,42900
2012-06-05,26.5,26.99,24.809999,25.290001,15.091454,8500
2012-06-06,25.27,25.780001,23.969999,25.41,15.163063,5800
2012-06-07,25.719999,27.25,25.719999,26.76,15.968656,14600
2012-06-08,26.59,28.780001,26.59,28.450001,16.97714,20500
2012-06-11,28.41,28.950001,27.219999,27.469999,16.392336,30600
2012-06-12,27.83,28.15,27.49,28.02,16.720545,2500
2012-06-13,28,28.049999,27.530001,27.969999,16.690704,8900
2012-06-14,27.6,27.9,27.190001,27.190001,16.225252,10000
2012-06-15,27.49,28.200001,26.6,28.15,16.798117,15200
2012-06-18,27.870001,27.870001,27.24,27.5,16.410242,12000
2012-06-19,27.030001,28.49,27.030001,28.360001,16.923435,22700
2012-06-20,28.49,29.290001,27.959999,28.74,17.150194,13400
2012-06-21,28.01,29.15,28.01,28.959999,17.281475,15200
2012-06-22,29.07,30.299999,28,28.57,17.048748,414800
2012-06-25,29,29.139999,27.34,27.450001,16.380402,12500
2012-06-26,27,28.309999,26.790001,28.15,16.798117,8100
2012-06-27,29.280001,29.280001,27.75,28.5,17.006977,7400
2012-06-28,28.25,28.67,28.01,28.370001,16.929403,6700
2012-06-29,29,29.5,27.6,29.5,17.60371,14100
2012-07-02,29.530001,30.299999,28.48,30.209999,18.027395,31700
2012-07-03,30.040001,30.34,29.25,30.219999,18.033361,21400
2012-07-05,30.24,30.41,29.43,30,17.902081,6300
2012-07-06,30,30.41,29.360001,30.18,18.009497,9100
2012-07-09,30.75,30.75,29.959999,29.959999,17.87821,3900
2012-07-10,30.290001,30.33,29.9,30,17.902081,8100
2012-07-11,29.76,30.4,29.76,29.969999,17.884176,6900
2012-07-12,30,30.200001,29.77,30.1,17.961756,5700
2012-07-13,30.09,30.700001,29.77,30.700001,18.319796,2700
2012-07-16,30.549999,30.549999,29.5,30.030001,17.919983,7000
2012-07-17,30.440001,30.6,30,30.58,18.248188,8200
2012-07-18,30.360001,30.639999,30.110001,30.639999,18.283989,2600
2012-07-19,30.540001,30.68,30.299999,30.379999,18.128839,1600
2012-07-20,30.049999,30.620001,29.84,30.25,18.051264,6300
2012-07-23,30.129999,30.129999,29.91,29.91,17.848372,4300
2012-07-24,30.040001,30.040001,29.92,30,17.902081,2200
2012-07-25,29.85,30.24,29.85,29.860001,17.818537,1900
2012-07-26,30.139999,30.4,29.91,30.24,18.045296,3400
2012-07-27,30.450001,30.48,29.559999,30.280001,18.069166,3700
2012-07-30,30.450001,30.450001,30.08,30.08,17.94982,800
2012-07-31,30,30.32,29.950001,30.290001,18.075136,5200
2012-08-01,29.93,30.440001,29.9,30.049999,17.931915,5600
2012-08-02,29.870001,30.6,29.870001,30.25,18.051264,3800
2012-08-03,30.4,31.77,30.4,31.77,18.958303,3500
2012-08-06,31.98,33.189999,31.549999,33.169998,19.79373,15100
2012-08-07,33.049999,33.049999,32,32.490002,19.387953,6100
2012-08-08,32.43,32.880001,30.700001,31.959999,19.071684,8200
2012-08-09,32.07,32.099998,31.440001,31.9,19.035877,5300
2012-08-10,31.84,32.66,31.84,32.16,19.191031,1500
2012-08-13,32.029999,32.200001,31.559999,32.200001,19.214899,1600
2012-08-14,31.75,31.93,31.5,31.51,18.803152,1600
2012-08-15,31.719999,31.719999,31.17,31.49,18.791216,3000
2012-08-16,31.299999,33.330002,31.299999,33.07,19.73406,22400
2012-08-17,33.18,33.389999,32.650002,32.900002,19.632614,4900
2012-08-20,32.799999,33.98,32.529999,33.400002,19.930981,4100
2012-08-21,33.59,33.59,33.32,33.369999,19.913082,2200
2012-08-22,33.23,33.709999,33.189999,33.48,19.978724,3200
2012-08-23,33.509998,33.52,32.459999,32.5,19.393919,8400
2012-08-24,32.490002,32.509998,31.99,32.360001,19.310375,3000
2012-08-27,32.16,32.16,31.52,32.060001,19.131353,7300
2012-08-28,31.889999,32.759998,31.01,32.73,19.531168,6700
2012-08-29,32.57,33.150002,32.400002,32.639999,19.477461,6600
2012-08-30,32.509998,32.52,32.189999,32.189999,19.208929,2700
2012-08-31,32.400002,32.450001,31.700001,31.870001,19.017979,3300
2012-09-04,31.860001,32.860001,31.83,32.080002,19.143291,4300
2012-09-05,31.9,32.639999,30.139999,30.32,18.093039,18600
2012-09-06,30.5,30.719999,30.309999,30.49,18.194479,6000
2012-09-07,30.639999,30.639999,30.5,30.610001,18.26609,2400
2012-09-10,30.32,31.41,29.1,29.790001,17.776764,9900
2012-09-11,29.73,29.84,28.799999,29.67,17.705158,4500
2012-09-12,29.860001,30.25,29.799999,30.08,17.94982,4200
2012-09-13,30.25,30.5,30.02,30.440001,18.164644,3800
2012-09-14,30.49,31.33,30.35,30.76,18.355598,5400
2012-09-17,30.9,31.5,30.799999,31.26,18.653969,4300
2012-09-18,31.360001,32.279999,30.940001,32.099998,19.155224,6800
2012-09-19,32.310001,32.470001,31.719999,32.110001,19.161194,6400
2012-09-20,31.9,31.9,31.450001,31.49,18.791216,1300
2012-09-21,32.189999,32.349998,31.030001,32.32,19.286507,12500
2012-09-24,32.490002,32.490002,31.17,32.259998,19.250704,16600
2012-09-25,32.5,32.59,31.540001,31.799999,18.976202,20700
2012-09-26,32.009998,32.360001,31.799999,32.16,19.191031,8000
2012-09-27,32.189999,32.5,29.889999,31.84,19.000071,18400
2012-09-28,31.860001,31.860001,30.629999,31.450001,18.767344,16800
2012-10-01,31.059999,31.99,31.059999,31.26,18.653969,10100
2012-10-02,31.52,32.209999,31.190001,32.16,19.191031,12600
2012-10-03,32,32.5,31.870001,32.5,19.393919,4600
2012-10-04,32.5,32.619999,32.049999,32.389999,19.328276,13700
2012-10-05,33.389999,33.389999,32.130001,32.209999,19.220863,8000
2012-10-08,32.220001,32.43,31.879999,31.879999,19.023945,3400
2012-10-09,31.99,31.99,31.129999,31.18,18.606228,2600
2012-10-10,31.370001,31.370001,30.85,30.85,18.409306,2100
2012-10-11,30.809999,32.189999,30.809999,31.809999,18.982172,2200
2012-10-12,31.92,32.470001,31.01,32.16,19.191031,9400
2012-10-15,31.940001,32.869999,31.450001,31.719999,18.928465,8300
2012-10-16,31.879999,32,31.299999,31.469999,18.779284,5000
2012-10-17,31.48,32,31.48,31.889999,19.029913,3700
2012-10-18,31.969999,31.969999,31.1,31.1,18.558491,2000
2012-10-19,31,31.57,31,31.35,18.707672,2700
2012-10-22,31.49,31.700001,30.18,30.18,18.009497,2900
2012-10-23,30.190001,30.190001,29.200001,29.6,17.663385,2200
2012-10-24,29.67,29.67,29.139999,29.139999,17.388887,3400
2012-10-25,29.23,29.540001,29.219999,29.5,17.60371,1600
2012-10-26,29.59,29.85,29.049999,29.42,17.555973,2600
2012-10-31,29.450001,29.5,26.700001,27.709999,16.535555,5800
2012-11-01,28,29.440001,27.969999,29.290001,17.478401,11200
2012-11-02,29.35,29.58,29.120001,29.35,17.514202,4200
2012-11-05,29.440001,29.58,29.120001,29.24,17.448559,3900
2012-11-06,29.620001,29.9,29.219999,29.219999,17.436626,1400
2012-11-07,29.120001,29.450001,28.940001,29.120001,17.376953,4700
2012-11-08,29.120001,29.120001,28.940001,28.940001,17.269541,2100
2012-11-09,28.99,29.440001,28.639999,28.700001,17.126326,3100
2012-11-12,28.700001,29.18,27.67,29.18,17.412756,7200
2012-11-13,29.09,29.290001,28.950001,29.290001,17.478401,1100
2012-11-14,28.530001,29,27.860001,28.83,17.203901,14400
2012-11-15,28.950001,29.360001,28.889999,29.059999,17.34115,3800
2012-11-16,28.98,29.5,28.469999,29.25,17.454527,9100
2012-11-19,29.309999,30,29.309999,29.709999,17.729027,3600
2012-11-20,29.68,29.889999,29.440001,29.889999,17.836441,3600
2012-11-21,29.889999,30.18,29.889999,30.18,18.009497,500
2012-11-23,30.16,30.360001,30.16,30.360001,18.116905,900
2012-11-26,30.48,30.690001,30.18,30.450001,18.170612,2400
2012-11-27,30.66,30.66,30.5,30.530001,18.218351,1500
2012-11-28,30.67,30.67,30.290001,30.290001,18.075136,1500
2012-11-29,30.59,31.66,30.59,31.549999,18.827019,2200
2012-11-30,31.68,31.879999,31.360001,31.66,18.892662,2800
2012-12-03,31.870001,31.870001,31.09,31.59,18.850891,1900
2012-12-04,31.190001,31.65,31.190001,31.65,18.886694,300
2012-12-05,31.27,31.51,30.6,30.6,18.260122,12500
2012-12-06,30.1,30.559999,30.1,30.559999,18.23625,5800
2012-12-07,30.440001,30.809999,30.41,30.809999,18.385437,2500
2012-12-10,30.559999,30.809999,30.469999,30.809999,18.385437,2100
2012-12-11,30.799999,31.280001,30.030001,31.27,18.659935,3100
2012-12-12,31.379999,34.48,31.379999,33.900002,20.229353,29000
2012-12-13,33.82,34,33.040001,33.650002,20.080166,21300
2012-12-14,33.669998,34,33.669998,34,20.289026,6700
2012-12-17,34,34.099998,33.93,34,20.289026,22500
2012-12-18,33.849998,34,33.43,34,20.289026,7900
2012-12-19,34,34.060001,32.25,33.470001,19.972755,6900
2012-12-20,33.59,33.59,32.950001,33.200001,19.811634,8400
2012-12-21,33.029999,33.98,32.5,33.25,19.841469,12700
2012-12-24,33.09,33.84,33,33.220001,19.823572,1300
2012-12-26,33.450001,33.59,33.349998,33.369999,19.913082,5800
2012-12-27,33.5,33.860001,33.5,33.73,20.127907,2100
2012-12-28,33.689999,33.880001,33.5,33.650002,20.080166,8700
2012-12-31,33.470001,33.950001,32.799999,33.700001,20.110008,19400
2013-01-02,33.84,34.099998,33.84,33.950001,20.25919,10500
2013-01-03,33.959999,34.18,33.41,33.93,20.247255,11800
2013-01-04,34,34.049999,33.75,34,20.289026,8700
2013-01-07,33.990002,34.27,33.599998,34,20.289026,41500
2013-01-08,34.310001,34.310001,33.900002,34,20.289026,5700
2013-01-09,34,34.139999,33.84,34,20.289026,17200
2013-01-10,34,34.810001,33.889999,34.310001,20.474014,25400
2013-01-11,34.32,35.240002,34.32,35.049999,20.915598,4600
2013-01-14,34.93,36.07,34.799999,35.830002,21.381052,4800
2013-01-15,35.82,36.639999,35.810001,36.630001,21.858442,3500
2013-01-16,36.540001,37.52,36.369999,36.790001,21.95392,7500
2013-01-17,36.799999,37.759998,36.5,36.810001,21.965851,3500
2013-01-18,36.650002,37.470001,36.650002,37.259998,22.234381,4000
2013-01-22,37.950001,39.689999,37.75,39.07,23.31447,32500
2013-01-23,39.299999,39.689999,38.740002,39.450001,23.541235,13300
2013-01-24,39.48,40.990002,39.470001,40.630001,24.245384,8800
2013-01-25,40.93,41.400002,40.220001,40.950001,24.436342,13400
2013-01-28,41.389999,42.369999,41.27,42.369999,25.283703,35300
2013-01-29,42.220001,42.52,41.860001,42.380001,25.289673,15700
2013-01-30,42.380001,42.380001,40.09,41.799999,24.943565,13800
2013-01-31,41.630001,41.91,41.23,41.27,24.627293,13800
2013-02-01,41,41.310001,40.27,41.27,24.627293,19800
2013-02-04,41.27,43.57,41.27,42.209999,25.188227,12900
2013-02-05,42.25,42.639999,40.619999,40.880001,24.394567,18900
2013-02-06,40.700001,40.700001,39.900002,40,23.869442,10500
2013-02-07,39.900002,40.369999,38.599998,38.849998,23.183189,16800
2013-02-08,38.860001,39.419998,38.650002,38.939999,23.236895,6600
2013-02-11,38.849998,38.849998,36.810001,37.099998,22.138905,11100
2013-02-12,37.029999,37.779999,35.880001,36.549999,21.810699,10100
2013-02-13,36.860001,37.009998,36.5,36.869999,22.001654,7100
2013-02-14,36.849998,36.849998,35.849998,36.490002,21.774897,7200
2013-02-15,36.5,37.360001,36.5,36.900002,22.01956,9700
2013-02-19,36.900002,38.330002,36.900002,38.330002,22.87289,5000
2013-02-20,38.23,38.389999,37.709999,37.73,22.514851,5600
2013-02-21,37.549999,37.57,36,36.130001,21.560074,12000
2013-02-22,36.23,36.459999,35.950001,36,21.482496,6700
2013-02-25,36,36.580002,35.869999,35.869999,21.404919,8500
2013-02-26,36.43,36.57,36.060001,36.5,21.780865,2900
2013-02-27,36.52,37.759998,36.259998,37.349998,22.288088,3900
2013-02-28,37.419998,37.43,36.5,36.639999,21.864405,4600
2013-03-01,36.490002,37.049999,36.259998,36.630001,21.858442,4500
2013-03-04,36.709999,37.599998,36.25,36.919998,22.031492,6000
2013-03-05,36.669998,37.330002,36.669998,37.32,22.270189,5100
