Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,0.3,0.3,0.28,0.28,0.28,124550
2012-02-22,0.29,0.295,0.28,0.295,0.295,54074
2012-02-23,0.295,0.3,0.29,0.3,0.3,191537
2012-02-24,0.29,0.295,0.27,0.28,0.28,75733
2012-02-27,0.31,0.31,0.29,0.3,0.3,128700
2012-02-28,0.3,0.32,0.3,0.31,0.31,128768
2012-02-29,0.305,0.305,0.29,0.29,0.29,65800
2012-03-01,0.29,0.295,0.28,0.28,0.28,52530
2012-03-02,0.31,0.31,0.29,0.3,0.3,106401
2012-03-05,0.3,0.31,0.3,0.31,0.31,73960
2012-03-06,0.31,0.31,0.28,0.28,0.28,62666
2012-03-07,0.285,0.285,0.28,0.28,0.28,25543
2012-03-08,0.28,0.29,0.28,0.29,0.29,39200
2012-03-09,0.29,0.29,0.275,0.29,0.29,94448
2012-03-12,0.29,0.29,0.28,0.28,0.28,55000
2012-03-13,0.29,0.295,0.27,0.29,0.29,125250
2012-03-14,0.285,0.285,0.27,0.27,0.27,65689
2012-03-15,0.27,0.27,0.25,0.25,0.25,400600
2012-03-16,0.26,0.26,0.255,0.26,0.26,18000
2012-03-19,0.275,0.275,0.265,0.265,0.265,31000
2012-03-20,0.265,0.265,0.24,0.25,0.25,125500
2012-03-21,0.25,0.25,0.24,0.24,0.24,64000
2012-03-22,0.245,0.255,0.235,0.255,0.255,60500
2012-03-23,0.25,0.26,0.24,0.26,0.26,52800
2012-03-26,0.28,0.31,0.27,0.295,0.295,581091
2012-03-27,0.29,0.3,0.265,0.285,0.285,282595
2012-03-28,0.27,0.41,0.27,0.41,0.41,1023773
2012-03-29,0.42,0.42,0.375,0.395,0.395,1559388
2012-03-30,0.38,0.425,0.365,0.42,0.42,1122312
2012-04-02,0.455,0.475,0.42,0.45,0.45,1974377
2012-04-03,0.455,0.465,0.415,0.42,0.42,816036
2012-04-04,0.45,0.455,0.385,0.42,0.42,1386545
2012-04-05,0.42,0.42,0.395,0.405,0.405,198200
2012-04-09,0.395,0.4,0.35,0.35,0.35,291780
2012-04-10,0.36,0.39,0.34,0.34,0.34,210400
2012-04-11,0.36,0.4,0.36,0.38,0.38,236400
2012-04-12,0.395,0.4,0.37,0.38,0.38,135750
2012-04-13,0.375,0.39,0.365,0.38,0.38,235400
2012-04-16,0.38,0.38,0.33,0.33,0.33,278223
2012-04-17,0.34,0.37,0.32,0.37,0.37,356869
2012-04-18,0.345,0.345,0.315,0.33,0.33,189511
2012-04-19,0.32,0.355,0.32,0.35,0.35,120235
2012-04-20,0.325,0.355,0.325,0.33,0.33,134682
2012-04-23,0.32,0.35,0.29,0.35,0.35,467800
2012-04-24,0.34,0.35,0.31,0.315,0.315,243208
2012-04-25,0.31,0.32,0.295,0.3,0.3,443167
2012-04-26,0.3,0.31,0.285,0.285,0.285,202575
2012-04-27,0.285,0.3,0.28,0.285,0.285,137958
2012-04-30,0.295,0.325,0.275,0.29,0.29,1091324
2012-05-01,6.69787,6.69787,6.69787,6.69787,6.69787,0
2012-05-02,0.295,0.365,0.29,0.355,0.355,1234048
2012-05-03,0.355,0.36,0.335,0.34,0.34,273573
2012-05-04,0.345,0.345,0.315,0.335,0.335,193050
2012-05-07,0.315,0.315,0.305,0.305,0.305,169850
2012-05-08,0.315,0.33,0.295,0.305,0.305,606980
2012-05-09,0.305,0.305,0.29,0.295,0.295,249281
2012-05-10,0.305,0.305,0.29,0.29,0.29,108500
2012-05-11,0.29,0.29,0.26,0.26,0.26,258100
2012-05-14,0.275,0.28,0.27,0.27,0.27,137514
2012-05-15,0.275,0.29,0.275,0.29,0.29,106800
2012-05-16,0.27,0.28,0.265,0.265,0.265,53700
2012-05-17,0.26,0.27,0.255,0.255,0.255,60200
2012-05-18,0.26,0.275,0.255,0.275,0.275,71454
2012-05-21,0.275,0.275,0.275,0.275,0.275,0
2012-05-22,0.285,0.285,0.225,0.225,0.225,285525
2012-05-23,0.24,0.245,0.23,0.245,0.245,119200
2012-05-24,0.24,0.24,0.23,0.24,0.24,112000
2012-05-25,0.25,0.25,0.22,0.23,0.23,315600
2012-05-29,0.235,0.25,0.23,0.25,0.25,19100
2012-05-30,0.245,0.26,0.245,0.26,0.26,38100
2012-05-31,0.26,0.265,0.24,0.265,0.265,25525
2012-06-01,0.26,0.265,0.26,0.265,0.265,156380
2012-06-04,0.29,0.3,0.27,0.27,0.27,154900
2012-06-05,0.28,0.28,0.25,0.25,0.25,136500
2012-06-06,5.64945,5.8431,5.47582,5.64945,5.64945,3
2012-06-07,0.27,0.285,0.26,0.285,0.285,95904
2012-06-08,0.28,0.3,0.26,0.26,0.26,173371
2012-06-11,0.26,0.355,0.255,0.345,0.345,689639
2012-06-12,0.355,0.37,0.32,0.325,0.325,321400
2012-06-13,0.335,0.335,0.32,0.325,0.325,78745
2012-06-14,0.32,0.33,0.32,0.32,0.32,44370
2012-06-15,0.32,0.33,0.3,0.33,0.33,252722
2012-06-18,0.32,0.34,0.32,0.335,0.335,61093
2012-06-19,0.335,0.335,0.32,0.325,0.325,12850
2012-06-20,0.32,0.335,0.32,0.33,0.33,22900
2012-06-21,0.33,0.34,0.32,0.32,0.32,90000
2012-06-22,0.335,0.335,0.32,0.32,0.32,30500
2012-06-25,0.325,0.335,0.32,0.335,0.335,124000
2012-06-26,0.325,0.33,0.325,0.325,0.325,56810
2012-06-27,5.26213,5.86981,4.78133,5.82975,5.82975,97605
2012-06-28,0.34,0.35,0.32,0.33,0.33,601542
