Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,1740,1740,1740,1740,1740,0
2012-02-22,1570,1570,1570,1570,1570,0
2012-02-23,1570,1570,1570,1570,1570,0
2012-02-24,1570,1570,1570,1570,1570,0
2012-02-27,1570,1570,1570,1570,1570,0
2012-02-28,1570,1570,1570,1570,1570,0
2012-02-29,1570,1570,1570,1570,1570,0
2012-03-01,1570,1570,1570,1570,1570,0
2012-03-02,1570,1570,1570,1570,1570,0
2012-03-05,1570,1570,1570,1570,1570,0
2012-03-06,1570,1570,1570,1570,1570,0
2012-03-07,1400,1400,1400,1400,1400,0
2012-03-08,1410,1410,1410,1410,1410,0
2012-03-09,1410,1410,1410,1410,1410,0
2012-03-12,1410,1410,1410,1410,1410,0
2012-03-13,1410,1410,1410,1410,1410,0
2012-03-14,1410,1410,1410,1410,1410,0
2012-03-15,1500,1500,1500,1500,1500,0
2012-03-16,1490,1520,1470,1470,1470,0
2012-03-19,1470,1470,1470,1470,1470,0
2012-03-20,1470,1470,1470,1470,1470,0
2012-03-21,1470,1470,1470,1470,1470,0
2012-03-22,1470,1470,1470,1470,1470,0
2012-03-23,1470,1470,1470,1470,1470,0
2012-03-26,1470,1470,1470,1470,1470,0
2012-03-27,1460,1460,1460,1460,1460,0
2012-03-28,1460,1460,1460,1460,1460,0
2012-03-29,1460,1460,1430,1430,1430,0
2012-03-30,1430,1430,1430,1430,1430,0
2012-04-02,1430,1430,1430,1430,1430,0
2012-04-03,1430,1430,1430,1430,1430,0
2012-04-04,1430,1430,1430,1430,1430,0
2012-04-05,1430,1430,1430,1430,1430,0
2012-04-09,1430,1430,1430,1430,1430,0
2012-04-10,1430,1430,1430,1430,1430,0
2012-04-11,1430,1430,1430,1430,1430,0
2012-04-12,1430,1430,1430,1430,1430,0
2012-04-13,1430,1430,1430,1430,1430,0
2012-04-16,1430,1430,1430,1430,1430,0
2012-04-17,1470,1470,1470,1470,1470,0
2012-04-18,1470,1470,1430,1430,1430,0
2012-04-19,1430,1430,1430,1430,1430,0
2012-04-20,1430,1430,1430,1430,1430,0
2012-04-23,1430,1430,1430,1430,1430,0
2012-04-24,1430,1430,1430,1430,1430,0
2012-04-25,1430,1430,1430,1430,1430,0
2012-04-26,1430,1430,1430,1430,1430,0
2012-04-27,1430,1430,1430,1430,1430,0
2012-04-30,1270,1270,1270,1270,1270,0
2012-05-01,1270,1270,1270,1270,1270,0
2012-05-02,1270,1270,1270,1270,1270,0
2012-05-03,1270,1270,1270,1270,1270,0
2012-05-04,1270,1270,1270,1270,1270,0
2012-05-07,1270,1270,1270,1270,1270,0
2012-05-08,1270,1270,1270,1270,1270,0
2012-05-09,1270,1270,1270,1270,1270,0
2012-05-10,1270,1270,1270,1270,1270,0
2012-05-11,1270,1270,1270,1270,1270,0
2012-05-14,1270,1270,1270,1270,1270,0
2012-05-15,1270,1270,1270,1270,1270,0
2012-05-16,1270,1270,1270,1270,1270,0
2012-05-17,1270,1270,1270,1270,1270,0
2012-05-18,1360,1360,1360,1360,1360,0
2012-05-21,1360,1360,1360,1360,1360,0
2012-05-22,1350,1350,1330,1350,1350,0
2012-05-23,1350,1350,1330,1330,1330,0
2012-05-24,1330,1330,1330,1330,1330,0
2012-05-25,1260,1260,1260,1260,1260,0
2012-05-29,1260,1260,1260,1260,1260,0
2012-05-30,1260,1260,1260,1260,1260,0
2012-05-31,1260,1260,1260,1260,1260,0
2012-06-01,1260,1260,1260,1260,1260,0
2012-06-04,1260,1260,1260,1260,1260,0
2012-06-05,1260,1260,1260,1260,1260,0
2012-06-06,1260,1260,1260,1260,1260,0
2012-06-07,1260,1260,1260,1260,1260,0
2012-06-08,1260,1260,1260,1260,1260,0
2012-06-11,1260,1260,1260,1260,1260,0
2012-06-12,1200,1200,940,940,940,0
2012-06-13,940,940,940,940,940,0
2012-06-14,940,940,940,940,940,0
2012-06-15,970,970,970,970,970,0
2012-06-18,970,970,970,970,970,0
2012-06-19,970,970,970,970,970,0
2012-06-20,970,970,970,970,970,0
2012-06-21,970,970,970,970,970,0
2012-06-22,970,970,970,970,970,0
2012-06-25,970,970,970,970,970,0
2012-06-26,970,970,970,970,970,0
2012-06-27,970,970,970,970,970,0
2012-06-28,970,970,970,970,970,0
2012-06-29,970,970,970,970,970,0
2012-07-02,970,970,970,970,970,0
2012-07-03,970,970,970,970,970,0
2012-07-05,970,970,970,970,970,0
2012-07-06,970,970,970,970,970,0
2012-07-09,970,970,970,970,970,0
2012-07-10,970,970,970,970,970,0
2012-07-11,970,970,970,970,970,0
2012-07-12,970,970,970,970,970,0
2012-07-13,970,970,970,970,970,0
2012-07-16,970,970,970,970,970,0
2012-07-17,970,970,970,970,970,0
2012-07-18,970,970,970,970,970,0
2012-07-19,970,970,970,970,970,0
2012-07-20,970,970,970,970,970,0
2012-07-23,970,970,970,970,970,0
2012-07-24,1250,1250,1250,1250,1250,0
2012-07-25,1260,1260,1240,1240,1240,0
2012-07-26,1240,1240,1240,1240,1240,0
2012-07-27,1240,1240,1240,1240,1240,0
2012-07-30,1240,1240,1240,1240,1240,0
2012-07-31,1240,1240,1240,1240,1240,0
2012-08-01,1240,1240,1240,1240,1240,0
2012-08-02,1240,1240,1240,1240,1240,0
2012-08-03,1240,1240,1240,1240,1240,0
2012-08-06,1240,1240,1240,1240,1240,0
2012-08-07,1300,1300,1300,1300,1300,0
2012-08-08,1300,1300,1300,1300,1300,0
2012-08-09,1300,1300,1300,1300,1300,0
2012-08-10,1310,1320,1310,1320,1320,0
2012-08-13,1320,1320,1320,1320,1320,0
2012-08-14,1320,1320,1320,1320,1320,0
2012-08-15,1320,1320,1320,1320,1320,0
2012-08-16,1320,1320,1320,1320,1320,0
2012-08-17,1290,1290,1290,1290,1290,0
2012-08-20,1290,1290,1290,1290,1290,0
2012-08-21,1310,1310,1310,1310,1310,0
2012-08-22,1310,1310,1310,1310,1310,0
2012-08-23,1300,1300,1300,1300,1300,0
2012-08-24,1300,1300,1300,1300,1300,0
2012-08-27,1300,1300,1300,1300,1300,0
2012-08-28,1300,1300,1300,1300,1300,0
2012-08-29,1310,1310,1310,1310,1310,0
2012-08-30,1310,1310,1310,1310,1310,0
2012-08-31,1310,1310,1310,1310,1310,0
2012-09-04,1310,1310,1310,1310,1310,0
2012-09-05,1310,1310,1310,1310,1310,0
2012-09-06,1310,1310,1310,1310,1310,0
2012-09-07,1310,1310,1310,1310,1310,0
2012-09-10,1310,1310,1310,1310,1310,0
2012-09-11,1310,1310,1310,1310,1310,0
2012-09-12,1310,1310,1310,1310,1310,0
2012-09-13,1310,1310,1310,1310,1310,0
2012-09-14,1350,1360,1300,1340,1340,0
2012-09-17,1340,1340,1340,1340,1340,0
2012-09-18,1330,1330,1330,1330,1330,0
2012-09-19,1330,1330,1330,1330,1330,0
2012-09-20,1320,1320,1320,1320,1320,0
2012-09-21,1320,1320,1320,1320,1320,0
2012-09-24,1320,1320,1320,1320,1320,0
2012-09-25,1320,1320,1320,1320,1320,0
2012-09-26,1320,1320,1320,1320,1320,0
2012-09-27,1390,1430,1390,1430,1430,0
2012-09-28,1430,1430,1430,1430,1430,0
2012-10-01,1430,1430,1430,1430,1430,0
2012-10-02,1520,1590,1500,1520,1520,0
2012-10-03,1520,1520,1520,1520,1520,0
2012-10-04,1520,1520,1520,1520,1520,0
2012-10-05,1640,1640,1620,1620,1620,0
2012-10-08,1620,1620,1620,1620,1620,0
2012-10-09,1620,1620,1620,1620,1620,0
