Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,12.64,12.75,12.54,12.68,12.68,441200
2012-02-22,12.63,12.71,12.14,12.5,12.5,273200
2012-02-23,12.51,12.78,12.48,12.77,12.77,267400
2012-02-24,12.76,12.8,12.63,12.64,12.64,151800
2012-02-27,12.56,12.88,12.48,12.75,12.75,274200
2012-02-28,12.75,12.88,12.7,12.72,12.72,413600
2012-02-29,12.74,12.87,12.57,12.62,12.62,818500
2012-03-01,12.67,12.74,12.5,12.5,12.5,456700
2012-03-02,12.53,12.59,12.3,12.34,12.34,475700
2012-03-05,12.3,12.52,12.3,12.48,12.48,416700
2012-03-06,12.36,12.45,12.24,12.26,12.26,290800
2012-03-07,12.34,12.38,12.25,12.33,12.33,183800
2012-03-08,12.38,12.44,12.17,12.31,12.31,213700
2012-03-09,12.33,12.59,12.3,12.53,12.53,241700
2012-03-12,12.55,12.55,12.3,12.35,12.35,392100
2012-03-13,12.46,12.63,12.36,12.61,12.61,694000
2012-03-14,12.6,12.66,12.47,12.55,12.55,269400
2012-03-15,12.58,12.78,12.51,12.75,12.75,236300
2012-03-16,12.79,12.8,12.66,12.75,12.75,643400
2012-03-19,12.72,12.93,12.64,12.9,12.9,645800
2012-03-20,12.82,12.94,12.76,12.91,12.91,330200
2012-03-21,12.81,12.93,12.79,12.83,12.83,220000
2012-03-22,12.71,12.76,12.59,12.71,12.71,225100
2012-03-23,12.67,12.81,12.63,12.8,12.8,460100
2012-03-26,12.88,13,12.83,12.94,12.94,308300
2012-03-27,12.96,12.98,12.84,12.84,12.84,232800
2012-03-28,12.84,13.03,12.83,13.02,13.02,273200
2012-03-29,12.91,13,12.7,12.79,12.79,446600
2012-03-30,12.9,13.08,12.7,12.7,12.7,442900
2012-04-02,12.69,12.96,12.61,12.93,12.93,430300
2012-04-03,12.89,13,12.76,12.94,12.94,346300
2012-04-04,12.8,12.83,12.65,12.72,12.72,259900
2012-04-05,12.65,12.67,12.6,12.63,12.63,285600
2012-04-09,12.51,12.61,12.43,12.48,12.48,266200
2012-04-10,12.48,12.56,12.25,12.27,12.27,384100
2012-04-11,12.4,12.53,12.31,12.53,12.53,375500
2012-04-12,12.51,12.63,12.46,12.59,12.59,222200
2012-04-13,12.51,12.51,12.25,12.26,12.26,287200
2012-04-16,12.28,12.49,12.24,12.43,12.43,223900
