Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,26,26,25.360001,25.440001,25.440001,58400
2012-02-22,25.360001,25.879999,25.200001,25.4,25.4,38700
2012-02-23,25.48,26.440001,25.4,26.24,26.24,42600
2012-02-24,26.280001,26.879999,26.040001,26.6,26.6,48400
2012-02-27,26.48,26.48,25.799999,26.24,26.24,32700
2012-02-28,26.16,26.360001,25.639999,25.799999,25.799999,64300
2012-02-29,25.92,26.200001,25.280001,25.360001,25.360001,73900
2012-03-01,25.559999,25.959999,25.32,25.4,25.4,41200
2012-03-02,25.4,25.92,25.360001,25.799999,25.799999,65500
2012-03-05,25.639999,26.559999,25.6,26.24,26.24,57300
2012-03-06,25.92,26.280001,25.6,25.799999,25.799999,92400
2012-03-07,25.879999,26.24,25.6,26.16,26.16,43200
2012-03-08,26.32,26.639999,26.120001,26.48,26.48,51500
2012-03-09,29.200001,29.6,27.120001,27.879999,27.879999,429700
2012-03-12,28,28,27.200001,27.799999,27.799999,74100
2012-03-13,28,28,26.879999,27.24,27.24,140100
2012-03-14,27.24,27.24,26.559999,26.84,26.84,95100
2012-03-15,26.92,27.200001,26.76,26.84,26.84,46400
2012-03-16,26.92,27.280001,26.799999,26.92,26.92,69300
2012-03-19,26.799999,27.32,26.120001,27,27,68000
2012-03-20,26.719999,26.84,26.280001,26.440001,26.440001,48700
2012-03-21,26.48,26.719999,26.280001,26.440001,26.440001,26400
2012-03-22,26.200001,26.440001,26,26.200001,26.200001,31000
2012-03-23,26.24,26.879999,26,26.799999,26.799999,30600
2012-03-26,27.040001,27.200001,26.559999,26.879999,26.879999,40900
2012-03-27,26.84,27.040001,26.559999,26.559999,26.559999,18700
2012-03-28,26.559999,26.68,26.200001,26.639999,26.639999,34900
2012-03-29,26.360001,27.280001,26.200001,27.120001,27.120001,47100
2012-03-30,27.4,27.52,26.879999,27.16,27.16,35700
2012-04-02,26.959999,28.040001,26.6,28.040001,28.040001,125300
2012-04-03,27.959999,28.4,27.68,28.040001,28.040001,200300
2012-04-04,27.6,28,27.440001,27.6,27.6,47200
2012-04-05,27.559999,27.76,27.200001,27.719999,27.719999,25600
2012-04-09,27.16,27.639999,26.879999,27.6,27.6,48900
2012-04-10,27.48,27.639999,27.040001,27.200001,27.200001,68500
2012-04-11,27.52,27.639999,27.24,27.4,27.4,39200
2012-04-12,27.360001,28.24,26.879999,27.84,27.84,76900
2012-04-13,27.799999,28,27.32,27.48,27.48,52900
2012-04-16,27.6,27.6,27,27.440001,27.440001,18400
2012-04-17,27.719999,28.200001,27.52,28.040001,28.040001,79400
2012-04-18,27.84,28.48,27.799999,28.32,28.32,79400
2012-04-19,28.440001,29.68,27.959999,29.559999,29.559999,113400
2012-04-20,30.120001,30.200001,28.84,28.879999,28.879999,157400
