Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,3.42,3.42,3.24,3.24,3.24,5600
2012-02-22,3.27,3.33,3.27,3.27,3.27,3300
2012-02-23,3.3,3.36,3.27,3.3,3.3,700
2012-02-24,3.3,3.36,3.3,3.3,3.3,3900
2012-02-27,3.3,3.42,3.27,3.27,3.27,1100
2012-02-28,3.27,3.3,3.24,3.27,3.27,1300
2012-02-29,3.27,3.27,3.18,3.24,3.24,400
2012-03-01,3.15,3.27,2.85,3,3,6900
2012-03-02,3,3.27,3,3.12,3.12,6200
2012-03-05,3,3.21,2.91,3.21,3.21,1500
2012-03-06,3.15,3.15,3,3.15,3.15,7000
2012-03-07,3.15,3.15,3.15,3.15,3.15,0
2012-03-08,3.15,3.21,3.03,3.09,3.09,3000
2012-03-09,3.21,3.39,3.03,3.3,3.3,8000
2012-03-12,3.21,3.21,3,3.15,3.15,1200
2012-03-13,3.12,3.12,3.06,3.09,3.09,500
2012-03-14,3.09,3.39,3.09,3.12,3.12,2600
2012-03-15,3.12,3.45,3.12,3.45,3.45,4600
2012-03-16,3.3,3.45,3.24,3.24,3.24,1000
2012-03-19,3.15,3.15,3.06,3.06,3.06,0
2012-03-20,3.24,3.24,3.21,3.24,3.24,800
2012-03-21,3.12,3.3,3.03,3.06,3.06,8500
2012-03-22,3.15,3.27,3.12,3.12,3.12,2400
2012-03-23,3.15,3.15,3.15,3.15,3.15,4600
2012-03-26,3.09,3.3,3.09,3.3,3.3,3700
2012-03-27,3.27,3.39,3.27,3.39,3.39,3500
2012-03-28,3.3,3.3,3.24,3.24,3.24,100
2012-03-29,3.18,3.54,3.18,3.54,3.54,600
2012-03-30,3.6,3.6,3.27,3.57,3.57,4200
2012-04-02,3.54,3.54,3.33,3.33,3.33,900
2012-04-03,3.3,3.33,3.12,3.3,3.3,22400
2012-04-04,3.3,3.33,3.3,3.3,3.3,2800
2012-04-05,3.51,4.17,3.51,4.05,4.05,48900
2012-04-09,3.99,4.2,3.69,4.11,4.11,24800
2012-04-10,3.9,4.11,3.75,3.9,3.9,4200
2012-04-11,3.81,3.84,3.6,3.84,3.84,2100
2012-04-12,3.63,3.84,3.6,3.84,3.84,1000
2012-04-13,3.6,3.75,3.48,3.63,3.63,2300
2012-04-16,3.75,3.75,3.3,3.51,3.51,3900
2012-04-17,3.24,3.24,3,3.21,3.21,17000
2012-04-18,3.12,3.15,3,3.09,3.09,2600
2012-04-19,3.09,3.09,3.03,3.06,3.06,2100
2012-04-20,3.03,3.06,3,3.06,3.06,10000
2012-04-23,3,3.06,3,3,3,6000
2012-04-24,3,3.27,3,3,3,11700
2012-04-25,3.06,3.06,2.88,3.03,3.03,8800
2012-04-26,3,3.15,3,3.15,3.15,300
2012-04-27,2.91,2.91,2.91,2.91,2.91,200
2012-04-30,2.94,2.97,2.91,2.91,2.91,600
2012-05-01,3,3.06,2.97,3.06,3.06,1600
2012-05-02,2.91,3,2.91,2.91,2.91,4300
2012-05-03,2.94,2.94,2.7,2.7,2.7,1200
2012-05-04,2.97,3,2.97,3,3,100
2012-05-07,2.97,3.03,2.97,3.03,3.03,5900
2012-05-08,2.94,3,2.91,3,3,2400
2012-05-09,3,3.12,3,3.09,3.09,500
2012-05-10,3.12,3.12,3.12,3.12,3.12,100
2012-05-11,3,3.12,3,3.12,3.12,900
2012-05-14,3,3,2.97,2.97,2.97,7000
2012-05-15,3.12,3.12,2.76,3.09,3.09,500
2012-05-16,2.82,3.12,2.79,2.79,2.79,1400
2012-05-17,2.73,2.79,2.7,2.7,2.7,5700
2012-05-18,2.73,3.03,2.7,2.7,2.7,4300
2012-05-21,2.73,2.82,2.73,2.82,2.82,1100
2012-05-22,2.82,2.82,2.82,2.82,2.82,700
2012-05-23,2.82,2.82,2.82,2.82,2.82,0
2012-05-24,2.73,2.73,2.7,2.7,2.7,4300
2012-05-25,2.43,2.43,2.4,2.43,2.43,800
2012-05-29,2.55,2.85,2.55,2.85,2.85,1100
2012-05-30,2.73,2.76,2.73,2.76,2.76,600
2012-05-31,2.7,2.85,2.7,2.85,2.85,1800
2012-06-01,2.55,2.79,2.55,2.55,2.55,800
2012-06-04,2.67,2.94,2.67,2.94,2.94,3100
2012-06-05,2.94,2.94,2.94,2.94,2.94,0
2012-06-06,2.85,2.97,2.82,2.97,2.97,400
2012-06-07,2.97,2.97,2.97,2.97,2.97,0
2012-06-08,2.97,2.97,2.97,2.97,2.97,0
2012-06-11,2.97,2.97,2.73,2.97,2.97,1100
2012-06-12,2.97,2.97,2.76,2.94,2.94,1300
2012-06-13,2.94,2.94,2.82,2.94,2.94,700
2012-06-14,2.94,3.06,2.82,3.06,3.06,2700
2012-06-15,3.06,3.06,2.82,3,3,700
2012-06-18,3.06,3.06,2.79,3.03,3.03,900
2012-06-19,2.88,2.97,2.88,2.97,2.97,300
2012-06-20,2.85,3,2.85,2.85,2.85,500
2012-06-21,3,3,2.85,3,3,3800
2012-06-22,3,3,2.88,2.97,2.97,500
2012-06-25,2.85,2.88,2.85,2.88,2.88,700
2012-06-26,2.85,2.88,2.85,2.88,2.88,1800
2012-06-27,2.88,3,2.88,3,3,1300
2012-06-28,2.94,3,2.94,3,3,600
2012-06-29,2.97,3.03,2.97,3.03,3.03,2000
2012-07-02,3.06,3.06,3,3,3,1200
2012-07-03,3.03,3.03,2.88,2.88,2.88,1800
2012-07-05,2.88,2.88,2.88,2.88,2.88,2000
2012-07-06,2.88,2.88,2.88,2.88,2.88,900
2012-07-09,2.88,2.88,2.88,2.88,2.88,0
2012-07-10,2.88,2.97,2.88,2.88,2.88,2300
