Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,14.75,14.98,14.71,14.85,13.939546,72100
2012-02-22,14.77,14.77,13.31,13.38,12.55967,156500
2012-02-23,13.41,14.19,13.41,14.13,13.263688,89100
2012-02-24,14.04,14.39,13.87,13.99,13.132271,58200
2012-02-27,13.88,14.35,13.75,14.16,13.291848,95400
2012-02-28,14.3,14.91,14.3,14.89,13.977092,69400
2012-02-29,14.9,14.97,14.52,14.6,13.704872,42500
2012-03-01,14.71,14.71,14.39,14.45,13.564068,35000
2012-03-02,14.53,14.75,14.46,14.51,13.62039,45000
2012-03-05,14.45,14.6,14.28,14.47,13.582843,46200
2012-03-06,14.47,14.47,14.23,14.37,13.488974,41100
2012-03-07,14.44,14.49,14.25,14.45,13.564068,31500
2012-03-08,14.5,15.1,14.46,14.98,14.061574,102900
2012-03-09,14.69,14.95,14.5,14.95,14.033413,83400
2012-03-12,14.86,15.12,14.83,15,14.080348,96900
2012-03-13,14.42,14.6,14.13,14.58,14.080348,70200
2012-03-14,14.37,14.37,13.66,13.69,13.220847,82900
2012-03-15,13.61,13.61,13.16,13.23,12.776611,83200
2012-03-16,13.18,13.57,13.18,13.52,13.056674,58100
2012-03-19,13.45,13.85,13.45,13.59,13.124275,62400
2012-03-20,13.6,13.65,13.45,13.57,13.10496,28200
2012-03-21,13.49,13.82,13.49,13.7,13.230505,37500
2012-03-22,13.84,13.84,13.62,13.7,13.230505,36800
2012-03-23,13.64,13.78,13.62,13.66,13.191875,23600
2012-03-26,13.71,13.81,13.5,13.53,13.066331,24300
2012-03-27,13.52,13.68,13.19,13.31,12.85387,56000
2012-03-28,13.26,13.41,13.11,13.23,12.776611,39000
2012-03-29,13.1,13.22,12.75,12.8,12.361348,79500
2012-03-30,12.96,13.09,12.68,12.85,12.409635,42400
2012-04-02,12.91,13.17,12.85,13.02,12.573809,36100
2012-04-03,13.09,13.32,12.98,13.22,12.766955,29800
2012-04-04,13.14,13.34,13.14,13.25,12.795927,40500
2012-04-05,13.25,13.27,13.1,13.22,12.766955,46900
2012-04-09,13.11,13.27,12.93,13.02,12.573809,18500
2012-04-10,13.01,13.05,12.63,12.68,12.245461,32400
2012-04-11,12.83,12.91,12.69,12.79,12.35169,20800
2012-04-12,12.88,12.9,12.65,12.75,12.313062,37500
2012-04-13,12.75,12.75,12.5,12.52,12.090944,42500
2012-04-16,12.35,12.5,11.83,12.11,11.694994,142600
2012-04-17,12.17,12.34,11.83,12.1,11.685337,61000
2012-04-18,12.01,12.1,11.85,11.93,11.521163,49700
2012-04-19,11.85,12.21,11.8,12.05,11.637051,53400
2012-04-20,12.03,12.27,12,12.03,11.617735,79400
2012-04-23,7.74,8.31,6.52,6.66,6.431764,2023000
2012-04-24,6.48,6.5,5.47,5.7,5.504663,1373400
2012-04-25,5.65,6.03,5.23,5.93,5.72678,680100
2012-04-26,5.9,6.45,5.89,6.28,6.064786,427200
2012-04-27,6.25,6.41,6,6.27,6.055129,345700
2012-04-30,6.21,6.26,5.93,5.97,5.76541,186000
2012-05-01,5.87,5.97,5.72,5.72,5.523977,210000
2012-05-02,5.71,5.82,5.43,5.56,5.369461,167200
2012-05-03,5.45,5.57,5.02,5.11,4.934882,293000
2012-05-04,5.17,5.7,5.1,5.6,5.40809,255500
2012-05-07,5.64,5.64,5.31,5.51,5.321174,192000
2012-05-08,5.56,5.88,5.51,5.73,5.533635,167700
2012-05-09,5.72,5.96,5.65,5.9,5.697809,115000
2012-05-10,5.94,5.94,5.6,5.76,5.562607,102000
2012-05-11,5.71,5.87,5.61,5.71,5.51432,87600
2012-05-14,5.81,5.81,5.65,5.8,5.601236,84500
2012-05-15,5.82,5.88,5.7,5.75,5.552949,79000
2012-05-16,5.76,5.78,5.67,5.78,5.581922,70800
2012-05-17,5.75,5.81,5.7,5.74,5.543292,49400
2012-05-18,5.71,5.79,5.7,5.75,5.552949,60600
