Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,19.27,19.700001,19.08,19.27,14.43329,2800
2012-02-22,19.08,19.76,18.4,18.559999,13.901496,12600
2012-02-23,18.65,19.5,18.65,19.219999,14.395838,2400
2012-02-24,19.4,19.4,18.91,19.07,14.283485,2100
2012-02-27,19.049999,19.9,19.049999,19.41,14.538149,1200
2012-02-28,19.41,19.41,19.41,19.41,14.538149,0
2012-02-29,19.41,19.41,19.41,19.41,14.538149,0
2012-03-01,19.41,19.41,19.41,19.41,14.538149,0
2012-03-02,19.41,19.41,19.41,19.41,14.538149,0
2012-03-05,19.360001,19.360001,18.73,18.98,14.216077,1000
2012-03-06,18.82,18.82,18.4,18.4,13.78166,5700
2012-03-07,18.43,18.43,18.43,18.43,13.804125,300
2012-03-08,18.52,18.52,18.379999,18.52,13.871535,1100
2012-03-09,18.889999,18.889999,18.889999,18.889999,14.148662,100
2012-03-12,18.91,18.91,18.450001,18.450001,13.819107,800
2012-03-13,18.49,18.98,18.34,18.35,13.744205,21600
2012-03-14,18.16,18.219999,18.16,18.219999,13.646834,600
2012-03-15,18.280001,18.280001,18.17,18.190001,13.624369,800
2012-03-16,18.459999,18.459999,18.459999,18.459999,13.826595,600
2012-03-19,18.209999,18.209999,18.15,18.15,13.594407,2000
2012-03-20,18.15,18.209999,18.15,18.209999,13.639344,600
2012-03-21,18.209999,18.209999,18.209999,18.209999,13.639344,0
2012-03-22,18.209999,18.209999,18.209999,18.209999,13.639344,0
2012-03-23,17.85,17.85,17.5,17.74,13.287315,600
2012-03-26,18.4,18.4,18.4,18.4,13.78166,100
2012-03-27,18.4,18.4,18.4,18.4,13.78166,0
2012-03-28,17.58,17.58,17.07,17.07,12.785482,2600
2012-03-29,17.08,17.76,17.08,17.5,13.107553,1900
2012-03-30,18.049999,18.15,17.5,17.5,13.107553,1200
2012-04-02,18.190001,18.540001,18,18.030001,13.504524,4100
2012-04-03,17.75,17.879999,17.75,17.879999,13.392176,700
2012-04-04,17.790001,17.790001,17.790001,17.790001,13.324765,100
2012-04-05,18.040001,18.040001,18.040001,18.040001,13.512015,200
2012-04-09,17.780001,17.879999,17.780001,17.85,13.369707,1700
2012-04-10,18.4,18.4,18.049999,18.049999,13.519504,1200
2012-04-11,18.049999,18.049999,18.049999,18.049999,13.519504,0
2012-04-12,18.1,18.42,18.1,18.42,13.796636,1200
2012-04-13,18.65,18.66,18.65,18.66,13.976396,700
2012-04-16,18.040001,18.040001,18.040001,18.040001,13.512015,100
2012-04-17,18.610001,18.610001,18.040001,18.09,13.549466,1200
2012-04-18,18.110001,18.58,18.110001,18.58,13.916477,2500
2012-04-19,18.299999,18.66,18.299999,18.66,13.976396,800
2012-04-20,18.82,19.049999,18.35,18.35,13.744205,1400
2012-04-23,18.5,18.85,18.5,18.84,14.111217,500
2012-04-24,19.35,19.41,19.34,19.34,14.485721,1600
2012-04-25,19.34,19.34,19.34,19.34,14.644735,0
2012-04-26,19.309999,19.309999,18.25,18.65,14.122249,3200
2012-04-27,18.65,19.33,18.65,19.33,14.637167,3200
2012-04-30,19.33,19.33,19.33,19.33,14.637167,0
2012-05-01,19.5,20,19.26,19.75,14.955194,5400
2012-05-02,19.77,19.959999,19.77,19.9,15.068779,500
2012-05-03,19.959999,19.959999,19.959999,19.959999,15.114217,300
2012-05-04,19.84,19.84,19.84,19.84,15.02335,100
2012-05-07,19.799999,19.799999,19.6,19.6,14.841617,600
2012-05-08,19.540001,19.540001,19.540001,19.540001,14.796184,100
2012-05-09,19.540001,19.540001,19.540001,19.540001,14.796184,0
2012-05-10,19.540001,19.85,19.540001,19.85,15.030914,15000
2012-05-11,19.83,19.83,19.83,19.83,15.015776,300
2012-05-14,19.690001,19.85,19.6,19.85,15.030914,2100
2012-05-15,19.75,19.75,19.75,19.75,14.955194,300
2012-05-16,19.9,19.9,19.75,19.9,15.068779,1000
2012-05-17,19.690001,19.690001,19.690001,19.690001,14.909765,400
2012-05-18,19.99,20,19.99,19.99,15.136936,600
2012-05-21,20.030001,20.5,20.030001,20.5,15.523122,200
2012-05-22,20.559999,20.559999,19.67,19.85,15.030914,3000
2012-05-23,19.799999,19.799999,19.799999,19.799999,15.023332,300
2012-05-24,20.16,20.16,19.77,19.77,15.000571,1100
2012-05-25,20.1,20.1,20.1,20.1,15.25096,1200
2012-05-29,20.1,20.1,20.1,20.1,15.25096,0
2012-05-30,20.15,20.15,19.75,19.75,14.985398,2700
2012-05-31,19.82,20,19.82,20,15.175084,500
2012-06-01,19.84,19.98,19.77,19.98,15.159905,400
2012-06-04,19.65,19.65,19.18,19.18,14.552905,5900
2012-06-05,19.24,20,19.24,20,15.175084,3100
2012-06-06,19.77,19.77,19.57,19.57,14.848818,3000
2012-06-07,19.690001,19.860001,19.57,19.860001,15.068856,600
2012-06-08,19.860001,19.860001,19.860001,19.860001,15.068856,200
2012-06-11,20.040001,20.040001,19.57,19.57,14.848818,4000
2012-06-12,19.629999,20,19.5,20,15.175084,1400
2012-06-13,20,20,20,20,15.175084,0
2012-06-14,19.860001,19.860001,19.549999,19.75,14.985398,400
2012-06-15,19.530001,19.530001,19.530001,19.530001,14.818468,400
2012-06-18,19.5,19.959999,19.25,19.959999,15.144736,3000
2012-06-19,20,20,20,20,15.175084,300
2012-06-20,19.540001,19.540001,19.25,19.25,14.606015,1500
2012-06-21,19.25,19.25,19.25,19.25,14.606015,0
2012-06-22,19.25,19.25,19.25,19.25,14.606015,0
2012-06-25,19.280001,19.280001,19.25,19.25,14.606015,1200
2012-06-26,19.25,19.25,19.25,19.25,14.606015,0
2012-06-27,19.25,19.25,19.25,19.25,14.606015,0
2012-06-28,19.5,19.5,19.25,19.25,14.606015,1100
2012-06-29,19.549999,19.549999,19.26,19.26,14.613607,600
2012-07-02,19.4,19.49,19.280001,19.389999,14.712242,900
2012-07-03,19.27,19.74,19.26,19.620001,14.886759,1000
2012-07-05,19.639999,19.639999,19.639999,19.639999,14.901935,200
2012-07-06,19.639999,19.639999,19.27,19.59,14.863995,400
2012-07-09,19.309999,19.309999,18,18.99,14.408742,3500
2012-07-10,19.440001,19.440001,18.690001,18.690001,14.181112,900
2012-07-11,18.67,18.67,18.67,18.67,14.165939,300
2012-07-12,18.67,18.67,18.67,18.67,14.165939,0
2012-07-13,18.709999,18.709999,18.709999,18.709999,14.19629,300
2012-07-16,18.75,18.82,18.75,18.809999,14.272166,700
2012-07-17,18.809999,18.809999,18.809999,18.809999,14.272166,300
2012-07-18,18.809999,18.870001,18.809999,18.84,14.294929,700
2012-07-19,19.18,19.18,19.18,19.18,14.552905,200
2012-07-20,19.16,19.190001,19.15,19.190001,14.560495,1000
2012-07-23,19.190001,19.190001,19.190001,19.190001,14.560495,100
2012-07-24,19.790001,19.870001,19.48,19.799999,15.023332,3700
2012-07-25,19.17,19.35,19.17,19.25,14.76259,1800
2012-07-26,19.26,19.26,19.26,19.26,14.77026,400
2012-07-27,19.200001,19.200001,19.200001,19.200001,14.724247,1000
2012-07-30,19.200001,19.200001,19.200001,19.200001,14.724247,0
2012-07-31,19.51,19.51,19.48,19.48,14.938978,2700
2012-08-01,19.41,19.41,19.07,19.129999,14.670564,2400
2012-08-02,19.73,19.73,19.08,19.08,14.632219,600
2012-08-03,19.09,19.84,19.07,19.200001,14.724247,700
2012-08-06,19.07,19.07,19.040001,19.040001,14.601546,500
2012-08-07,19.59,19.59,19.059999,19.309999,14.808604,1400
2012-08-08,19.309999,19.309999,19.309999,19.309999,14.808604,0
2012-08-09,19.389999,19.389999,19.360001,19.379999,14.862285,400
2012-08-10,19.440001,19.440001,18.870001,18.870001,14.471179,15100
2012-08-13,18.9,19.040001,18.9,19.040001,14.601546,1200
2012-08-14,18.85,18.85,18.85,18.85,14.455834,500
2012-08-15,18.85,18.85,18.85,18.85,14.455834,0
2012-08-16,18.85,18.85,18.85,18.85,14.455834,0
2012-08-17,19.059999,19.059999,19,19,14.570863,600
2012-08-20,19,19,19,19,14.570863,0
2012-08-21,19,19,19,19,14.570863,0
2012-08-22,18.870001,18.870001,18.870001,18.870001,14.471179,300
2012-08-23,18.85,18.85,18.85,18.85,14.455834,200
2012-08-24,18.85,18.85,18.85,18.85,14.455834,0
