Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,10.05,10.09,10.01,10.05,2.91063,127600
2012-02-22,10.06,10.09,9.92,9.93,2.875877,115600
2012-02-23,9.93,10.04,9.9,10.04,2.907734,96100
2012-02-24,10.03,10.05,9.92,9.97,2.887461,109400
2012-02-27,9.93,10.04,9.88,9.99,2.893253,98500
2012-02-28,10.01,10.04,9.9,9.91,2.870084,84200
2012-02-29,9.95,10.04,9.78,9.78,2.832435,159300
2012-03-01,9.81,9.99,9.77,9.77,2.829539,181800
2012-03-02,9.79,9.81,9.6,9.61,2.7832,228700
2012-03-05,9.61,9.97,9.61,9.92,2.87298,164000
2012-03-06,9.84,9.94,9.68,9.71,2.812162,178800
2012-03-07,9.76,9.96,9.76,9.91,2.870084,147900
2012-03-08,10.01,10.07,9.85,10.05,2.91063,262300
2012-03-09,10.09,10.37,10.07,10.26,2.971449,289500
2012-03-12,10.29,10.36,10.13,10.35,2.997515,215400
2012-03-13,10.4,10.58,10.35,10.55,3.055438,298800
2012-03-14,10.55,10.64,10.43,10.43,3.020684,210900
2012-03-15,10.48,10.65,10.4,10.43,3.020684,434500
2012-03-16,9.96,10.15,9.94,10.09,2.922215,2911300
2012-03-19,9.86,10.07,9.83,9.98,2.969827,1048400
2012-03-20,9.94,10.04,9.86,9.97,2.966852,429700
2012-03-21,9.98,10.01,9.9,9.91,2.948997,298600
2012-03-22,9.85,9.96,9.76,9.83,2.925189,362000
2012-03-23,9.81,9.86,9.71,9.85,2.931142,285000
2012-03-26,9.95,9.97,9.88,9.94,2.957924,242300
2012-03-27,9.96,9.96,9.8,9.84,2.928166,339100
2012-03-28,9.87,9.91,9.63,9.73,2.895432,258800
2012-03-29,9.69,9.8,9.6,9.68,2.880555,292600
2012-03-30,9.81,9.9,9.71,9.74,2.898409,861300
2012-04-02,9.77,9.9,9.7,9.9,2.946021,246300
2012-04-03,9.86,9.89,9.72,9.73,2.895432,170900
2012-04-04,9.68,9.77,9.57,9.65,2.871626,233800
2012-04-05,9.6,9.69,9.58,9.62,2.862699,128400
2012-04-09,9.52,9.57,9.4,9.43,2.806159,267800
2012-04-10,9.46,9.47,9.15,9.29,2.764498,387800
2012-04-11,9.33,9.39,9.24,9.3,2.767474,195400
2012-04-12,9.29,9.57,9.21,9.5,2.82699,239600
2012-04-13,9.5,9.51,9.39,9.39,2.794257,133700
2012-04-16,9.45,9.47,9.31,9.37,2.788305,151500
2012-04-17,9.41,9.54,9.41,9.46,2.815088,141800
2012-04-18,9.4,9.49,9.32,9.34,2.779377,124700
2012-04-19,9.26,9.4,9.2,9.23,2.746644,254700
2012-04-20,9.37,9.37,9.22,9.28,2.761522,177600
2012-04-23,9.12,9.13,8.5,9.07,2.699032,658200
2012-04-24,9.07,9.21,9,9.18,2.731765,134100
2012-04-25,9.25,9.34,9.16,9.18,2.731765,151700
2012-04-26,9.14,9.25,9.11,9.22,2.743668,135900
2012-04-27,9.25,9.36,9.21,9.36,2.785329,165400
2012-04-30,9.36,9.37,9.19,9.21,2.740693,182000
2012-05-01,9.22,9.32,9.15,9.16,2.725815,203000
2012-05-02,9.06,9.23,9.03,9.21,2.740693,182800
2012-05-03,9.18,9.22,9.08,9.2,2.737716,232500
2012-05-04,9.25,9.49,9.2,9.37,2.788305,312800
2012-05-07,9.37,9.7,9.34,9.59,2.853772,242000
2012-05-08,9.58,9.68,9.48,9.59,2.853772,226100
2012-05-09,9.47,9.69,9.47,9.68,2.880555,243000
2012-05-10,9.7,9.7,9.59,9.62,2.862699,290000
2012-05-11,9.57,9.66,9.52,9.55,2.841868,140700
2012-05-14,9.5,9.53,9.4,9.42,2.803184,185400
2012-05-15,9.44,9.65,9.42,9.54,2.838894,188000
2012-05-16,9.54,9.62,9.45,9.47,2.818063,107700
2012-05-17,9.51,9.55,9.27,9.27,2.758548,230200
2012-05-18,9.29,9.34,9.06,9.1,2.707958,216600
2012-05-21,9.09,9.4,9.07,9.39,2.794257,146900
2012-05-22,9.36,9.53,9.21,9.3,2.767474,166000
2012-05-23,9.24,9.42,9.18,9.4,2.797232,112000
2012-05-24,9.37,9.44,9.27,9.43,2.806159,122800
2012-05-25,9.4,9.45,9.32,9.37,2.788305,99800
2012-05-29,9.37,9.46,9.3,9.42,2.803184,281200
2012-05-30,9.36,9.55,9.35,9.45,2.812111,268200
2012-05-31,9.5,9.57,9.36,9.47,2.818063,335200
2012-06-01,9.34,9.55,9.29,9.42,2.803184,241500
2012-06-04,9.46,9.51,9.22,9.23,2.746644,271700
2012-06-05,9.23,9.4,9.23,9.35,2.782354,156000
2012-06-06,9.43,9.54,9.4,9.53,2.835917,223700
2012-06-07,9.67,9.67,9.54,9.56,2.844846,229600
2012-06-08,9.58,9.71,9.56,9.7,2.886505,255500
2012-06-11,9.77,9.82,9.48,9.51,2.829966,282600
2012-06-12,9.56,9.75,9.5,9.67,2.877578,272700
2012-06-13,9.43,9.54,9.34,9.38,2.871456,176400
2012-06-14,9.38,9.49,9.29,9.37,2.868395,166100
2012-06-15,9.33,9.45,9.28,9.43,2.886761,257700
2012-06-18,9.37,9.49,9.3,9.32,2.853088,220900
2012-06-19,9.38,9.49,9.34,9.45,2.892884,216600
2012-06-20,9.43,9.46,9.32,9.34,2.859211,181900
2012-06-21,9.34,9.44,9.25,9.28,2.840842,210900
2012-06-22,9.26,9.48,9.26,9.47,2.899008,373400
2012-06-25,9.33,9.52,9.33,9.4,2.877578,172400
2012-06-26,9.4,9.55,9.36,9.51,2.911252,165200
2012-06-27,9.51,9.59,9.46,9.55,2.923496,103700
2012-06-28,9.48,9.57,9.36,9.52,2.914313,147800
2012-06-29,9.7,9.88,9.43,9.69,2.966355,283600
2012-07-02,9.74,9.77,9.62,9.74,2.98166,209600
2012-07-03,9.7,9.75,9.6,9.75,2.984722,104400
2012-07-05,9.69,9.75,9.64,9.68,2.963294,141000
2012-07-06,9.62,9.74,9.62,9.7,2.969415,107500
2012-07-09,9.66,9.73,9.64,9.69,2.966355,150600
2012-07-10,9.74,9.76,9.6,9.63,2.947986,171100
2012-07-11,9.68,9.68,9.55,9.62,2.944925,135000
2012-07-12,9.54,9.61,9.47,9.56,2.926558,148700
2012-07-13,9.63,9.75,9.59,9.66,2.957171,145600
2012-07-16,9.64,9.71,9.56,9.61,2.941864,151600
2012-07-17,9.66,9.66,9.5,9.6,2.938802,105400
2012-07-18,9.6,9.69,9.56,9.65,2.954109,125100
2012-07-19,9.65,9.66,9.51,9.55,2.923496,323400
2012-07-20,9.53,9.63,9.52,9.58,2.932681,162300
2012-07-23,9.51,9.67,9.5,9.63,2.947986,180500
2012-07-24,9.63,9.64,9.51,9.54,2.920436,130700
2012-07-25,9.58,9.68,9.56,9.65,2.954109,222400
2012-07-26,9.67,9.67,9.52,9.57,2.92962,301500
2012-07-27,9.57,9.72,9.54,9.7,2.969415,196900
