Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,10.65,10.72,10.05,10.1,10.1,70700
2012-02-22,10.06,10.48,9.89,10.35,10.35,56500
2012-02-23,10.4,10.59,10.27,10.55,10.55,69900
2012-02-24,10.42,10.73,10.4,10.7,10.7,40200
2012-02-27,10.71,11.3,10.6,10.93,10.93,120200
2012-02-28,11,11.33,10.82,10.91,10.91,61500
2012-02-29,10.94,11,10.54,10.7,10.7,99800
2012-03-01,10.81,10.86,10.54,10.75,10.75,85400
2012-03-02,10.7,10.74,10.36,10.52,10.52,81000
2012-03-05,10.5,10.63,10.28,10.56,10.56,60400
2012-03-06,10.53,10.7,10.37,10.51,10.51,90300
2012-03-07,10.55,10.61,10.12,10.49,10.49,139800
2012-03-08,10.49,10.78,10.43,10.69,10.69,213400
2012-03-09,10.8,11.65,10.61,11.15,11.15,198500
2012-03-12,11.18,11.32,10.87,10.98,10.98,156700
2012-03-13,11.07,11.33,10.9,11.27,11.27,79500
2012-03-14,11.31,11.6,11.3,11.46,11.46,72200
2012-03-15,11.46,11.95,11.08,11.78,11.78,136200
2012-03-16,11.76,12.01,11.52,11.85,11.85,130100
2012-03-19,11.93,11.97,11.27,11.39,11.39,162300
2012-03-20,11.3,11.46,10.99,11.13,11.13,70900
2012-03-21,10.97,11.28,10.96,11.09,11.09,60600
2012-03-22,11,11.08,10.78,10.98,10.98,166300
2012-03-23,10.97,11.69,10.96,11.44,11.44,126700
2012-03-26,11.57,11.77,11.57,11.62,11.62,83400
2012-03-27,11.63,11.92,11.5,11.59,11.59,186300
2012-03-28,11.64,11.78,11.04,11.25,11.25,92500
2012-03-29,11.23,11.31,11.11,11.29,11.29,60900
2012-03-30,11.38,11.66,11.38,11.54,11.54,43600
2012-04-02,11.6,11.66,11.18,11.24,11.24,87900
2012-04-03,11.07,11.2,10.97,11.02,11.02,109600
2012-04-04,10.97,10.98,10.32,10.75,10.75,157300
2012-04-05,10.54,10.85,10.54,10.84,10.84,128600
2012-04-09,10.63,10.74,10.18,10.5,10.5,130300
2012-04-10,10.5,10.5,9.89,10,10,68000
2012-04-11,10.08,10.35,9.98,10.12,10.12,93000
2012-04-12,9.9,9.98,9.67,9.73,9.73,2831900
2012-04-13,9.75,9.95,9.6,9.75,9.75,300600
2012-04-16,9.73,9.98,9.65,9.75,9.75,225200
2012-04-17,9.77,10.19,9.77,9.98,9.98,456400
2012-04-18,10.01,10.1,9.97,10.03,10.03,287400
2012-04-19,10.12,10.41,9.82,10.24,10.24,280000
2012-04-20,10.36,10.43,10.22,10.23,10.23,251000
2012-04-23,10.18,10.18,9.81,10.03,10.03,179800
2012-04-24,10.1,10.27,9.95,10.14,10.14,303300
2012-04-25,10.18,10.62,10.18,10.53,10.53,298800
2012-04-26,10.5,10.96,10.5,10.95,10.95,259800
2012-04-27,11.01,11.19,10.95,11.17,11.17,88000
2012-04-30,11.55,11.55,11.2,11.21,11.21,363700
2012-05-01,11.2,11.2,10.79,11.01,11.01,153000
2012-05-02,11,11.49,10.91,11,11,179000
2012-05-03,11.01,11.03,10.72,10.87,10.87,110600
2012-05-04,10.88,10.9,10.5,10.7,10.7,198300
2012-05-07,10.7,10.75,10.43,10.74,10.74,201900
2012-05-08,10.67,11,10.26,10.57,10.57,163300
2012-05-09,10.49,10.49,10.1,10.18,10.18,186000
2012-05-10,10.15,10.89,10.01,10.76,10.76,210000
2012-05-11,10.69,10.95,10.53,10.85,10.85,236000
2012-05-14,10.85,10.85,10.43,10.73,10.73,279000
2012-05-15,10.77,10.99,10.61,10.76,10.76,205400
2012-05-16,10.83,10.86,10.46,10.53,10.53,128000
2012-05-17,10.59,10.66,9.84,9.94,9.94,204100
2012-05-18,9.9,10.27,9.81,10.15,10.15,659000
2012-05-21,10.21,10.92,10.21,10.75,10.75,303400
2012-05-22,10.85,10.98,10.44,10.5,10.5,273100
2012-05-23,10.49,10.74,10.41,10.74,10.74,65600
2012-05-24,10.75,10.91,10.54,10.9,10.9,184700
2012-05-25,10.86,10.93,10.53,10.73,10.73,179000
2012-05-29,10.79,10.99,10.76,10.97,10.97,135600
2012-05-30,10.89,10.89,10.63,10.67,10.67,118300
2012-05-31,10.66,10.78,10.3,10.62,10.62,311000
2012-06-01,10.46,10.59,10.06,10.12,10.12,292100
2012-06-04,10.13,10.22,9.9,10.16,10.16,163300
2012-06-05,10.15,10.83,10.13,10.81,10.81,101300
2012-06-06,10.88,11.79,10.84,11.45,11.45,396300
2012-06-07,11.6,11.94,11.22,11.68,11.68,157000
2012-06-08,11.64,12.29,11.55,12.07,12.07,197100
2012-06-11,12.28,13.36,12.15,12.96,12.96,713600
2012-06-12,13,14,12.97,13.8,13.8,591800
2012-06-13,13.82,14,13.3,13.76,13.76,656800
2012-06-14,13.74,14.2,13.6,13.94,13.94,333200
2012-06-15,14.02,14.37,13.81,14.14,14.14,451600
2012-06-18,14.03,14.8,13.92,14.71,14.71,360300
2012-06-19,14.81,15.18,14.67,15.12,15.12,518700
2012-06-20,15.04,15.33,14.96,15.21,15.21,411800
2012-06-21,15.25,15.94,15.09,15.4,15.4,861000
2012-06-22,15.55,15.87,15.29,15.5,15.5,2103000
2012-06-25,15.4,15.97,14.89,15.96,15.96,310800
2012-06-26,16.02,16.030001,15.52,15.89,15.89,337900
2012-06-27,15.83,16.299999,15.78,16.25,16.25,289500
2012-06-28,16.129999,16.5,16,16.35,16.35,171700
2012-06-29,16.74,16.93,15,16.040001,16.040001,485000
2012-07-02,15.98,16.49,15.75,16.24,16.24,560700
2012-07-03,16.309999,16.34,15.34,16.129999,16.129999,394200
2012-07-05,16.02,16.25,15.95,16.200001,16.200001,251000
2012-07-06,16.040001,16.23,15.84,15.87,15.87,195200
2012-07-09,15.9,16.23,15.82,15.83,15.83,165900
2012-07-10,15.75,15.93,15.35,15.39,15.39,154400
2012-07-11,15.37,15.45,14.91,15.31,15.31,284900
2012-07-12,15.31,15.31,14.93,15.18,15.18,188100
2012-07-13,15.29,15.82,15.29,15.54,15.54,246900
2012-07-16,15.44,15.73,15.3,15.67,15.67,77700
2012-07-17,15.82,16,15.43,15.52,15.52,239500
2012-07-18,15.52,15.6,15.31,15.47,15.47,127500
2012-07-19,15.58,15.59,15.13,15.4,15.4,119700
2012-07-20,15.21,15.53,14.87,15.27,15.27,157000
2012-07-23,14.93,15.1,14.79,14.82,14.82,105100
2012-07-24,14.9,14.96,14,14.67,14.67,180500
2012-07-25,14.79,15.03,14.26,14.44,14.44,214100
2012-07-26,14.69,15.07,14.62,14.98,14.98,135000
2012-07-27,15.17,15.63,14.53,15.6,15.6,203100
2012-07-30,15.66,15.82,15.31,15.5,15.5,134800
2012-07-31,15.54,15.73,15.14,15.31,15.31,159300
2012-08-01,15.4,15.4,15.06,15.23,15.23,155400
2012-08-02,15.14,15.28,14.99,15.17,15.17,158700
2012-08-03,15.48,15.58,15.21,15.42,15.42,98300
2012-08-06,15.49,15.92,15,15.06,15.06,198700
2012-08-07,15.17,15.19,14.53,14.7,14.7,195200
2012-08-08,14.61,14.95,14.45,14.94,14.94,173100
2012-08-09,15.31,16.790001,15.31,16.200001,16.200001,526900
2012-08-10,16.200001,16.6,15.33,15.54,15.54,290600
2012-08-13,15.55,15.75,15.2,15.58,15.58,131000
2012-08-14,15.77,17.309999,15.64,17,17,445700
2012-08-15,17.08,17.610001,16.77,16.93,16.93,208400
2012-08-16,16.879999,16.969999,16.389999,16.9,16.9,87000
2012-08-17,16.870001,16.870001,16.5,16.67,16.67,155000
2012-08-20,16.66,17,16.440001,16.68,16.68,150800
2012-08-21,16.790001,16.809999,16.35,16.559999,16.559999,143900
2012-08-22,16.5,17.48,16.35,17.049999,17.049999,401500
2012-08-23,17.110001,17.799999,17.030001,17.629999,17.629999,297300
2012-08-24,17.59,17.700001,17.030001,17.450001,17.450001,380400
2012-08-27,17.549999,18.08,17.15,17.879999,17.879999,380300
2012-08-28,17.620001,18.620001,17.58,18.5,18.5,279500
2012-08-29,18.68,19.309999,18.540001,18.700001,18.700001,343800
2012-08-30,18.530001,18.790001,18.09,18.389999,18.389999,194100
2012-08-31,18.48,18.48,18,18.16,18.16,195000
2012-09-04,18.120001,18.6,17.969999,18.5,18.5,297200
2012-09-05,18.440001,18.959999,18.15,18.24,18.24,280100
2012-09-06,18.379999,18.57,17.99,18.139999,18.139999,219600
2012-09-07,18.139999,18.290001,17.99,18.059999,18.059999,301800
2012-09-10,18.059999,18.309999,17.9,17.969999,17.969999,194800
2012-09-11,18.040001,18.040001,17.16,17.17,17.17,283200
2012-09-12,17.530001,17.940001,16.719999,17.129999,17.129999,201600
2012-09-13,17.18,17.200001,16.610001,16.9,16.9,235500
2012-09-14,16.959999,17.16,16.75,17.07,17.07,626500
2012-09-17,16.99,17.549999,16.99,17.440001,17.440001,139300
2012-09-18,17.4,17.42,16.77,16.790001,16.790001,374400
2012-09-19,16.860001,18.25,16.18,17.969999,17.969999,696700
2012-09-20,17.93,18.799999,17.75,18.549999,18.549999,593400
2012-09-21,18.75,19.200001,18.68,19.02,19.02,336900
2012-09-24,19,19,18.51,18.620001,18.620001,242600
2012-09-25,18.76,18.9,17.879999,18.219999,18.219999,538800
2012-09-26,18.27,18.27,17.4,17.540001,17.540001,316500
2012-09-27,17.780001,18.32,17.780001,17.870001,17.870001,275300
2012-09-28,17.940001,17.99,17.299999,17.4,17.4,257300
2012-10-01,17.43,18.059999,17.26,17.950001,17.950001,264300
2012-10-02,17.98,18.139999,17.700001,17.73,17.73,166000
2012-10-03,17.809999,18.799999,17.620001,18.709999,18.709999,879400
2012-10-04,18.799999,19.09,18.200001,18.690001,18.690001,390600
2012-10-05,18.700001,18.860001,18.370001,18.549999,18.549999,180000
2012-10-08,18.58,18.59,18.1,18.389999,18.389999,133700
2012-10-09,18.459999,18.5,17.99,18.049999,18.049999,226400
2012-10-10,18.1,18.1,17.5,17.68,17.68,179300
2012-10-11,17.82,17.940001,17.59,17.67,17.67,118600
2012-10-12,17.700001,18.09,17.549999,17.950001,17.950001,122700
2012-10-15,18.040001,18.07,17.809999,17.99,17.99,231700
2012-10-16,17.950001,18.049999,17.59,17.9,17.9,377700
2012-10-17,17.860001,18.52,17.709999,17.940001,17.940001,236500
2012-10-18,17.9,17.9,16.68,16.879999,16.879999,555400
2012-10-19,16.9,16.99,16.07,16.299999,16.299999,338900
2012-10-22,16.5,16.5,15.79,16.040001,16.040001,192800
2012-10-23,16.040001,16.290001,15.55,16.23,16.23,204900
2012-10-24,16.35,17.09,15.98,16.200001,16.200001,498700
2012-10-25,16.25,16.379999,15.83,16.02,16.02,249600
2012-10-26,16.07,16.219999,15.62,15.63,15.63,85300
2012-10-31,15.65,15.92,15.13,15.73,15.73,311900
2012-11-01,16.16,16.49,15.67,15.88,15.88,576000
2012-11-02,15.99,15.99,15.33,15.76,15.76,363300
2012-11-05,15.55,15.8,15.07,15.71,15.71,432700
2012-11-06,15.72,15.95,15.62,15.73,15.73,263800
2012-11-07,15.52,15.65,15.22,15.32,15.32,263000
2012-11-08,15.26,15.47,15.14,15.36,15.36,364500
2012-11-09,15.26,15.9,15.15,15.66,15.66,223300
2012-11-12,15.68,15.96,15.62,15.9,15.9,409900
2012-11-13,15.9,16.35,15.89,16.25,16.25,293800
2012-11-14,16.5,16.57,16.08,16.16,16.16,396900
2012-11-15,16.200001,16.26,15.21,15.27,15.27,391400
2012-11-16,15.29,15.59,15.18,15.55,15.55,287600
2012-11-19,15.8,16.200001,15.48,15.78,15.78,390100
2012-11-20,15.78,16.200001,15.69,16,16,285400
