Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,38.830002,38.860001,38.720001,38.77,23.816589,1455600
2012-02-22,38.790001,38.84,38.75,38.82,23.847301,1283500
2012-02-23,38.84,38.919998,38.810001,38.889999,23.890306,1922700
2012-02-24,38.880001,38.959999,38.860001,38.919998,23.908747,1184400
2012-02-27,38.91,39.02,38.880001,38.990002,23.951752,2268900
2012-02-28,39.049999,39.119999,39,39.110001,24.025455,2853300
2012-02-29,39.130001,39.189999,39.07,39.119999,24.031593,3381100
2012-03-01,39.060001,39.07,38.950001,39.009998,24.055651,1686600
2012-03-02,39.02,39.09,39.009998,39.09,24.104982,1387500
2012-03-05,39.080002,39.099998,38.939999,38.959999,24.024818,912800
2012-03-06,38.779999,38.82,38.549999,38.630001,23.821321,1517400
2012-03-07,38.720001,38.790001,38.639999,38.700001,23.864489,1079100
2012-03-08,38.860001,38.919998,38.82,38.91,23.993982,1679500
2012-03-09,38.950001,39.029999,38.939999,38.98,24.037148,1073800
2012-03-12,38.970001,39.080002,38.970001,39.080002,24.098814,1606400
2012-03-13,39.099998,39.209999,39.080002,39.209999,24.17898,1957600
2012-03-14,39.23,39.240002,39.02,39.07,24.092644,1453700
2012-03-15,39.080002,39.220001,38.950001,38.959999,24.024818,1082500
2012-03-16,39.029999,39.07,38.959999,39.040001,24.074154,693900
2012-03-19,39.049999,39.110001,39,39.049999,24.080318,1436200
2012-03-20,38.98,39.07,38.950001,38.98,24.037148,1108300
2012-03-21,39.040001,39.080002,38.950001,39,24.049482,1705500
2012-03-22,38.950001,39.009998,38.919998,38.970001,24.030985,939800
2012-03-23,38.990002,39.049999,38.939999,39.02,24.061813,1072600
2012-03-26,39.02,39.139999,39.02,39.09,24.104982,897300
2012-03-27,39.110001,39.110001,39.060001,39.060001,24.086487,1750200
2012-03-28,39.049999,39.110001,39.029999,39.09,24.104982,1376300
2012-03-29,39,39.060001,38.939999,38.98,24.037148,1407000
2012-03-30,39.049999,39.099998,38.990002,39.040001,24.074154,1494900
2012-04-02,38.860001,38.93,38.82,38.880001,24.090874,1453400
2012-04-03,38.889999,38.919998,38.830002,38.889999,24.097075,1346700
2012-04-04,38.790001,38.810001,38.720001,38.73,23.997942,910600
2012-04-05,38.740002,38.82,38.720001,38.790001,24.035126,712700
2012-04-09,38.630001,38.73,38.599998,38.720001,23.991732,818100
2012-04-10,38.740002,38.740002,38.439999,38.490002,23.849228,1807300
2012-04-11,38.549999,38.610001,38.400002,38.41,23.799648,2123200
2012-04-12,38.490002,38.77,38.450001,38.740002,24.004141,611100
2012-04-13,38.700001,38.740002,38.599998,38.709999,23.985538,621100
2012-04-16,38.779999,38.799999,38.669998,38.790001,24.035126,1192600
2012-04-17,38.849998,38.869999,38.75,38.84,24.066095,2279500
2012-04-18,38.790001,38.849998,38.689999,38.740002,24.004141,1048500
2012-04-19,38.799999,38.84,38.66,38.689999,23.973143,1281000
2012-04-20,38.759998,38.810001,38.580002,38.580002,23.905003,1059500
2012-04-23,38.529999,38.639999,38.5,38.630001,23.935982,1039400
2012-04-24,38.66,38.73,38.610001,38.689999,23.973143,1300600
2012-04-25,38.75,38.82,38.740002,38.799999,24.041313,1617800
2012-04-26,38.830002,38.869999,38.709999,38.810001,24.047508,1620400
2012-04-27,38.860001,38.91,38.830002,38.900002,24.10327,1158000
2012-04-30,38.93,38.950001,38.91,38.939999,24.128059,1514600
2012-05-01,38.779999,38.84,38.75,38.82,24.163532,1815700
2012-05-02,38.810001,38.82,38.759998,38.759998,24.126184,1260000
2012-05-03,38.779999,38.82,38.75,38.810001,24.15732,1140300
2012-05-04,38.77,38.82,38.75,38.810001,24.15732,858900
2012-05-07,38.68,38.849998,38.669998,38.849998,24.182205,1589100
2012-05-08,38.810001,38.849998,38.720001,38.849998,24.182205,3012400
2012-05-09,38.75,38.790001,38.639999,38.75,24.119967,2044100
2012-05-10,38.77,38.830002,38.75,38.77,24.132416,975000
