Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,1.3,1.3,1.28,1.29,1.29,4500
2012-02-22,1.25,1.35,1.25,1.35,1.35,39200
2012-02-23,1.32,1.35,1.32,1.33,1.33,29800
2012-02-24,1.34,1.6,1.34,1.6,1.6,65600
2012-02-27,1.55,1.67,1.55,1.65,1.65,41400
2012-02-28,1.65,1.69,1.63,1.65,1.65,24900
2012-02-29,1.64,1.98,1.34,1.61,1.61,47900
2012-03-01,1.73,1.75,1.72,1.75,1.75,14800
2012-03-02,1.8,1.8,1.72,1.78,1.78,17400
2012-03-05,1.79,1.8,1.63,1.73,1.73,34900
2012-03-06,1.75,1.75,1.7,1.75,1.75,17300
2012-03-07,1.78,1.78,1.74,1.75,1.75,4800
2012-03-08,1.75,1.75,1.73,1.75,1.75,7800
2012-03-09,1.71,1.75,1.7,1.73,1.73,9500
2012-03-12,1.73,1.73,1.56,1.73,1.73,15700
2012-03-13,1.73,1.73,1.73,1.73,1.73,500
2012-03-14,1.73,1.73,1.7,1.72,1.72,8100
2012-03-15,1.72,1.72,1.7,1.7,1.7,2000
2012-03-16,1.7,1.7,1.7,1.7,1.7,9500
2012-03-19,1.7,1.79,1.7,1.75,1.75,16800
2012-03-20,1.76,1.8,1.71,1.79,1.79,19300
2012-03-21,1.74,1.76,1.74,1.74,1.74,20800
2012-03-22,1.74,1.74,1.67,1.7,1.7,1800
2012-03-23,1.7,1.72,1.7,1.7,1.7,8300
2012-03-26,1.7,1.7,1.7,1.7,1.7,1200
2012-03-27,1.65,1.7,1.61,1.7,1.7,2800
2012-03-28,1.7,1.7,1.7,1.7,1.7,700
2012-03-29,1.7,1.7,1.7,1.7,1.7,0
2012-03-30,1.68,1.69,1.61,1.65,1.65,5000
2012-04-02,1.6,1.69,1.6,1.69,1.69,2800
2012-04-03,1.65,1.65,1.31,1.49,1.49,15900
2012-04-04,1.44,1.49,1.4,1.49,1.49,3600
2012-04-05,1.49,1.49,1.49,1.49,1.49,0
2012-04-09,1.49,1.49,1.4,1.4,1.4,2000
2012-04-10,1.4,1.5,1.4,1.5,1.5,3700
2012-04-11,1.5,1.6,1.5,1.6,1.6,4100
2012-04-12,1.58,1.58,1.45,1.5,1.5,5500
2012-04-13,1.5,1.5,1.35,1.5,1.5,11400
2012-04-16,1.35,1.45,1.35,1.45,1.45,3800
2012-04-17,1.36,1.42,1.36,1.4,1.4,4500
2012-04-18,1.38,1.4,1.38,1.4,1.4,6500
2012-04-19,1.42,1.42,1.4,1.4,1.4,2400
2012-04-20,1.4,1.4,1.4,1.4,1.4,2800
2012-04-23,1.39,1.398,1.35,1.35,1.35,51600
2012-04-24,1.34,1.41,1.34,1.41,1.41,5000
2012-04-25,1.41,1.62,1.36,1.52,1.52,30000
2012-04-26,1.52,1.52,1.52,1.52,1.52,0
2012-04-27,1.52,1.52,1.52,1.52,1.52,0
2012-04-30,1.5,1.55,1.5,1.55,1.55,6000
2012-05-01,1.49,1.5,1.45,1.45,1.45,3700
2012-05-02,1.45,1.5,1.45,1.5,1.5,700
2012-05-03,1.5,1.5,1.5,1.5,1.5,500
2012-05-04,1.45,1.48,1.2,1.45,1.45,6700
2012-05-07,1.45,1.45,1.44,1.45,1.45,6200
2012-05-08,1.45,1.45,1.4,1.45,1.45,4500
2012-05-09,1.45,1.45,1.45,1.45,1.45,500
2012-05-10,1.43,1.44,1.43,1.44,1.44,3300
2012-05-11,1.44,1.55,1.44,1.55,1.55,12100
2012-05-14,1.5,1.5,1.43,1.5,1.5,4600
2012-05-15,1.5,1.5,1.5,1.5,1.5,1400
2012-05-16,1.48,1.48,1.48,1.48,1.48,3000
2012-05-17,1.48,1.49,1.48,1.49,1.49,3600
2012-05-18,1.47,1.49,1.31,1.395,1.395,5900
2012-05-21,1.45,1.45,1.38,1.45,1.45,3700
2012-05-22,1.45,1.5,1.45,1.5,1.5,36000
2012-05-23,1.5,1.5,1.1,1.45,1.45,11700
2012-05-24,1.4,1.45,1.4,1.45,1.45,2200
2012-05-25,1.36,1.49,1.36,1.49,1.49,10200
2012-05-29,1.45,1.47,1.45,1.47,1.47,2400
2012-05-30,1.47,1.47,1.47,1.47,1.47,0
2012-05-31,1.47,1.47,1.47,1.47,1.47,0
2012-06-01,1.44,1.44,1.43,1.43,1.43,7000
2012-06-04,1.44,1.44,1.41,1.41,1.41,2200
2012-06-05,1.41,1.41,1.41,1.41,1.41,0
2012-06-06,1.36,1.36,1.36,1.36,1.36,200
2012-06-07,1.45,1.45,1.43,1.43,1.43,1200
2012-06-08,1.43,1.43,1.43,1.43,1.43,4600
2012-06-11,1.43,1.43,1.43,1.43,1.43,3600
2012-06-12,1.45,1.45,1.41,1.45,1.45,5900
2012-06-13,1.35,1.46,1.35,1.46,1.46,15100
2012-06-14,1.49,1.5,1.47,1.5,1.5,13800
2012-06-15,1.5,1.55,1.45,1.45,1.45,16900
2012-06-18,1.4,1.49,1.25,1.45,1.45,9500
2012-06-19,1.46,1.46,1.4,1.44,1.44,6200
2012-06-20,1.44,1.44,1.32,1.4,1.4,7900
2012-06-21,1.4,1.42,1.38,1.4,1.4,4000
2012-06-22,1.4,1.4,1.39,1.39,1.39,800
2012-06-25,1.39,1.39,1.3,1.38,1.38,4900
2012-06-26,1.3,1.37,1.3,1.37,1.37,2100
2012-06-27,1.36,1.36,1.35,1.35,1.35,1200
2012-06-28,1.35,1.35,1.3,1.3,1.3,1800
2012-06-29,1.3,1.3,1.3,1.3,1.3,1000
2012-07-02,1.37,1.37,1.37,1.37,1.37,400
2012-07-03,1.37,1.37,1.26,1.3,1.3,4300
2012-07-05,1.3,1.35,1.26,1.35,1.35,2900
2012-07-06,1.32,1.32,1.32,1.32,1.32,100
2012-07-09,1.37,1.37,1.2,1.2,1.2,3800
2012-07-10,1.2,1.35,1.2,1.35,1.35,5400
2012-07-11,1.35,1.35,1.35,1.35,1.35,0
