Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,15.5,15.51,15.44,15.47,12.843185,68400
2012-02-22,15.47,15.48,15.41,15.44,12.818276,55700
2012-02-23,15.45,15.53,15.42,15.51,12.876393,74100
2012-02-24,15.56,15.59,15.53,15.55,12.909601,78900
2012-02-27,15.49,15.61,15.48,15.58,12.934506,58100
2012-02-28,15.59,15.61,15.55,15.61,12.959413,47800
2012-02-29,15.59,15.64,15.54,15.56,12.917901,137600
2012-03-01,15.58,15.62,15.54,15.59,12.942809,67000
2012-03-02,15.55,15.59,15.52,15.55,12.909601,276100
2012-03-05,15.51,15.59,15.48,15.57,12.926204,336900
2012-03-06,15.41,15.45,15.36,15.38,12.768468,177000
2012-03-07,15.42,15.49,15.38,15.46,12.834882,70900
2012-03-08,15.54,15.59,15.5,15.56,12.917901,56000
2012-03-09,15.58,15.64,15.56,15.59,12.942809,93100
2012-03-12,15.62,15.68,15.6,15.66,13.00092,83100
2012-03-13,15.72,15.83,15.7,15.83,13.142056,102300
2012-03-14,15.82,15.85,15.77,15.78,13.100547,156500
2012-03-15,15.79,15.84,15.74,15.84,13.150358,173000
2012-03-16,15.78,15.79,15.74,15.75,13.127852,73000
2012-03-19,15.76,15.82,15.75,15.78,13.152859,288200
2012-03-20,15.72,15.75,15.69,15.73,13.111182,122000
2012-03-21,15.75,15.75,15.68,15.72,13.10285,77500
2012-03-22,15.63,15.65,15.57,15.63,13.027833,124500
2012-03-23,15.62,15.67,15.59,15.66,13.052837,75500
2012-03-26,15.74,15.82,15.74,15.82,13.186199,285600
2012-03-27,15.85,15.85,15.79,15.79,13.161194,84700
2012-03-28,15.8,15.8,15.65,15.72,13.10285,68400
2012-03-29,15.65,15.76,15.61,15.76,13.13619,237700
2012-03-30,15.82,15.84,15.75,15.82,13.186199,75900
2012-04-02,15.78,15.94,15.78,15.89,13.244548,99800
2012-04-03,15.86,15.9,15.77,15.84,13.202869,61900
2012-04-04,15.72,15.78,15.7,15.75,13.127852,82300
2012-04-05,15.68,15.75,15.67,15.7,13.086179,1284200
2012-04-09,15.53,15.61,15.52,15.56,12.969485,181200
2012-04-10,15.53,15.54,15.31,15.32,12.769444,100000
2012-04-11,15.45,15.46,15.4,15.43,12.861127,53200
2012-04-12,15.41,15.57,15.41,15.57,12.977819,90000
2012-04-13,15.55,15.55,15.44,15.44,12.869462,12200
2012-04-16,15.5,15.58,15.49,15.53,12.94448,56600
2012-04-17,15.6,15.75,15.6,15.71,13.094513,58900
2012-04-18,15.67,15.7,15.64,15.64,13.036169,27600
2012-04-19,15.66,15.67,15.52,15.56,12.969485,81300
2012-04-20,15.63,15.7,15.62,15.67,13.061173,25300
2012-04-23,15.53,15.53,15.45,15.52,12.936142,84200
2012-04-24,15.59,15.63,15.54,15.57,12.977819,114200
2012-04-25,15.64,15.7,15.64,15.67,13.061173,47600
2012-04-26,15.66,15.83,15.66,15.81,13.177863,54500
2012-04-27,15.85,15.87,15.79,15.85,13.211206,40200
2012-04-30,15.8,15.83,15.77,15.79,13.161194,46000
2012-05-01,15.78,15.95,15.78,15.86,13.219541,169400
2012-05-02,15.79,15.86,15.78,15.86,13.219541,65000
2012-05-03,15.88,15.88,15.77,15.81,13.177863,69000
2012-05-04,15.73,15.76,15.61,15.63,13.027833,31700
2012-05-07,15.55,15.66,15.55,15.62,13.019498,23000
2012-05-08,15.53,15.6,15.46,15.58,12.986158,30700
2012-05-09,15.44,15.57,15.41,15.51,12.927811,61000
2012-05-10,15.56,15.62,15.52,15.53,12.94448,123800
2012-05-11,15.49,15.64,15.49,15.54,12.952815,30000
2012-05-14,15.43,15.49,15.38,15.43,12.861127,58600
2012-05-15,15.4,15.49,15.36,15.4,12.836124,23000
2012-05-16,15.43,15.5,15.4,15.41,12.844458,28900
2012-05-17,15.39,15.4,15.23,15.23,12.694427,29300
2012-05-18,15.3,15.3,15.12,15.15,12.627744,56200
2012-05-21,15.15,15.31,15.15,15.31,12.761107,132800
2012-05-22,15.33,15.4,15.27,15.31,12.761107,92000
2012-05-23,15.23,15.34,15.13,15.34,12.786113,75000
2012-05-24,15.37,15.42,15.3,15.42,12.852796,44600
2012-05-25,15.4,15.43,15.33,15.35,12.794448,158400
2012-05-29,15.47,15.52,15.41,15.49,12.91114,29500
2012-05-30,15.39,15.39,15.3,15.32,12.769444,48900
2012-05-31,15.33,15.38,15.23,15.3,12.752772,122200
2012-06-01,15.1,15.15,15,15.01,12.511054,105400
2012-06-04,15.05,15.07,14.93,15.04,12.536058,187900
2012-06-05,14.97,15.07,14.96,15.06,12.552728,113200
2012-06-06,15.13,15.35,15.13,15.35,12.794448,20900
2012-06-07,15.46,15.49,15.37,15.37,12.811117,67300
2012-06-08,15.37,15.5,15.34,15.47,12.89447,159400
2012-06-11,15.6,15.6,15.35,15.35,12.794448,25200
2012-06-12,15.38,15.5,15.32,15.49,12.91114,60300
2012-06-13,15.47,15.51,15.37,15.39,12.827786,47200
2012-06-14,15.44,15.6,15.4,15.56,12.969485,61700
2012-06-15,15.52,15.59,15.5,15.59,13.084469,182600
2012-06-18,15.53,15.62,15.51,15.58,13.076075,25500
2012-06-19,15.65,15.72,15.62,15.66,13.143216,56700
2012-06-20,15.65,15.65,15.51,15.58,13.076075,43200
2012-06-21,15.61,15.64,15.3,15.3,12.841075,24600
2012-06-22,15.38,15.41,15.33,15.36,12.891435,67500
2012-06-25,15.25,15.25,15.18,15.23,12.782326,33200
2012-06-26,15.23,15.32,15.21,15.3,12.841075,125600
2012-06-27,15.34,15.42,15.34,15.42,12.941791,30400
2012-06-28,15.32,15.42,15.25,15.42,12.941791,37900
2012-06-29,15.62,15.72,15.57,15.72,13.193577,53700
2012-07-02,15.74,15.78,15.65,15.76,13.227147,39200
