Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,20.16,20.25,19.360001,19.41,17.916073,18100
2012-02-22,19.379999,19.610001,19.049999,19.219999,17.740698,24600
2012-02-23,19.24,19.92,19.110001,19.68,18.165295,33800
2012-02-24,19.49,19.860001,19.25,19.379999,17.888388,21100
2012-02-27,19.09,19.450001,19.08,19.299999,17.814543,25400
2012-02-28,19.24,19.5,19.08,19.120001,17.648396,41800
2012-02-29,19.280001,19.4,18.5,18.75,17.306877,44000
2012-03-01,18.9,19.209999,18.530001,18.549999,17.122265,36400
2012-03-02,18.59,18.690001,17.84,17.93,16.549992,48100
2012-03-05,17.809999,18.059999,17.629999,17.73,16.365379,14900
2012-03-06,17.709999,18.200001,16.129999,17.290001,15.959244,150600
2012-03-07,17.49,19.27,17.49,18.99,17.528402,104400
2012-03-08,19.26,20.030001,19.110001,19.969999,18.43298,37400
2012-03-09,19.98,20.35,19.91,20.23,18.672966,48100
2012-03-12,20.34,20.389999,19.879999,20.059999,18.51605,34800
2012-03-13,20.32,20.32,20.049999,20.200001,18.645273,40100
2012-03-14,20.139999,20.18,19.9,19.959999,18.423748,14400
2012-03-15,20,20,19.889999,20,18.460667,36700
2012-03-16,19.969999,19.99,19.809999,19.84,18.312984,27000
2012-03-19,19.85,20.219999,19.780001,19.879999,18.349901,22000
2012-03-20,19.82,19.99,19.6,19.9,18.368364,23600
2012-03-21,19.91,20.02,19.639999,20,18.460667,30500
2012-03-22,19.690001,19.959999,19.68,19.950001,18.414513,42500
2012-03-23,19.91,20.35,19.82,20.299999,18.737576,31700
2012-03-26,20.389999,21,20.280001,20.870001,19.263706,41500
2012-03-27,21,21,20.57,20.629999,19.042179,32400
2012-03-28,20.65,20.709999,19.969999,20.33,18.765266,60400
2012-03-29,20.190001,20.57,19.85,20.459999,18.885265,45600
2012-03-30,20.65,20.65,19.809999,20.049999,18.506819,57200
2012-04-02,19.99,21.690001,19.99,21.6,19.937519,61300
2012-04-03,21.41,22.610001,21.41,21.629999,19.965214,73200
2012-04-04,21.299999,21.440001,20.65,20.790001,19.189861,26200
2012-04-05,20.639999,20.639999,20.17,20.299999,18.737576,16400
2012-04-09,19.9,20.15,19.41,19.76,18.239141,40600
2012-04-10,19.709999,19.99,19.620001,19.84,18.312984,43700
2012-04-11,20.17,20.459999,20,20.459999,18.885265,18100
2012-04-12,20.41,21.200001,20.41,20.799999,19.199087,23300
2012-04-13,20.690001,20.75,20.41,20.59,19.005259,25200
2012-04-16,20.709999,21.51,20.360001,21.049999,19.42985,25700
2012-04-17,21.34,21.93,21.34,21.700001,20.029825,35100
2012-04-18,21.549999,21.690001,21.219999,21.49,19.835983,22200
2012-04-19,21.549999,21.629999,20.860001,20.870001,19.263706,23600
2012-04-20,21.459999,21.91,21.34,21.889999,20.205198,46200
2012-04-23,21.9,21.9,21.15,21.27,19.632921,33300
2012-04-24,21.379999,21.67,21.280001,21.43,19.780602,36200
2012-04-25,21.91,21.940001,21.27,21.58,19.919062,19600
2012-04-26,21.59,21.75,21.59,21.690001,20.020594,11900
2012-04-27,21.4,22.15,21.4,22.1,20.399036,20800
2012-04-30,21.98,21.98,21.4,21.59,19.928288,37000
2012-05-01,21.559999,22.16,21.360001,21.67,20.002131,52000
2012-05-02,21.4,22,21.4,21.82,20.140587,14500
2012-05-03,21.799999,21.9,21.16,21.379999,19.734449,37000
2012-05-04,21.24,21.24,19.93,19.93,18.396053,44700
2012-05-07,19.799999,20.440001,19.469999,20.16,18.608353,31000
2012-05-08,20.26,20.93,19.9,20.74,19.143713,47800
2012-05-09,20.379999,20.379999,19.799999,20.1,18.552971,30000
2012-05-10,20.41,20.41,19.9,20.1,18.552971,27000
2012-05-11,19.93,20.16,19.67,20.01,18.469902,34100
2012-05-14,20,20,19.799999,19.799999,18.276056,48300
2012-05-15,19.809999,20.040001,19.700001,19.73,18.211445,19000
2012-05-16,19.799999,20,19.309999,19.35,17.860695,24600
2012-05-17,19.440001,19.77,19.290001,19.49,17.989916,39400
2012-05-18,19.49,19.629999,19.059999,19.17,17.694548,49100
2012-05-21,19.24,19.450001,18.860001,19.15,17.676088,35200
2012-05-22,19.209999,19.27,18.32,18.57,17.14073,20000
2012-05-23,18.4,19.02,18,18.85,17.399181,53000
2012-05-24,18.950001,19.120001,18.540001,18.82,17.371485,13800
2012-05-25,18.91,18.91,18.700001,18.76,17.316109,18600
2012-05-29,18.959999,19.48,18.799999,19.42,17.925308,30500
2012-05-30,19.200001,19.200001,18.6,18.65,17.214575,19000
2012-05-31,18.77,18.92,18.049999,18.450001,17.029966,53500
2012-06-01,17.969999,18.32,17.34,17.34,16.0054,37500
2012-06-04,17.57,17.639999,16.98,17.17,15.848481,27400
2012-06-05,17.08,17.73,16.85,17.690001,16.328463,37300
2012-06-06,17.809999,18.959999,17.73,18.92,17.463793,28300
2012-06-07,19,19.200001,18.85,18.91,17.454559,26900
2012-06-08,18.790001,19.75,18.440001,19.469999,17.971457,27200
2012-06-11,19.49,19.530001,19.209999,19.280001,17.796082,60200
