Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,9.62,9.62,9.62,9.62,9.62,0
2012-02-22,9.62,9.62,9.62,9.62,9.62,0
2012-02-23,9.62,9.62,9.62,9.62,9.62,0
2012-02-24,9.62,9.62,9.62,9.62,9.62,0
2012-02-27,9.62,9.62,9.62,9.62,9.62,0
2012-02-28,9.62,9.62,9.62,9.62,9.62,0
2012-02-29,9.63,9.64,9.62,9.64,9.64,107100
2012-03-01,9.6,9.63,9.6,9.61,9.61,1800
2012-03-02,9.61,9.61,9.61,9.61,9.61,0
2012-03-05,9.61,9.61,9.61,9.61,9.61,0
2012-03-06,9.52,9.64,9.52,9.61,9.61,4500
2012-03-07,9.61,9.61,9.61,9.61,9.61,0
2012-03-08,9.63,9.63,9.55,9.62,9.62,700
2012-03-09,9.62,9.62,9.62,9.62,9.62,100
2012-03-12,9.62,9.62,9.62,9.62,9.62,0
2012-03-13,9.62,9.62,9.62,9.62,9.62,0
2012-03-14,9.62,9.62,9.62,9.62,9.62,0
2012-03-15,9.62,9.62,9.62,9.62,9.62,0
2012-03-16,9.62,9.62,9.62,9.62,9.62,0
2012-03-19,9.62,9.62,9.62,9.62,9.62,0
2012-03-20,9.62,9.62,9.62,9.62,9.62,0
2012-03-21,9.62,9.62,9.62,9.62,9.62,0
2012-03-22,9.62,9.62,9.62,9.62,9.62,0
2012-03-23,9.62,9.62,9.62,9.62,9.62,0
2012-03-26,9.73,9.73,9.73,9.73,9.73,100
2012-03-27,9.65,9.65,9.65,9.65,9.65,4900
2012-03-28,9.65,9.65,9.65,9.65,9.65,0
2012-03-29,9.65,9.65,9.65,9.65,9.65,0
2012-03-30,9.61,9.61,9.61,9.61,9.61,1100
2012-04-02,9.63,9.63,9.61,9.61,9.61,500
2012-04-03,9.62,9.62,9.62,9.62,9.62,500
2012-04-04,9.62,9.62,9.62,9.62,9.62,0
2012-04-05,9.62,9.62,9.62,9.62,9.62,0
2012-04-09,9.62,9.62,9.62,9.62,9.62,0
2012-04-10,9.62,9.62,9.62,9.62,9.62,0
2012-04-11,9.62,9.62,9.62,9.62,9.62,0
2012-04-12,9.62,9.62,9.62,9.62,9.62,0
2012-04-13,9.62,9.62,9.62,9.62,9.62,0
2012-04-16,9.62,9.62,9.62,9.62,9.62,0
2012-04-17,9.68,9.72,9.68,9.72,9.72,700
2012-04-18,9.72,9.72,9.72,9.72,9.72,100
2012-04-19,9.7,9.71,9.7,9.71,9.71,400
2012-04-20,9.8,9.8,9.61,9.61,9.61,1100
2012-04-23,9.65,9.65,9.65,9.65,9.65,100
2012-04-24,9.65,9.65,9.65,9.65,9.65,0
2012-04-25,9.63,9.63,9.62,9.62,9.62,600
2012-04-26,9.55,9.66,9.55,9.66,9.66,2600
2012-04-27,9.66,9.66,9.66,9.66,9.66,0
2012-04-30,9.66,9.66,9.66,9.66,9.66,0
2012-05-01,9.66,9.66,9.66,9.66,9.66,0
2012-05-02,9.66,9.66,9.66,9.66,9.66,0
2012-05-03,9.66,9.66,9.66,9.66,9.66,0
2012-05-04,9.66,9.7,9.6,9.7,9.7,2500
2012-05-07,9.7,9.7,9.7,9.7,9.7,0
2012-05-08,9.65,9.68,9.65,9.68,9.68,1700
2012-05-09,9.7,9.7,9.68,9.7,9.7,1200
2012-05-10,9.7,9.7,9.7,9.7,9.7,0
2012-05-11,9.7,9.7,9.7,9.7,9.7,0
2012-05-14,9.7,9.7,9.7,9.7,9.7,0
2012-05-15,9.7,9.7,9.7,9.7,9.7,0
2012-05-16,9.62,9.74,9.62,9.74,9.74,3800
2012-05-17,9.74,9.74,9.74,9.74,9.74,0
2012-05-18,9.74,9.74,9.74,9.74,9.74,0
2012-05-21,9.62,9.68,9.62,9.68,9.68,1100
2012-05-22,9.68,9.68,9.68,9.68,9.68,0
2012-05-23,9.68,9.72,9.68,9.72,9.72,1100
2012-05-24,9.72,9.72,9.72,9.72,9.72,0
2012-05-25,9.6,9.65,9.6,9.65,9.65,3000
