Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,39.66,39.889999,39.369999,39.610001,38.423668,25700
2012-02-22,39.830002,39.830002,39.349998,39.470001,38.287853,46900
2012-02-23,39.560001,40.16,39.02,40.110001,38.908688,24000
2012-02-24,40.299999,40.5,39.970001,40.139999,38.937786,66300
2012-02-27,39.959999,40.189999,39.419998,39.790001,38.598274,29500
2012-02-28,39.799999,40.099998,39.25,39.369999,38.190845,26300
2012-02-29,39.48,39.48,38.18,38.18,37.036491,128600
2012-03-01,38.669998,39,38.5,38.619999,37.463306,7100
2012-03-02,38.43,38.59,37.630001,37.709999,36.58057,296900
2012-03-05,37.700001,37.700001,36.669998,37.18,36.066452,100500
2012-03-06,36.400002,36.560001,36.049999,36.369999,35.280689,91000
2012-03-07,36.389999,37.02,36.220001,37.009998,35.901531,53700
2012-03-08,37.200001,37.650002,36.689999,37.5,36.376854,18800
2012-03-09,37.419998,38.310001,37.419998,37.900002,36.764881,6700
2012-03-12,37.790001,37.790001,37.119999,37.380001,36.260452,7500
2012-03-13,37.759998,38.279999,37.310001,38.25,37.104393,4900
2012-03-14,38.130001,38.279999,37.5,37.560001,36.435062,4300
2012-03-15,37.509998,38.110001,37.41,37.959999,36.823078,14000
2012-03-16,38.099998,39,37.939999,38.790001,37.628223,10800
2012-03-19,38.889999,39.700001,38.740002,39.330002,38.15205,23600
2012-03-20,38.59,38.59,38.119999,38.310001,37.162601,5900
2012-03-21,38.029999,38.23,37.549999,37.869999,36.735779,15800
2012-03-22,37.080002,37.209999,36.48,36.75,35.649323,12200
2012-03-23,36.68,37.970001,36.68,37.830002,36.696972,40300
2012-03-26,38.23,38.310001,38.029999,38.27,37.123791,11700
2012-03-27,38.450001,38.450001,37.810001,37.880001,36.74548,3900
2012-03-28,37.549999,37.549999,36.849998,37.259998,36.144047,16700
2012-03-29,36.939999,37.060001,36.34,36.91,35.804535,37800
2012-03-30,37.25,37.450001,37.099998,37.25,36.134335,5300
2012-04-02,37.310001,37.950001,37.18,37.860001,36.726074,83600
2012-04-03,37.68,37.68,37.18,37.48,36.357452,43700
2012-04-04,36.799999,36.799999,36.439999,36.48,35.387413,8700
2012-04-05,36.220001,36.84,36.060001,36.130001,35.047894,20100
2012-04-09,35.110001,36.040001,35.110001,35.700001,34.630779,31500
2012-04-10,35.32,35.919998,34.650002,34.849998,33.806225,52600
2012-04-11,35.259998,35.490002,34.740002,34.830002,33.786823,5400
2012-04-12,34.830002,36.23,34.830002,36.080002,34.99939,26700
2012-04-13,35.619999,35.619999,35.130001,35.130001,34.077843,5900
2012-04-16,35.279999,35.279999,34.279999,34.389999,33.360004,15800
2012-04-17,34.689999,35.220001,34.689999,34.880001,33.835335,62200
2012-04-18,34.91,34.91,34.259998,34.259998,33.233898,1200
2012-04-19,34.360001,34.810001,34.099998,34.310001,33.282406,8800
2012-04-20,34.650002,35,33.98,34.009998,32.991383,12500
2012-04-23,33.189999,34.130001,33,33.970001,32.952579,16000
2012-04-24,34.099998,34.630001,33.98,34.27,33.24361,25400
2012-04-25,35.080002,35.509998,34.799999,35.509998,34.446457,8300
2012-04-26,35.169998,35.939999,35.139999,35.849998,34.776272,15500
2012-04-27,35.869999,36.209999,35.849998,36.209999,35.125496,7900
2012-04-30,36.040001,36.459999,35.93,36.459999,35.368008,16200
2012-05-01,36.389999,37.380001,36.110001,36.860001,35.756027,26000
2012-05-02,36.110001,36.380001,36.099998,36.299999,35.212803,9800
2012-05-03,36.5,36.5,35.380001,35.529999,34.465862,6300
2012-05-04,35.200001,35.200001,34.060001,34.259998,33.233898,11500
2012-05-07,34.009998,34.279999,33.34,33.889999,32.874981,11700
2012-05-08,33.369999,34.040001,32.869999,34.02,33.001095,26700
2012-05-09,33.040001,34,32.779999,33.77,32.758579,19300
2012-05-10,34.02,34.380001,33.700001,33.93,32.913773,7800
2012-05-11,33.400002,34.279999,33.400002,33.529999,32.525764,9200
2012-05-14,33.029999,33.029999,32.599998,32.630001,31.652718,21000
2012-05-15,32.700001,32.720001,31.67,31.870001,30.915482,54600
2012-05-16,31.940001,32.549999,31.290001,31.299999,30.362551,20000
2012-05-17,31.379999,31.75,30.799999,30.85,29.926027,23500
2012-05-18,31.08,31.309999,30.41,30.559999,29.644716,24000
2012-05-21,30.66,32.080002,30.66,32.080002,31.119192,12700
2012-05-22,31.780001,32.389999,31.27,31.27,30.333452,12500
2012-05-23,31.030001,31.620001,30.48,31.610001,30.663269,14000
2012-05-24,32,32,30.639999,31,30.071537,14000
2012-05-25,31.1,31.26,30.809999,31.110001,30.17824,5500
2012-05-29,31.84,32.200001,31.58,32.110001,31.148294,51100
2012-05-30,31.549999,31.549999,30.469999,30.629999,29.712616,21900
2012-05-31,30.58,30.58,29.5,30.299999,29.3925,50300
2012-06-01,29.49,29.49,28.73,28.73,27.869522,17100
2012-06-04,28.799999,28.860001,28.200001,28.690001,27.830721,11200
2012-06-05,28.469999,29.42,28.469999,29.34,28.461252,6600
2012-06-06,29.809999,30.6,29.809999,30.58,29.66412,13300
2012-06-07,31.24,31.48,30.209999,30.219999,29.314899,10000
2012-06-08,30.08,30.610001,29.559999,30,29.101484,9900
2012-06-11,30.219999,30.219999,29.08,29.08,28.209044,12700
2012-06-12,29.16,29.75,28.91,29.67,28.781374,28600
2012-06-13,29.139999,29.83,28.76,28.860001,27.995634,6900
2012-06-14,28.860001,29.440001,28.860001,29.4,28.519455,16800
2012-06-15,29.4,30.200001,29.4,30.09,29.188787,9700
2012-06-18,29.950001,29.950001,29.530001,29.59,28.703764,4100
2012-06-19,30.02,30.610001,29.83,30.610001,29.69322,7500
2012-06-20,30.450001,30.639999,30.309999,30.309999,29.402201,3400
2012-06-21,29.549999,29.700001,29.030001,29.030001,28.16054,1600
2012-06-22,29.139999,29.33,28.700001,29.200001,28.325451,4700
2012-06-25,28.620001,28.629999,28.129999,28.219999,27.3748,6400
2012-06-26,28.07,28.459999,27.98,28.389999,27.539705,13800
2012-06-27,28.450001,29.700001,28.450001,29.67,28.781374,5300
2012-06-28,29.32,29.799999,29.299999,29.790001,28.897779,59500
2012-06-29,31.4,31.74,31.27,31.709999,30.760267,8700
2012-07-02,31.77,31.77,31.110001,31.469999,30.527458,7400
2012-07-03,31.790001,32.880001,31.790001,32.799999,31.817617,233700
2012-07-05,32.610001,32.889999,32.48,32.490002,31.516912,6300
2012-07-06,31.84,32.049999,31.68,31.889999,30.934881,3000
2012-07-09,31.639999,32.049999,31.639999,32.049999,31.090086,900
2012-07-10,32.009998,32.009998,31.01,31.01,30.081238,3400
2012-07-11,31.6,31.84,31.6,31.84,30.886377,500
2012-07-12,31.120001,31.549999,30.99,31.549999,30.605064,1200
2012-07-13,31.540001,32,31.540001,31.92,30.963984,7300
2012-07-16,31.469999,31.99,31.469999,31.98,31.022186,3700
2012-07-17,32.220001,32.34,31.68,32.34,31.371408,1900
