Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,4.25,4.35,4.22,4.31,4.31,78400
2012-02-22,4.31,4.31,4.18,4.26,4.26,10000
2012-02-23,4.19,4.3,4.19,4.25,4.25,28600
2012-02-24,4.25,4.33,4.19,4.29,4.29,57000
2012-02-27,4.35,4.45,4.3,4.38,4.38,42300
2012-02-28,4.36,4.41,4.31,4.32,4.32,41000
2012-02-29,4.32,4.41,4.32,4.41,4.41,32100
2012-03-01,4.49,4.65,4.49,4.63,4.63,108900
2012-03-02,4.6,4.7,4.6,4.69,4.69,39700
2012-03-05,4.7,4.75,4.65,4.68,4.68,55100
2012-03-06,4.7,4.75,4.65,4.68,4.68,27800
2012-03-07,4.71,4.78,4.7,4.78,4.78,26000
2012-03-08,4.8,5.12,4.8,4.99,4.99,211200
2012-03-09,5,5.03,4.83,4.85,4.85,96900
2012-03-12,4.85,4.85,4.7,4.7,4.7,64600
2012-03-13,4.73,4.84,4.54,4.67,4.67,94300
2012-03-14,4.68,4.81,4.68,4.81,4.81,41500
2012-03-15,4.81,4.92,4.76,4.87,4.87,42100
2012-03-16,4.89,4.89,4.65,4.74,4.74,36100
2012-03-19,4.77,4.82,4.65,4.7,4.7,83600
2012-03-20,4.65,4.76,4.65,4.72,4.72,33300
2012-03-21,4.74,4.83,4.74,4.81,4.81,39700
2012-03-22,4.83,5.13,4.8,4.99,4.99,166900
2012-03-23,5.01,5.1,4.93,4.93,4.93,164500
2012-03-26,5.01,5.12,5,5.05,5.05,120000
2012-03-27,5.05,5.44,5.05,5.37,5.37,331500
2012-03-28,5.46,5.75,5.41,5.73,5.73,505800
2012-03-29,5.77,5.99,5.65,5.89,5.89,516300
2012-03-30,5.95,6,5.75,5.9,5.9,324300
2012-04-02,5.88,6.2,5.86,6.18,6.18,315200
2012-04-03,6.2,6.41,6.16,6.37,6.37,278800
2012-04-04,6.45,6.45,5.78,6.22,6.22,382100
2012-04-05,6.12,6.27,6.05,6.25,6.25,134100
2012-04-09,6.14,6.35,6.1,6.22,6.22,135800
2012-04-10,6.25,6.26,5.95,6.1,6.1,176600
2012-04-11,6.1,6.15,5.92,6.13,6.13,186400
2012-04-12,6.17,6.26,6.13,6.17,6.17,249300
2012-04-13,6.11,6.25,6.1,6.22,6.22,101400
2012-04-16,6.25,6.35,6.21,6.35,6.35,239700
2012-04-17,6.39,6.48,6.33,6.37,6.37,174300
2012-04-18,6.36,6.4,6,6.15,6.15,207400
2012-04-19,6.2,6.31,6.11,6.24,6.24,167100
2012-04-20,6.34,6.37,6.04,6.18,6.18,185600
2012-04-23,6.08,6.29,6.01,6.29,6.29,170600
2012-04-24,6.28,6.36,6.24,6.36,6.36,74800
2012-04-25,6.36,7.29,6.36,7.26,7.26,1262900
2012-04-26,4.5,5,4,4.34,4.34,2239400
2012-04-27,4.26,4.52,4.25,4.5,4.5,403500
2012-04-30,4.45,4.5,4.28,4.41,4.41,278000
2012-05-01,4.42,4.62,4.41,4.61,4.61,151000
2012-05-02,4.62,4.67,4.56,4.66,4.66,146900
2012-05-03,4.6,4.89,4.48,4.87,4.87,400300
2012-05-04,4.86,5.14,4.83,4.86,4.86,346600
2012-05-07,4.87,5.01,4.71,4.94,4.94,119000
2012-05-08,4.91,4.92,4.46,4.73,4.73,230900
2012-05-09,4.67,4.67,4.51,4.66,4.66,148000
2012-05-10,4.67,4.75,4.66,4.7,4.7,94000
2012-05-11,4.67,4.9,4.67,4.87,4.87,83100
2012-05-14,4.85,4.85,4.61,4.69,4.69,61000
2012-05-15,4.69,4.72,4.59,4.71,4.71,61000
2012-05-16,4.7,4.74,4.65,4.68,4.68,33200
2012-05-17,4.67,4.69,4.41,4.44,4.44,100100
2012-05-18,4.46,4.52,4.44,4.48,4.48,36300
2012-05-21,4.49,4.65,4.4,4.59,4.59,110700
2012-05-22,4.64,4.72,4.53,4.54,4.54,49000
2012-05-23,4.52,4.62,4.46,4.53,4.53,82000
2012-05-24,4.53,4.59,4.42,4.53,4.53,34300
2012-05-25,4.51,4.6,4.36,4.37,4.37,136400
2012-05-29,4.41,4.44,4.36,4.39,4.39,70400
2012-05-30,4.38,4.4,4.2,4.27,4.27,89900
2012-05-31,4.25,4.29,4.05,4.09,4.09,203800
2012-06-01,3.99,4.22,3.99,4.09,4.09,148100
2012-06-04,4.12,4.18,4,4.05,4.05,82700
2012-06-05,4.05,4.18,4.01,4.04,4.04,68500
2012-06-06,4.08,4.16,3.99,4.03,4.03,67800
2012-06-07,4.06,4.06,3.89,4.04,4.04,97200
2012-06-08,4.01,4.07,4,4.03,4.03,86200
2012-06-11,4.07,4.12,3.89,3.91,3.91,137200
2012-06-12,3.87,4.02,3.73,3.92,3.92,151300
2012-06-13,3.93,3.93,3.72,3.8,3.8,138600
2012-06-14,3.85,4.15,3.81,4.14,4.14,171000
2012-06-15,4.12,4.22,4.07,4.15,4.15,186000
2012-06-18,4.12,4.37,4.11,4.27,4.27,198000
2012-06-19,4.29,4.39,4.26,4.39,4.39,190800
2012-06-20,4.4,4.42,4.3,4.39,4.39,212800
2012-06-21,4.39,4.43,4.34,4.38,4.38,228900
2012-06-22,3.97,4.12,3.85,3.95,3.95,4312900
2012-06-25,3.92,4.09,3.86,4.08,4.08,254700
2012-06-26,4.1,4.21,4.05,4.18,4.18,171200
2012-06-27,4.2,4.41,4.18,4.37,4.37,159500
2012-06-28,4.34,4.35,4.22,4.27,4.27,74900
2012-06-29,4.33,4.33,4.26,4.3,4.3,101900
2012-07-02,4.3,4.34,4.25,4.33,4.33,113300
2012-07-03,4.32,4.39,4.29,4.39,4.39,143800
2012-07-05,4.39,4.42,4.34,4.42,4.42,116200
2012-07-06,4.36,4.41,4.35,4.39,4.39,67900
2012-07-09,4.38,4.55,4.38,4.53,4.53,162200
2012-07-10,4.53,4.57,4.39,4.42,4.42,93600
2012-07-11,4.42,4.43,4.24,4.27,4.27,77500
2012-07-12,4.24,4.24,4.08,4.18,4.18,81500
2012-07-13,4.18,4.4,4,4.32,4.32,71700
2012-07-16,4.32,4.32,4.21,4.25,4.25,39900
2012-07-17,4.26,4.31,4.15,4.17,4.17,55300
2012-07-18,4.18,4.18,4.05,4.06,4.06,81500
2012-07-19,4.06,4.06,3.97,3.99,3.99,90300
2012-07-20,3.96,3.96,3.88,3.89,3.89,164800
