Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,17.32,17.5,17.190001,17.450001,17.450001,19800
2012-02-22,17.27,17.469999,17.26,17.309999,17.309999,5100
2012-02-23,17.360001,17.5,17.309999,17.5,17.5,15700
2012-02-24,17.559999,17.719999,17.33,17.440001,17.440001,10600
2012-02-27,17.299999,17.34,17.200001,17.34,17.34,900
2012-02-28,17.35,17.5,16.93,17.030001,17.030001,36700
2012-02-29,16.93,17.120001,16.889999,17,17,29800
2012-03-01,17,17.24,17,17,17,41500
2012-03-02,17.17,17.17,16.68,16.91,16.91,14300
2012-03-05,16.889999,17.33,16.889999,17.190001,17.190001,9400
2012-03-06,17.07,17.27,16.84,16.959999,16.959999,14500
2012-03-07,17,17.360001,17,17.360001,17.360001,13200
2012-03-08,17.290001,17.290001,16.940001,17.040001,17.040001,14300
2012-03-09,16.99,17.219999,16.99,17.209999,17.209999,8600
2012-03-12,17.15,17.290001,16.93,17.129999,17.129999,5800
2012-03-13,17.24,17.629999,17.09,17.629999,17.629999,7400
2012-03-14,17.58,17.75,17.43,17.540001,17.540001,36600
2012-03-15,17.49,17.58,17.219999,17.57,17.57,6200
2012-03-16,17.58,17.93,17.540001,17.66,17.66,41800
2012-03-19,17.74,18.120001,17.67,17.969999,17.969999,32900
2012-03-20,17.950001,18.25,17.700001,17.940001,17.940001,16000
2012-03-21,17.92,17.98,17.719999,17.76,17.76,9900
2012-03-22,17.879999,17.879999,17.719999,17.879999,17.879999,8300
2012-03-23,17.889999,18.040001,17.82,18.030001,18.030001,6400
2012-03-26,18.17,18.299999,17.889999,18.129999,18.129999,10600
2012-03-27,18.190001,18.42,17.77,17.77,17.77,8700
2012-03-28,17.780001,17.780001,17.42,17.59,17.59,11200
2012-03-29,17.790001,17.790001,17.360001,17.629999,17.629999,5600
2012-03-30,17.74,17.74,17.33,17.530001,17.530001,20800
2012-04-02,17.52,18.5,17.43,18.48,18.48,58100
2012-04-03,18.48,18.73,18.049999,18.120001,18.120001,10300
2012-04-04,18,18.26,17.780001,17.860001,17.860001,8300
2012-04-05,17.530001,17.610001,17.209999,17.59,17.59,24300
2012-04-09,17.24,18.5,16.860001,17.25,17.25,8800
2012-04-10,17.33,17.620001,16.860001,16.99,16.99,25200
2012-04-11,16.68,17.15,16.459999,17.15,17.15,12800
2012-04-12,17.120001,17.75,16.83,16.889999,16.889999,14000
2012-04-13,16.77,16.77,16.32,16.42,16.42,11900
2012-04-16,16.450001,16.9,16.25,16.790001,16.790001,5500
2012-04-17,16.950001,17.15,16.610001,16.809999,16.809999,17100
2012-04-18,16.73,16.84,16.35,16.690001,16.690001,15000
2012-04-19,16.65,16.719999,16.030001,16.030001,16.030001,7000
2012-04-20,16.440001,16.700001,16.059999,16.559999,16.559999,18100
2012-04-23,16.309999,17.389999,16.190001,17.049999,17.049999,12800
2012-04-24,17.17,17.700001,16.870001,17.389999,17.389999,10400
2012-04-25,17.549999,17.559999,17.08,17.26,17.26,5600
2012-04-26,17.17,17.67,16.799999,17.33,17.33,11600
2012-04-27,17.030001,17.700001,16.959999,17.629999,17.629999,21000
2012-04-30,17.51,17.68,17.059999,17.08,17.08,8400
2012-05-01,17.09,17.639999,16.719999,16.82,16.82,14000
2012-05-02,16.66,17,16.33,16.959999,16.959999,31000
2012-05-03,17.190001,17.190001,16.530001,16.68,16.68,11200
2012-05-04,16.719999,16.73,15.76,15.8,15.8,17600
2012-05-07,15.85,16.110001,15.54,15.77,15.77,20700
2012-05-08,15.57,16.02,15.52,15.99,15.99,5900
2012-05-09,15.82,16.030001,15.63,15.93,15.93,30700
2012-05-10,15.92,15.92,15.65,15.85,15.85,3400
2012-05-11,15.68,15.84,15.68,15.77,15.77,6700
2012-05-14,15.58,15.69,15.38,15.65,15.65,10000
2012-05-15,15.3,15.87,15.3,15.77,15.77,99200
2012-05-16,15.78,16.370001,15.78,15.99,15.99,10000
2012-05-17,15.84,15.89,15.54,15.62,15.62,221300
2012-05-18,15.58,15.85,15.39,15.68,15.68,12000
2012-05-21,15.81,17.059999,15.46,16.790001,16.790001,16800
2012-05-22,16.719999,16.77,15.91,16.1,16.1,12600
2012-05-23,15.88,16.16,15.58,15.92,15.92,27800
2012-05-24,15.99,16,15.29,15.47,15.47,8900
2012-05-25,15.54,15.92,15.25,15.56,15.56,68100
2012-05-29,15.78,15.78,15.47,15.56,15.56,8900
2012-05-30,15.46,15.46,14.91,15.2,15.2,23900
2012-05-31,15.16,15.73,15.16,15.61,15.61,63200
2012-06-01,15.2,16.02,15.03,15.51,15.51,14200
2012-06-04,15.56,15.95,15.43,15.44,15.44,28900
2012-06-05,15.39,15.5,14.91,15.42,15.42,7100
2012-06-06,16,16,15.33,15.39,15.39,12000
2012-06-07,15.63,16.02,15.37,15.55,15.55,63800
2012-06-08,15.61,16.17,15.38,15.63,15.63,35100
2012-06-11,15.84,16.370001,15.84,16.07,16.07,37200
2012-06-12,16.190001,16.190001,15.82,16.110001,16.110001,27600
2012-06-13,16,16.25,15.83,15.96,15.96,19200
2012-06-14,16.030001,16.860001,15.77,16.469999,16.469999,81700
2012-06-15,16.389999,16.52,16.07,16.389999,16.389999,44800
2012-06-18,16.35,17.030001,15.99,16.57,16.57,72100
2012-06-19,16.700001,16.959999,16.389999,16.690001,16.690001,46600
2012-06-20,16.719999,16.790001,16.309999,16.42,16.42,24700
2012-06-21,16.469999,16.549999,15.53,15.9,15.9,39900
2012-06-22,16.030001,16.940001,15.83,16.459999,16.459999,907300
2012-06-25,16.139999,16.98,15.8,16.76,16.76,53000
2012-06-26,16.719999,17.25,16.530001,17.1,17.1,35900
2012-06-27,17.07,17.620001,16.969999,17.41,17.41,34500
2012-06-28,17.26,17.610001,17.120001,17.32,17.32,29000
2012-06-29,17.629999,17.969999,17.030001,17.389999,17.389999,46300
2012-07-02,17.34,17.35,16.75,17.049999,17.049999,43100
2012-07-03,16.99,17.08,16.9,17.02,17.02,19400
2012-07-05,16.92,17.27,16.889999,16.9,16.9,31900
2012-07-06,16.77,17.110001,16.690001,17.059999,17.059999,18400
2012-07-09,16.99,17.309999,16.709999,17.27,17.27,14500
2012-07-10,17.309999,17.780001,17.25,17.690001,17.690001,21100
2012-07-11,17.73,18.34,17.58,18.27,18.27,22200
2012-07-12,18.129999,18.530001,18.07,18.370001,18.370001,30300
2012-07-13,18.48,18.73,18.030001,18.73,18.73,28300
2012-07-16,18.620001,19.110001,18.370001,19.040001,19.040001,43500
2012-07-17,19.18,19.459999,18.799999,19.299999,19.299999,28000
2012-07-18,19.24,19.49,18.690001,18.860001,18.860001,107200
2012-07-19,18.860001,19.200001,18.719999,18.75,18.75,17500
2012-07-20,18.59,18.65,18.129999,18.200001,18.200001,53500
2012-07-23,17.98,18.26,17.91,17.959999,17.959999,17300
2012-07-24,18,18,17.18,17.309999,17.309999,20500
2012-07-25,17.450001,18.040001,17.370001,17.969999,17.969999,17600
2012-07-26,18.190001,18.610001,18.190001,18.469999,18.469999,39300
2012-07-27,18.549999,18.629999,18.4,18.59,18.59,29900
2012-07-30,18.530001,18.9,18.469999,18.709999,18.709999,14600
2012-07-31,18.67,18.969999,18.540001,18.68,18.68,116900
2012-08-01,18.690001,18.870001,18.4,18.549999,18.549999,31900
2012-08-02,18.59,18.84,18.43,18.540001,18.540001,17800
2012-08-03,18.75,19.43,18.700001,18.73,18.73,45200
2012-08-06,18.84,18.9,18.549999,18.620001,18.620001,19100
2012-08-07,18.719999,18.719999,17.42,17.92,17.92,28400
2012-08-08,17.780001,17.809999,16.790001,17.209999,17.209999,55200
2012-08-09,17.139999,17.32,16.860001,17.290001,17.290001,15400
2012-08-10,17.299999,17.59,17.290001,17.48,17.48,40800
2012-08-13,17.450001,17.799999,17.379999,17.73,17.73,21100
2012-08-14,17.84,17.870001,17.450001,17.57,17.57,22600
2012-08-15,17.58,17.73,17.49,17.58,17.58,18600
2012-08-16,16.48,17.76,16.48,17.67,17.67,35700
2012-08-17,17.59,17.85,17.540001,17.68,17.68,48700
2012-08-20,17.68,17.809999,17.58,17.73,17.73,6400
2012-08-21,17.77,17.879999,17.42,17.469999,17.469999,11900
2012-08-22,17.49,17.77,17.450001,17.51,17.51,26300
2012-08-23,17.440001,17.700001,17.32,17.52,17.52,15300
2012-08-24,17.52,17.73,16.85,17.530001,17.530001,20800
2012-08-27,17.459999,17.700001,17.41,17.65,17.65,66300
2012-08-28,17.65,17.700001,17.43,17.690001,17.690001,34400
2012-08-29,17.68,17.68,17.5,17.57,17.57,18600
2012-08-30,17.5,17.59,17.120001,17.459999,17.459999,22000
2012-08-31,17.6,17.84,17.35,17.76,17.76,41200
2012-09-04,17.799999,17.799999,17.33,17.65,17.65,40500
2012-09-05,17.540001,17.84,17.43,17.5,17.5,53700
2012-09-06,17.65,17.690001,17.43,17.530001,17.530001,40300
2012-09-07,17.629999,17.75,17.360001,17.459999,17.459999,49200
2012-09-10,17.549999,17.719999,17.26,17.51,17.51,108100
2012-09-11,17.5,17.639999,17.43,17.48,17.48,33000
2012-09-12,17.48,17.629999,17.4,17.549999,17.549999,70500
2012-09-13,17.530001,17.83,17.440001,17.73,17.73,79700
2012-09-14,17.790001,18.5,17.780001,18.27,18.27,36200
2012-09-17,18.23,18.23,17.459999,17.639999,17.639999,45000
2012-09-18,17.16,17.940001,17.110001,17.9,17.9,78500
2012-09-19,17.870001,18.52,17.870001,18.200001,18.200001,49800
2012-09-20,18.110001,18.370001,17.98,18.129999,18.129999,11700
2012-09-21,18.49,18.6,18.33,18.52,18.52,40100
2012-09-24,18.540001,19,18.309999,18.42,18.42,57000
2012-09-25,18.4,18.459999,18.299999,18.4,18.4,36100
2012-09-26,18.48,18.5,18.41,18.450001,18.450001,18100
2012-09-27,18.5,18.620001,18.440001,18.530001,18.530001,16300
2012-09-28,18.370001,18.549999,18.190001,18.5,18.5,32800
2012-10-01,18.530001,18.620001,18.4,18.540001,18.540001,37100
2012-10-02,18.5,19,18.4,18.709999,18.709999,22500
2012-10-03,18.610001,18.690001,18.219999,18.43,18.43,26300
2012-10-04,18.530001,18.99,18.120001,18.879999,18.879999,23000
2012-10-05,18.889999,19.219999,18.57,18.719999,18.719999,25300
2012-10-08,18.709999,18.93,18.4,18.4,18.4,27100
2012-10-09,18.469999,18.469999,17.77,17.799999,17.799999,11100
2012-10-10,17.92,17.92,17.719999,17.889999,17.889999,21500
2012-10-11,18.01,18.549999,18.01,18.459999,18.459999,23700
2012-10-12,18.42,18.690001,18.360001,18.620001,18.620001,17200
2012-10-15,18.700001,18.75,18.620001,18.65,18.65,8900
2012-10-16,18.709999,18.790001,18.299999,18.32,18.32,15100
2012-10-17,18.370001,18.459999,18.110001,18.200001,18.200001,10800
2012-10-18,18.24,18.24,17.77,17.9,17.9,58400
2012-10-19,17.74,17.969999,17.219999,17.66,17.66,52100
2012-10-22,17.860001,18.59,17.860001,18.219999,18.219999,45800
2012-10-23,17.959999,18.280001,17.77,18.209999,18.209999,13900
2012-10-24,18.360001,18.82,18.129999,18.75,18.75,40900
2012-10-25,18.700001,18.74,18.299999,18.379999,18.379999,12600
2012-10-26,18.43,18.620001,18.08,18.469999,18.469999,5900
2012-10-31,18.440001,18.74,18.040001,18.57,18.57,16100
2012-11-01,18.549999,18.65,18.32,18.440001,18.440001,14200
2012-11-02,18.459999,18.459999,17.77,17.959999,17.959999,12600
2012-11-05,17.940001,18.620001,17.870001,18.370001,18.370001,12000
2012-11-06,18.280001,18.59,18.040001,18.4,18.4,9800
2012-11-07,18.25,18.360001,17.09,17.540001,17.540001,19700
2012-11-08,17.6,18.25,17.370001,17.940001,17.940001,34900
2012-11-09,17.940001,18.5,17.940001,18.370001,18.370001,8900
2012-11-12,18.4,18.41,17.870001,17.91,17.91,9000
2012-11-13,17.85,18.33,17.719999,18.23,18.23,19200
2012-11-14,18.290001,18.290001,17.129999,17.35,17.35,24500
2012-11-15,17.57,17.82,17.35,17.610001,17.610001,35300
2012-11-16,17.52,18.24,17.299999,17.92,17.92,35500
2012-11-19,18.18,18.5,17.950001,18.48,18.48,19400
2012-11-20,18.389999,18.59,18.280001,18.459999,18.459999,13400
2012-11-21,18.620001,18.68,18.370001,18.530001,18.530001,5700
2012-11-23,18.6,18.6,18.27,18.49,18.49,6300
2012-11-26,18.23,18.75,18.23,18.719999,18.719999,7400
2012-11-27,18.65,18.65,18.27,18.280001,18.280001,11100
2012-11-28,18.200001,18.83,18.200001,18.75,18.75,14500
2012-11-29,18.85,18.85,18.52,18.690001,18.690001,27700
2012-11-30,18.82,19.24,18.34,19.219999,19.219999,47900
2012-12-03,19.32,19.75,19.049999,19.290001,19.290001,20100
2012-12-04,18.99,19.469999,18.99,19.370001,19.370001,31300
2012-12-05,19.459999,19.459999,19.049999,19.18,19.18,7000
2012-12-06,19.16,19.360001,19.049999,19.33,19.33,32500
2012-12-07,19.49,19.49,19.139999,19.360001,19.360001,40100
2012-12-10,19.4,19.41,19.15,19.370001,19.370001,10500
2012-12-11,19.42,19.780001,19.42,19.780001,19.780001,63600
2012-12-12,19.76,20.1,19.719999,19.75,19.75,57500
2012-12-13,19.75,19.91,19.709999,19.83,19.83,20500
2012-12-14,19.75,19.99,19.690001,19.9,19.9,20100
2012-12-17,19.860001,20.290001,19.85,20.209999,20.209999,26300
2012-12-18,20.23,20.92,19.950001,20.65,20.65,244600
2012-12-19,20.6,20.83,20,20.43,20.43,22600
2012-12-20,20.469999,20.6,20.09,20.5,20.5,21400
2012-12-21,20.469999,20.49,20.01,20.129999,20.129999,86800
2012-12-24,20,20.5,19.85,20.450001,20.450001,5100
2012-12-26,20.440001,20.76,19.969999,20.02,20.02,22100
2012-12-27,20.049999,20.290001,20.01,20.15,20.15,16700
2012-12-28,20.09,20.219999,19.950001,20,20,29800
2012-12-31,20,20.43,19.65,20.43,20.43,32800
2013-01-02,20.799999,20.82,20.360001,20.559999,20.559999,105600
2013-01-03,20.629999,20.629999,20.26,20.43,20.43,17800
2013-01-04,20.49,20.84,20.34,20.780001,20.780001,156500
2013-01-07,20.6,20.799999,20.530001,20.540001,20.540001,8000
2013-01-08,20.6,21.200001,20.5,21.02,21.02,98600
2013-01-09,21,21.83,21,21.68,21.68,29100
2013-01-10,21.799999,21.799999,21.219999,21.58,21.58,35200
2013-01-11,21.67,21.67,19.99,21,21,54500
2013-01-14,20.799999,20.99,20.559999,20.91,20.91,12200
2013-01-15,20.77,21.17,20.67,21,21,8300
2013-01-16,21,21.35,20.74,20.76,20.76,19600
2013-01-17,20.9,21.360001,20.68,21.35,21.35,8300
2013-01-18,21.280001,21.82,21.280001,21.709999,21.709999,16800
2013-01-22,21.799999,21.799999,21.42,21.700001,21.700001,9000
2013-01-23,21.700001,21.700001,21.02,21.26,21.26,17700
2013-01-24,21.26,21.530001,20.76,21.049999,21.049999,8400
2013-01-25,21.17,22.08,21.030001,22,22,44900
2013-01-28,21.969999,22.16,21.77,21.99,21.99,44900
2013-01-29,21.950001,22.120001,21.870001,21.959999,21.959999,23400
2013-01-30,22,22,21.25,21.34,21.34,26700
2013-01-31,21.299999,21.68,21.18,21.42,21.42,38900
2013-02-01,21.51,22,21.51,22,22,17200
2013-02-04,21.93,21.950001,21.68,21.75,21.75,9600
2013-02-05,21.889999,22.15,21.709999,22.08,22.08,16800
2013-02-06,22.02,22.870001,21.440001,21.700001,21.700001,17900
2013-02-07,21.629999,21.690001,20.719999,21.040001,21.040001,16900
2013-02-08,21.129999,21.15,20.790001,21,21,15800
2013-02-11,21,21.1,20.940001,21.1,21.1,5700
2013-02-12,21.35,21.35,20.82,21.16,21.16,13700
2013-02-13,21.23,22.299999,21.23,22.15,22.15,22700
2013-02-14,22,22,21.75,21.84,21.84,11500
2013-02-15,22,22.08,21.440001,21.57,21.57,20600
2013-02-19,21.66,22.08,20.969999,21.790001,21.790001,8600
2013-02-20,21.84,21.92,21.389999,21.389999,21.389999,15200
2013-02-21,21.379999,21.65,21.16,21.17,21.17,13700
2013-02-22,21.32,21.870001,20.879999,21.27,21.27,10300
2013-02-25,21.389999,21.450001,20.57,20.639999,20.639999,12900
2013-02-26,20.790001,20.790001,19.75,19.959999,19.959999,19800
2013-02-27,19.92,20.25,19.57,20.030001,20.030001,38000
2013-02-28,20.07,20.07,19.620001,19.620001,19.620001,47700
2013-03-01,19.41,20.040001,19.209999,19.559999,19.559999,25200
2013-03-04,19.59,20.870001,19.389999,20.73,20.73,53700
2013-03-05,20.860001,21.93,20.860001,21.15,21.15,46400
2013-03-06,21.120001,21.33,20.99,21.030001,21.030001,10400
2013-03-07,20.969999,21.99,20.65,21.280001,21.280001,146400
2013-03-08,21.549999,21.73,20.950001,21.549999,21.549999,29400
2013-03-11,21.389999,21.629999,21.17,21.35,21.35,7300
2013-03-12,21.25,21.58,21.02,21.48,21.48,7500
2013-03-13,21.48,22.42,21.48,22.26,22.26,10800
2013-03-14,22.370001,23.629999,22.219999,23.139999,23.139999,97800
2013-03-15,23.290001,23.370001,22.709999,22.860001,22.860001,70600
2013-03-18,22.450001,22.76,22.440001,22.440001,22.440001,5700
2013-03-19,22.32,22.799999,22.32,22.370001,22.370001,12400
2013-03-20,22.41,22.780001,22.25,22.639999,22.639999,12300
2013-03-21,22.35,22.870001,22.35,22.790001,22.790001,33200
2013-03-22,22.92,23.25,22.780001,23.25,23.25,11200
2013-03-25,23.25,24.16,23.1,23.959999,23.959999,30200
2013-03-26,24,24.059999,23.9,24.040001,24.040001,19000
2013-03-27,24.08,24.68,24.02,24.639999,24.639999,25900
2013-03-28,24.73,25.25,24.67,24.940001,24.940001,90000
2013-04-01,25.190001,25.6,24.15,24.26,24.26,45200
2013-04-02,24.48,25,24.32,24.540001,24.540001,27300
2013-04-03,24.66,24.969999,24.049999,24.120001,24.120001,57300
2013-04-04,24.120001,24.51,24.08,24.35,24.35,11100
2013-04-05,23.9,24.200001,23.860001,24.1,24.1,31200
2013-04-08,24.25,24.43,24,24.26,24.26,33800
2013-04-09,24.190001,24.5,24.17,24.200001,24.200001,46800
2013-04-10,24.07,24.9,24.07,24.860001,24.860001,19300
2013-04-11,24.559999,24.68,24.35,24.48,24.48,26400
2013-04-12,25.4,25.4,24.35,24.809999,24.809999,30500
2013-04-15,24.709999,24.709999,24.01,24.17,24.17,36000
2013-04-16,24.48,24.809999,24.040001,24.77,24.77,60700
2013-04-17,24.530001,25.940001,23.639999,23.77,23.77,22400
2013-04-18,23.870001,23.93,23.33,23.43,23.43,14800
2013-04-19,23.34,23.629999,22.84,23.209999,23.209999,28000
2013-04-22,23.16,23.16,22.68,22.879999,22.879999,9800
2013-04-23,22.950001,23.66,22.950001,23.58,23.58,20400
2013-04-24,23.5,23.799999,22.98,23.209999,23.209999,15600
2013-04-25,23.299999,23.91,22.51,23.620001,23.620001,44800
2013-04-26,23.6,24.290001,23.200001,23.48,23.48,74800
2013-04-29,23.75,24.059999,23.629999,23.75,23.75,22500
