Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,11.193334,11.266666,10.833333,10.926666,10.926666,78700
2012-02-22,10.853333,10.94,10.68,10.793333,10.793333,91900
2012-02-23,10.84,11.206667,10.693334,11.166667,11.166667,90000
2012-02-24,11.166667,11.246667,11.033334,11.033334,11.033334,49800
2012-02-27,10.94,10.973333,10.826667,10.833333,10.833333,65400
2012-02-28,10.84,11.193334,10.793333,11.04,11.04,196200
2012-02-29,11.113334,11.173333,10.733334,10.873333,10.873333,140700
2012-03-01,10.98,11.226666,10.893333,10.966666,10.966666,162100
2012-03-02,10.993333,11.053333,10.586667,10.593333,10.593333,120700
2012-03-05,10.8,10.806666,10.473333,10.766666,10.766666,102700
2012-03-06,10.593333,10.72,10.273334,10.406667,10.406667,54400
2012-03-07,10.486667,10.633333,10.386666,10.533334,10.533334,49900
2012-03-08,10.666667,10.893333,10.62,10.813334,10.813334,82600
2012-03-09,10.826667,11.046667,10.786667,10.9,10.9,141400
2012-03-12,10.98,11.066667,10.866667,10.986667,10.986667,52600
2012-03-13,11.126667,11.126667,10.94,11.086667,11.086667,101100
2012-03-14,11.1,11.166667,10.98,11.126667,11.126667,103000
2012-03-15,11.16,11.326667,11.093333,11.24,11.24,198600
2012-03-16,11.3,11.32,11.126667,11.213333,11.213333,175200
2012-03-19,11.333333,12,11.293333,11.813334,11.813334,544000
2012-03-20,11.773334,11.78,11.4,11.46,11.46,392500
2012-03-21,11.42,11.613334,11.313334,11.493333,11.493333,222100
2012-03-22,11.34,11.513333,11.326667,11.386666,11.386666,178600
2012-03-23,11.413333,11.513333,11.28,11.32,11.32,247500
2012-03-26,11.54,11.613334,11.36,11.44,11.44,246000
2012-03-27,11.506667,11.573334,11.366667,11.393333,11.393333,231600
2012-03-28,11.42,11.56,11.42,11.493333,11.493333,153700
2012-03-29,11.366667,11.466666,11.226666,11.373333,11.373333,125200
2012-03-30,11.5,11.506667,11.206667,11.34,11.34,133600
2012-04-02,11.34,11.62,11.28,11.506667,11.506667,215200
2012-04-03,11.533334,11.806666,11.533334,11.653334,11.653334,218500
2012-04-04,11.46,11.52,11.353333,11.4,11.4,120100
2012-04-05,11.313334,11.546667,11.313334,11.466666,11.466666,99700
2012-04-09,11.393333,11.393333,11.2,11.326667,11.326667,276400
2012-04-10,11.306666,11.406667,10.8,10.813334,10.813334,262500
2012-04-11,10.933333,11.46,10.9,11.46,11.46,134700
2012-04-12,11.526667,11.713333,11.473333,11.62,11.62,186100
2012-04-13,11.533334,11.606667,11.373333,11.393333,11.393333,90600
2012-04-16,11.5,11.786667,11.233334,11.706667,11.706667,209500
2012-04-17,11.886666,12.146667,11.826667,11.953333,11.953333,363700
2012-04-18,11.926666,12.146667,11.78,12.053333,12.053333,154300
2012-04-19,12.033334,12.246667,11.846666,11.853333,11.853333,198300
2012-04-20,12.066667,12.066667,11.613334,11.646667,11.646667,230800
2012-04-23,11.5,11.686666,11.053333,11.18,11.18,219700
2012-04-24,11.24,11.333333,11.013333,11.186666,11.186666,125500
2012-04-25,11.4,11.4,11.146667,11.193334,11.193334,278700
2012-04-26,11.186666,11.32,10.913333,11.166667,11.166667,203700
2012-04-27,11.666667,12.3,11.666667,11.98,11.98,933000
2012-04-30,12.393333,12.6,12.313334,12.52,12.52,424500
2012-05-01,12.56,12.986667,12.433333,12.82,12.82,777700
2012-05-02,12.76,13.706667,12.693334,13.406667,13.406667,640200
2012-05-03,13.46,13.46,13.066667,13.246667,13.246667,201100
2012-05-04,13.22,13.333333,12.793333,13.24,13.24,240600
2012-05-07,13.066667,13.653334,13.066667,13.4,13.4,499500
2012-05-08,13.24,13.633333,13.226666,13.58,13.58,196900
2012-05-09,13.446667,13.873333,13.38,13.766666,13.766666,349500
2012-05-10,13.873333,13.893333,13.64,13.753333,13.753333,267000
2012-05-11,13.593333,13.873333,13.593333,13.806666,13.806666,136200
2012-05-14,13.706667,13.886666,13.653334,13.84,13.84,247300
2012-05-15,13.9,14.193334,13.793333,13.906667,13.906667,328500
2012-05-16,14.013333,14.06,13.3,13.333333,13.333333,329400
2012-05-17,13.4,13.6,12.86,12.88,12.88,189300
2012-05-18,12.893333,13.026667,12.42,12.506667,12.506667,261300
2012-05-21,12.506667,13.006667,12.433333,12.906667,12.906667,353500
2012-05-22,12.96,13.426666,12.893333,13.153334,13.153334,243000
2012-05-23,13.033334,13.966666,12.72,13.913333,13.913333,328500
2012-05-24,14.086667,14.633333,13.86,14.613334,14.613334,391600
2012-05-25,14.573334,14.613334,14.086667,14.446667,14.446667,140500
2012-05-29,14.606667,14.7,14.253333,14.44,14.44,165100
2012-05-30,14.3,14.3,13.8,14.046667,14.046667,122200
2012-05-31,14.02,14.446667,13.78,14.42,14.42,267000
2012-06-01,14.046667,14.046667,13.306666,13.546667,13.546667,176400
2012-06-04,13.58,13.753333,12.773334,13.006667,13.006667,304600
2012-06-05,12.88,13.24,12.88,13.14,13.14,163000
2012-06-06,13.26,14.073334,13.26,14.013333,14.013333,202800
2012-06-07,14.293333,14.293333,13.433333,13.606667,13.606667,228100
2012-06-08,13.6,14.1,13.6,13.96,13.96,212400
2012-06-11,14.18,14.34,13.906667,14.3,14.3,219400
2012-06-12,14.3,14.66,13.946667,14.253333,14.253333,152800
2012-06-13,14.246667,14.453333,13.966666,14.113334,14.113334,141300
2012-06-14,14.146667,14.886666,14.146667,14.56,14.56,212400
2012-06-15,14.673333,14.673333,14.186666,14.473333,14.473333,219400
2012-06-18,14.253333,14.553333,14.08,14.4,14.4,149100
2012-06-19,14.486667,15.446667,14.486667,15.18,15.18,333000
2012-06-20,15.213333,15.353333,14.733334,14.92,14.92,120000
2012-06-21,14.886666,15.1,14.06,14.36,14.36,148900
2012-06-22,14.413333,14.666667,14.373333,14.466666,14.466666,321700
2012-06-25,14.253333,14.4,14.066667,14.146667,14.146667,127800
2012-06-26,14.213333,14.3,13.913333,14.113334,14.113334,75900
2012-06-27,14.12,14.4,14,14.093333,14.093333,86100
2012-06-28,13.92,14.06,13.406667,13.86,13.86,146400
2012-06-29,14.2,14.813334,13.946667,14.593333,14.593333,252100
2012-07-02,14.606667,14.666667,13.993333,14.3,14.3,311200
2012-07-03,14.3,14.333333,14.18,14.3,14.3,103500
2012-07-05,14.253333,14.34,14.226666,14.333333,14.333333,305700
2012-07-06,14.193334,14.293333,14.16,14.22,14.22,226900
2012-07-09,14.16,14.193334,14.033334,14.166667,14.166667,109900
2012-07-10,14.233334,14.233334,13.693334,13.76,13.76,227100
2012-07-11,13.84,14,13.633333,13.793333,13.793333,215700
2012-07-12,13.673333,13.673333,13.053333,13.226666,13.226666,216900
2012-07-13,13.273334,13.38,13.206667,13.346666,13.346666,238300
2012-07-16,13.346666,13.346666,13.046667,13.286667,13.286667,144300
2012-07-17,13.326667,13.433333,12.98,13.053333,13.053333,166900
2012-07-18,13.053333,13.406667,13.053333,13.406667,13.406667,139900
2012-07-19,13.413333,13.413333,13.146667,13.3,13.3,91600
2012-07-20,13.226666,13.246667,12.846666,12.88,12.88,91800
2012-07-23,12.566667,12.566667,12.326667,12.386666,12.386666,106200
2012-07-24,12.42,12.42,12.033334,12.18,12.18,141300
2012-07-25,12.24,12.333333,12.1,12.233334,12.233334,94500
2012-07-26,12.44,12.626667,12.333333,12.533334,12.533334,132900
2012-07-27,14.6,15.446667,14.24,15.006667,15.006667,549300
2012-07-30,15.086667,15.86,14.946667,15.2,15.2,374500
2012-07-31,15.066667,15.473333,14.773334,15.066667,15.066667,328200
2012-08-01,15.173333,15.486667,14.36,14.4,14.4,242200
2012-08-02,14.273334,14.866667,14.086667,14.833333,14.833333,234300
2012-08-03,15.026667,15.44,14.7,15.373333,15.373333,161800
2012-08-06,15.466666,16.233334,15.466666,15.76,15.76,293800
2012-08-07,15.946667,16.153334,15.693334,15.72,15.72,189000
2012-08-08,15.62,15.62,15.16,15.32,15.32,145600
2012-08-09,15.26,15.486667,15.186666,15.306666,15.306666,133200
