Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,9.2,9.35,9,9.2,9.2,62700
2012-02-22,9.2,9.3,9.05,9.25,9.25,24200
2012-02-23,9.25,9.6,9.15,9.4,9.4,56100
2012-02-24,9.4,9.55,9.3,9.3,9.3,29500
2012-02-27,9.2,9.65,9.1,9.45,9.45,18100
2012-02-28,9.5,9.6,9.25,9.3,9.3,24000
2012-02-29,9.35,9.5,9.05,9.25,9.25,69100
2012-03-01,9.3,9.35,9.05,9.1,9.1,35200
2012-03-02,9.15,9.15,8.75,8.8,8.8,44900
2012-03-05,8.75,9,8.45,9,9,16400
2012-03-06,8.85,8.95,8.65,8.7,8.7,38000
2012-03-07,8.95,8.95,8.5,8.8,8.8,20500
2012-03-08,8.85,8.95,8.6,8.8,8.8,15800
2012-03-09,8.8,9,8.75,8.9,8.9,21600
2012-03-12,8.95,9,8.75,8.9,8.9,17300
2012-03-13,9,9.65,8.9,9.4,9.4,50700
2012-03-14,9.35,9.4,9,9.05,9.05,19000
2012-03-15,9.1,9.4,8.95,9.3,9.3,22000
2012-03-16,9.35,9.5,9.15,9.35,9.35,71200
2012-03-19,9.3,9.7,9.3,9.6,9.6,41400
2012-03-20,9.5,9.6,9.3,9.5,9.5,25500
2012-03-21,9.55,9.7,9.35,9.45,9.45,14100
2012-03-22,9.35,9.45,9.05,9.1,9.1,33400
2012-03-23,9.1,9.65,9,9.65,9.65,36900
2012-03-26,9.6,9.6,9.4,9.5,9.5,46700
2012-03-27,9.5,9.55,9.3,9.45,9.45,47700
2012-03-28,9.45,9.45,9.25,9.35,9.35,21000
2012-03-29,9.3,9.7,9.05,9.2,9.2,38700
2012-03-30,9.25,9.3,8.7,8.8,8.8,86600
2012-04-02,8.8,9.5,8.7,9.45,9.45,40200
2012-04-03,9.35,9.55,8.95,9,9,61300
2012-04-04,8.95,9,8.7,8.75,8.75,40800
2012-04-05,8.7,8.95,8.65,8.65,8.65,9000
2012-04-09,8.5,8.7,8,8.2,8.2,50200
2012-04-10,8.2,8.65,8.05,8.05,8.05,45400
2012-04-11,8.25,8.75,8.25,8.5,8.5,35400
2012-04-12,8.5,8.6,8.05,8.25,8.25,28200
2012-04-13,8.2,8.35,8.05,8.05,8.05,22500
2012-04-16,8.1,8.4,8,8.25,8.25,9200
2012-04-17,8.35,8.65,8.3,8.45,8.45,30300
2012-04-18,8.45,8.65,8.05,8.05,8.05,37500
2012-04-19,8.05,8.25,7.8,7.8,7.8,41300
2012-04-20,8.15,8.15,7.85,8,8,53900
2012-04-23,7.8,8.2,7.5,8,8,41100
2012-04-24,8,8.2,7.9,7.95,7.95,56200
2012-04-25,8.05,8.3,7.65,7.95,7.95,78100
2012-04-26,8.1,8.35,7.9,8.25,8.25,109600
2012-04-27,8.3,8.4,7.8,7.95,7.95,51300
2012-04-30,7.95,8.25,7.95,8.1,8.1,37600
2012-05-01,8.1,8.35,8.05,8.05,8.05,41600
2012-05-02,8.05,8.2,7.95,8,8,26500
2012-05-03,8,8,7.55,7.7,7.7,63400
2012-05-04,7.65,7.8,7.45,7.55,7.55,54100
2012-05-07,7.55,7.75,7.55,7.6,7.6,38600
2012-05-08,7.55,7.75,7.5,7.6,7.6,43400
2012-05-09,7.5,7.6,7.45,7.5,7.5,56400
2012-05-10,7.45,7.65,7.35,7.5,7.5,28200
2012-05-11,7.4,7.75,7.4,7.7,7.7,49800
2012-05-14,7.6,7.75,7.5,7.55,7.55,13500
2012-05-15,7.55,7.7,7.5,7.5,7.5,11600
2012-05-16,7.5,7.75,7.5,7.6,7.6,35600
2012-05-17,7.55,7.75,7.5,7.55,7.55,45600
2012-05-18,7.5,7.9,7.45,7.7,7.7,47900
2012-05-21,7.75,7.75,7.5,7.75,7.75,21300
2012-05-22,7.1,7.85,7.1,7.45,7.45,73300
