Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,8,8,8,8,5.765177,200
2012-02-22,8,8,8,8,5.765177,0
2012-02-23,9.25,9.25,9.25,9.25,6.665986,0
2012-02-24,9.25,9.25,9.25,9.25,6.665986,0
2012-02-27,9.25,9.25,9.25,9.25,6.665986,0
2012-02-28,9.25,9.25,9.25,9.25,6.665986,0
2012-02-29,9.25,9.25,9.2,9.2,6.629955,100
2012-03-01,8.5,9.25,8,9.25,6.665986,200
2012-03-02,9.25,9.25,9.25,9.25,6.665986,0
2012-03-05,9.25,9.25,9.25,9.25,6.665986,0
2012-03-06,9.25,9.25,9.25,9.25,6.665986,0
2012-03-07,9.2,9.2,9.2,9.2,6.629955,0
2012-03-08,9.2,9.2,9.2,9.2,6.629955,0
2012-03-09,9.2,9.2,9.2,9.2,6.629955,0
2012-03-12,7.5,7.5,7.5,7.5,5.404854,0
2012-03-13,7.5,9.25,7.5,9.25,6.665986,200
2012-03-14,9.25,9.25,9.25,9.25,6.665986,0
2012-03-15,9.25,9.25,9.25,9.25,6.665986,0
2012-03-16,9.25,9.25,9.25,9.25,6.665986,0
2012-03-19,9.25,9.25,9.25,9.25,6.665986,0
2012-03-20,9,9,9,9,6.485825,0
2012-03-21,9,9,9,9,6.485825,0
2012-03-22,9,9,9,9,6.485825,0
2012-03-23,9,9,9,9,6.485825,0
2012-03-26,9,9,9,9,6.485825,0
2012-03-27,9,9,9,9,6.485825,0
2012-03-28,9,9,9,9,6.485825,0
2012-03-29,9,9,9,9,6.485825,0
2012-03-30,8.25,8.25,8.25,8.25,5.945339,1000
2012-04-02,7.75,7.75,7.5,7.5,5.404854,100
2012-04-03,7.5,7.5,6.25,6.25,4.504045,400
2012-04-04,6.05,6.05,6,6,4.323884,300
2012-04-05,6,6,6,6,4.323884,0
2012-04-09,6,6,6,6,4.323884,0
2012-04-10,6.5,6.5,6.5,6.5,4.684207,700
2012-04-11,6,6.95,6,6.95,5.008498,1500
2012-04-12,6.95,6.95,6.95,6.95,5.008498,100
2012-04-13,5.5,5.5,5.5,5.5,3.963559,0
2012-04-16,5.5,5.5,5.5,5.5,3.963559,0
2012-04-17,5.5,5.5,5.5,5.5,3.963559,100
2012-04-18,5.5,5.5,5.5,5.5,3.963559,0
2012-04-19,6.95,6.95,6.95,6.95,5.008498,0
2012-04-20,6.95,6.95,6.95,6.95,5.008498,0
2012-04-23,6.9,6.9,6.9,6.9,4.972466,0
2012-04-24,6.9,6.9,6.9,6.9,4.972466,0
2012-04-25,6.9,6.9,6.9,6.9,4.972466,0
2012-04-26,7.5,8,7.5,7.5,5.404854,2000
2012-04-27,7.5,7.5,7.5,7.5,5.404854,0
2012-04-30,7.5,7.5,7.5,7.5,5.404854,0
2012-05-01,7.5,7.5,7.5,7.5,5.404854,0
2012-05-02,5.8,7.95,5.5,7.95,5.729145,500
2012-05-03,7.95,7.95,7.95,7.95,5.729145,0
2012-05-04,7.7,7.7,7.7,7.7,5.548984,0
2012-05-07,7.75,7.75,7.75,7.75,5.585016,0
2012-05-08,7.5,7.75,7.5,7.75,5.585016,300
2012-05-09,7.5,7.5,7.5,7.5,5.404854,200
2012-05-10,7.5,7.5,7.5,7.5,5.404854,0
2012-05-11,7.25,7.25,5.05,5.05,3.639268,900
2012-05-14,6.25,6.25,6.2,6.2,4.468012,400
2012-05-15,6.2,6.2,5.15,5.15,3.711334,3200
2012-05-16,5.2,6.25,5.2,6.25,4.504045,600
2012-05-17,4.75,4.75,4.75,4.75,3.865261,1300
2012-05-18,4.75,4.75,4.75,4.75,3.865261,0
2012-05-21,4.75,4.75,4.75,4.75,3.865261,0
2012-05-22,4.75,4.75,4.75,4.75,3.865261,0
2012-05-23,4.75,4.75,4.75,4.75,3.865261,0
2012-05-24,4.75,4.75,4.75,4.75,3.865261,0
2012-05-25,4.75,4.75,4.75,4.75,3.865261,0
2012-05-29,4.75,4.75,4.75,4.75,3.865261,0
2012-05-30,4.75,4.75,4.75,4.75,3.865261,0
2012-05-31,4.75,4.75,4.75,4.75,3.865261,0
2012-06-01,4.75,4.75,4.75,4.75,3.865261,0
2012-06-04,4.75,4.75,4.75,4.75,3.865261,0
2012-06-05,4.75,4.75,4.75,4.75,3.865261,0
2012-06-06,4.75,4.75,4.75,4.75,3.865261,0
2012-06-07,4.75,4.75,4.75,4.75,3.865261,0
2012-06-08,4.75,4.75,4.75,4.75,3.865261,0
2012-06-11,4.75,4.75,4.75,4.75,3.865261,0
2012-06-12,6.25,7.5,2.75,7.5,6.103043,400
2012-06-13,7.5,7.5,7.5,7.5,6.103043,0
2012-06-14,3.05,7.4,3.05,3.25,2.644652,200
2012-06-15,6.2,7.25,4.25,5,4.068695,200
2012-06-18,7.25,7.25,6.25,6.25,5.085869,0
2012-06-19,7.25,7.25,3.55,7.25,5.899608,800
