Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,3.11,3.26,3.05,3.1,3.1,327800
2012-02-22,3.09,3.17,3.08,3.1,3.1,271900
2012-02-23,3.1,3.14,3.06,3.11,3.11,267100
2012-02-24,3.12,3.17,3.09,3.1,3.1,154100
2012-02-27,3.07,3.07,2.97,2.98,2.98,198300
2012-02-28,2.97,3.01,2.87,2.97,2.97,223700
2012-02-29,2.98,3.07,2.85,2.85,2.85,310600
2012-03-01,2.88,3.19,2.88,3.1,3.1,587900
2012-03-02,3.05,3.1,2.77,2.81,2.81,665600
2012-03-05,2.8,2.8,2.65,2.72,2.72,235700
2012-03-06,2.66,2.85,2.52,2.7,2.7,602400
2012-03-07,2.73,2.84,2.7,2.81,2.81,364100
2012-03-08,2.84,2.88,2.75,2.88,2.88,278800
2012-03-09,2.88,2.96,2.85,2.89,2.89,233700
2012-03-12,2.92,2.96,2.89,2.93,2.93,202100
2012-03-13,2.96,2.96,2.85,2.89,2.89,191400
2012-03-14,2.89,2.92,2.73,2.8,2.8,392900
2012-03-15,2.82,2.82,2.65,2.66,2.66,410700
2012-03-16,2.69,2.78,2.66,2.76,2.76,387300
2012-03-19,2.76,2.78,2.7,2.72,2.72,247800
2012-03-20,2.7,2.8,2.65,2.76,2.76,370500
2012-03-21,2.77,2.78,2.66,2.67,2.67,168500
2012-03-22,2.64,2.67,2.59,2.66,2.66,260800
2012-03-23,2.66,2.7,2.59,2.7,2.7,175000
2012-03-26,2.75,3.63,2.75,3.49,3.49,2948500
2012-03-27,3.58,3.7,3.25,3.36,3.36,1823900
2012-03-28,3.36,3.58,3.35,3.43,3.43,881400
2012-03-29,3.39,3.67,3.23,3.37,3.37,950900
2012-03-30,3.4,3.41,3.2,3.36,3.36,614700
2012-04-02,3.35,3.59,3.27,3.51,3.51,862800
2012-04-03,3.55,3.55,3.23,3.26,3.26,542700
2012-04-04,3.21,3.21,3.05,3.19,3.19,656500
2012-04-05,3.17,3.26,3.12,3.15,3.15,320700
2012-04-09,3.08,3.18,2.94,3.05,3.05,409100
2012-04-10,3.06,3.12,2.85,2.89,2.89,531200
2012-04-11,2.92,3.1,2.92,3,3,367200
2012-04-12,3.01,3.14,3,3.01,3.01,165200
2012-04-13,2.97,3.03,2.82,2.84,2.84,392100
2012-04-16,2.86,3,2.81,2.88,2.88,408000
2012-04-17,2.9,2.99,2.9,2.96,2.96,202300
2012-04-18,2.93,2.96,2.79,2.8,2.8,272600
2012-04-19,2.8,2.92,2.78,2.85,2.85,334500
2012-04-20,2.91,3.06,2.87,2.95,2.95,437800
2012-04-23,2.89,3,2.86,2.9,2.9,241700
2012-04-24,2.9,3.05,2.87,2.99,2.99,367100
2012-04-25,3.06,3.47,3.01,3.36,3.36,909900
2012-04-26,3.35,3.47,3.29,3.31,3.31,789600
2012-04-27,3.33,3.37,3.24,3.37,3.37,312400
2012-04-30,3.35,3.46,3.27,3.3,3.3,337200
2012-05-01,3.3,3.35,3.21,3.22,3.22,277000
2012-05-02,3.19,3.31,3.19,3.26,3.26,392900
2012-05-03,3.24,3.27,3.1,3.12,3.12,243500
2012-05-04,3.09,3.14,2.91,2.91,2.91,358300
2012-05-07,2.88,3.03,2.88,2.98,2.98,177000
2012-05-08,2.8,2.98,2.8,2.92,2.92,468500
2012-05-09,2.86,2.92,2.75,2.8,2.8,321900
2012-05-10,2.83,2.99,2.8,2.9,2.9,328000
2012-05-11,2.86,2.96,2.86,2.93,2.93,416400
2012-05-14,2.89,2.91,2.76,2.77,2.77,262500
2012-05-15,2.79,2.79,2.65,2.66,2.66,274000
2012-05-16,2.67,2.67,2.51,2.55,2.55,283700
2012-05-17,2.57,2.57,2.44,2.44,2.44,320900
2012-05-18,2.44,2.5,2.34,2.38,2.38,246500
2012-05-21,2.4,2.63,2.4,2.63,2.63,279500
2012-05-22,2.64,2.76,2.41,2.46,2.46,281000
2012-05-23,2.43,2.54,2.37,2.5,2.5,245000
2012-05-24,2.52,2.52,2.39,2.46,2.46,117700
2012-05-25,2.45,2.58,2.38,2.4,2.4,237800
2012-05-29,2.44,2.52,2.36,2.44,2.44,175100
2012-05-30,2.4,2.44,2.27,2.34,2.34,244400
2012-05-31,2.34,2.38,2.2,2.31,2.31,329600
2012-06-01,2.22,2.54,2.2,2.5,2.5,441800
2012-06-04,2.53,2.53,2.3,2.37,2.37,280700
2012-06-05,2.36,2.44,2.27,2.29,2.29,139800
2012-06-06,2.32,2.42,2.29,2.35,2.35,149000
2012-06-07,2.4,2.44,2.33,2.35,2.35,273400
2012-06-08,2.34,2.46,2.31,2.43,2.43,165300
2012-06-11,2.48,2.6,2.38,2.56,2.56,287200
2012-06-12,2.56,2.71,2.49,2.56,2.56,359900
2012-06-13,2.57,2.76,2.5,2.51,2.51,300600
2012-06-14,2.51,2.6,2.5,2.55,2.55,281400
2012-06-15,2.55,2.65,2.53,2.62,2.62,249000
2012-06-18,2.61,2.69,2.57,2.61,2.61,212900
2012-06-19,2.63,2.89,2.63,2.88,2.88,411100
2012-06-20,2.87,2.98,2.84,2.91,2.91,235700
2012-06-21,2.9,2.9,2.71,2.72,2.72,184300
2012-06-22,2.73,2.92,2.73,2.87,2.87,364300
2012-06-25,2.81,2.81,2.71,2.76,2.76,87400
2012-06-26,2.76,2.8,2.7,2.77,2.77,103900
2012-06-27,2.79,2.86,2.73,2.83,2.83,102000
2012-06-28,2.8,2.88,2.75,2.78,2.78,109400
2012-06-29,2.89,2.94,2.82,2.86,2.86,260900
2012-07-02,2.87,2.96,2.8,2.96,2.96,213900
2012-07-03,2.99,3.1,2.96,3.1,3.1,300000
2012-07-05,3.08,3.37,3.01,3.33,3.33,657100
2012-07-06,3.27,3.32,3.18,3.21,3.21,302100
2012-07-09,3.19,3.34,3.09,3.3,3.3,303800
2012-07-10,3.33,3.36,3.09,3.09,3.09,324000
2012-07-11,3.1,3.42,3.05,3.3,3.3,296700
2012-07-12,3.28,3.34,3.12,3.16,3.16,284300
2012-07-13,3.18,3.27,3.12,3.2,3.2,199500
2012-07-16,3.17,3.29,3.11,3.16,3.16,601400
2012-07-17,3.19,3.27,3.15,3.24,3.24,194200
2012-07-18,3.22,3.29,3.17,3.22,3.22,133600
2012-07-19,3.24,3.26,3.09,3.12,3.12,233200
2012-07-20,3.09,3.13,3.04,3.08,3.08,161000
2012-07-23,3.01,3.08,2.91,3.01,3.01,238800
2012-07-24,3.02,3.02,2.8,2.85,2.85,308700
2012-07-25,2.88,2.99,2.81,2.88,2.88,188200
2012-07-26,2.95,2.97,2.84,2.92,2.92,114500
2012-07-27,2.95,3.03,2.9,3,3,149000
2012-07-30,3,3.03,2.83,2.9,2.9,148200
2012-07-31,2.9,2.99,2.9,2.91,2.91,102800
2012-08-01,2.96,2.96,2.79,2.79,2.79,193600
2012-08-02,2.75,2.8,2.72,2.78,2.78,262300
2012-08-03,2.87,2.89,2.78,2.83,2.83,161500
2012-08-06,2.82,2.97,2.8,2.96,2.96,161400
2012-08-07,3,3.04,2.9,2.98,2.98,199400
2012-08-08,2.94,2.98,2.84,2.93,2.93,96700
2012-08-09,2.93,3.02,2.89,2.96,2.96,178600
2012-08-10,2.93,2.99,2.86,2.96,2.96,60300
2012-08-13,2.96,3.02,2.94,2.99,2.99,88700
2012-08-14,3.02,3.07,2.92,3.02,3.02,239500
2012-08-15,3.02,3.05,2.98,2.99,2.99,77800
2012-08-16,3,3.1,2.94,3.1,3.1,106000
2012-08-17,3.08,3.1,3.03,3.08,3.08,90400
2012-08-20,3.06,3.08,2.98,3,3,72800
2012-08-21,2.9,3.05,2.87,2.87,2.87,203400
2012-08-22,2.88,3.04,2.88,3,3,139500
2012-08-23,2.99,2.99,2.9,2.91,2.91,71500
2012-08-24,2.91,3.06,2.91,3.05,3.05,131700
2012-08-27,3.06,3.09,3.02,3.05,3.05,76500
2012-08-28,3.04,3.09,3,3.08,3.08,93500
2012-08-29,3.05,3.1,2.99,3.1,3.1,141400
2012-08-30,3.07,3.08,2.99,2.99,2.99,54900
2012-08-31,3.02,3.02,2.93,2.96,2.96,129500
