Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,20.5,20.559999,20.25,20.33,19.752068,64000
2012-02-22,20.33,20.379999,20.219999,20.299999,19.722923,25500
2012-02-23,20.389999,20.440001,20.02,20.43,19.849226,29800
2012-02-24,20.559999,20.690001,20.559999,20.629999,20.043545,35700
2012-02-27,20.530001,20.709999,20.34,20.610001,20.024113,41100
2012-02-28,20.66,20.73,20.5,20.6,20.014387,29800
2012-02-29,20.66,20.709999,20.370001,20.42,19.839512,156300
2012-03-01,20.5,20.66,20.389999,20.6,20.014387,53200
2012-03-02,20.629999,20.75,20.48,20.549999,19.965809,66200
2012-03-05,20.65,20.65,20.190001,20.24,19.664625,38100
2012-03-06,20,20.01,19.709999,19.84,19.276003,200500
2012-03-07,19.91,20.110001,19.91,20.08,19.509172,43300
2012-03-08,20.25,20.41,20.209999,20.370001,19.790932,144800
2012-03-09,20.379999,20.57,20.360001,20.530001,19.946386,57700
2012-03-12,20.469999,20.52,20.34,20.41,19.829796,31600
2012-03-13,20.530001,20.799999,20.5,20.799999,20.208706,56300
2012-03-14,20.799999,20.799999,20.6,20.68,20.092121,38000
2012-03-15,20.75,20.92,20.68,20.889999,20.29615,65900
2012-03-16,20.99,20.99,20.799999,20.83,20.23786,43000
2012-03-19,20.860001,21.07,20.799999,20.98,20.383593,36700
2012-03-20,20.85,20.969999,20.68,20.940001,20.344727,33400
2012-03-21,21.01,21.23,20.889999,21.139999,20.539045,64000
2012-03-22,20.98,21.01,20.84,20.940001,20.344727,68800
2012-03-23,20.99,21.07,20.790001,21.040001,20.441883,65100
2012-03-26,21.190001,21.469999,21.190001,21.469999,20.859661,60900
2012-03-27,21.57,21.57,21.370001,21.379999,20.772219,68100
2012-03-28,21.459999,21.49,21.110001,21.23,20.626486,46600
2012-03-29,21.200001,21.450001,21.059999,21.42,20.811085,53800
2012-03-30,21.559999,21.559999,21.24,21.360001,20.752789,75300
2012-04-02,21.42,21.58,21.23,21.51,20.898525,40200
2012-04-03,21.360001,21.629999,21.360001,21.52,20.908236,107400
2012-04-04,21.35,21.35,20.950001,21.1,20.500181,67000
2012-04-05,21.02,21.139999,20.940001,21.07,20.471031,30100
2012-04-09,20.83,20.870001,20.67,20.82,20.22814,43000
2012-04-10,20.870001,20.91,20.360001,20.379999,19.800652,113200
2012-04-11,20.379999,20.620001,20.360001,20.5,19.917238,45000
2012-04-12,20.620001,20.879999,20.540001,20.879999,20.286432,225000
2012-04-13,20.85,20.889999,20.59,20.709999,20.121265,32400
2012-04-16,20.870001,20.870001,20.370001,20.42,19.839512,26500
2012-04-17,20.59,20.99,20.59,20.959999,20.364157,125900
2012-04-18,20.83,20.98,20.82,20.91,20.31558,47200
2012-04-19,20.9,21.25,20.68,20.780001,20.18928,53500
2012-04-20,20.889999,20.9,20.540001,20.6,20.014387,66100
2012-04-23,20.379999,20.379999,20.02,20.280001,19.703493,90100
2012-04-24,20.190001,20.190001,19.85,20,19.431454,83900
2012-04-25,20.219999,20.379999,20.18,20.379999,19.800652,27600
2012-04-26,20.389999,20.690001,20.389999,20.65,20.062971,31600
2012-04-27,20.76,20.82,20.549999,20.719999,20.130974,27900
