Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,2.4,2.5,2.4,2.49,2.49,3100
2012-02-22,2.4,2.4,2.4,2.4,2.4,1000
2012-02-23,2.5,2.5,2.49,2.5,2.5,2800
2012-02-24,2.51,2.55,2.49,2.55,2.55,1700
2012-02-27,2.55,2.55,2.55,2.55,2.55,0
2012-02-28,2.55,2.55,2.55,2.55,2.55,1400
2012-02-29,2.53,2.55,2.5,2.51,2.51,800
2012-03-01,2.51,2.51,2.51,2.51,2.51,0
2012-03-02,2.35,2.4,2.35,2.4,2.4,600
2012-03-05,2.4,2.4,2.4,2.4,2.4,0
2012-03-06,2.4,2.4,2.4,2.4,2.4,0
2012-03-07,2.35,2.35,2.35,2.35,2.35,1000
2012-03-08,2.35,2.35,2.35,2.35,2.35,0
2012-03-09,2.35,2.35,2.35,2.35,2.35,0
2012-03-12,2.45,2.45,2.45,2.45,2.45,100
2012-03-13,2.45,2.45,2.45,2.45,2.45,0
2012-03-14,2.35,2.4,2.35,2.36,2.36,2700
2012-03-15,2.36,2.36,2.36,2.36,2.36,500
2012-03-16,2.48,2.48,2.47,2.48,2.48,2200
2012-03-19,2.37,2.37,2.37,2.37,2.37,700
2012-03-20,2.37,2.37,2.37,2.37,2.37,0
2012-03-21,2.37,2.37,2.3,2.3,2.3,8000
2012-03-22,2.42,2.42,2.42,2.42,2.42,800
2012-03-23,2.48,2.55,2.48,2.55,2.55,2500
2012-03-26,2.6,2.99,2.6,2.6,2.6,20900
2012-03-27,2.96,2.96,2.7,2.76,2.76,500
2012-03-28,2.93,2.93,2.75,2.75,2.75,2100
2012-03-29,2.81,3.15,2.81,3.1,3.1,9300
2012-03-30,3.13,3.4,3.13,3.34,3.34,2800
2012-04-02,3.02,3.37,3.02,3.2,3.2,22300
2012-04-03,3.14,3.2,3.05,3.1,3.1,4400
2012-04-04,3.02,3.02,3,3.02,3.02,500
2012-04-05,3,3.02,3,3,3,800
2012-04-09,3,3,3,3,3,0
2012-04-10,2.92,2.94,2.92,2.94,2.94,1100
2012-04-11,2.97,2.97,2.97,2.97,2.97,100
2012-04-12,2.97,2.97,2.97,2.97,2.97,0
2012-04-13,2.98,3.29,2.98,3.29,3.29,300
2012-04-16,3.29,3.29,3.29,3.29,3.29,0
2012-04-17,3.26,3.26,3.26,3.26,3.26,300
2012-04-18,3.23,3.23,3.1,3.1,3.1,4100
2012-04-19,3.1,3.1,3.1,3.1,3.1,1400
2012-04-20,3.81,3.98,3.5,3.98,3.98,3600
2012-04-23,3.97,3.97,3.65,3.65,3.65,900
2012-04-24,3.55,4.55,3.44,4.08,4.08,27000
2012-04-25,4.3,4.32,4,4,4,13400
2012-04-26,4.02,4.22,4.02,4.22,4.22,3500
2012-04-27,4.2,4.25,4.2,4.24,4.24,26200
2012-04-30,4.29,4.53,4.26,4.32,4.32,7800
2012-05-01,4.4,4.4,4.16,4.35,4.35,9300
2012-05-02,4.35,4.35,4.35,4.35,4.35,0
2012-05-03,4.39,4.39,4.39,4.39,4.39,1100
2012-05-04,4.4,4.75,4.4,4.6,4.6,2900
2012-05-07,4.6,4.6,4.4,4.4,4.4,5800
2012-05-08,4.54,4.54,4.45,4.5,4.5,4400
2012-05-09,4.5,4.7,4.49,4.7,4.7,10000
2012-05-10,4.7,4.7,4.57,4.69,4.69,20000
2012-05-11,4.69,4.7,4.65,4.7,4.7,9100
2012-05-14,4.74,4.74,4.2,4.35,4.35,1700
2012-05-15,5,5,4.5,4.5,4.5,1900
2012-05-16,4.32,4.32,4.32,4.32,4.32,200
2012-05-17,4.55,4.65,4.33,4.34,4.34,6200
2012-05-18,4.4,4.4,4.29,4.29,4.29,300
2012-05-21,4.28,4.57,4.23,4.53,4.53,2400
2012-05-22,4.41,4.88,4.4,4.88,4.88,1900
2012-05-23,4.37,4.77,4.32,4.37,4.37,7800
2012-05-24,4.42,4.42,4.3,4.3,4.3,400
2012-05-25,4.4,4.4,4.4,4.4,4.4,300
2012-05-29,4.45,4.9,4.45,4.9,4.9,22300
2012-05-30,4.79,4.79,4.5,4.5,4.5,1300
2012-05-31,4.58,4.65,4.58,4.65,4.65,700
2012-06-01,4.55,4.55,4.55,4.55,4.55,300
2012-06-04,4.55,4.55,4.55,4.55,4.55,0
2012-06-05,4.55,4.55,4.55,4.55,4.55,100
2012-06-06,4.61,4.61,4.61,4.61,4.61,100
2012-06-07,4.62,4.62,4.5,4.5,4.5,2700
2012-06-08,4.52,4.52,4.25,4.26,4.26,10800
2012-06-11,4.19,5,4.19,4.4,4.4,3500
2012-06-12,4.5,4.65,4.5,4.65,4.65,11600
2012-06-13,4.61,4.64,4.6,4.64,4.64,1200
2012-06-14,4.63,4.85,4.55,4.85,4.85,3900
2012-06-15,4.85,4.9,4.8,4.9,4.9,6800
2012-06-18,4.96,4.96,4.8,4.8,4.8,3100
2012-06-19,4.88,4.88,4.8,4.88,4.88,2200
2012-06-20,4.73,4.73,4.73,4.73,4.73,1000
2012-06-21,4.7,4.7,4.6,4.6,4.6,1000
2012-06-22,4.74,4.97,4.7,4.7,4.7,1200
2012-06-25,4.7,4.7,4.7,4.7,4.7,0
2012-06-26,4.7,4.7,4.7,4.7,4.7,0
2012-06-27,4.7,4.7,4.7,4.7,4.7,0
2012-06-28,5,5,4.7,4.7,4.7,1500
2012-06-29,4.71,4.71,4.65,4.7,4.7,1700
2012-07-02,4.99,5,4.94,4.94,4.94,1000
2012-07-03,4.76,4.99,4.5,4.75,4.75,1200
2012-07-05,4.75,4.75,4.75,4.75,4.75,500
2012-07-06,4.99,5,4.95,4.95,4.95,1400
2012-07-09,4.95,4.95,4.95,4.95,4.95,0
2012-07-10,4.75,4.99,4.75,4.99,4.99,1200
2012-07-11,4.75,4.8,4.75,4.8,4.8,2100
2012-07-12,4.8,4.8,4.8,4.8,4.8,0
2012-07-13,4.76,4.76,4.76,4.76,4.76,100
2012-07-16,4.79,4.79,4.79,4.79,4.79,100
2012-07-17,4.79,4.79,4.79,4.79,4.79,0
2012-07-18,4.85,4.85,4.85,4.85,4.85,100
2012-07-19,4.87,4.87,4.87,4.87,4.87,100
2012-07-20,4.96,4.96,4.94,4.96,4.96,1500
2012-07-23,4.93,4.93,4.8,4.8,4.8,700
2012-07-24,4.85,4.85,4.85,4.85,4.85,400
2012-07-25,4.87,4.87,4.87,4.87,4.87,100
2012-07-26,4.87,4.87,4.75,4.75,4.75,1900
2012-07-27,4.75,4.75,4.25,4.73,4.73,6600
2012-07-30,4.42,4.52,4.4,4.52,4.52,300
2012-07-31,4.6,4.67,4.6,4.64,4.64,4000
2012-08-01,4.6,4.77,4.6,4.77,4.77,11700
2012-08-02,4.77,4.77,4.77,4.77,4.77,0
2012-08-03,4.78,4.91,4.78,4.91,4.91,1000
2012-08-06,4.95,4.99,4.93,4.99,4.99,2300
2012-08-07,4.86,5.12,4.86,5.08,5.08,3500
2012-08-08,5.02,5.02,5.02,5.02,5.02,200
2012-08-09,5.49,5.49,5.06,5.06,5.06,200
2012-08-10,5.13,5.13,5.13,5.13,5.13,100
2012-08-13,5.13,5.13,5.13,5.13,5.13,0
2012-08-14,5.13,5.13,5.13,5.13,5.13,0
2012-08-15,5.07,5.07,5.07,5.07,5.07,200
2012-08-16,5.33,5.33,5.33,5.33,5.33,400
2012-08-17,5.33,5.33,5.33,5.33,5.33,0
2012-08-20,5.3,5.3,5.3,5.3,5.3,200
2012-08-21,5.15,5.15,5.15,5.15,5.15,500
2012-08-22,5.15,5.15,5.06,5.06,5.06,5400
2012-08-23,5.07,5.11,5.06,5.06,5.06,2500
2012-08-24,5.06,5.06,5.06,5.06,5.06,0
2012-08-27,5.1,5.15,5.1,5.15,5.15,700
2012-08-28,5.15,5.15,5.15,5.15,5.15,100
2012-08-29,5.15,5.15,5.15,5.15,5.15,0
2012-08-30,5.15,5.15,5.15,5.15,5.15,0
2012-08-31,5.15,5.15,5.15,5.15,5.15,300
2012-09-04,5.06,5.06,5.06,5.06,5.06,200
2012-09-05,5.06,5.06,5.06,5.06,5.06,800
2012-09-06,5.06,5.06,5.06,5.06,5.06,0
2012-09-07,5.07,5.07,5.07,5.07,5.07,100
2012-09-10,5.06,5.06,5.06,5.06,5.06,3900
2012-09-11,5.01,5.02,4.8,4.99,4.99,3000
2012-09-12,4.99,5.04,4.86,4.96,4.96,2500
2012-09-13,4.96,4.97,4.84,4.95,4.95,2100
2012-09-14,5,5.01,4.96,5,5,9600
2012-09-17,5,5,5,5,5,0
2012-09-18,5,5,5,5,5,0
2012-09-19,4.96,4.96,4.96,4.96,4.96,100
2012-09-20,4.98,5.1,4.98,5.09,5.09,1400
2012-09-21,5.06,5.1,4.97,5.1,5.1,800
2012-09-24,5.1,5.1,5.1,5.1,5.1,0
2012-09-25,5.03,5.22,5.03,5.22,5.22,2100
2012-09-26,5.2,5.43,5.09,5.43,5.43,14900
2012-09-27,5.43,5.79,5.43,5.75,5.75,32300
2012-09-28,5.79,5.79,5.75,5.75,5.75,3600
2012-10-01,5.75,5.75,5.75,5.75,5.75,0
2012-10-02,5.77,5.77,5.77,5.77,5.77,100
2012-10-03,5.83,5.83,5.83,5.83,5.83,200
2012-10-04,5.87,5.87,5.87,5.87,5.87,100
2012-10-05,5.79,5.89,5.77,5.89,5.89,2100
2012-10-08,5.88,5.9,5.88,5.89,5.89,300
2012-10-09,5.9,5.9,5.9,5.9,5.9,100
2012-10-10,5.85,5.85,5.76,5.8,5.8,9900
2012-10-11,5.89,6.3,5.89,6.05,6.05,11600
2012-10-12,6.43,6.45,6.13,6.13,6.13,10500
2012-10-15,6.3,6.3,6.09,6.14,6.14,1100
2012-10-16,6.12,6.12,5.45,5.85,5.85,4000
2012-10-17,5.85,5.85,5.85,5.85,5.85,0
2012-10-18,5.85,5.85,5.85,5.85,5.85,0
2012-10-19,5.72,5.81,5.72,5.75,5.75,1100
2012-10-22,6.09,6.09,5.85,5.89,5.89,700
2012-10-23,5.84,5.84,5.84,5.84,5.84,100
2012-10-24,5.44,5.78,5.32,5.78,5.78,700
2012-10-25,5.8,5.8,5.8,5.8,5.8,100
2012-10-26,5.8,5.8,5.8,5.8,5.8,0
2012-10-31,5.3,5.69,5.27,5.69,5.69,1900
2012-11-01,5.76,5.76,5.76,5.76,5.76,200
2012-11-02,5.71,5.71,5.5,5.55,5.55,8200
2012-11-05,5.61,5.61,5.61,5.61,5.61,100
2012-11-06,5.59,5.59,5.59,5.59,5.59,200
2012-11-07,5.56,5.56,5.5,5.5,5.5,600
2012-11-08,5.5,5.5,5.5,5.5,5.5,0
2012-11-09,5.25,5.3,4.96,5.3,5.3,4400
2012-11-12,5.38,5.4,5.2,5.3,5.3,3600
2012-11-13,5.67,5.67,5.39,5.39,5.39,2000
2012-11-14,5.39,5.39,5.39,5.39,5.39,0
2012-11-15,5.33,5.33,5.33,5.33,5.33,2700
2012-11-16,5.38,5.4,5.38,5.4,5.4,1900
2012-11-19,5.42,5.86,5.42,5.72,5.72,18900
2012-11-20,5.74,5.81,5.54,5.58,5.58,4300
2012-11-21,5.81,5.91,5.58,5.66,5.66,5000
2012-11-23,5.49,5.67,5.48,5.65,5.65,3800
2012-11-26,5.53,5.53,5.49,5.5,5.5,1600
2012-11-27,5.49,5.6,5.49,5.6,5.6,1800
2012-11-28,5.57,5.57,5.57,5.57,5.57,100
2012-11-29,5.58,5.65,5.4,5.65,5.65,18500
2012-11-30,5.65,5.65,5.65,5.65,5.65,200
2012-12-03,5.94,5.94,5.94,5.94,5.94,100
2012-12-04,5.82,5.95,5.42,5.55,5.55,5100
2012-12-05,5.52,5.52,5.52,5.52,5.52,700
2012-12-06,5.48,5.52,5.4,5.5,5.5,900
2012-12-07,5.5,5.55,5.39,5.55,5.55,3000
2012-12-10,5.5,5.5,5.33,5.45,5.45,5500
2012-12-11,5.42,5.5,5.42,5.5,5.5,400
2012-12-12,5.49,5.49,5.49,5.49,5.49,100
2012-12-13,5.4,5.41,5.06,5.3,5.3,13900
