Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,34.360001,34.400002,33.68,33.68,33.68,312900
2012-02-22,33.490002,33.799999,33.240002,33.610001,33.610001,200300
2012-02-23,33.700001,34.029999,33.02,34,34,311500
2012-02-24,34.060001,34.419998,33.700001,33.91,33.91,193100
2012-02-27,33.669998,34.200001,33.330002,33.77,33.77,223800
2012-02-28,33.82,34.529999,33.360001,33.66,33.66,164500
2012-02-29,33.68,34,33.450001,33.459999,33.459999,284000
2012-03-01,33.52,34.189999,33.48,33.639999,33.639999,182500
2012-03-02,33.540001,33.970001,32.91,33.5,33.5,317100
2012-03-05,33.310001,33.75,33.049999,33.27,33.27,329100
2012-03-06,33.02,33.139999,31.49,31.860001,31.860001,460500
2012-03-07,32.049999,32.150002,31.24,31.93,31.93,445000
2012-03-08,32.110001,32.419998,31.43,31.5,31.5,757900
2012-03-09,31.5,31.709999,31.17,31.459999,31.459999,679400
2012-03-12,31.440001,32.990002,31.440001,32.509998,32.509998,529400
2012-03-13,32.900002,33,31.73,32.959999,32.959999,436300
2012-03-14,32.740002,32.82,32.09,32.150002,32.150002,345600
2012-03-15,32.150002,32.880001,32,32.869999,32.869999,267600
2012-03-16,32.849998,33,32.07,32.459999,32.459999,371100
2012-03-19,32.279999,33.290001,32.040001,32.830002,32.830002,256300
2012-03-20,32.5,32.849998,32,32.18,32.18,254100
2012-03-21,32.27,32.869999,32.060001,32.439999,32.439999,247000
2012-03-22,32.09,32.34,31.639999,31.940001,31.940001,214500
2012-03-23,31.9,32.599998,31.610001,32.490002,32.490002,174700
2012-03-26,32.779999,34.349998,32.540001,33.720001,33.720001,409700
2012-03-27,33.759998,34.16,33.669998,33.740002,33.740002,344200
2012-03-28,33.68,33.68,32.779999,32.880001,32.880001,405800
2012-03-29,32.540001,32.580002,31.620001,31.92,31.92,590700
2012-03-30,32.259998,32.279999,31.370001,31.92,31.92,402400
2012-04-02,31.82,32.509998,31.540001,32.349998,32.349998,235500
2012-04-03,32.240002,32.509998,31.52,32.060001,32.060001,259300
2012-04-04,31.74,31.809999,31.200001,31.5,31.5,149700
2012-04-05,31.26,31.799999,31.1,31.77,31.77,104400
2012-04-09,31.08,31.120001,30.16,30.51,30.51,417200
