Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,5.29,5.38,5.26,5.27,5.27,217500
2012-02-22,5.27,5.42,5.19,5.28,5.28,762700
2012-02-23,5.28,5.35,5.21,5.27,5.27,71000
2012-02-24,5.25,5.33,5.22,5.28,5.28,60000
2012-02-27,5.25,5.25,5.04,5.12,5.12,210100
2012-02-28,5.12,5.2,5.05,5.08,5.08,286800
2012-02-29,5.06,5.13,4.98,5.02,5.02,342200
2012-03-01,5.04,5.14,4.99,5.05,5.05,96800
2012-03-02,5.04,5.2,5.04,5.15,5.15,155500
2012-03-05,5.17,5.25,4.99,5.08,5.08,261600
2012-03-06,5.03,5.14,4.96,5.11,5.11,180900
2012-03-07,5.02,5.4,5.02,5.21,5.21,516700
2012-03-08,5.25,5.3,5.1,5.27,5.27,496900
2012-03-09,5.3,5.3,5.2,5.25,5.25,286400
2012-03-12,5.25,5.29,5.2,5.23,5.23,67300
2012-03-13,5.27,5.41,5.22,5.35,5.35,150200
2012-03-14,5.35,5.35,5.22,5.28,5.28,225700
2012-03-15,5.27,5.4,5.27,5.31,5.31,72500
2012-03-16,5.34,5.34,5.24,5.27,5.27,75600
2012-03-19,5.26,5.37,5.25,5.32,5.32,200700
2012-03-20,5.28,5.43,5.19,5.31,5.31,90800
2012-03-21,5.3,5.32,5.2,5.27,5.27,211200
2012-03-22,5.23,5.31,5.2,5.23,5.23,51100
2012-03-23,5.17,5.27,5.16,5.25,5.25,80700
2012-03-26,5.29,5.48,5.27,5.45,5.45,276400
2012-03-27,5.44,5.44,5.29,5.39,5.39,196400
2012-03-28,5.39,5.48,5.35,5.41,5.41,95500
2012-03-29,5.38,5.48,5.38,5.41,5.41,89300
2012-03-30,5.43,5.56,5.34,5.47,5.47,129300
2012-04-02,5.48,5.62,5.48,5.6,5.6,96400
2012-04-03,5.6,5.88,5.6,5.75,5.75,158400
2012-04-04,5.71,5.73,5.48,5.54,5.54,172700
2012-04-05,5.54,5.62,5.43,5.47,5.47,54600
2012-04-09,5.4,5.48,5.34,5.43,5.43,78500
2012-04-10,5.41,5.48,5.36,5.44,5.44,113200
2012-04-11,5.47,5.62,5.32,5.47,5.47,176800
2012-04-12,5.46,5.63,5.41,5.53,5.53,133400
2012-04-13,5.51,5.55,5.45,5.47,5.47,54300
2012-04-16,5.46,5.5,5.4,5.44,5.44,72600
2012-04-17,5.49,5.63,5.49,5.62,5.62,65100
2012-04-18,5.59,5.75,5.54,5.71,5.71,134500
2012-04-19,5.68,5.74,5.63,5.68,5.68,69800
2012-04-20,5.68,5.7,5.61,5.68,5.68,221100
2012-04-23,5.62,5.64,5.42,5.43,5.43,109100
2012-04-24,5.45,5.7,5.4,5.67,5.67,112900
2012-04-25,5.7,5.76,5.63,5.72,5.72,58300
2012-04-26,5.68,5.72,5.58,5.68,5.68,79400
2012-04-27,5.7,5.79,5.5,5.75,5.75,99000
2012-04-30,5.72,5.96,5.72,5.81,5.81,139000
2012-05-01,5.86,5.92,5.72,5.76,5.76,71000
2012-05-02,5.7,5.77,5.62,5.65,5.65,125600
2012-05-03,5.66,5.68,5.46,5.54,5.54,88000
2012-05-04,5.55,5.64,5.46,5.6,5.6,65000
2012-05-07,5.6,5.75,5.51,5.73,5.73,54000
2012-05-08,5.73,5.79,5.65,5.66,5.66,95000
2012-05-09,5.62,5.91,5.51,5.89,5.89,160000
2012-05-10,5.91,5.99,5.83,5.89,5.89,223000
2012-05-11,5.86,6.02,5.82,5.97,5.97,291700
2012-05-14,5.96,6.05,5.86,5.92,5.92,307800
2012-05-15,5.89,5.96,5.77,5.95,5.95,96000
2012-05-16,5.92,5.92,5.76,5.86,5.86,191000
2012-05-17,5.88,5.99,5.8,5.92,5.92,117100
2012-05-18,5.92,5.99,5.79,5.82,5.82,80200
2012-05-21,5.81,5.88,5.6,5.62,5.62,47200
2012-05-22,5.58,5.89,5.58,5.85,5.85,197000
2012-05-23,5.81,5.85,5.72,5.8,5.8,93000
2012-05-24,5.67,5.86,5.62,5.81,5.81,161600
2012-05-25,5.81,5.85,5.73,5.85,5.85,50900
2012-05-29,5.85,5.99,5.85,5.93,5.93,350300
2012-05-30,5.9,5.99,5.86,5.96,5.96,129100
2012-05-31,5.99,6.08,5.89,6.02,6.02,213100
2012-06-01,5.93,6,5.84,5.91,5.91,76200
2012-06-04,5.88,5.91,5.78,5.89,5.89,118900
2012-06-05,5.85,6.03,5.85,6,6,100000
2012-06-06,6.01,6.15,5.99,6.13,6.13,166400
2012-06-07,6.13,6.2,5.98,6.05,6.05,266000
2012-06-08,6.03,6.03,5.9,5.99,5.99,28500
2012-06-11,6.01,6.04,5.76,5.77,5.77,451400
2012-06-12,5.82,5.88,5.77,5.84,5.84,51400
2012-06-13,5.86,6.04,5.75,5.77,5.77,141700
2012-06-14,5.79,5.84,5.67,5.74,5.74,127600
2012-06-15,5.73,5.8,5.71,5.79,5.79,76100
2012-06-18,5.75,5.77,5.67,5.71,5.71,141900
2012-06-19,5.71,5.79,5.71,5.73,5.73,167800
