Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,25.32,25.469999,24.629999,24.780001,22.68582,2547000
2012-02-22,24.9,24.99,24.559999,24.85,22.749905,2612300
2012-02-23,24.780001,25.6,24.6,25.559999,23.399904,4359600
2012-02-24,25.65,25.98,25.559999,25.860001,23.674549,3035400
2012-02-27,25.959999,26.99,25.4,26.6,24.352013,5514100
2012-02-28,26.74,27.360001,26.299999,26.889999,24.6175,6003000
2012-02-29,27.02,27.190001,26.629999,26.969999,24.690741,3714700
2012-03-01,27.4,27.540001,26.870001,27.370001,25.056938,4890900
2012-03-02,27.33,28.16,27.219999,27.459999,25.139334,5231500
2012-03-05,27.309999,27.4,25.83,26.07,23.866798,6803100
2012-03-06,25.6,25.68,24.889999,25.379999,23.235111,8333300
2012-03-07,25.99,26.17,25.5,26.09,23.885117,5229000
2012-03-08,26.33,26.84,26.08,26.77,24.507645,3197900
2012-03-09,27.01,27.309999,26.66,26.91,24.635811,5232200
2012-03-12,26.83,26.92,26.360001,26.450001,24.214689,3171500
2012-03-13,26.629999,27.15,26.469999,27.15,24.855532,4049000
2012-03-14,27.23,27.92,27.17,27.73,25.386515,3683200
2012-03-15,27.879999,28.4,27.74,28.290001,25.899185,3717900
2012-03-16,28.33,28.5,27.68,28.049999,25.679466,4298300
2012-03-19,28.16,29.01,27.950001,28.66,26.237919,4235300
2012-03-20,28.48,28.58,27.82,28.27,25.880878,4091000
2012-03-21,28.440001,28.73,28.32,28.49,26.082289,3397300
2012-03-22,28.219999,28.639999,27.93,28.4,25.999889,4395800
2012-03-23,28.43,28.43,27.9,28.16,25.780172,4551500
2012-03-26,28.549999,28.809999,28.26,28.52,26.109747,3818100
2012-03-27,28.6,28.780001,28.25,28.610001,26.192146,3337000
2012-03-28,28.65,28.76,27.42,27.82,25.468904,3547200
2012-03-29,27.620001,27.790001,27.049999,27.66,25.322424,3537200
2012-03-30,27.870001,28.02,27.35,27.65,25.313274,2534900
2012-04-02,27.66,27.959999,27.34,27.709999,25.368198,2901300
2012-04-03,27.790001,28,27.33,27.530001,25.203419,2514300
2012-04-04,27.1,27.219999,26.110001,26.379999,24.150602,5742900
2012-04-05,26.200001,26.99,26.200001,26.940001,24.663269,3434200
2012-04-09,26.26,26.77,26.08,26.35,24.123137,2760700
2012-04-10,26.370001,27.040001,25.68,25.75,23.573847,5008100
2012-04-11,26.15,26.540001,25.76,26.35,24.123137,3515800
