Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,10.25,10.25,9.7,10.2,9.608218,15200
2012-02-22,9.95,10.28,9.8,10.06,9.476341,3600
2012-02-23,10.11,10.11,9.85,9.96,9.382142,1800
2012-02-24,10.3,10.3,10.16,10.25,9.655317,1600
2012-02-27,10.18,10.32,10.12,10.15,9.561118,10900
2012-02-28,10.14,10.3,10.14,10.22,9.722849,6600
2012-02-29,10.2,10.3,10.14,10.3,9.798958,2600
2012-03-01,10.1,10.45,10.1,10.45,9.941661,6400
2012-03-02,10.45,11.04,10.45,10.93,10.398313,18200
2012-03-05,11,11,10.75,10.92,10.388798,6000
2012-03-06,10.93,10.94,10.47,10.87,10.341229,5400
2012-03-07,10.87,10.87,10.87,10.87,10.341229,0
2012-03-08,10.87,10.87,10.87,10.87,10.341229,0
2012-03-09,10.59,11.02,10.57,10.81,10.284149,5900
2012-03-12,10.95,11.03,10.95,10.96,10.426852,15500
2012-03-13,11.02,11.9,10.97,11.15,10.607609,17100
2012-03-14,11.35,11.6,11.12,11.54,10.978639,3500
2012-03-15,11.51,11.87,11.2,11.29,10.740799,5100
2012-03-16,11.24,11.84,11.2,11.3,10.750314,6200
2012-03-19,11.89,11.9,11.31,11.71,11.140369,9600
2012-03-20,11.77,12.5,11.6,12.3,11.701669,25000
2012-03-21,12.31,12.95,12.31,12.65,12.034642,28500
2012-03-22,12.8,12.8,11.9,12.36,11.758748,13100
2012-03-23,12.17,12.17,11.17,11.59,11.026205,11900
2012-03-26,11.57,12.11,11.25,11.8,11.22599,20400
2012-03-27,12.09,12.12,11.65,11.95,11.368693,5200
2012-03-28,11.91,12.42,11.91,12.3,11.701669,5300
2012-03-29,12.33,12.42,11.5,11.75,11.178422,6800
2012-03-30,12.2,12.25,11.77,11.77,11.19745,4800
2012-04-02,12.01,12.25,11.95,12.18,11.587506,4600
2012-04-03,12.18,12.2,11.75,11.75,11.178422,5700
2012-04-04,11.89,11.89,11.22,11.5,10.940583,9600
2012-04-05,11.45,12,11.45,12,11.416262,5300
2012-04-09,11.57,11.63,11.53,11.55,10.988153,5800
2012-04-10,11.63,11.68,11.52,11.52,10.959611,7400
2012-04-11,11.5,11.58,11.28,11.58,11.016692,2000
2012-04-12,11.6,11.6,11.03,11.03,10.493446,9800
2012-04-13,11.1,11.1,10.01,10.09,9.599174,21300
2012-04-16,10.1,10.39,9.22,9.24,8.790521,31000
2012-04-17,9.24,10.19,9.24,10.05,9.561119,11200
2012-04-18,9.72,10.19,9.68,9.8,9.323279,12500
2012-04-19,9.8,10.19,9.65,9.84,9.361335,7000
2012-04-20,9.62,10,9.62,10,9.513552,8100
2012-04-23,9.93,10.18,9.93,10.18,9.684796,4700
2012-04-24,10.02,10.15,10,10.11,9.6182,3100
2012-04-25,9.54,10.15,9.54,10.07,9.580146,4000
2012-04-26,10,10.04,9.63,9.63,9.16155,1800
2012-04-27,9.68,10.35,9.68,10.06,9.570633,9000
2012-04-30,10.04,10.27,10.04,10.27,9.770418,1200
2012-05-01,10.27,10.27,10.27,10.27,9.770418,0
2012-05-02,10.34,10.34,10.05,10.2,9.703822,13000
2012-05-03,10.2,10.2,10.2,10.2,9.703822,200
2012-05-04,10.23,10.4,10.01,10.32,9.817985,4300
2012-05-07,10.07,10.38,10.07,10.14,9.646741,3100
2012-05-08,8.86,8.99,7.5,7.7,7.325434,61300
2012-05-09,7.65,7.97,7.5,7.6,7.230299,59000
2012-05-10,7.74,7.75,7.73,7.75,7.373002,1200
2012-05-11,7.7,7.7,7.62,7.62,7.249326,800
2012-05-14,7.65,7.65,7.51,7.53,7.163705,4800
2012-05-15,7.62,7.78,7.62,7.76,7.382516,5700
2012-05-16,7.72,7.74,7.51,7.61,7.239813,6100
2012-05-17,7.53,7.69,7.51,7.51,7.144677,2700
2012-05-18,7.49,7.65,7.49,7.5,7.135163,4700
2012-05-21,7.49,7.49,7.3,7.3,6.944892,3200
2012-05-22,7.41,7.41,7.31,7.31,6.954406,700
2012-05-23,7.32,7.45,7.32,7.45,7.087596,4200
2012-05-24,7.45,7.54,7.45,7.54,7.173217,3100
2012-05-25,7.59,7.95,7.59,7.95,7.563273,10200
2012-05-29,7.98,8.87,7.97,8.37,7.962842,9200
2012-05-30,8.24,8.46,7.78,7.78,7.491042,2900
2012-05-31,7.9,7.9,7.55,7.7,7.414013,800
2012-06-01,7.7,8.36,7.7,7.7,7.414013,2500
2012-06-04,7.73,8.83,7.73,8.2,7.895442,1600
2012-06-05,8.7,8.7,8.01,8.01,7.7125,2600
2012-06-06,8.11,8.11,8.11,8.11,7.808784,100
2012-06-07,8.28,8.5,8.28,8.5,8.1843,200
2012-06-08,8.46,8.8,8.46,8.7,8.376872,1400
2012-06-11,8.57,8.62,8.34,8.4,8.088014,800
2012-06-12,8.47,8.47,7.76,8.08,7.7799,9400
2012-06-13,8.12,8.12,8.12,8.12,7.818414,100
2012-06-14,8.12,8.12,8.12,8.12,7.818414,0
2012-06-15,8.13,8.44,8.13,8.44,8.126529,500
2012-06-18,8.46,8.46,8.27,8.27,7.962843,400
2012-06-19,8.28,8.66,8.2,8.28,7.972471,1900
2012-06-20,8.32,8.32,8.27,8.29,7.9821,1100
2012-06-21,8.26,8.26,8.26,8.26,7.953214,100
2012-06-22,8.2,8.2,8.08,8.14,7.837671,2700
2012-06-25,8.12,8.32,7.89,8.01,7.7125,9200
2012-06-26,8.1,8.11,7.81,7.9,7.606585,3200
2012-06-27,7.94,7.98,7.91,7.91,7.616213,700
2012-06-28,7.94,8.81,7.94,8.38,8.068757,1000
2012-06-29,7.9,8.35,7.89,8.35,8.039871,400
2012-07-02,8,8.27,7.84,8.15,7.847299,2900
2012-07-03,7.85,7.86,7.73,7.8,7.510299,1600
2012-07-05,7.89,8.08,7.86,7.86,7.56807,1700
2012-07-06,8.23,8.23,8,8.01,7.7125,600
2012-07-09,7.99,8,7.7,7.73,7.442899,4800
2012-07-10,7.63,7.64,7.62,7.62,7.336984,1100
2012-07-11,7.88,7.88,7.88,7.88,7.587328,100
2012-07-12,7.88,7.88,7.88,7.88,7.587328,100
2012-07-13,7.8,7.88,7.8,7.88,7.587328,5700
2012-07-16,7.58,7.84,7.54,7.83,7.539185,500
2012-07-17,7.83,7.83,7.83,7.83,7.539185,200
2012-07-18,7.77,7.77,7.52,7.58,7.29847,7200
2012-07-19,7.52,7.69,7.5,7.5,7.221441,1400
2012-07-20,7.59,7.59,7.55,7.55,7.269584,2500
2012-07-23,7.55,7.9,7.55,7.66,7.375499,2400
2012-07-24,7.9,7.9,7.54,7.85,7.558442,1300
2012-07-25,7.77,7.9,7.71,7.9,7.606585,900
2012-07-26,7.77,7.89,7.25,7.68,7.394755,7200
2012-07-27,7.89,7.89,7.4,7.4,7.125155,400
2012-07-30,7.48,7.89,7.48,7.89,7.596956,1000
2012-07-31,7.82,7.86,7.8,7.86,7.56807,700
2012-08-01,7.45,7.89,7.45,7.51,7.23107,1500
2012-08-02,7.68,7.68,7.68,7.68,7.394755,300
2012-08-03,7.66,7.85,7.5,7.85,7.558442,3000
2012-08-06,7.97,7.97,7.53,7.6,7.317727,9300
2012-08-07,7,7.18,6.52,6.52,6.27784,28700
2012-08-08,6.38,6.65,6.32,6.32,6.085268,12300
2012-08-09,6.44,6.45,6.25,6.37,6.133411,12700
2012-08-10,6.32,6.65,6.27,6.45,6.21044,9400
2012-08-13,6.64,6.64,6.4,6.46,6.220068,1500
2012-08-14,6.53,6.53,6.42,6.42,6.181554,500
2012-08-15,6.5,6.66,6.25,6.56,6.316354,1600
2012-08-16,6.56,6.61,6.5,6.5,6.258583,2300
2012-08-17,6.5,6.7,6.5,6.7,6.451154,2700
2012-08-20,6.58,6.69,6.51,6.62,6.374125,2300
