Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,62.25,62.25,60,61.5,61.5,5300
2012-02-22,60.25,60.5,57.75,60,60,10800
2012-02-23,57.5,60,52.5,52.5,52.5,27400
2012-02-24,52.75,60,52.5,57,57,34100
2012-02-27,57,58.75,55.5,56,56,5500
2012-02-28,57,58,52.5,55,55,10700
2012-02-29,53.75,54.75,50,53.5,53.5,14900
2012-03-01,53.75,56.25,52,56.25,56.25,9200
2012-03-02,56.75,56.75,52.5,55,55,9000
2012-03-05,55.25,56,52,53,53,9700
2012-03-06,52.5,54,50,50.5,50.5,14900
2012-03-07,53.25,56.75,52.25,56.5,56.5,37900
2012-03-08,57,60.25,57,59,59,35400
2012-03-09,59.75,60,57.5,59.75,59.75,12800
2012-03-12,61.5,61.5,56.75,59.5,59.5,17200
2012-03-13,61.25,61.25,56.5,59.75,59.75,12300
2012-03-14,61,61,55,59,59,14200
2012-03-15,59.5,59.5,56.5,58.75,58.75,7600
2012-03-16,57,57.5,55,57.5,57.5,19100
2012-03-19,57.5,58,56.5,57.25,57.25,10300
2012-03-20,57.25,57.5,56.25,56.25,56.25,5500
2012-03-21,56.5,57.5,55.5,55.75,55.75,8300
2012-03-22,55.75,58.25,53.75,55,55,10400
2012-03-23,55,55.75,53.5,55,55,8000
2012-03-26,56,56,52.5,54.75,54.75,9700
2012-03-27,54,57.5,53.5,56.5,56.5,14200
2012-03-28,57.5,57.5,53.75,56,56,8900
2012-03-29,56.25,56.75,54,56.75,56.75,5000
2012-03-30,55.25,56.25,55,56.25,56.25,5000
2012-04-02,56.25,57.5,53.25,54.5,54.5,9700
2012-04-03,57.25,60,55,58.75,58.75,28300
2012-04-04,58.25,58.25,55.75,57.5,57.5,7500
2012-04-05,56.25,57,55.25,56.25,56.25,6800
2012-04-09,57.25,57.25,52.75,53.75,53.75,12300
2012-04-10,55,55,51.75,53.25,53.25,9500
2012-04-11,52.5,53.25,52,53.25,53.25,6600
2012-04-12,53,53,51,51.75,51.75,6900
2012-04-13,50.5,51.25,45,47.5,47.5,32700
2012-04-16,46.25,47,35.25,42.5,42.5,47000
2012-04-17,42.5,48.75,42.25,48,48,18300
2012-04-18,48,48.75,45.75,48.75,48.75,8600
2012-04-19,46.25,50,45,48.25,48.25,7100
2012-04-20,50,53.75,48.75,52.25,52.25,12500
2012-04-23,51.75,55.5,50,55.5,55.5,17400
2012-04-24,55.75,56.25,53.75,55,55,8800
2012-04-25,55,55.75,51.5,53.25,53.25,7400
2012-04-26,52.25,52.5,48.25,52.25,52.25,12100
2012-04-27,51.5,53.75,49.25,52.5,52.5,5700
2012-04-30,54,54,50.75,50.75,50.75,5600
2012-05-01,50,51.25,48.75,50.25,50.25,5500
2012-05-02,49.5,51,48.75,50.5,50.5,4800
2012-05-03,50.5,50.5,47.5,47.5,47.5,8700
2012-05-04,47.5,49.5,46.25,47.5,47.5,7500
2012-05-07,46.75,47.5,44.5,45.75,45.75,7400
2012-05-08,44.5,48.25,42.5,48.25,48.25,10600
2012-05-09,48.5,50,46.75,47.75,47.75,5700
2012-05-10,48.5,49.25,45.5,48.5,48.5,9000
2012-05-11,47.25,53.75,47.25,51.25,51.25,10600
2012-05-14,51.25,51.75,49.75,51.5,51.5,5500
2012-05-15,52.25,52.25,46.75,46.75,46.75,4200
2012-05-16,48,50.75,48,49.25,49.25,14100
2012-05-17,48.5,50,46.5,50,50,17200
2012-05-18,49.5,50,46.5,50,50,7000
2012-05-21,49.5,49.5,47.25,48.75,48.75,11900
2012-05-22,48.5,48.75,47,48.75,48.75,11600
2012-05-23,48.75,48.75,46.75,48.75,48.75,7800
2012-05-24,48.75,48.75,45,48.75,48.75,8600
2012-05-25,48.75,48.75,46.25,47.5,47.5,5800
2012-05-29,47.5,47.5,44.75,47.5,47.5,8100
2012-05-30,46.25,46.25,40,43.5,43.5,29600
2012-05-31,44.25,56.25,41.25,56.25,56.25,142300
2012-06-01,48.5,50,46.25,50,50,18400
2012-06-04,48.75,50,47,50,50,8100
2012-06-05,48.5,51.25,48.5,51,51,15900
2012-06-06,50.75,52.75,49.5,52,52,11300
2012-06-07,51,52.5,48.75,52.5,52.5,10600
2012-06-08,50.5,52.25,49.25,49.75,49.75,20200
2012-06-11,49.5,49.75,45,45.25,45.25,16800
2012-06-12,45.25,48.25,45,45.5,45.5,5500
2012-06-13,45.5,47,45.5,45.5,45.5,6100
2012-06-14,46.75,48,43.75,48,48,7800
2012-06-15,45.5,47.25,44.5,44.5,44.5,11000
2012-06-18,45.5,46.25,42.75,43.5,43.5,12900
2012-06-19,44.75,45.75,42.5,42.75,42.75,12900
2012-06-20,44,45.75,42.5,45.75,45.75,5600
2012-06-21,44.5,44.5,42.25,42.25,42.25,10300
2012-06-22,41.5,45,36.5,36.5,36.5,26200
2012-06-25,38,40.75,38,40.5,40.5,9100
2012-06-26,42,42,38.25,39.25,39.25,14300
2012-06-27,40,43,38.75,42.5,42.5,6400
2012-06-28,41.75,42.25,39.25,41.25,41.25,3600
2012-06-29,42.5,43.5,41.5,42,42,5000
2012-07-02,42.75,44.25,41.5,43.75,43.75,10100
2012-07-03,43.75,46.25,43.5,46.25,46.25,3000
2012-07-05,46.25,46.5,42.5,46.25,46.25,9100
2012-07-06,46.5,47.25,44.5,46.25,46.25,9100
2012-07-09,45.5,46,41.75,43,43,10600
2012-07-10,43.75,45,42,43.25,43.25,5800
2012-07-11,45.5,46.5,44.5,46,46,5800
2012-07-12,46,46,42.5,42.75,42.75,4200
2012-07-13,42.5,44.25,40.5,41,41,11800
2012-07-16,40.25,41.75,39.5,39.75,39.75,10000
2012-07-17,39,39.75,38.75,39,39,4400
2012-07-18,39,39.5,38.5,38.5,38.5,6000
2012-07-19,38.25,38.5,36.5,37,37,12900
2012-07-20,36.5,37,30.25,31.25,31.25,24200
2012-07-23,31.25,35.5,30.75,34.5,34.5,10700
2012-07-24,34.5,34.5,32.5,32.75,32.75,4700
2012-07-25,32.75,34.5,29.5,30.75,30.75,13500
2012-07-26,33.5,33.5,23.75,28.5,28.5,23700
2012-07-27,30,33.75,27.75,33.75,33.75,14900
2012-07-30,35,35,31.25,33.25,33.25,4600
2012-07-31,34.5,36.5,33,35,35,8100
2012-08-01,36,41,35.5,36.25,36.25,10000
2012-08-02,36.25,36.25,31.5,33,33,5400
2012-08-03,33,34.5,32.25,34.25,34.25,7300
2012-08-06,33.75,36.5,33.25,34.25,34.25,7300
