Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,1.2,1.2,1.14,1.14,1.14,59600
2012-02-22,1.15,1.2,1.09,1.13,1.13,107800
2012-02-23,1.12,1.14,1.06,1.06,1.06,97300
2012-02-24,1.06,1.08,0.97,1.02,1.02,202200
2012-02-27,1.02,1.02,0.99,0.99,0.99,59600
2012-02-28,0.99,1.01,0.98,1,1,105500
2012-02-29,0.99,1.06,0.96,0.96,0.96,59000
2012-03-01,1,1.02,0.95,0.97,0.97,86300
2012-03-02,0.97,1,0.96,0.96,0.96,35000
2012-03-05,0.96,1,0.95,0.96,0.96,54000
2012-03-06,0.98,1,0.94,0.95,0.95,50800
2012-03-07,0.99,0.99,0.95,0.95,0.95,17700
2012-03-08,0.95,0.98,0.94,0.98,0.98,69300
2012-03-09,0.97,1.04,0.96,1.04,1.04,106800
2012-03-12,1.05,1.08,1.02,1.02,1.02,23200
2012-03-13,1.03,1.03,1,1.01,1.01,31900
2012-03-14,0.99,1.07,0.99,1.06,1.06,137000
2012-03-15,1.11,1.11,1.01,1.03,1.03,119000
2012-03-16,1.04,1.06,0.96,0.96,0.96,175100
2012-03-19,1,1.02,0.96,1.01,1.01,31800
2012-03-20,0.99,1.01,0.97,1,1,29200
2012-03-21,1.02,1.03,0.99,1,1,10400
2012-03-22,0.99,1,0.98,0.98,0.98,27200
2012-03-23,0.98,1.01,0.98,0.99,0.99,16500
2012-03-26,1.02,1.03,0.98,0.98,0.98,21000
2012-03-27,0.98,1.03,0.97,0.97,0.97,66600
2012-03-28,0.98,1,0.98,0.98,0.98,14600
2012-03-29,0.97,1.02,0.96,0.96,0.96,136300
2012-03-30,0.97,1.01,0.96,0.97,0.97,100100
2012-04-02,0.99,1.05,0.99,1.03,1.03,113000
2012-04-03,1.01,1.09,1.01,1.08,1.08,116600
2012-04-04,1.02,1.03,1.01,1.03,1.03,14600
2012-04-05,1.03,1.06,1.03,1.06,1.06,90400
2012-04-09,1.02,1.06,1.01,1.06,1.06,39000
2012-04-10,1.03,1.03,0.98,0.99,0.99,80900
2012-04-11,1,1.07,0.99,1.05,1.05,425800
2012-04-12,1.06,1.06,1.04,1.04,1.04,9500
2012-04-13,1.03,1.04,0.98,1,1,37800
2012-04-16,0.99,1.02,0.97,0.99,0.99,71400
2012-04-17,0.98,1.01,0.98,0.99,0.99,8600
2012-04-18,0.98,1.02,0.98,1.01,1.01,37300
2012-04-19,0.99,1.01,0.99,1,1,74800
2012-04-20,0.99,1,0.99,0.99,0.99,36200
2012-04-23,1,1.02,0.99,1.01,1.01,14800
2012-04-24,0.99,1.01,0.99,0.99,0.99,43400
2012-04-25,0.99,1.01,0.99,0.99,0.99,3900
2012-04-26,0.99,1.04,0.99,1.03,1.03,86000
2012-04-27,1.05,1.12,1.05,1.1,1.1,188000
2012-04-30,1.08,1.15,1.08,1.12,1.12,107000
2012-05-01,1.14,1.22,1.14,1.22,1.22,155000
2012-05-02,1.23,1.23,1.15,1.16,1.16,53500
2012-05-03,1.2,1.2,1.01,1.1,1.1,63000
2012-05-04,1.1,1.1,1.04,1.06,1.06,44600
2012-05-07,1.07,1.1,1.05,1.07,1.07,6500
2012-05-08,1.06,1.11,1.06,1.08,1.08,10100
2012-05-09,1.06,1.09,1.06,1.09,1.09,700
2012-05-10,1.08,1.1,1.01,1.09,1.09,31000
2012-05-11,1.07,1.12,1.03,1.07,1.07,16600
2012-05-14,1.06,1.06,1.03,1.05,1.05,10300
2012-05-15,1.02,1.04,1,1.03,1.03,16000
2012-05-16,1.06,1.06,1.02,1.05,1.05,17000
2012-05-17,1.05,1.06,1.01,1.02,1.02,11800
2012-05-18,1.02,1.03,1,1,1,25500
2012-05-21,0.99,1.06,0.99,1,1,18300
2012-05-22,1,1.09,1,1.03,1.03,46000
2012-05-23,1.02,1.06,1.01,1.02,1.02,19000
2012-05-24,1.02,1.06,1.02,1.06,1.06,6300
2012-05-25,1.05,1.06,1.02,1.02,1.02,1000
2012-05-29,1.03,1.06,1.01,1.02,1.02,11500
2012-05-30,1.01,1.02,1,1.01,1.01,33300
2012-05-31,0.99,1.02,0.93,1.01,1.01,84100
2012-06-01,0.95,1.01,0.95,1.01,1.01,400
2012-06-04,0.96,1,0.95,0.96,0.96,17000
2012-06-05,0.98,0.98,0.95,0.96,0.96,2500
2012-06-06,0.97,1.01,0.97,0.98,0.98,28600
2012-06-07,0.98,1.01,0.98,0.98,0.98,6300
2012-06-08,1.01,1.01,0.97,0.97,0.97,4500
2012-06-11,1,1,0.97,0.99,0.99,41000
2012-06-12,1,1,0.97,0.97,0.97,5700
2012-06-13,0.97,0.98,0.97,0.97,0.97,11700
2012-06-14,0.94,0.97,0.92,0.94,0.94,22100
2012-06-15,0.97,1.05,0.85,0.91,0.91,52300
