Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,32.48,32.580002,32.16,32.16,22.835007,2500
2012-02-22,32.16,32.5,31.16,31.16,22.124968,6000
2012-02-23,31.16,31.57,31.08,31.57,22.416079,8100
2012-02-24,31.860001,31.860001,30.09,31.07,22.061056,8700
2012-02-27,30.85,31.32,30.75,31.15,22.117863,5500
2012-02-28,31.24,31.450001,30.690001,31.09,22.075262,8600
2012-02-29,31.01,31.08,30.07,30.09,21.365219,7500
2012-03-01,30.370001,30.790001,29.91,30.200001,21.443325,8500
2012-03-02,30.35,30.35,28,28.120001,19.966433,15100
2012-03-05,28.200001,28.879999,28.200001,28.52,20.250448,7300
2012-03-06,28.4,28.5,27.700001,27.709999,19.675312,9900
2012-03-07,28.01,29,27.610001,28.799999,20.449259,14800
2012-03-08,28.799999,29.459999,28.48,29.459999,20.917885,6200
2012-03-09,29.5,30.99,29.5,30.48,21.642134,8600
2012-03-12,30.280001,32.150002,29.719999,31.75,22.543892,11500
2012-03-13,31.959999,32.23,31.57,32.119999,22.806606,14400
2012-03-14,31.91,31.940001,31.629999,31.629999,22.458691,3100
2012-03-15,31.58,31.83,31.200001,31.799999,22.579391,3800
2012-03-16,31.85,31.85,30.92,30.93,21.961658,18400
2012-03-19,30.9,31.6,30.65,31.09,22.075262,14700
2012-03-20,30.99,31.280001,30.700001,30.99,22.004257,9700
2012-03-21,31.02,31.32,30.690001,31.09,22.075262,4300
2012-03-22,30.91,30.91,29.860001,30.42,21.599533,15100
2012-03-23,29.790001,31.459999,29.790001,31.450001,22.330879,5000
2012-03-26,31.5,32.169998,30.75,32.169998,22.842106,18900
2012-03-27,32.16,32.5,31.629999,32.27,22.913115,17700
2012-03-28,32.259998,32.380001,31.65,31.77,22.558094,5700
2012-03-29,31.629999,32.150002,31.450001,31.799999,22.579391,4800
2012-03-30,32.110001,32.110001,31.34,31.59,22.430285,11900
2012-04-02,31.5,32.5,31.5,32.5,23.076422,17600
2012-04-03,32.259998,32.93,32.259998,32.34,23.14082,15100
2012-04-04,32.029999,32.299999,31.309999,31.33,22.418119,8800
2012-04-05,31.299999,31.530001,30.450001,30.450001,21.788439,10200
2012-04-09,30.030001,30.17,28.629999,29,20.750895,19400
2012-04-10,29.030001,29.290001,28.049999,28.530001,20.414581,26300
2012-04-11,28.82,29.33,28.799999,29.33,20.987026,8800
2012-04-12,29.33,30.559999,29.33,30.540001,21.852842,11800
2012-04-13,30.5,30.5,29.110001,29.120001,20.836763,11800
2012-04-16,29.33,30.07,28.85,29.76,21.294704,6900
2012-04-17,30.08,30.5,29.76,30.16,21.580935,6400
2012-04-18,30.02,30.120001,29.139999,29.6,21.18022,10400
2012-04-19,29.540001,29.959999,28.66,28.66,20.50761,10000
2012-04-20,29.76,29.76,27.530001,28.299999,20.250013,60000
2012-04-23,27.74,27.84,27.41,27.51,19.684725,22400
2012-04-24,27.5,27.799999,26.950001,27.52,19.691881,24000
2012-04-25,27.9,28.049999,26.9,27.09,19.384193,16000
2012-04-26,27.290001,27.58,27.219999,27.389999,19.598862,7400
2012-04-27,27.58,28.74,27.26,28.65,20.500446,11100
2012-04-30,28.24,28.540001,27.530001,27.6,19.749126,8100
2012-05-01,27.82,28.559999,27.139999,27.139999,19.419977,9900
2012-05-02,27.07,27.879999,27.07,27.73,19.842144,7900
2012-05-03,27.809999,28.540001,27.809999,28.34,20.278635,11000
2012-05-04,28.360001,28.450001,27.15,27.18,19.448593,10300
2012-05-07,27.23,27.690001,27,27.040001,19.348417,6100
2012-05-08,27,27.780001,27,27.1,19.391348,13700
2012-05-09,26.91,27.610001,26.91,27,19.319798,16000
2012-05-10,27.32,27.34,27,27.030001,19.341267,5500
2012-05-11,26.99,27.23,26.99,27.049999,19.355574,7500
2012-05-14,26.799999,27.16,26.799999,27.02,19.334112,7300
2012-05-15,26.959999,27.200001,26.85,26.879999,19.233929,22000
2012-05-16,26.959999,27.18,26.809999,26.85,19.212463,3100
2012-05-17,26.85,26.889999,26.68,26.690001,19.097979,10300
2012-05-18,26.629999,26.790001,26.51,26.51,18.969177,9900
2012-05-21,26.559999,26.559999,26,26.26,18.790289,17500
2012-05-22,26.120001,26.23,25.120001,25.15,17.996031,13000
2012-05-23,24.77,25.58,24.77,25.24,18.060431,13000
2012-05-24,25.200001,25.280001,24.91,25.059999,17.931631,6900
2012-05-25,25.139999,25.389999,25.07,25.09,17.953096,10100
2012-05-29,25.379999,25.379999,24.98,25.24,18.060431,10500
2012-05-30,25,26.129999,24.51,25.42,18.189232,17500
2012-05-31,25.59,25.59,25,25,17.888697,22400
2012-06-01,24.93,25.139999,24.290001,24.290001,17.380661,24100
2012-06-04,24.5,25.17,24.5,24.950001,17.852924,14500
2012-06-05,24.76,25.24,24.299999,24.879999,17.802841,20800
2012-06-06,24.92,26.18,24.92,26.09,18.668648,11400
2012-06-07,26.26,26.610001,26.26,26.57,19.012106,21000
2012-06-08,26.610001,26.950001,26.469999,26.57,19.012106,6400
2012-06-11,26.809999,27.58,26.690001,26.799999,19.176687,26300
2012-06-12,27.09,28.01,26.98,27.67,19.79921,46300
2012-06-13,27.48,28.700001,27.25,27.799999,19.892235,30900
2012-06-14,27.799999,28.67,27.799999,28.67,20.514765,11500
2012-06-15,28.530001,29.25,28.26,29.07,20.80098,28600
2012-06-18,29,30.58,28.549999,29.780001,21.309021,23800
2012-06-19,29.9,30.389999,28.950001,30.34,21.709726,35400
2012-06-20,30.360001,30.360001,29.690001,29.92,21.409197,22600
2012-06-21,30.049999,30.4,29.700001,29.950001,21.430664,19300
2012-06-22,30.360001,31.360001,30.129999,31.35,22.43243,505100
2012-06-25,31.120001,31.98,30.809999,31.75,22.718649,22100
2012-06-26,31.299999,31.99,31.120001,31.93,22.847454,32800
2012-06-27,31.950001,32.5,31.67,32.400002,23.183756,24700
2012-06-28,32.029999,32.139999,31.76,32.049999,22.933311,16900
2012-06-29,32.5,32.689999,32.32,32.580002,23.312555,38200
2012-07-02,32.580002,33.130001,32.209999,33.130001,23.706102,41700
2012-07-03,32.98,33.93,32.970001,33.93,24.463144,20400
2012-07-05,33.93,34.48,33.77,34.169998,24.636177,17600
2012-07-06,33.799999,34.029999,33.43,33.560001,24.196381,35500
2012-07-09,33.650002,34.150002,33.470001,33.889999,24.434303,13200
2012-07-10,34.080002,34.529999,33.599998,34.5,24.874107,9100
2012-07-11,34.380001,35.220001,34.27,35.119999,25.321123,25800
2012-07-12,34.799999,35.189999,34.110001,34.950001,25.198549,13600
2012-07-13,35.119999,36.360001,35,36.200001,26.099792,41000
2012-07-16,36.099998,36.099998,35.549999,35.98,25.941174,7600
2012-07-17,35.5,36.02,35.290001,35.619999,25.681614,34700
2012-07-18,35.639999,35.73,35.099998,35.540001,25.623934,14000
2012-07-19,35.560001,35.560001,35.029999,35.029999,25.256227,6900
2012-07-20,34.73,34.799999,34.139999,34.139999,24.614552,12800
2012-07-23,33.720001,34.25,33.25,33.630001,24.246847,19100
2012-07-24,33.889999,34.150002,33.169998,33.419998,24.095442,15200
2012-07-25,33.580002,33.93,33.18,33.299999,24.008923,10500
2012-07-26,34.009998,34.580002,33.830002,34.07,24.564085,23400
2012-07-27,34.099998,35,33.77,34.919998,25.176922,43900
2012-07-30,34.869999,35.27,34.700001,34.93,25.184126,7700
2012-07-31,34.720001,35.580002,34.09,35.41,25.530205,22300
2012-08-01,35.389999,35.389999,34.110001,34.110001,24.592922,18300
2012-08-02,33.860001,34.18,33.16,33.66,24.268469,22200
2012-08-03,34.07,35.139999,33.169998,34.98,25.220186,20500
2012-08-06,35.009998,35.48,34.509998,35.450001,25.55904,10600
2012-08-07,35.5,35.950001,35.189999,35.380001,25.508579,20400
2012-08-08,35.290001,35.860001,35.200001,35.599998,25.667196,5600
2012-08-09,34.830002,35.860001,34.740002,35.060001,25.277859,3700
2012-08-10,34.91,35.799999,34.849998,34.98,25.220186,2900
2012-08-13,34.950001,35.669998,34.950001,35.669998,25.717657,3100
2012-08-14,35.919998,35.950001,34.869999,35,25.234602,11800
2012-08-15,35,35.75,35,35.75,25.775343,8200
2012-08-16,35.25,35.860001,35.240002,35.66,25.710455,8000
2012-08-17,35.529999,36.209999,35.299999,36.209999,26.107002,12100
2012-08-20,35.580002,36,35.290001,35.869999,25.86186,12600
2012-08-21,35.939999,35.939999,35.43,35.560001,25.638353,20500
2012-08-22,35.380001,35.689999,34.98,35.189999,25.371582,12300
2012-08-23,34.919998,35.259998,34.740002,34.77,25.068771,3700
2012-08-24,34.720001,34.799999,34.52,34.73,25.039927,5100
2012-08-27,34.720001,34.799999,34.41,34.669998,24.996672,3500
2012-08-28,34.66,34.669998,34.299999,34.599998,24.946205,6700
2012-08-29,34.669998,34.700001,34.439999,34.700001,25.018309,11700
2012-08-30,34.43,34.549999,33.73,33.73,24.318943,7500
2012-08-31,34.009998,34.009998,33.119999,33.330002,24.030546,42500
2012-09-04,33.369999,33.779999,33.169998,33.759998,24.34058,23300
2012-09-05,33.959999,33.970001,33.610001,33.779999,24.354994,13000
2012-09-06,33.970001,35.060001,33.549999,35.060001,25.277859,24200
2012-09-07,35.23,35.23,34.330002,34.720001,25.032724,19300
2012-09-10,34.59,34.619999,33.639999,34.189999,24.650602,15600
2012-09-11,34.380001,34.700001,34.110001,34.360001,24.773172,18000
2012-09-12,34.639999,35.080002,34.490002,35.080002,25.292282,7100
2012-09-13,35,37.139999,35,36.799999,26.532375,23500
2012-09-14,36.849998,38.299999,36.490002,37.950001,27.361519,43900
2012-09-17,37.849998,37.849998,36.790001,37.25,26.856829,15700
2012-09-18,37.200001,37.529999,36.810001,37.200001,26.820776,26200
2012-09-19,37.200001,37.470001,36.880001,37.470001,27.015442,6400
2012-09-20,37.150002,37.419998,37.029999,37.110001,26.755884,2900
2012-09-21,37.779999,38,36.889999,37.630001,27.1308,65400
2012-09-24,37.389999,38.07,37.119999,37.599998,27.109173,13200
2012-09-25,37.73,38.060001,37.41,37.849998,27.289406,19200
2012-09-26,37.869999,38.09,36.700001,37.389999,26.957764,34100
2012-09-27,37.689999,37.689999,36.52,37.299999,26.892878,15600
2012-09-28,37.02,37.779999,36.68,36.759998,26.503534,37400
2012-10-01,37.009998,37.139999,36.150002,36.900002,26.604473,12000
2012-10-02,36.93,37.029999,36.400002,36.580002,26.373762,38300
2012-10-03,36.369999,36.369999,35.349998,35.470001,25.749449,16400
2012-10-04,35.610001,35.709999,34.779999,35,25.408251,12700
2012-10-05,35.529999,35.91,34.130001,34.529999,25.067059,24000
2012-10-08,34.450001,34.529999,33.959999,34.060001,24.725864,15200
2012-10-09,34.099998,34.099998,32.689999,32.869999,23.861973,18400
2012-10-10,32.919998,33.48,32.919998,33.16,24.07251,6300
2012-10-11,33.310001,33.970001,33.240002,33.580002,24.377403,15100
2012-10-12,33.5,35.130001,33.5,34.860001,25.30662,57800
2012-10-15,34.860001,35.990002,34.700001,35.189999,25.546173,8900
2012-10-16,35.5,36.299999,34.599998,34.900002,25.335651,33100
2012-10-17,34.860001,35.889999,34.860001,35.709999,25.923676,11300
2012-10-18,35.77,35.990002,35.09,35.110001,25.488098,13700
2012-10-19,35.029999,36.009998,34.75,35.220001,25.567955,52100
2012-10-22,35.389999,35.389999,34.52,35.09,25.473591,10000
2012-10-23,34.849998,35.810001,34.470001,34.93,25.35743,39800
2012-10-24,35.389999,35.900002,35.049999,35.599998,25.843819,16900
2012-10-25,36.099998,37.740002,35.73,37.740002,27.39736,24700
2012-10-26,37.5,37.900002,36.689999,36.970001,26.838375,27600
2012-10-31,37.009998,37.009998,36.220001,36.669998,26.620581,22300
2012-11-01,36.619999,37.150002,36.57,36.860001,26.758516,24900
2012-11-02,36.880001,36.880001,35.490002,35.799999,25.989012,12600
2012-11-05,35.939999,36.369999,35.689999,36.290001,26.34473,12200
2012-11-06,36.299999,37.040001,36.139999,36.990002,26.852884,16900
2012-11-07,36.610001,36.610001,34.41,34.84,25.292095,33500
2012-11-08,34.68,35.18,33.990002,34.25,24.863787,16000
2012-11-09,34,35.02,33.970001,35.009998,25.415512,8600
2012-11-12,35.02,35.919998,34.349998,35.349998,25.662331,4300
2012-11-13,35,35.5,34.630001,35.029999,25.430023,8900
2012-11-14,35.040001,35.080002,33.610001,34,24.682301,12300
2012-11-15,34.009998,35.07,33.549999,33.700001,24.464508,7700
2012-11-16,33.75,34.299999,33.419998,34.02,24.696821,20600
2012-11-19,34.439999,35.779999,34.439999,35.779999,25.974482,7700
2012-11-20,35.599998,36.700001,34.439999,35.07,25.459068,23300
2012-11-21,35,35.720001,34.43,34.91,25.342913,4700
2012-11-23,35.099998,35.779999,34.830002,35.5,25.771225,26000
2012-11-26,35.529999,36.200001,34.939999,35.939999,26.090641,7500
2012-11-27,35.900002,36.669998,35.400002,35.779999,25.974482,35500
2012-11-28,36.139999,36.66,36.139999,36.279999,26.337461,2900
2012-11-29,36.66,36.990002,36.310001,36.889999,26.780289,13600
2012-11-30,36.990002,37.759998,36.049999,37.66,27.339279,38000
2012-12-03,37.77,37.77,37.16,37.400002,27.150528,13800
2012-12-04,36.75,37.400002,36.34,37.110001,26.940004,41900
2012-12-05,37.150002,37.48,36.549999,36.959999,26.831118,35100
2012-12-06,36.720001,36.869999,35.57,36.470001,26.475395,21000
2012-12-07,36.740002,36.740002,35.82,36.200001,26.279396,12400
2012-12-10,35.110001,35.43,34.189999,34.450001,25.903433,42000
2012-12-11,34.779999,35.119999,34.650002,35,26.316986,22700
2012-12-12,35,35,33.919998,33.970001,25.542524,6800
2012-12-13,33.919998,34.889999,33.169998,33.419998,25.12896,13300
2012-12-14,33.779999,33.849998,33.619999,33.73,25.362055,5800
2012-12-17,33.860001,34.75,33.860001,34.16,25.685371,17200
2012-12-18,33.900002,34.119999,33.48,34.060001,25.610193,13700
2012-12-19,33.860001,34.240002,33.34,33.349998,25.076326,24500
2012-12-20,33.41,33.490002,32.419998,32.900002,24.737968,25600
2012-12-21,33.029999,33.029999,32.110001,32.41,24.369526,86800
2012-12-24,32.25,32.490002,32.25,32.419998,24.377045,1000
2012-12-26,32.610001,32.75,31.52,31.65,23.798071,5800
2012-12-27,31.799999,32.080002,31.450001,31.799999,23.910858,14300
2012-12-28,31.209999,32.560001,31.209999,31.889999,23.978531,17000
2012-12-31,32.029999,33.959999,31.950001,32.860001,24.707884,34300
2013-01-02,33.869999,35.759998,33.869999,34.810001,26.174122,43300
2013-01-03,34.75,34.869999,33.41,33.68,25.324457,28500
2013-01-04,33.889999,34.240002,33.119999,33.360001,25.083849,11100
2013-01-07,33.099998,33.970001,32.209999,32.490002,24.429686,13700
2013-01-08,32.59,32.599998,31.77,31.860001,23.955973,9000
2013-01-09,32.040001,32.07,31.629999,31.98,24.0462,10100
2013-01-10,31.75,32.200001,31.75,31.98,24.0462,9600
2013-01-11,32.040001,32.040001,31.75,31.75,23.873264,9000
2013-01-14,31.75,32,31.540001,31.58,23.745441,5600
2013-01-15,31.5,31.99,31.5,31.9,23.98605,6700
2013-01-16,31.85,32,31.280001,31.360001,23.580019,7000
2013-01-17,31.639999,32.049999,31.639999,31.860001,23.955973,27300
2013-01-18,31.77,32.09,31.5,31.6,23.760485,28400
2013-01-22,31.610001,31.68,31.049999,31.209999,23.467234,20300
2013-01-23,31.27,31.309999,30.049999,30.09,22.62509,16400
2013-01-24,31.059999,31.059999,29.51,30.15,22.670204,71500
2013-01-25,30.459999,30.620001,30,30.5,22.933374,12200
2013-01-28,30.57,32.02,30.57,32.02,24.076284,13500
2013-01-29,31.92,32.220001,31.629999,31.84,23.940931,16500
2013-01-30,31.790001,33.150002,31.66,31.84,23.940931,13500
2013-01-31,31.879999,32.57,31.700001,31.99,24.053722,19200
2013-02-01,32.07,32.73,32.07,32.529999,24.459751,14500
2013-02-04,32.220001,33,31.959999,32.459999,24.407122,8300
2013-02-05,32.709999,33.130001,32.41,32.700001,24.587587,4700
2013-02-06,32.43,32.990002,32.16,32.66,24.557507,7300
2013-02-07,32.599998,32.68,32.200001,32.560001,24.482319,5400
2013-02-08,32.75,33.240002,32.5,33.139999,24.918423,6100
2013-02-11,33.16,33.599998,32.950001,33.110001,24.895861,14700
2013-02-12,33.23,33.549999,33.23,33.439999,25.144003,4100
2013-02-13,33.580002,33.880001,33.400002,33.439999,25.144003,5700
2013-02-14,33.5,33.740002,33.060001,33.389999,25.106407,4600
2013-02-15,33.700001,33.700001,32.450001,33.23,24.986097,22300
2013-02-19,33.290001,33.599998,33.259998,33.439999,25.144003,4300
2013-02-20,33.509998,33.630001,33,33,24.813156,15400
2013-02-21,33.369999,33.470001,32.43,32.720001,24.602623,41600
2013-02-22,32.959999,33.59,32.599998,33.59,25.256784,9200
