Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,14.35,14.39,14.04,14.2,14.2,212700
2012-02-22,14.2,14.25,13.68,13.81,13.81,150400
2012-02-23,13.81,13.95,13.68,13.83,13.83,209900
2012-02-24,13.88,13.9,13.6,13.64,13.64,155000
2012-02-27,13.55,13.77,12.97,13.5,13.5,261900
2012-02-28,13.57,13.62,12.94,13.06,13.06,251000
2012-02-29,13.06,13.06,12.42,12.79,12.79,379600
2012-03-01,12.81,13.24,12.81,12.96,12.96,163800
2012-03-02,12.96,13.17,12.5,12.66,12.66,207300
2012-03-05,12.57,13.14,12.51,12.66,12.66,248800
2012-03-06,12.5,12.68,11.88,12.38,12.38,235500
2012-03-07,12.41,12.62,12.09,12.56,12.56,189000
2012-03-08,12.73,12.96,12.36,12.84,12.84,220000
2012-03-09,12.86,13.33,12.85,12.99,12.99,167400
2012-03-12,13.05,13.38,13.03,13.15,13.15,129800
2012-03-13,13.27,13.43,13,13.42,13.42,200500
2012-03-14,13.43,13.85,13.36,13.59,13.59,166800
2012-03-15,13.6,13.67,13.24,13.45,13.45,146900
2012-03-16,13.46,13.52,13.05,13.15,13.15,197000
2012-03-19,13.21,13.89,13.18,13.56,13.56,197500
2012-03-20,13.45,13.65,13.23,13.33,13.33,148600
2012-03-21,13.36,13.71,13.34,13.7,13.7,232600
2012-03-22,13.58,13.7,13.3,13.63,13.63,231700
2012-03-23,13.71,14.07,13.4,13.85,13.85,251100
2012-03-26,14.03,14.03,13.6,13.95,13.95,311200
2012-03-27,14,14.25,13.58,13.69,13.69,239800
2012-03-28,13.67,13.83,13.43,13.75,13.75,192200
2012-03-29,13.58,13.82,13.43,13.69,13.69,136000
2012-03-30,13.83,13.83,13.17,13.56,13.56,277900
2012-04-02,13.53,13.55,13.2,13.43,13.43,233300
2012-04-03,13.36,14,13.3,13.77,13.77,222300
2012-04-04,13.63,13.63,12.42,12.94,12.94,548800
2012-04-05,12.84,13.04,12.64,13.02,13.02,333900
2012-04-09,12.79,12.94,12.66,12.75,12.75,251500
2012-04-10,12.74,12.8,12.65,12.69,12.69,320100
2012-04-11,12.84,12.99,12.72,12.98,12.98,140200
2012-04-12,13.12,13.24,12.97,13.11,13.11,160600
2012-04-13,13,13.22,13,13.21,13.21,170600
2012-04-16,13.33,13.33,13.03,13.16,13.16,148900
2012-04-17,13.27,13.47,13.18,13.38,13.38,121400
2012-04-18,13.25,13.45,12.99,13.02,13.02,141400
2012-04-19,13.02,13.26,12.88,13.06,13.06,217400
2012-04-20,13.28,13.28,12.99,13.05,13.05,72900
2012-04-23,12.71,12.98,12.71,12.81,12.81,296000
2012-04-24,12.76,12.92,12.63,12.73,12.73,109200
2012-04-25,12.91,13.03,12.72,12.95,12.95,110100
2012-04-26,12.86,13.17,12.74,12.94,12.94,77600
2012-04-27,12.95,13.15,12.75,13.15,13.15,90200
2012-04-30,13.15,13.15,12.63,12.69,12.69,97000
2012-05-01,12.76,12.87,12.43,12.45,12.45,115000
2012-05-02,12.4,12.42,12.03,12.38,12.38,135000
2012-05-03,12.4,12.5,12.2,12.37,12.37,131200
2012-05-04,12.3,12.37,12.15,12.18,12.18,142200
2012-05-07,12.18,12.79,12.1,12.62,12.62,244000
2012-05-08,12.5,12.61,12.29,12.31,12.31,219800
2012-05-09,12.13,12.32,12.13,12.2,12.2,156000
2012-05-10,12.28,12.66,12.17,12.42,12.42,133000
2012-05-11,12.28,12.47,12,12.03,12.03,152000
2012-05-14,11.86,11.92,11.41,11.72,11.72,238900
2012-05-15,13.07,14,11.89,13.94,13.94,870700
2012-05-16,14,14.08,13.34,13.61,13.61,313600
2012-05-17,13.6,13.7,12.84,12.9,12.9,217700
2012-05-18,12.75,12.94,11.97,12.03,12.03,249900
2012-05-21,12.05,12.14,11.65,11.71,11.71,185900
2012-05-22,11.64,11.89,11.56,11.7,11.7,194000
2012-05-23,11.61,11.65,10.8,10.99,10.99,318000
2012-05-24,10.98,11.02,10.59,10.89,10.89,340000
2012-05-25,10.86,10.93,10.44,10.63,10.63,127600
2012-05-29,10.67,11.11,10.63,10.83,10.83,217400
2012-05-30,10.73,10.73,10.12,10.19,10.19,220700
2012-05-31,10.23,10.39,9.75,9.86,9.86,302700
2012-06-01,9.66,11.61,9.4,9.56,9.56,250200
2012-06-04,9.56,9.99,9.21,9.24,9.24,223200
2012-06-05,9.17,9.23,9.01,9.15,9.15,253400
2012-06-06,9.2,9.31,9.16,9.2,9.2,201700
2012-06-07,9.28,9.43,8.86,8.94,8.94,241200
2012-06-08,8.9,9.49,8.87,9.36,9.36,291100
2012-06-11,9.51,10.15,9.46,9.75,9.75,447300
2012-06-12,9.75,10.09,9.63,9.89,9.89,373700
2012-06-13,9.86,9.96,9.64,9.69,9.69,244400
2012-06-14,9.73,9.79,9.39,9.57,9.57,202800
2012-06-15,9.56,9.69,9.32,9.4,9.4,183000
2012-06-18,9.28,9.46,9.19,9.24,9.24,183500
2012-06-19,9.25,9.44,9.17,9.32,9.32,246300
2012-06-20,9.35,9.4,9.01,9.27,9.27,192200
2012-06-21,9.3,9.37,9.12,9.16,9.16,122000
2012-06-22,9.25,9.34,9.15,9.29,9.29,141600
2012-06-25,9.22,9.23,9.02,9.16,9.16,106800
2012-06-26,9.15,9.25,8.9,9.05,9.05,95400
2012-06-27,9,9.09,8.83,9.03,9.03,259000
2012-06-28,8.95,8.98,8.46,8.97,8.97,245900
2012-06-29,9.15,9.42,9.01,9.32,9.32,172300
2012-07-02,9.29,9.29,8.94,9.04,9.04,178900
2012-07-03,9,9.25,8.9,9.19,9.19,89500
2012-07-05,9.19,9.7,9.15,9.56,9.56,209700
2012-07-06,9.48,9.63,9.42,9.62,9.62,117100
2012-07-09,9.56,9.72,9.29,9.46,9.46,231000
2012-07-10,9.43,9.87,9.37,9.77,9.77,501900
2012-07-11,8.24,8.45,7.99,8.04,8.04,892100
2012-07-12,7.91,8.18,7.8,7.94,7.94,290200
2012-07-13,7.92,8.07,7.72,8.01,8.01,305400
2012-07-16,7.96,8.11,7.83,7.88,7.88,152700
2012-07-17,7.9,7.99,7.68,7.82,7.82,199900
2012-07-18,7.79,7.96,7.75,7.93,7.93,136200
2012-07-19,7.96,8.19,7.86,8.15,8.15,214100
2012-07-20,8.09,8.3,8,8.05,8.05,193200
2012-07-23,7.91,8.03,7.76,7.86,7.86,110000
2012-07-24,7.86,7.96,7.53,7.58,7.58,165700
2012-07-25,7.64,7.76,7.54,7.55,7.55,110800
2012-07-26,7.63,7.75,7.32,7.56,7.56,99800
2012-07-27,7.57,7.7,7.39,7.67,7.67,159600
2012-07-30,7.7,7.77,7.38,7.39,7.39,169000
2012-07-31,7.37,7.55,7.31,7.49,7.49,164000
2012-08-01,7.54,7.81,7.46,7.58,7.58,168000
2012-08-02,7.51,7.58,7.1,7.1,7.1,146700
2012-08-03,7.2,7.44,7.2,7.23,7.23,171900
2012-08-06,7.25,7.63,7.25,7.44,7.44,122700
2012-08-07,7.53,7.82,7.44,7.59,7.59,87900
2012-08-08,7.52,7.72,7.51,7.64,7.64,293500
2012-08-09,7.68,8.35,7.66,8.19,8.19,224600
2012-08-10,8.2,8.32,7.86,7.97,7.97,138700
2012-08-13,7.93,8.1,7.81,7.96,7.96,131300
2012-08-14,8.08,8.14,7.93,8.01,8.01,164400
2012-08-15,8.02,8.04,7.8,7.82,7.82,79100
2012-08-16,8.13,8.13,7.46,7.51,7.51,154100
2012-08-17,7.5,7.9,7.5,7.85,7.85,97900
2012-08-20,7.86,7.86,7.54,7.67,7.67,73800
2012-08-21,7.68,7.75,7.44,7.49,7.49,58500
2012-08-22,7.51,7.52,7.34,7.35,7.35,57300
2012-08-23,7.35,7.42,7.3,7.38,7.38,58900
2012-08-24,7.35,7.37,7.2,7.27,7.27,95000
2012-08-27,7.33,7.42,7.25,7.34,7.34,76100
2012-08-28,7.36,7.64,7.35,7.43,7.43,80500
2012-08-29,7.42,7.45,7.26,7.33,7.33,67000
2012-08-30,7.31,7.42,7.25,7.37,7.37,52300
2012-08-31,7.44,7.53,7.33,7.5,7.5,49500
2012-09-04,7.52,7.58,7.32,7.41,7.41,116800
2012-09-05,7.44,7.48,7.3,7.33,7.33,71600
2012-09-06,7.36,7.6,7.36,7.58,7.58,89900
2012-09-07,7.6,7.87,7.55,7.74,7.74,78500
2012-09-10,7.71,7.72,7.5,7.53,7.53,50800
2012-09-11,7.5,7.61,7.46,7.58,7.58,104900
2012-09-12,7.58,7.7,7.47,7.59,7.59,49000
2012-09-13,7.57,7.9,7.55,7.69,7.69,80700
2012-09-14,7.76,7.9,7.76,7.82,7.82,88100
2012-09-17,7.75,7.76,7.32,7.38,7.38,100400
2012-09-18,7.4,7.59,7.32,7.57,7.57,40300
2012-09-19,7.57,7.58,7.48,7.5,7.5,86800
2012-09-20,7.45,7.46,7.26,7.33,7.33,73400
2012-09-21,7.43,7.54,7.33,7.5,7.5,146600
2012-09-24,7.45,7.6,7.45,7.57,7.57,62400
2012-09-25,7.6,7.64,7.34,7.39,7.39,67400
2012-09-26,7.42,7.51,7.25,7.48,7.48,37100
2012-09-27,7.48,7.56,7.39,7.52,7.52,40400
2012-09-28,7.47,7.75,7.39,7.48,7.48,143000
2012-10-01,7.5,7.5,7.28,7.45,7.45,264800
2012-10-02,7.46,7.57,7.38,7.41,7.41,60800
2012-10-03,7.4,7.69,7.37,7.61,7.61,30600
2012-10-04,7.62,7.72,7.54,7.63,7.63,57700
2012-10-05,7.61,7.77,7.32,7.4,7.4,139000
2012-10-08,7.39,7.39,7.25,7.3,7.3,106600
2012-10-09,7.3,7.34,7.19,7.23,7.23,123700
2012-10-10,7.23,7.31,7.22,7.28,7.28,182000
2012-10-11,7,7.14,6.57,6.87,6.87,434400
2012-10-12,6.88,6.96,6.8,6.9,6.9,158000
2012-10-15,6.9,7.1,6.85,7.03,7.03,159700
2012-10-16,7.05,7.1,6.91,7.01,7.01,216500
2012-10-17,7,7,6.77,6.81,6.81,200600
2012-10-18,6.78,6.85,6.53,6.53,6.53,209800
