Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,19.5,19.5,19.5,19.5,19.5,3600
2012-02-22,20,20,18.5,18.5,18.5,6200
2012-02-23,19.5,22,19.5,21,21,15000
2012-02-24,22,22,21.5,21.5,21.5,9300
2012-02-27,22.5,22.5,22,22,22,200
2012-02-28,22,22,22,22,22,0
2012-02-29,21.5,22.5,21.5,21.5,21.5,500
2012-03-01,22.5,22.5,22.5,22.5,22.5,0
2012-03-02,22.5,23.5,22.5,23.5,23.5,4800
2012-03-05,23.5,26,23,25.5,25.5,1700
2012-03-06,25,25.5,24,24,24,2600
2012-03-07,23,25,23,25,25,100
2012-03-08,22.5,24.5,22.5,24.5,24.5,700
2012-03-09,22.5,25,22.5,23.5,23.5,400
2012-03-12,24.5,27,24.5,25.5,25.5,4900
2012-03-13,26.5,29.5,21,29.5,29.5,7600
2012-03-14,31.5,31.5,29.5,30.5,30.5,5000
2012-03-15,30.5,30.5,27,28,28,100
2012-03-16,29.5,31.5,28,30,30,8900
2012-03-19,30.5,33.5,29.5,33.5,33.5,14800
2012-03-20,33.5,34.5,33,34.5,34.5,6000
2012-03-21,34,36.5,33.5,35,35,15600
2012-03-22,35,35.5,32.5,33.5,33.5,2600
2012-03-23,32.5,34,27.5,33.5,33.5,5400
2012-03-26,32.5,32.5,30,30,30,400
2012-03-27,26,26,22,23.5,23.5,1000
2012-03-28,22,24,21,24,24,1800
2012-03-29,22.5,25,22.5,25,25,3400
2012-03-30,25.5,26.5,23,26,26,1800
2012-04-02,25,25,23,25,25,1300
2012-04-03,27,27,23.5,23.5,23.5,2000
2012-04-04,24,27,24,25,25,600
2012-04-05,25,28,25,25.5,25.5,600
2012-04-09,25.5,25.5,25.5,25.5,25.5,0
2012-04-10,25,26,19,25,25,2400
2012-04-11,25,26,25,25,25,1000
2012-04-12,25.5,25.5,25.5,25.5,25.5,800
2012-04-13,25,25,25,25,25,0
2012-04-16,26.5,26.5,26,26,26,1200
2012-04-17,25.5,28,25.5,27.5,27.5,2600
2012-04-18,27.5,27.5,26.5,26.5,26.5,3800
2012-04-19,27.5,27.5,27.5,27.5,27.5,0
2012-04-20,29.5,29.5,25,25,25,0
2012-04-23,25,26.5,23,25.5,25.5,300
2012-04-24,24.5,25,24.5,25,25,3400
2012-04-25,27.5,29.5,27,27,27,1600
2012-04-26,28,29.5,27.5,29.5,29.5,5600
2012-04-27,29,29,27.5,27.5,27.5,1800
2012-04-30,29.5,31.5,29.5,30.5,30.5,600
2012-05-01,30.5,32.5,30.5,31,31,500
2012-05-02,32,32,31,32,32,2200
2012-05-03,32,32.5,31,31.5,31.5,2100
2012-05-04,34,34.5,31,31,31,1100
2012-05-07,34.5,34.5,31,32.5,32.5,5100
2012-05-08,32.5,32.5,31.5,32,32,4900
2012-05-09,31.5,33,30.5,30.5,30.5,3400
2012-05-10,30,30,30,30,30,400
2012-05-11,31,32,30.5,32,32,1300
2012-05-14,32,33.5,32,33.5,33.5,1300
2012-05-15,32.5,33,32,32.5,32.5,2600
2012-05-16,32.5,33.5,32.5,33,33,2000
2012-05-17,32,33,32,32.5,32.5,400
2012-05-18,32.5,32.5,31,32.5,32.5,1000
2012-05-21,32,32.5,31,32.5,32.5,500
2012-05-22,32,34.5,32,34.5,34.5,500
2012-05-23,33.5,33.5,31,31,31,300
2012-05-24,31,32,31,32,32,400
2012-05-25,31.5,31.5,29,31.5,31.5,400
2012-05-29,31.5,31.5,31.5,31.5,31.5,1000
2012-05-30,31.5,31.5,31.5,31.5,31.5,0
2012-05-31,32,32,29,30.5,30.5,500
2012-06-01,29,29,29,29,29,100
2012-06-04,29,30,27,29.5,29.5,500
2012-06-05,30.5,30.5,30.5,30.5,30.5,100
2012-06-06,30.5,31,30.5,30.5,30.5,800
2012-06-07,30.5,30.5,30.5,30.5,30.5,700
2012-06-08,30.5,30.5,30.5,30.5,30.5,0
2012-06-11,30,31,29.5,30.5,30.5,200
2012-06-12,31,31,30.5,30.5,30.5,1200
2012-06-13,30.5,32.5,30.5,32.5,32.5,500
2012-06-14,32.5,32.5,32.5,32.5,32.5,0
2012-06-15,32.5,32.5,31,31,31,500
2012-06-18,31,31,31,31,31,0
2012-06-19,32,32,27.5,31,31,900
2012-06-20,27,30,27,29.5,29.5,100
2012-06-21,29.5,31,29.5,31,31,100
2012-06-22,29,30,28,29,29,700
2012-06-25,30,30,26.5,27,27,2900
2012-06-26,27,27,27,27,27,0
2012-06-27,29,29,26.5,26.5,26.5,400
2012-06-28,30.5,30.5,28,28,28,6200
2012-06-29,29.5,29.5,29.5,29.5,29.5,0
2012-07-02,31,31,31,31,31,0
2012-07-03,31,32.5,31,32.5,32.5,1300
2012-07-05,32.5,36.5,32.5,36.5,36.5,200
2012-07-06,35.5,36.5,34.5,36.5,36.5,100
2012-07-09,36,37,36,37,37,700
2012-07-10,37.5,37.5,37.5,37.5,37.5,100
2012-07-11,35,37.5,35,37.5,37.5,300
2012-07-12,34.5,37.5,34.5,37,37,400
2012-07-13,37,37.5,36.5,37.5,37.5,4800
2012-07-16,37.5,39,37.5,39,39,2000
2012-07-17,39,40.5,38.5,38.5,38.5,3200
2012-07-18,43.5,43.5,38.5,41.5,41.5,700
2012-07-19,42,42,41,42,42,800
2012-07-20,38.5,42.5,38.5,42.5,42.5,600
2012-07-23,42.5,42.5,38.5,42.5,42.5,500
2012-07-24,42,42,41,42,42,500
2012-07-25,40,42.5,40,40.5,40.5,400
2012-07-26,42,42.5,42,42,42,200
2012-07-27,42,42,42,42,42,0
2012-07-30,41.5,42,40.5,42,42,1200
2012-07-31,40,40,40,40,40,0
2012-08-01,40,40,40,40,40,0
2012-08-02,40,40,40,40,40,0
2012-08-03,40,40,40,40,40,400
2012-08-06,38,39.5,38,39.5,39.5,0
2012-08-07,38,38,36.5,37.5,37.5,700
2012-08-08,38,38,36.5,37.5,37.5,600
2012-08-09,37.5,40,37.5,40,40,0
2012-08-10,40,40,37.5,37.5,37.5,100
2012-08-13,37.5,37.5,37.5,37.5,37.5,0
2012-08-14,37.5,37.5,37.5,37.5,37.5,0
2012-08-15,37.5,37.5,37.5,37.5,37.5,0
2012-08-16,37.5,41.5,37.5,41.5,41.5,200
2012-08-17,39,41.5,39,41.5,41.5,200
2012-08-20,37,41.5,37,39.5,39.5,100
2012-08-21,38.5,40,38.5,40,40,100
2012-08-22,40,42.5,40,42.5,42.5,200
2012-08-23,42.5,42.5,42.5,42.5,42.5,0
2012-08-24,42.5,42.5,42.5,42.5,42.5,0
2012-08-27,42.5,42.5,42.5,42.5,42.5,0
2012-08-28,39.5,40,37.5,39.5,39.5,1700
2012-08-29,39.5,39.5,39.5,39.5,39.5,0
2012-08-30,35,35,35,35,35,0
2012-08-31,37.5,37.5,37.5,37.5,37.5,0
2012-09-04,35,35,31.5,31.5,31.5,1400
2012-09-05,31.5,35.5,31.5,33,33,100
2012-09-06,33,33,32.5,32.5,32.5,400
2012-09-07,30.5,32.5,30.5,31.5,31.5,200
2012-09-10,31,31,30,30,30,100
2012-09-11,29.5,29.5,28.5,28.5,28.5,100
2012-09-12,27,27,25.5,26,26,800
2012-09-13,26,26,26,26,26,0
2012-09-14,28,28,27.5,27.5,27.5,100
2012-09-17,27.5,27.5,27.5,27.5,27.5,0
2012-09-18,26.5,28,26.5,28,28,200
2012-09-19,28.5,29,28,28,28,400
2012-09-20,29,29,29,29,29,0
2012-09-21,29,29,29,29,29,0
2012-09-24,29.5,29.5,29,29,29,100
2012-09-25,31.5,31.5,31.5,31.5,31.5,100
2012-09-26,31.5,31.5,31.5,31.5,31.5,0
2012-09-27,33,35,33,33,33,1300
2012-09-28,33,33,33,33,33,0
2012-10-01,28.5,35.5,28.5,35,35,4800
2012-10-02,36,36,34.5,34.5,34.5,300
2012-10-03,35.5,36,35.5,35.5,35.5,1000
2012-10-04,35,35,35,35,35,0
2012-10-05,35,35,35,35,35,400
2012-10-08,34.950001,35,33.799999,33.799999,33.799999,2800
2012-10-09,37.5,37.5,37.099998,37.099998,37.099998,0
2012-10-10,35.75,35.75,35.75,35.75,35.75,0
2012-10-11,35.75,35.75,35.75,35.75,35.75,0
2012-10-12,37.25,37.5,37.25,37.5,37.5,300
2012-10-15,33,37.25,31.75,33.299999,33.299999,400
2012-10-16,36.75,36.75,36.75,36.75,36.75,100
2012-10-17,36.75,36.75,36.75,36.75,36.75,300
2012-10-18,36.299999,36.299999,36.299999,36.299999,36.299999,100
2012-10-19,36.299999,36.299999,36.299999,36.299999,36.299999,0
2012-10-22,32.75,34,32.75,34,34,7700
2012-10-23,31.25,31.25,31.25,31.25,31.25,100
2012-10-24,33,33.450001,33,33.450001,33.450001,100
2012-10-25,34.5,34.5,32.75,32.75,32.75,100
2012-10-26,33.599998,33.599998,33.599998,33.599998,33.599998,0
2012-10-31,34,34,34,34,34,400
2012-11-01,35,35,35,35,35,100
2012-11-02,35,35,35,35,35,0
2012-11-05,35,35,35,35,35,0
2012-11-06,35,35,35,35,35,0
2012-11-07,35,35,35,35,35,0
2012-11-08,31.25,31.25,30,30,30,100
2012-11-09,29.5,29.5,29.5,29.5,29.5,200
2012-11-12,29.5,29.5,29.5,29.5,29.5,0
2012-11-13,28.549999,28.549999,28.549999,28.549999,28.549999,0
2012-11-14,30,31.25,30,30.75,30.75,100
2012-11-15,31,31,30,30,30,100
2012-11-16,29.299999,30,28.5,28.549999,28.549999,300
2012-11-19,28.5,30,28.5,30,30,900
2012-11-20,28.299999,28.299999,28.299999,28.299999,28.299999,100
2012-11-21,30,30,30,30,30,300
2012-11-23,30,30,30,30,30,100
2012-11-26,31.25,31.25,29.25,29.5,29.5,400
2012-11-27,31.25,32.25,30.049999,30.049999,30.049999,600
2012-11-28,31.25,31.25,30.65,30.65,30.65,0
2012-11-29,30.700001,32.5,30.700001,32.5,32.5,700
2012-11-30,32.5,32.5,31.65,32.5,32.5,900
2012-12-03,33.799999,34.950001,33.799999,34.950001,34.950001,400
2012-12-04,36.25,36.650002,35.5,35.549999,35.549999,1300
2012-12-05,36,36,35.900002,36,36,1400
2012-12-06,36,36,36,36,36,0
2012-12-07,36,36,36,36,36,0
2012-12-10,36,36,36,36,36,0
2012-12-11,34.099998,35.75,34.099998,34.099998,34.099998,100
2012-12-12,36,36.5,35.700001,35.700001,35.700001,300
2012-12-13,36.150002,37.5,36.150002,37.5,37.5,1400
2012-12-14,37.299999,38.400002,37.299999,37.75,37.75,800
2012-12-17,37.5,37.75,37.5,37.5,37.5,3000
2012-12-18,38.549999,38.549999,37.150002,37.75,37.75,200
2012-12-19,36.5,36.5,36.5,36.5,36.5,0
2012-12-20,35.700001,35.700001,35.700001,35.700001,35.700001,100
2012-12-21,35.599998,35.599998,35.599998,35.599998,35.599998,100
2012-12-24,33.849998,33.849998,33.849998,33.849998,33.849998,100
2012-12-26,33.849998,33.849998,33.599998,33.599998,33.599998,100
2012-12-27,34,34.5,34,34.5,34.5,200
2012-12-28,35.099998,39,35.099998,39,39,1200
2012-12-31,34.5,37.450001,34.5,37.099998,37.099998,6900
2013-01-02,36.299999,37.099998,36.299999,37.099998,37.099998,100
2013-01-03,37.099998,37.099998,37.099998,37.099998,37.099998,0
2013-01-04,35.599998,36.099998,35,35.75,35.75,200
2013-01-07,33.299999,36.950001,33.299999,34.799999,34.799999,1900
2013-01-08,35,35.049999,33.25,33.25,33.25,3300
2013-01-09,34.700001,34.75,34.700001,34.75,34.75,0
2013-01-10,33.549999,35,33.549999,35,35,100
2013-01-11,35,35,35,35,35,0
2013-01-14,33.25,33.349998,32.5,33.349998,33.349998,1300
2013-01-15,32,34.099998,32,34,34,1000
2013-01-16,32,32,32,32,32,0
2013-01-17,32,32,32,32,32,0
2013-01-18,32,32,32,32,32,0
2013-01-22,31.25,31.25,30.6,30.6,30.6,200
2013-01-23,30.6,30.6,30.35,30.35,30.35,0
2013-01-24,30,30,30,30,30,0
2013-01-25,30.15,30.15,30.15,30.15,30.15,0
2013-01-28,29.799999,29.799999,29,29,29,400
2013-01-29,29,29,29,29,29,0
2013-01-30,29,30,29,30,30,600
2013-01-31,30.299999,31.9,30.299999,31.9,31.9,1500
2013-02-01,32.200001,32.25,32.200001,32.200001,32.200001,200
2013-02-04,32.200001,32.200001,32.200001,32.200001,32.200001,0
2013-02-05,32.200001,32.200001,32.200001,32.200001,32.200001,0
2013-02-06,29.65,30.950001,29.65,29.65,29.65,200
2013-02-07,29.65,29.65,29.65,29.65,29.65,0
2013-02-08,29.65,29.65,29.65,29.65,29.65,0
2013-02-11,30.85,30.85,30.85,30.85,30.85,100
2013-02-12,30.85,30.85,30.85,30.85,30.85,0
2013-02-13,29.9,29.9,29.9,29.9,29.9,100
2013-02-14,29.9,29.9,29.9,29.9,29.9,0
2013-02-15,30,30,30,30,30,100
2013-02-19,30,30,30,30,30,0
2013-02-20,29.799999,29.799999,29.799999,29.799999,29.799999,100
2013-02-21,29.799999,29.799999,29.799999,29.799999,29.799999,0
2013-02-22,31.1,31.450001,31.1,31.35,31.35,1200
2013-02-25,31.75,31.75,31.549999,31.549999,31.549999,500
2013-02-26,32,32,31.75,31.75,31.75,500
2013-02-27,32.400002,32.849998,32.25,32.849998,32.849998,1400
2013-02-28,32.849998,34.599998,32.849998,34.5,34.5,2200
2013-03-01,34.5,34.5,34.5,34.5,34.5,0
2013-03-04,33,33,33,33,33,100
2013-03-05,33,33.400002,32.5,33.400002,33.400002,300
2013-03-06,32.5,32.5,32.5,32.5,32.5,200
2013-03-07,32.700001,32.700001,32.700001,32.700001,32.700001,0
2013-03-08,32.849998,32.849998,32.849998,32.849998,32.849998,200
2013-03-11,32.849998,32.849998,32.849998,32.849998,32.849998,100
2013-03-12,32.849998,32.849998,32.849998,32.849998,32.849998,0
2013-03-13,32.849998,32.849998,32.849998,32.849998,32.849998,0
2013-03-14,32.849998,32.849998,32.849998,32.849998,32.849998,0
