Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,2.52,2.86,2.46,2.82,2.82,425000
2012-02-22,2.84,3.35,2.75,2.79,2.79,920900
2012-02-23,3.04,3.21,2.85,2.95,2.95,499200
2012-02-24,3,3.18,2.96,3,3,289200
2012-02-27,3.03,3.1,2.84,2.85,2.85,198600
2012-02-28,2.86,2.89,2.67,2.69,2.69,169700
2012-02-29,2.73,2.86,2.7,2.73,2.73,154600
2012-03-01,2.78,2.93,2.64,2.66,2.66,142200
2012-03-02,2.69,2.77,2.55,2.55,2.55,209200
2012-03-05,2.56,2.69,2.5,2.5,2.5,154700
2012-03-06,2.5,2.59,2.48,2.48,2.48,123400
2012-03-07,2.48,2.5,2.32,2.34,2.34,203200
2012-03-08,2.37,2.4,2.34,2.36,2.36,173800
2012-03-09,2.42,2.57,2.37,2.52,2.52,155200
2012-03-12,2.6,2.62,2.53,2.57,2.57,80800
2012-03-13,2.63,2.66,2.58,2.65,2.65,110000
2012-03-14,2.68,2.68,2.51,2.55,2.55,94500
2012-03-15,2.6,2.6,2.51,2.57,2.57,92300
2012-03-16,2.55,2.6,2.51,2.51,2.51,149100
2012-03-19,2.58,2.7,2.51,2.68,2.68,158700
2012-03-20,2.68,2.75,2.57,2.59,2.59,141600
2012-03-21,2.64,2.67,2.51,2.52,2.52,111700
2012-03-22,2.56,2.65,2.55,2.6,2.6,74900
2012-03-23,2.63,2.7,2.61,2.69,2.69,108600
2012-03-26,2.68,2.7,2.62,2.69,2.69,84800
2012-03-27,2.66,2.69,2.66,2.68,2.68,58100
2012-03-28,2.7,2.75,2.67,2.68,2.68,85800
2012-03-29,2.67,2.7,2.55,2.62,2.62,100300
2012-03-30,2.68,2.7,2.62,2.64,2.64,97800
2012-04-02,2.66,2.68,2.6,2.68,2.68,57400
2012-04-03,2.66,2.66,2.55,2.64,2.64,226000
2012-04-04,2.59,2.63,2.5,2.5,2.5,124800
2012-04-05,2.5,2.55,2.46,2.51,2.51,102100
2012-04-09,2.52,2.57,2.52,2.53,2.53,99900
2012-04-10,2.54,2.56,2.46,2.46,2.46,132200
2012-04-11,2.53,2.54,2.47,2.52,2.52,98100
2012-04-12,2.52,2.58,2.51,2.56,2.56,67900
2012-04-13,2.58,2.58,2.44,2.45,2.45,126600
2012-04-16,2.49,2.56,2.45,2.47,2.47,53500
2012-04-17,2.49,2.52,2.37,2.39,2.39,128400
2012-04-18,2.4,2.43,2.38,2.38,2.38,117000
2012-04-19,2.41,2.44,2.38,2.38,2.38,90400
2012-04-20,2.47,2.49,2.4,2.47,2.47,104200
2012-04-23,2.45,2.49,2.38,2.38,2.38,80100
2012-04-24,2.39,2.43,2.37,2.39,2.39,52000
2012-04-25,2.43,2.52,2.41,2.52,2.52,109200
2012-04-26,2.52,2.63,2.45,2.48,2.48,97100
2012-04-27,2.48,2.54,2.4,2.51,2.51,47000
2012-04-30,2.49,2.57,2.46,2.48,2.48,68800
2012-05-01,2.5,2.58,2.4,2.4,2.4,114000
2012-05-02,2.4,2.46,2.38,2.4,2.4,127000
2012-05-03,2.41,2.42,2.38,2.38,2.38,104800
2012-05-04,2.38,2.41,2.36,2.36,2.36,102200
