Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,22.450001,22.68,22.09,22.610001,17.972977,125800
2012-02-22,22.469999,22.559999,22.299999,22.389999,17.798098,164500
2012-02-23,22.34,22.370001,22.110001,22.360001,17.77425,189600
2012-02-24,22.309999,22.57,22.27,22.43,17.829895,55200
2012-02-27,22.290001,22.290001,21.91,22.200001,17.647068,57400
2012-02-28,22.24,22.309999,21.860001,21.950001,17.448338,65400
2012-02-29,21.969999,22.040001,21.41,21.52,17.106527,373800
2012-03-01,21.52,21.879999,21.059999,21.26,16.899847,249000
2012-03-02,21.24,21.74,21.18,21.639999,17.201916,312400
2012-03-05,21.67,22.190001,21.549999,22.18,17.631163,198100
2012-03-06,22.08,22.440001,21.9,21.93,17.432442,168800
2012-03-07,21.629999,21.67,21.1,21.49,17.08268,287600
2012-03-08,21.65,22.120001,21.58,21.65,17.209862,263500
2012-03-09,22.040001,22.309999,21.709999,21.91,17.416544,226200
2012-03-12,22.049999,22.049999,21.33,21.700001,17.249613,305200
2012-03-13,21.57,22.299999,21.52,22.24,17.85162,98600
2012-03-14,22.34,22.57,21.99,22.110001,17.747276,202300
2012-03-15,22.17,22.59,22.030001,22.57,18.116503,219900
2012-03-16,22.66,22.690001,22.43,22.48,18.044266,369100
2012-03-19,22.48,22.940001,22.4,22.780001,18.285069,184500
2012-03-20,22.6,22.83,22.58,22.719999,18.236908,73400
2012-03-21,22.790001,22.879999,22.620001,22.76,18.269018,70300
2012-03-22,22.620001,22.639999,22.309999,22.629999,18.164663,73400
2012-03-23,22.68,23.049999,22.49,22.959999,18.429548,105000
2012-03-26,23.18,23.309999,22.84,22.99,18.45363,108500
2012-03-27,23.040001,23.07,22.76,22.83,18.325203,107200
2012-03-28,22.799999,22.889999,22.43,22.59,18.132559,75800
2012-03-29,22.48,22.629999,22.35,22.610001,18.148609,101000
2012-03-30,22.780001,22.85,22.450001,22.799999,18.301126,286800
2012-04-02,22.709999,23.6,22.709999,23.540001,18.895103,130100
2012-04-03,23.540001,23.540001,22.93,23.049999,18.501793,78700
2012-04-04,22.77,23.110001,22.77,23,18.461653,74800
2012-04-05,22.940001,23.200001,22.889999,23.190001,18.61417,67500
2012-04-09,22.799999,22.93,22.549999,22.559999,18.108477,119700
2012-04-10,22.549999,22.559999,22.07,22.18,17.803463,136300
2012-04-11,22.4,22.75,22.32,22.74,18.252958,105000
2012-04-12,22.700001,22.870001,22.530001,22.77,18.277039,72900
2012-04-13,22.66,22.75,22.42,22.450001,18.020187,102700
2012-04-16,22.629999,22.959999,22.530001,22.73,18.244936,52900
2012-04-17,22.889999,23.299999,22.809999,23.1,18.541925,72100
2012-04-18,22.950001,23.049999,22.52,22.57,18.116503,156200
2012-04-19,22.629999,22.67,22.33,22.5,18.060312,99900
2012-04-20,22.74,22.969999,22.67,22.879999,18.365339,140400
2012-04-23,22.559999,22.639999,22.450001,22.5,18.060312,79800
2012-04-24,22.559999,23.290001,22.530001,23.200001,18.622192,97500
2012-04-25,23.41,23.549999,23.17,23.35,18.742592,108000
2012-04-26,23.32,23.799999,23.01,23.49,18.854969,130100
2012-04-27,23.629999,23.75,23.34,23.610001,18.951292,105300
2012-04-30,23.549999,23.879999,23.469999,23.51,18.871023,150000
2012-05-01,23.629999,23.889999,23.49,23.58,18.927216,296100
2012-05-02,23.559999,24.17,23.52,24.09,19.33658,218000
2012-05-03,24.129999,24.190001,23.9,24,19.264338,186000
2012-05-04,23.870001,24.200001,23.459999,23.530001,18.887083,196700
2012-05-07,23.48,23.959999,23.469999,23.91,19.192097,106000
2012-05-08,23.82,24.18,23.799999,23.99,19.256315,118300
2012-05-09,23.799999,24.27,23.780001,23.870001,19.159992,115700
2012-05-10,24.01,24.139999,23.73,23.969999,19.240259,138100
2012-05-11,23.74,24.08,23.709999,23.889999,19.176046,57000
2012-05-14,23.75,24.08,23.51,23.6,18.943272,90300
2012-05-15,23.620001,23.799999,23.469999,23.76,19.071697,151000
2012-05-16,23.860001,23.860001,23.65,23.65,18.983395,79000
2012-05-17,23.610001,23.65,23.25,23.299999,18.702467,104700
2012-05-18,23.25,23.57,22.57,22.6,18.140591,154800
