Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,12.1,12.2,12.02,12.1,11.245593,364800
2012-02-22,12.07,12.16,11.98,12.06,11.208417,371000
2012-02-23,12.07,12.3,12.04,12.29,11.422174,415400
2012-02-24,12.3,12.4,12.22,12.29,11.422174,239100
2012-02-27,12.21,12.29,11.88,12.27,11.403588,159900
2012-02-28,12.25,12.48,12.18,12.24,11.375704,335300
2012-02-29,12.28,12.46,11.75,11.8,10.966777,380400
2012-03-01,11.8,12.12,11.77,12.03,11.180533,793400
2012-03-02,12.02,12.41,11.92,12.01,11.161948,585600
2012-03-05,11.96,12.01,11.45,11.59,10.771603,306100
2012-03-06,11.44,11.54,11.23,11.33,10.529964,461300
2012-03-07,11.35,11.72,11.2,11.53,10.71584,294800
2012-03-08,11.61,11.66,11.47,11.56,10.743723,357500
2012-03-09,11.56,12.02,11.54,11.82,10.985363,224600
2012-03-12,11.85,11.97,11.6,11.89,11.050421,229000
2012-03-13,12.02,12.38,11.89,12.34,11.468645,553200
2012-03-14,12.31,12.5,12.24,12.5,11.617345,358200
2012-03-15,12.8,13.25,12.64,12.99,12.072748,1457400
2012-03-16,12.99,13.01,12.67,12.72,11.821813,844300
2012-03-19,12.66,13.15,12.56,13.01,12.091335,657700
2012-03-20,12.86,12.92,12.65,12.82,11.91475,392100
2012-03-21,12.83,12.83,12.63,12.65,11.756755,437500
2012-03-22,12.48,12.68,12.27,12.47,11.589465,406100
2012-03-23,12.46,12.63,12.36,12.49,11.608051,379400
2012-03-26,12.62,12.76,12.55,12.7,11.803225,448300
2012-03-27,12.67,13.05,12.67,12.73,11.831104,402000
2012-03-28,12.72,12.76,12.42,12.68,11.784636,336700
2012-03-29,12.55,12.79,12.47,12.64,11.747462,361100
2012-03-30,12.77,12.77,12.29,12.41,11.533701,538600
2012-04-02,12.39,12.98,12.01,12.89,11.979807,562800
2012-04-03,12.85,12.98,12.48,12.58,11.691696,341600
2012-04-04,12.41,12.41,11.94,12.04,11.189829,447800
2012-04-05,12.02,12.22,11.93,12.04,11.189829,600400
2012-04-09,11.8,11.98,11.53,11.77,10.938895,408900
2012-04-10,11.77,11.8,11.06,11.28,10.483493,588000
2012-04-11,11.45,11.75,11.37,11.69,10.864542,483000
2012-04-12,11.67,12.03,11.64,11.83,10.994656,544700
2012-04-13,11.75,11.77,11.44,11.53,10.71584,786200
2012-04-16,11.6,11.98,11.42,11.78,10.948187,725500
2012-04-17,11.61,11.72,11.38,11.38,10.576432,1815100
2012-04-18,11.33,11.48,10.97,11.32,10.52067,1551400
2012-04-19,11.3,11.36,10.76,10.99,10.21397,2229500
2012-04-20,11.13,11.22,10.92,11.03,10.251146,751300
2012-04-23,10.92,10.92,10.56,10.68,9.925861,953000
2012-04-24,10.69,10.8,10.41,10.73,9.97233,1259200
2012-04-25,10.79,11.01,10.41,10.52,9.777159,907800
2012-04-26,10.52,10.86,10.46,10.76,10.000212,1338100
2012-04-27,10.77,11.02,10.61,10.97,10.195383,1015600
2012-04-30,10.94,10.97,10.3,10.55,9.805041,8582300
2012-05-01,10.72,13.3,10.56,11,10.223267,5953300
2012-05-02,11.1,11.41,10.6,11.27,10.4742,4821900
2012-05-03,11.09,11.4,10.99,11.18,10.390553,2276500
2012-05-04,11.11,11.25,10.73,10.83,10.065269,4409900
2012-05-07,10.64,10.9,10.29,10.45,9.712101,3464700
2012-05-08,10.36,10.54,10,10.42,9.684218,2930900
2012-05-09,10.18,10.26,9.8,10.1,9.386816,2895900
2012-05-10,10.2,10.54,10.01,10.37,9.637751,3047900
2012-05-11,10.27,10.5,10.15,10.44,9.702807,2155800
2012-05-14,10.28,10.49,10.11,10.25,9.526224,1598000
2012-05-15,10.2,10.35,10.02,10.15,9.433286,1268400
2012-05-16,10.15,10.44,10.14,10.18,9.461167,1243600
2012-05-17,10.09,10.3,9.82,9.85,9.154469,2507400
2012-05-18,9.8,10.13,9.66,9.7,9.01506,1318900
2012-05-21,9.71,9.97,9.64,9.8,9.108001,1482900
2012-05-22,9.84,9.88,9.45,9.45,8.782713,2098700
2012-05-23,9.4,9.74,9.14,9.64,8.959298,2200000
2012-05-24,9.64,9.72,9.4,9.48,8.810596,1600700
2012-05-25,9.46,9.5,9.31,9.4,8.736243,1416200
2012-05-29,9.53,9.6,9.4,9.55,8.875652,1236900
2012-05-30,9.47,9.47,9.19,9.27,8.615423,980600
2012-05-31,9.25,9.32,8.99,9.12,8.476015,2104900
2012-06-01,8.93,8.96,8.5,8.57,7.964853,1514800
2012-06-04,8.6,8.88,8.6,8.83,8.206495,1375200
2012-06-05,8.76,9.03,8.63,8.99,8.355195,1257700
2012-06-06,9.1,9.56,9.09,9.45,8.782713,2233300
2012-06-07,9.6,9.74,9.32,9.35,8.689775,1805800
2012-06-08,9.3,9.56,9.18,9.54,8.86636,1471500
2012-06-11,9.64,9.72,9.43,9.47,8.801302,1231400
2012-06-12,9.49,9.73,9.43,9.59,8.912828,1184000
2012-06-13,9.54,9.61,9.42,9.59,8.912828,1319100
2012-06-14,9.57,9.75,9.46,9.73,9.042941,1053200
2012-06-15,9.74,10.5,9.67,10.24,9.51693,3265300
2012-06-18,10.18,10.36,10.15,10.23,9.507637,1043800
2012-06-19,10.31,10.75,10.28,10.54,9.795746,1174900
2012-06-20,10.49,10.6,10.45,10.52,9.777159,868600
2012-06-21,10.5,10.56,10.21,10.29,9.5634,1267400
2012-06-22,10.39,10.6,10.36,10.53,9.786451,2555000
2012-06-25,10.4,10.53,10.14,10.25,9.526224,1213600
2012-06-26,10.3,10.33,9.99,10.15,9.433286,1152300
2012-06-27,10.19,10.35,10.05,10.31,9.581988,836000
2012-06-28,10.15,10.25,9.67,9.95,9.247406,1657100
2012-06-29,10.24,10.45,10.08,10.34,9.60987,1078600
2012-07-02,10.29,10.55,10.26,10.55,9.805041,816700
2012-07-03,10.56,10.89,10.48,10.87,10.102445,570700
2012-07-05,10.85,10.94,10.5,10.52,9.777159,844400
2012-07-06,10.37,10.42,10.25,10.27,9.544812,852600
2012-07-09,10.27,10.38,10.14,10.23,9.507637,756500
2012-07-10,10.29,10.4,9.8,9.83,9.135881,806800
2012-07-11,9.87,9.89,9.44,9.63,8.950004,1512700
2012-07-12,9.53,9.6,9.22,9.5,8.829184,1199500
2012-07-13,9.52,9.67,9.37,9.48,8.810596,553000
2012-07-16,9.43,9.48,9.29,9.42,8.754832,595700
2012-07-17,9.5,9.62,9.35,9.53,8.857064,487100
2012-07-18,9.5,9.79,9.42,9.65,8.968591,1062700
2012-07-19,9.72,9.78,9.49,9.56,8.884947,481300
2012-07-20,9.44,9.75,9.22,9.26,8.606133,758500
2012-07-23,9.01,9.04,8.83,8.83,8.206495,742400
2012-07-24,8.85,8.95,8.35,8.44,7.844031,1639300
2012-07-25,8.63,8.65,8.33,8.36,7.76968,821300
2012-07-26,8.49,8.6,8.15,8.41,7.81615,1452600
2012-07-27,8.43,8.71,8.28,8.67,8.057792,872400
2012-07-30,8.65,8.69,8.44,8.45,7.853326,1539200
