Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,14.51,14.57,14.15,14.24,10.132156,2871600
2012-02-22,14.26,14.28,13.97,14.17,10.082351,2394100
2012-02-23,14.14,14.36,14.02,14.24,10.132156,1770300
2012-02-24,14.18,14.29,14.04,14.16,10.075236,2300400
2012-02-27,14.06,14.37,14.04,14.25,10.139274,2625800
2012-02-28,14.31,14.71,14.26,14.65,10.423883,3257600
2012-02-29,14.64,14.84,14.45,14.54,10.345613,3968500
2012-03-01,14.58,14.99,14.57,14.74,10.487922,3253700
2012-03-02,14.75,14.9,14.57,14.69,10.452345,1883400
2012-03-05,14.68,14.79,14.49,14.69,10.452345,2830100
2012-03-06,14.57,14.66,14.44,14.63,10.409655,3644300
2012-03-07,15.52,15.8,15.2,15.54,11.057144,13133500
2012-03-08,16.120001,16.43,15.64,15.75,11.206565,14578300
2012-03-09,15.78,16.209999,15.76,16.1,11.455599,5527100
2012-03-12,16.049999,16.370001,15.81,16.32,11.612133,4110600
2012-03-13,16.450001,16.719999,16.379999,16.549999,11.775785,5804900
2012-03-14,16.75,16.809999,16.459999,16.68,11.868286,5997000
2012-03-15,16.74,16.790001,16.42,16.690001,11.875401,3973400
2012-03-16,16.68,16.719999,16.370001,16.43,11.690403,3793700
2012-03-19,16.4,16.58,16.129999,16.530001,11.761555,4732700
2012-03-20,16.49,16.93,16.370001,16.790001,11.946555,5387300
2012-03-21,16.780001,16.93,16.719999,16.83,11.975015,4043600
2012-03-22,16.610001,17.200001,16.51,17.16,12.290146,6472700
2012-03-23,17.120001,17.17,16.809999,17.129999,12.268659,3904000
2012-03-26,17.24,17.76,17.200001,17.66,12.648249,6293200
2012-03-27,17.860001,17.92,17.459999,17.51,12.540821,7053100
2012-03-28,17.559999,17.559999,17.1,17.190001,12.311633,8473900
2012-03-29,17.120001,17.49,16.940001,17.450001,12.497849,5401100
2012-03-30,17.5,17.6,17.030001,17.190001,12.311633,3877100
2012-04-02,17.08,17.469999,16.950001,17.309999,12.397576,5617400
2012-04-03,17.33,17.77,17.26,17.629999,12.626765,5431800
2012-04-04,17.469999,17.59,17.190001,17.27,12.368926,5171100
2012-04-05,17.190001,17.379999,17.049999,17.190001,12.311633,2733400
2012-04-09,17.040001,17.040001,16.809999,16.84,12.060961,4444500
2012-04-10,16.83,16.860001,16.200001,16.27,11.65272,5075600
2012-04-11,16.459999,16.67,16.34,16.450001,11.781638,4464300
2012-04-12,16.450001,16.75,16.360001,16.700001,11.96069,3501900
2012-04-13,16.700001,17.030001,16.65,16.85,12.068123,5033600
2012-04-16,16.99,17.290001,16.799999,17.219999,12.333116,6378500
2012-04-17,17.26,17.51,17.25,17.370001,12.440548,6272300
2012-04-18,17.309999,17.75,17.16,17.709999,12.684059,6715600
2012-04-19,17.690001,17.790001,17.26,17.5,12.533659,5797000
2012-04-20,17.58,17.780001,17.51,17.549999,12.569471,6301400
