Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,25.92,26.049999,25.32,25.469999,23.76483,236600
2012-02-22,25.77,26.24,25.58,25.66,23.94211,369200
2012-02-23,25.66,25.66,25.290001,25.299999,23.606209,337700
2012-02-24,25.4,25.4,24.92,24.99,23.316963,364200
2012-02-27,24.76,25.02,24.209999,24.790001,23.130356,565200
2012-02-28,24.870001,25.129999,24.6,24.790001,23.130356,523700
2012-02-29,24.879999,24.92,24.42,24.59,22.943743,442800
2012-03-01,24.690001,25.280001,24.549999,24.68,23.027719,457100
2012-03-02,24.639999,24.799999,24.450001,24.65,22.999729,353300
2012-03-05,24.620001,24.82,24.25,24.42,22.785126,108400
2012-03-06,24.17,24.379999,23.799999,23.93,22.327929,142400
2012-03-07,23.92,24.08,23.629999,23.74,22.150656,238000
2012-03-08,23.92,24.190001,23.75,23.85,22.253292,320100
2012-03-09,23.959999,25.07,23.799999,24.4,22.766462,535800
2012-03-12,24.58,24.67,23.889999,24.290001,22.663832,422000
2012-03-13,24.559999,24.559999,23.91,24.35,22.719807,692700
2012-03-14,24.27,24.51,24,24.1,22.486547,472600
2012-03-15,24.15,24.35,23.85,24,22.393242,367200
2012-03-16,24,24.32,23.690001,24.309999,22.682486,954900
2012-03-19,24.32,25.1,23.99,24.35,22.719807,538300
2012-03-20,24.25,25.33,23.93,25.059999,23.382275,596800
2012-03-21,25.049999,25.34,24.719999,25.1,23.419601,370100
2012-03-22,24.93,25.110001,24.4,24.4,22.766462,249800
2012-03-23,24.379999,24.540001,24.23,24.370001,22.738476,304400
2012-03-26,24.459999,25.1,24.32,24.57,22.925083,474100
2012-03-27,24.549999,25.190001,24.42,24.92,23.251652,525600
2012-03-28,24.9,24.9,24.049999,24.24,22.617176,334900
2012-03-29,24.059999,24.450001,23.879999,23.940001,22.337259,437400
2012-03-30,24.059999,24.139999,23.74,24.07,22.458559,305100
2012-04-02,24.01,24.33,23.709999,24.09,22.477215,185800
2012-04-03,24.24,24.27,23.889999,23.99,22.383913,239300
2012-04-04,23.83,23.93,23.07,23.719999,22.131983,454400
2012-04-05,23.639999,23.700001,23.15,23.52,21.945379,269400
2012-04-09,23.23,23.51,23.049999,23.110001,21.562826,203100
2012-04-10,23.040001,23.33,22.6,22.709999,21.189608,290400
2012-04-11,22.84,23.25,22.639999,23.200001,21.646801,319600
2012-04-12,23.17,23.59,23.17,23.48,21.908052,114800
2012-04-13,23.41,23.41,23.120001,23.290001,21.730776,123500
2012-04-16,23.370001,24.379999,23.17,24.110001,22.49588,338500
2012-04-17,24.190001,24.9,24.120001,24.6,22.953077,748900
2012-04-18,24.6,24.6,24.139999,24.24,22.617176,216400
2012-04-19,24.26,24.610001,24.059999,24.6,22.953077,202700
2012-04-20,24.6,25,24.43,24.9,23.23299,273000
2012-04-23,24.77,24.77,24.200001,24.66,23.009058,191000
2012-04-24,24.629999,24.91,24.549999,24.790001,23.130356,196300
2012-04-25,24.379999,24.93,23.99,24.76,23.102367,818700
2012-04-26,24.690001,24.860001,24.16,24.360001,22.729137,489300
2012-04-27,24.360001,24.360001,23.65,23.77,22.17864,513300
2012-04-30,23.879999,24.049999,23.360001,23.52,21.945379,518000
2012-05-01,23.5,23.879999,23.17,23.4,21.833408,694100
2012-05-02,23.309999,23.389999,22.82,23.059999,21.516172,672800
2012-05-03,22.940001,23.02,22.540001,22.73,21.208265,682000
2012-05-04,22.690001,23.299999,22.690001,23.200001,21.646801,456600
2012-05-07,23.139999,23.610001,22.940001,23.549999,21.97337,344000
2012-05-08,23.42,23.700001,23.18,23.68,22.094667,513100
2012-05-09,23.52,24.24,23.389999,23.870001,22.271948,619200
2012-05-10,24,24.08,23.629999,23.690001,22.103996,235000
2012-05-11,23.620001,23.93,23.6,23.9,22.299934,194000
2012-05-14,23.790001,23.92,23.5,23.610001,22.029354,239900
2012-05-15,20.73,22.84,20.42,22.41,20.909693,1802100
2012-05-16,22.25,22.610001,21.959999,22.43,20.928349,943100
2012-05-17,22.450001,22.49,21.4,21.48,20.04195,797600
2012-05-18,21.469999,21.59,20.23,20.610001,19.230196,670500
2012-05-21,20.59,21.16,20.469999,20.84,19.444799,325500
2012-05-22,20.719999,21.200001,20.719999,20.92,19.519445,224000
2012-05-23,20.780001,21.059999,20.24,20.959999,19.556768,363000
2012-05-24,21.02,21.09,20.52,20.84,19.444799,276100
2012-05-25,20.85,20.91,20.610001,20.780001,19.388813,269500
2012-05-29,21.030001,21.389999,20.98,21.309999,19.883337,214900
2012-05-30,21.290001,21.4,20.73,21.120001,19.706055,316000
2012-05-31,21.07,21.200001,20.690001,20.93,19.528772,443100
2012-06-01,20.709999,20.76,20.17,20.41,19.043585,246600
2012-06-04,20.440001,20.459999,19.860001,20.190001,18.838314,334000
2012-06-05,20.190001,20.59,20.190001,20.51,19.136894,412100
2012-06-06,20.67,20.93,20.49,20.73,19.342167,553800
2012-06-07,20.860001,21.049999,20.4,20.41,19.043585,425300
2012-06-08,20.42,20.559999,20.120001,20.4,19.034256,770700
2012-06-11,20.52,20.65,20.139999,20.200001,18.847649,599400
2012-06-12,20.290001,20.450001,20.17,20.25,18.894299,552600
2012-06-13,20.290001,20.389999,20.059999,20.25,18.894299,768900
2012-06-14,20.209999,20.6,20.049999,20.15,18.800993,950300
2012-06-15,20.190001,20.280001,19.889999,19.9,18.56773,831300
2012-06-18,19.860001,20.1,19.75,19.940001,18.605057,846800
2012-06-19,19.950001,20.889999,19.950001,20.4,19.034256,875200
2012-06-20,20.4,20.51,19.82,19.83,18.502417,1071100
2012-06-21,19.75,20.030001,19.540001,19.639999,18.325136,832400
2012-06-22,19.629999,19.860001,19.35,19.379999,18.082542,2066900
2012-06-25,19.299999,19.370001,18.9,19.02,17.746645,425600
2012-06-26,19.110001,19.15,18.66,19.1,17.821293,420700
2012-06-27,19.15,19.5,18.969999,19.4,18.101206,330900
2012-06-28,19.26,19.43,19,19.280001,17.989241,343800
2012-06-29,19.530001,19.82,19.379999,19.389999,18.091873,283400
2012-07-02,19.389999,20.280001,19.190001,19.41,18.110537,349700
2012-07-03,19.389999,19.77,19.389999,19.629999,18.315807,258700
2012-07-05,19.57,19.620001,19.33,19.5,18.19451,264400
2012-07-06,19.33,19.389999,18.99,19.219999,17.933254,206500
2012-07-09,19.209999,19.57,19.030001,19.15,17.867939,174000
2012-07-10,19.25,19.440001,19.01,19.02,17.746645,298600
2012-07-11,19.09,19.280001,18.99,19.09,17.811954,357100
2012-07-12,19.030001,19.27,18.92,19.01,17.737309,240000
2012-07-13,19.09,19.32,19.030001,19.07,17.793304,261200
2012-07-16,19.07,19.17,18.809999,18.99,17.718655,380100
2012-07-17,19.049999,19.15,18.74,18.76,17.504051,354200
2012-07-18,18.809999,19,18.450001,18.620001,17.373428,346200
2012-07-19,18.690001,19.02,18.690001,18.860001,17.597355,743900
2012-07-20,18.85,19.41,18.85,19.389999,18.091873,833300
2012-07-23,19.139999,19.16,18.85,18.98,17.709318,516400
2012-07-24,18.889999,19.08,18.82,19.030001,17.755974,518000
2012-07-25,19.1,19.32,18.950001,19.23,17.942589,372500
2012-07-26,19.41,19.690001,18.959999,19.200001,17.914598,219100
2012-07-27,19.25,19.549999,19.190001,19.49,18.185183,159900
2012-07-30,19.5,19.51,19.280001,19.389999,18.091873,118000
2012-07-31,19.35,19.690001,19.32,19.68,18.362457,361900
2012-08-01,19.68,19.870001,19.24,19.49,18.185183,245600
2012-08-02,19.49,19.77,19.23,19.48,18.17585,308500
2012-08-03,19.66,20.65,19.66,20.5,19.127556,223200
2012-08-06,20.559999,20.860001,20.49,20.66,19.276855,223200
2012-08-07,20.75,21.809999,20.719999,21.209999,19.790028,262100
2012-08-08,21.120001,21.35,21,21.129999,19.715384,314700
2012-08-09,21.18,21.42,20.940001,21,19.594088,426300
2012-08-10,21.6,21.780001,20.51,21.01,19.603418,480800
2012-08-13,21,21,19.879999,20.59,19.211535,341200
2012-08-14,20.700001,20.950001,20.6,20.65,19.267519,151400
2012-08-15,20.6,20.75,20.299999,20.639999,19.258188,162900
2012-08-16,20.68,20.790001,20.6,20.65,19.267519,335500
2012-08-17,21,21.51,20.85,21.290001,19.864677,307600
2012-08-20,21.33,21.59,21.18,21.57,20.125927,429400
2012-08-21,21.6,21.790001,21.16,21.219999,19.799362,266700
2012-08-22,21.209999,21.360001,20.809999,21.290001,19.864677,223100
2012-08-23,21.280001,21.4,20.74,20.799999,19.407478,211200
2012-08-24,20.82,21.129999,20.74,21.030001,19.62208,253300
2012-08-27,21.09,21.32,20.709999,20.84,19.444799,265100
2012-08-28,20.799999,20.99,20.709999,20.73,19.342167,155300
2012-08-29,20.780001,20.870001,20.65,20.83,19.435465,104800
2012-08-30,20.83,20.83,20.48,20.709999,19.323502,349900
2012-08-31,20.780001,21.02,20.610001,20.620001,19.239527,131000
2012-09-04,20.719999,21.690001,20.700001,21.6,20.153917,400800
2012-09-05,21.48,21.780001,21.280001,21.540001,20.097933,316000
2012-09-06,21.35,22.52,20.77,22.4,20.900364,1118300
2012-09-07,22.41,22.629999,22.32,22.459999,20.956339,269400
2012-09-10,22.549999,22.790001,22.52,22.690001,21.17094,265700
2012-09-11,22.65,22.700001,22.190001,22.24,20.751068,178300
2012-09-12,22.290001,22.52,22.18,22.389999,20.891029,235000
2012-09-13,22.379999,22.48,22.17,22.4,20.900364,224000
2012-09-14,22.35,22.51,22.17,22.290001,20.797724,472400
2012-09-17,22.280001,22.34,21.75,21.860001,20.396515,267900
2012-09-18,21.83,21.870001,20.940001,21.25,19.827353,638000
2012-09-19,21.209999,21.370001,21.110001,21.15,19.734047,630400
2012-09-20,21,21.02,20,20.879999,19.482121,1756500
2012-09-21,21.1,21.209999,20.870001,21.200001,19.780697,850100
2012-09-24,21.08,21.200001,20.940001,21.030001,19.62208,196900
2012-09-25,21.049999,21.17,20.27,20.41,19.043585,334200
2012-09-26,20.48,20.530001,20.120001,20.190001,18.838314,273200
2012-09-27,20.389999,20.540001,20.200001,20.48,19.1089,403600
2012-09-28,20.32,20.5,20.200001,20.4,19.034256,400800
2012-10-01,20.48,20.73,20.23,20.59,19.211535,281300
2012-10-02,20.67,20.709999,20.48,20.559999,19.183544,176900
2012-10-03,20.540001,20.620001,20.16,20.33,18.968939,243100
2012-10-04,20.49,20.549999,20.25,20.27,18.912958,422000
2012-10-05,20.42,20.790001,20.42,20.719999,19.332836,621100
2012-10-08,20.780001,20.889999,20.57,20.690001,19.304846,237800
2012-10-09,20.860001,20.93,20.48,20.549999,19.174217,179200
2012-10-10,20.629999,21,20.549999,20.76,19.370152,235200
2012-10-11,20.879999,21.01,20.67,20.700001,19.314175,179600
2012-10-12,20.6,20.74,20.48,20.57,19.192873,220900
2012-10-15,20.559999,20.65,20.370001,20.530001,19.155558,209700
2012-10-16,20.6,20.610001,20.370001,20.57,19.192873,140700
2012-10-17,20.65,20.940001,20.459999,20.52,19.146223,313300
2012-10-18,20.57,20.709999,20.52,20.59,19.211535,193300
2012-10-19,20.549999,20.780001,20.129999,20.469999,19.099571,248200
2012-10-22,20.48,20.629999,20.370001,20.42,19.052914,245400
2012-10-23,20.290001,20.469999,20.18,20.4,19.034256,285900
2012-10-24,20.450001,20.549999,20.209999,20.26,18.903633,351000
2012-10-25,20.309999,20.51,20.27,20.43,19.06225,245000
2012-10-26,20.459999,20.85,20.33,20.85,19.45413,372400
2012-10-31,21.040001,21.040001,20.690001,20.82,19.426134,439800
2012-11-01,20.809999,21.059999,20.719999,21.059999,19.650068,356200
2012-11-02,21.24,21.51,20.870001,21.07,19.659405,278100
2012-11-05,21.07,21.65,20.940001,21.549999,20.107264,433000
2012-11-06,21.66,22.35,21.66,22.15,20.667095,600800
2012-11-07,21.92,22.129999,21.43,21.49,20.051281,622700
2012-11-08,21.559999,22,21.309999,21.360001,19.929987,302900
2012-11-09,21.469999,22.58,21.469999,22.09,20.611113,724000
2012-11-12,22.51,22.75,21.99,22.33,20.835045,511900
2012-11-13,22.17,23.17,22.16,22.75,21.226927,915800
2012-11-14,22.780001,23.049999,22.26,22.43,20.928349,787500
2012-11-15,22.389999,22.719999,22.33,22.52,21.012327,459700
2012-11-16,22.58,22.700001,22.4,22.530001,21.02166,496400
2012-11-19,22.700001,23.110001,22.299999,22.389999,20.891029,696400
2012-11-20,22.26,22.48,22.1,22.120001,20.639109,456100
2012-11-21,22.25,22.49,22.16,22.23,20.741741,229000
2012-11-23,22.370001,22.52,22.290001,22.42,20.919024,125400
2012-11-26,22.459999,22.690001,22.18,22.629999,21.114962,426900
2012-11-27,22.559999,22.75,22.360001,22.66,21.142954,528400
2012-11-28,22.59,22.68,22.290001,22.49,20.984329,338600
2012-11-29,22.57,22.719999,22.43,22.629999,21.114962,278700
2012-11-30,22.65,22.719999,22.120001,22.25,20.760401,553700
2012-12-03,22.450001,22.549999,22.02,22.51,21.002993,392900
2012-12-04,22.58,22.639999,22.190001,22.559999,21.04965,704900
2012-12-05,22.59,22.719999,22.440001,22.57,21.058973,354900
2012-12-06,22.65,22.700001,22.48,22.559999,21.04965,352100
2012-12-07,22.58,22.719999,22.42,22.709999,21.189608,690600
2012-12-10,22.59,22.84,22.57,22.67,21.152283,772700
2012-12-11,22.780001,22.950001,22.639999,22.74,21.217602,297800
2012-12-12,22.799999,22.92,22.41,22.49,20.984329,416400
2012-12-13,22.440001,22.629999,22.120001,22.190001,20.704418,213800
2012-12-14,22.200001,22.200001,21.58,21.700001,20.247219,281100
2012-12-17,21.709999,22.190001,21.549999,21.969999,20.499147,408500
2012-12-18,21.969999,22.389999,21.83,22.200001,20.713753,330100
2012-12-19,22.17,22.4,21.84,22.200001,20.713753,632600
2012-12-20,22.25,22.33,21.959999,21.99,20.517811,274300
2012-12-21,21.83,21.85,21.49,21.719999,20.265884,462100
2012-12-24,21.67,21.799999,21.35,21.59,20.144587,121300
2012-12-26,21.549999,21.67,21.17,21.32,19.892666,525300
2012-12-27,21.290001,21.389999,21.08,21.25,19.827353,302800
2012-12-28,21.219999,21.469999,21.110001,21.27,19.84601,314700
2012-12-31,21.26,21.92,21.190001,21.5,20.060614,223600
2013-01-02,21.9,21.959999,21.75,21.959999,20.489815,338900
2013-01-03,21.969999,22.32,21.860001,22.17,20.685757,564200
2013-01-04,22.24,22.33,22.059999,22.139999,20.657764,259100
2013-01-07,22.190001,22.6,21.99,22.459999,20.956339,639600
2013-01-08,22.48,22.620001,21.73,21.92,20.452496,604300
2013-01-09,22.040001,22.049999,21.780001,21.889999,20.424501,262900
2013-01-10,22.030001,22.120001,21.91,22.02,20.545797,120700
2013-01-11,22.120001,22.450001,22.049999,22.43,20.928349,304500
2013-01-14,22.5,22.790001,22.43,22.690001,21.17094,461600
2013-01-15,22.690001,22.799999,22.07,22.43,20.928349,556600
2013-01-16,22.450001,22.58,22.35,22.48,20.975004,456900
2013-01-17,22.700001,22.83,22.43,22.75,21.226927,344200
2013-01-18,22.82,23.459999,22.690001,23.440001,21.870737,712200
2013-01-22,23.549999,23.6,22.700001,22.84,21.310902,373800
2013-01-23,22.99,23.049999,22.65,23,21.460192,383700
2013-01-24,23.18,23.41,22.98,23.030001,21.488182,449600
2013-01-25,23.190001,23.99,23.15,23.620001,22.038687,424500
2013-01-28,23.68,23.870001,23.280001,23.719999,22.131983,351200
2013-01-29,23.620001,23.73,23.370001,23.68,22.094667,263300
