Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,6.58,6.58,6.53,6.57,2.518202,1148100
2012-02-22,6.55,6.56,6.51,6.51,2.495205,1076800
2012-02-23,6.51,6.57,6.5,6.57,2.518202,891400
2012-02-24,6.56,6.59,6.55,6.55,2.510536,996100
2012-02-27,6.54,6.59,6.52,6.58,2.522035,1091700
2012-02-28,6.59,6.59,6.53,6.54,2.506704,923000
2012-02-29,6.54,6.57,6.5,6.5,2.491373,1352400
2012-03-01,6.53,6.58,6.5,6.53,2.50287,1464000
2012-03-02,6.55,6.57,6.52,6.52,2.499038,1397600
2012-03-05,6.52,6.65,6.51,6.64,2.545033,1197200
2012-03-06,6.62,6.65,6.58,6.59,2.525867,1094600
2012-03-07,6.6,6.66,6.55,6.66,2.552698,1641700
2012-03-08,6.67,6.67,6.56,6.57,2.518202,1385800
2012-03-09,6.56,6.59,6.54,6.56,2.514369,1376900
2012-03-12,6.58,6.59,6.54,6.55,2.510536,1057900
2012-03-13,6.59,6.66,6.56,6.65,2.548865,1344400
2012-03-14,6.65,6.66,6.55,6.56,2.514369,1258500
2012-03-15,6.6,6.67,6.57,6.66,2.552698,1080200
2012-03-16,6.66,6.68,6.58,6.58,2.522035,1601100
2012-03-19,6.6,6.65,6.57,6.62,2.537367,720200
2012-03-20,6.6,6.63,6.59,6.6,2.529701,614600
2012-03-21,6.64,6.64,6.6,6.6,2.529701,600000
2012-03-22,6.54,6.59,6.54,6.55,2.510536,890000
2012-03-23,6.54,6.57,6.54,6.56,2.514369,664500
2012-03-26,6.6,6.64,6.58,6.61,2.533534,1153400
2012-03-27,6.6,6.62,6.53,6.53,2.50287,1214700
2012-03-28,6.55,6.56,6.51,6.51,2.495205,881800
2012-03-29,6.5,6.56,6.49,6.54,2.506704,822700
2012-03-30,6.57,6.6,6.55,6.58,2.522035,786100
2012-04-02,6.66,6.75,6.61,6.74,2.58336,1945200
2012-04-03,6.75,6.79,6.72,6.72,2.575695,1579000
2012-04-04,6.7,6.71,6.64,6.66,2.552698,1796500
2012-04-05,6.45,6.46,6.37,6.39,2.528952,1872400
