Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,6.56,6.57,6.31,6.52,6.379471,85900
2012-02-22,6.2,6.38,5.79,5.91,5.782619,260800
2012-02-23,5.91,5.92,5.7,5.72,5.596714,164000
2012-02-24,5.72,5.8,5.67,5.73,5.606498,38700
2012-02-27,5.69,5.72,5.57,5.65,5.528223,62500
2012-02-28,5.62,5.67,5.43,5.47,5.352102,102300
2012-02-29,5.49,5.58,5.25,5.28,5.166197,157000
2012-03-01,5.33,5.44,5.11,5.12,5.009645,166000
2012-03-02,5.08,5.12,4.93,4.97,4.862878,133800
2012-03-05,4.94,5.05,4.86,5.04,4.93137,86700
2012-03-06,4.96,5.15,4.9,5.07,4.960723,158200
2012-03-07,5.12,5.36,5.12,5.2,5.087921,243200
2012-03-08,5.24,5.28,5.17,5.26,5.146628,54600
2012-03-09,5.25,5.4,5.22,5.27,5.156413,148900
2012-03-12,5.26,5.27,5.1,5.22,5.10749,54000
2012-03-13,5.26,5.69,5.24,5.64,5.518438,83700
2012-03-14,5.61,5.65,5.45,5.49,5.371671,51400
2012-03-15,5.47,5.76,5.46,5.73,5.606498,66500
2012-03-16,5.73,5.75,5.53,5.71,5.586929,168200
2012-03-19,5.68,5.87,5.56,5.84,5.714128,88900
2012-03-20,5.76,5.9,5.74,5.77,5.645636,75500
2012-03-21,5.81,5.82,5.58,5.6,5.4793,48900
2012-03-22,5.5,5.57,5.29,5.36,5.244473,91900
2012-03-23,5.34,5.61,5.34,5.59,5.469516,95000
2012-03-26,5.71,5.75,5.68,5.75,5.626067,112900
2012-03-27,5.77,5.8,5.67,5.68,5.557576,46800
2012-03-28,5.71,5.71,5.52,5.63,5.508653,37400
2012-03-29,5.56,5.6,5.35,5.47,5.352102,37400
2012-03-30,5.54,5.54,5.39,5.39,5.273826,106400
2012-04-02,5.37,5.72,5.37,5.72,5.596714,70100
2012-04-03,5.71,5.71,5.35,5.37,5.254257,67300
2012-04-04,5.27,5.32,5.04,5.13,5.01943,87600
2012-04-05,5.08,5.27,5.08,5.18,5.068353,57900
2012-04-09,5.02,5.1,4.98,5.02,4.911801,93300
2012-04-10,5.02,5.09,4.95,5.01,4.902017,186200
2012-04-11,5.09,5.24,5.03,5.22,5.10749,114600
2012-04-12,5.24,5.44,5.22,5.36,5.244473,55900
2012-04-13,5.32,5.32,5.21,5.22,5.10749,56700
2012-04-16,5.24,5.55,5.21,5.48,5.361886,79300
2012-04-17,5.55,5.71,5.55,5.63,5.508653,92200
2012-04-18,5.57,5.57,5.37,5.44,5.322749,71900
2012-04-19,5.45,5.6,5.3,5.41,5.293395,64500
2012-04-20,5.5,5.69,5.43,5.49,5.371671,110400
2012-04-23,5.34,5.46,5.3,5.45,5.332533,116200
2012-04-24,5.43,5.55,5.39,5.5,5.381455,58600
