Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,27.82,28.120001,27.75,28.1,26.715733,55600
2012-02-22,28.040001,28.540001,27.91,28.43,27.029476,41100
2012-02-23,28.5,28.790001,28.5,28.52,27.115038,49700
2012-02-24,28.639999,28.639999,28.209999,28.290001,26.896378,17400
2012-02-27,28.280001,28.280001,28,28.15,26.763269,25900
2012-02-28,28.34,28.6,28.25,28.6,27.191109,32200
2012-02-29,28.65,28.91,27.91,28.299999,26.905882,114200
2012-03-01,28.450001,28.709999,28.030001,28.26,26.867857,48000
2012-03-02,28.059999,28.450001,27.83,28.16,26.772779,49500
2012-03-05,27.959999,27.969999,27.32,27.75,26.382975,82100
2012-03-06,27.219999,27.219999,26.74,27.030001,25.698444,50900
2012-03-07,27.030001,27.299999,26.870001,27.219999,25.879086,40400
2012-03-08,27.549999,27.6,27.34,27.59,26.230856,25500
2012-03-09,27.4,27.700001,27.299999,27.540001,26.183321,30200
2012-03-12,27.540001,27.540001,27.1,27.299999,25.955145,31400
2012-03-13,27.440001,27.5,27.16,27.309999,25.964653,75800
2012-03-14,26.969999,26.98,26.09,26.309999,25.013914,79800
2012-03-15,26.190001,26.5,26.190001,26.35,25.051945,42900
2012-03-16,26.49,26.49,26.25,26.27,24.975882,52200
2012-03-19,26.4,26.540001,25.940001,25.940001,24.662138,44400
2012-03-20,25.620001,25.82,25.01,25.809999,24.538546,83900
2012-03-21,25.82,26.07,25.75,25.809999,24.538546,38400
2012-03-22,25.610001,25.610001,25.23,25.32,24.072683,36900
2012-03-23,25.530001,25.93,25.379999,25.77,24.500519,26900
2012-03-26,26.07,26.110001,25.43,25.98,24.700169,32500
2012-03-27,26.190001,26.190001,25.6,25.77,24.500519,88000
2012-03-28,25.5,25.83,25.209999,25.440001,24.186771,40800
2012-03-29,25.440001,25.440001,24.879999,25.33,24.082188,37000
2012-03-30,25.4,25.790001,25.25,25.77,24.500519,96300
2012-04-02,25.74,25.98,25.540001,25.879999,24.605097,80900
2012-04-03,25.959999,25.959999,25.08,25.33,24.082188,58900
2012-04-04,24.99,25.030001,23.75,23.83,22.656084,222100
2012-04-05,24.040001,24.110001,23.59,23.84,22.665588,62800
2012-04-09,23.870001,24.120001,23.700001,23.73,22.561007,42600
2012-04-10,23.93,24.17,23.469999,24.129999,22.941307,64500
2012-04-11,24.360001,24.360001,23.93,24.09,22.903276,61700
2012-04-12,24.17,24.66,24.02,24.65,23.435692,75500
2012-04-13,24.700001,24.700001,24.27,24.530001,23.321604,22400
2012-04-16,24.42,24.469999,24.08,24.370001,23.169483,69100
2012-04-17,24.52,24.73,24.27,24.4,23.198008,28500
2012-04-18,24.34,24.58,24,24.18,22.988844,31400
2012-04-19,24.32,24.549999,24.049999,24.209999,23.017363,21700
2012-04-20,24.34,24.469999,24.049999,24.049999,22.865244,24200
2012-04-23,23.889999,23.889999,23.299999,23.59,22.427904,25100
2012-04-24,23.76,23.809999,23.629999,23.809999,22.637066,63900
2012-04-25,23.719999,24.299999,23.719999,24.280001,23.083916,102700
2012-04-26,24.190001,24.43,24.01,24.23,23.036379,53400
2012-04-27,24.450001,24.52,24.34,24.4,23.198008,104300
2012-04-30,24.290001,24.59,24.030001,24.559999,23.350122,80000
2012-05-01,24.799999,24.799999,24.370001,24.549999,23.340612,54500
2012-05-02,24.49,24.49,23.99,24.290001,23.093426,27000
2012-05-03,24.16,24.16,23.35,23.52,22.361355,68000
2012-05-04,23.52,23.559999,23.35,23.440001,22.285297,42100
2012-05-07,23.5,23.5,22.809999,22.959999,21.828938,57000
2012-05-08,22.68,22.68,22.1,22.27,21.172934,63200
2012-05-09,22.059999,22.83,21.879999,22.59,21.477173,76000
2012-05-10,22.860001,22.860001,22.41,22.530001,21.420128,38800
2012-05-11,22.440001,22.85,22.32,22.43,21.325052,32000
2012-05-14,22.200001,22.200001,21.809999,21.889999,20.811653,26000
2012-05-15,22,22,21.02,21.110001,20.070078,52000
2012-05-16,21.1,21.530001,20.790001,21.27,20.250973,93600
2012-05-17,21.440001,21.92,21.299999,21.82,20.774626,122400
2012-05-18,22.1,22.49,21.75,21.799999,20.755581,89500
2012-05-21,22.129999,22.200001,21.75,22.18,21.11738,37500
2012-05-22,22.33,22.610001,21.99,22.129999,21.069771,36000
2012-05-23,22.42,22.799999,21.5,22.799999,21.707674,52000
2012-05-24,22.9,23.09,22.530001,22.74,21.650545,50400
2012-05-25,22.9,23.049999,22.709999,22.959999,21.860004,37200
2012-05-29,23.059999,23.1,22.389999,22.48,21.403004,20100
2012-05-30,22.17,22.57,21.9,22.4,21.326838,44200
2012-05-31,22.5,22.66,22.1,22.43,21.3554,39800
2012-06-01,22.709999,23.32,22.57,23.120001,22.012341,179000
2012-06-04,23.219999,23.35,22.860001,23.129999,22.021868,46100
2012-06-05,23.18,23.33,22.879999,23.24,22.126596,45000
2012-06-06,23.52,23.74,23.24,23.58,22.450308,118100
2012-06-07,23.67,23.67,22.700001,22.77,21.679111,39800
2012-06-08,22.639999,22.860001,22.459999,22.65,21.564861,50900
2012-06-11,22.799999,22.82,22.459999,22.6,21.517256,38500
2012-06-12,22.860001,23.18,22.83,23.15,22.040905,31800
2012-06-13,23.379999,23.379999,22.950001,23.08,21.974257,35600
2012-06-14,23.280001,23.74,22.969999,23.049999,21.945698,127900
2012-06-15,23.190001,23.190001,22.799999,23.040001,21.936178,11700
2012-06-18,23.07,23.309999,22.870001,23.24,22.126596,100900
2012-06-19,23.32,23.370001,23.15,23.27,22.155157,41100
2012-06-20,23.049999,23.51,22.83,23.110001,22.002819,36700
2012-06-21,22.870001,22.870001,22.27,22.41,21.336357,81800
2012-06-22,22.440001,22.6,22.120001,22.48,21.403004,48500
2012-06-25,22.190001,22.34,21.950001,22.219999,21.155458,55500
2012-06-26,22.040001,22.219999,21.84,22.1,21.041208,79100
2012-06-27,21.969999,22.200001,21.75,22.1,21.041208,143000
2012-06-28,21.85,21.85,21.35,21.709999,20.669891,51000
2012-06-29,22.030001,22.43,22.030001,22.290001,21.222109,45100
2012-07-02,22.26,22.26,22,22.200001,21.136421,127800
2012-07-03,22.559999,22.92,22.48,22.92,21.821922,42700
2012-07-05,22.719999,23.040001,22.690001,22.870001,21.774321,74800
2012-07-06,22.67,22.67,22.16,22.440001,21.364922,48500
2012-07-09,22.27,22.280001,21.889999,21.959999,20.907913,47600
2012-07-10,22.360001,22.360001,21.440001,21.48,20.450914,60700
2012-07-11,21.370001,21.459999,21.07,21.360001,20.336664,94400
2012-07-12,21,21.280001,20.77,21.139999,20.127199,52900
2012-07-13,21.389999,21.57,21.290001,21.5,20.469959,26500
2012-07-16,21.559999,21.6,21.1,21.440001,20.41283,66200
2012-07-17,21.450001,21.49,21,21.25,20.231934,34000
2012-07-18,21.07,21.219999,21,21.139999,20.127199,44000
2012-07-19,21.35,21.469999,21.290001,21.309999,20.289061,15000
2012-07-20,21.18,21.34,21.15,21.290001,20.270014,14300
2012-07-23,20.91,20.91,20.65,20.84,19.841578,22200
2012-07-24,20.76,21.030001,20.6,20.73,19.736847,17200
2012-07-25,20.99,21.540001,20.950001,21.450001,20.42235,25100
2012-07-26,21.540001,21.98,21.540001,21.940001,20.888876,23700
2012-07-27,21.84,22.049999,21.610001,22,20.946001,50600
2012-07-30,22.1,22.280001,21.92,22.139999,21.079292,23200
2012-07-31,22.24,22.25,21.75,22.049999,20.993603,24800
2012-08-01,21.9,21.9,21.290001,21.620001,20.584208,47100
2012-08-02,21.379999,21.610001,21.190001,21.209999,20.193848,123000
2012-08-03,21.52,21.73,21.42,21.530001,20.498518,41900
2012-08-06,21.77,22.200001,21.77,21.99,20.93648,33500
2012-08-07,21.959999,22.4,21.959999,22.24,21.174501,25600
2012-08-08,22.040001,22.559999,22.040001,22.25,21.184027,47200
2012-08-09,22.32,22.549999,22.1,22.35,21.279238,24300
2012-08-10,22.35,22.35,22.120001,22.209999,21.145941,105800
2012-08-13,22.389999,22.459999,22.02,22.129999,21.069771,33900
2012-08-14,22.209999,22.209999,21.950001,22.049999,20.993603,82100
2012-08-15,22.139999,22.139999,21.85,22.01,20.955523,47500
2012-08-16,22.18,22.469999,22.18,22.42,21.345879,60400
2012-08-17,22.620001,22.639999,22.209999,22.360001,21.288752,32700
2012-08-20,22.139999,22.35,22.01,22.290001,21.222109,36900
2012-08-21,22.620001,23.02,22.52,22.610001,21.526775,72100
2012-08-22,22.639999,23,22.24,23,21.89809,70100
2012-08-23,23.290001,23.33,22.889999,23.02,21.917135,70500
2012-08-24,23.139999,23.24,22.91,23.02,21.917135,32900
2012-08-27,23.469999,23.469999,22.84,22.860001,21.764801,60500
2012-08-28,22.92,23,22.799999,22.799999,21.707674,20200
2012-08-29,22.84,22.860001,22.440001,22.5,21.422043,100600
