Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,53.029999,53.07,52.299999,52.5,45.97768,140000
2012-02-22,52.310001,52.77,51.650002,52.450001,45.933887,136000
2012-02-23,52.5,53.259998,52.09,53.16,46.555683,119400
2012-02-24,53.060001,53.599998,52.759998,53.23,46.616982,318900
2012-02-27,53.040001,53.470001,52.200001,53.23,46.616982,243600
2012-02-28,53.200001,53.439999,52.5,52.75,46.196609,434500
2012-02-29,52.830002,53.139999,52.52,52.779999,46.222893,390700
2012-03-01,53.009998,53.099998,52.540001,52.939999,46.363007,257300
2012-03-02,52.830002,53.240002,52.830002,53.200001,46.590721,225700
2012-03-05,53.02,53.470001,52.810001,53.349998,46.722076,249100
2012-03-06,52.75,52.75,51.959999,52.16,45.679924,397500
2012-03-07,52.240002,52.700001,51.959999,52.189999,45.706184,354500
2012-03-08,52.389999,53.48,52.389999,53.27,46.65202,222900
2012-03-09,53.400002,53.900002,53.290001,53.540001,46.88847,166700
2012-03-12,53.509998,53.720001,53.27,53.599998,46.941017,152400
2012-03-13,53.919998,54.419998,53.66,54.41,47.650379,155700
2012-03-14,54.43,54.619999,54.299999,54.459999,47.694176,251900
2012-03-15,54.389999,54.919998,54.23,54.889999,48.070759,228400
2012-03-16,54.299999,54.869999,53.990002,54.740002,47.939396,584200
2012-03-19,54.549999,54.959999,54.389999,54.59,47.808022,169500
2012-03-20,54.369999,54.700001,54.32,54.400002,47.641636,174300
2012-03-21,54.16,54.52,53.860001,54.279999,47.536537,205500
2012-03-22,53.959999,54.040001,53.23,54,47.291321,200400
2012-03-23,53.939999,54.330002,53.869999,54.290001,47.545288,120300
2012-03-26,54.529999,54.919998,54.459999,54.919998,48.097034,154000
2012-03-27,54.919998,54.93,54.580002,54.790001,47.98317,152400
2012-03-28,54.700001,55,54.470001,54.939999,48.11454,335300
2012-03-29,54.689999,55,54.490002,54.91,48.088268,202200
2012-03-30,55,55,54.709999,54.77,47.965656,187500
2012-04-02,54.759998,55.490002,54.529999,55,48.167076,314600
2012-04-03,55.040001,55.360001,54.619999,55.259998,48.394787,194200
2012-04-04,54.919998,54.939999,54,54.790001,47.98317,168400
2012-04-05,54.639999,54.880001,54.16,54.34,47.5891,169400
2012-04-09,53.709999,54.360001,53.59,54.150002,47.422688,267000
2012-04-10,53.900002,54.259998,53.259998,53.34,46.713314,453300
2012-04-11,54.240002,54.240002,52.029999,53.900002,47.203743,212700
2012-04-12,53.91,54.639999,53.91,54.5,47.729206,154100
2012-04-13,54.27,54.419998,53.950001,54.080002,47.361385,164900
2012-04-16,54.130001,54.470001,53.73,54.27,47.527782,134200
2012-04-17,54.650002,54.759998,54.360001,54.5,47.729206,306900
2012-04-18,54.330002,54.549999,54.150002,54.48,47.711681,165600
2012-04-19,54.549999,55.049999,54.18,54.540001,47.764236,247400
2012-04-20,54.669998,55,54.599998,54.889999,48.070759,166600
