Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,25.93,26.290001,25.85,25.91,25.91,5444100
2012-02-22,25.9,26.07,25.049999,25.08,25.08,5706900
2012-02-23,25.030001,25.6,25.030001,25.190001,25.190001,3938900
2012-02-24,25.18,25.33,24.92,24.99,24.99,2821700
2012-02-27,24.91,25.25,24.66,25.01,25.01,3013300
2012-02-28,24.98,25.610001,24.75,25.540001,25.540001,3951400
2012-02-29,25.57,25.68,24.66,24.700001,24.700001,5794000
2012-03-01,24.84,25.08,24.59,24.700001,24.700001,4097800
2012-03-02,24.620001,24.74,24.280001,24.309999,24.309999,3271900
2012-03-05,24.219999,24.780001,24.02,24.639999,24.639999,3848700
2012-03-06,24.299999,24.49,23.98,24.059999,24.059999,3884900
2012-03-07,24.07,24.639999,23.92,24.389999,24.389999,5401800
2012-03-08,24.549999,24.700001,24.33,24.549999,24.549999,2507100
2012-03-09,24.459999,24.889999,24.41,24.77,24.77,3224200
2012-03-12,24.719999,24.799999,24.450001,24.559999,24.559999,2788500
2012-03-13,24.77,24.84,24.48,24.59,24.59,4513900
2012-03-14,24.549999,24.639999,23.73,23.92,23.92,7229400
2012-03-15,23.93,25.27,23.389999,25.200001,25.200001,10098600
2012-03-16,25.18,25.65,24.92,25.52,25.52,10234200
2012-03-19,25.35,26.309999,25.309999,26.120001,26.120001,8536100
2012-03-20,25.889999,26.4,25.469999,26.290001,26.290001,6833800
2012-03-21,26.290001,27.35,26.27,27.139999,27.139999,13473700
2012-03-22,26.98,27.549999,26.75,26.959999,26.959999,7781800
2012-03-23,27.25,27.950001,26.83,27.51,27.51,8408500
2012-03-26,27.690001,27.75,27.1,27.370001,27.370001,7478200
2012-03-27,27.459999,27.5,26.879999,26.93,26.93,6918000
2012-03-28,27.02,27.299999,26.530001,26.620001,26.620001,9783400
2012-03-29,25.360001,25.48,23.959999,24.77,24.77,30389800
2012-03-30,24.530001,24.57,23.610001,23.68,23.68,16859300
2012-04-02,23.24,23.799999,22.799999,23.639999,23.639999,11182500
2012-04-03,23.370001,23.91,23.299999,23.549999,23.549999,8253100
2012-04-04,23.360001,23.98,22.76,22.950001,22.950001,10274400
2012-04-05,22.74,22.940001,22.43,22.65,22.65,6948300
2012-04-09,22.309999,22.74,22.07,22.65,22.65,6961000
2012-04-10,22.48,23.74,21.209999,21.32,21.32,29616700
2012-04-11,21.290001,22.139999,21.209999,21.959999,21.959999,13638100
2012-04-12,21.93,22.549999,21.809999,22.24,22.24,19379400
2012-04-13,22.200001,22.469999,21.93,22.040001,22.040001,18355900
2012-04-16,22.049999,22.07,21.57,21.85,21.85,7236500
2012-04-17,21.889999,22.02,21.719999,21.92,21.92,5924400
2012-04-18,22.24,22.43,21.98,22.059999,22.059999,6275000
2012-04-19,22.059999,22.299999,21.889999,22,22,4413000
2012-04-20,21.940001,22,21.389999,21.469999,21.469999,9819400
2012-04-23,21.26,21.950001,21.129999,21.75,21.75,7599300
2012-04-24,21.48,21.83,21.24,21.700001,21.700001,6762000
2012-04-25,21.91,22.18,21.809999,22.08,22.08,4790200
2012-04-26,22.09,22.219999,21.950001,22.110001,22.110001,4800200
2012-04-27,22.23,22.33,21.85,22.33,22.33,5458000
2012-04-30,22.33,22.42,21.93,22.07,22.07,3474900
2012-05-01,22.059999,22.690001,21.99,22.450001,22.450001,5557900
2012-05-02,22.27,22.280001,21.98,22.1,22.1,3989800
2012-05-03,22.18,22.200001,21.48,21.59,21.59,8957900
2012-05-04,21.58,21.59,20.780001,20.82,20.82,5938500
2012-05-07,20.66,20.950001,20.559999,20.620001,20.620001,5193700
2012-05-08,20.469999,20.5,19.799999,20.120001,20.120001,7819200
2012-05-09,19.9,20.4,19.790001,20.1,20.1,6043600
2012-05-10,20.18,20.200001,19.879999,19.940001,19.940001,7003500
2012-05-11,19.469999,19.85,19.23,19.280001,19.280001,7506100
2012-05-14,19.139999,19.700001,19.02,19.559999,19.559999,7975500
2012-05-15,19.639999,19.65,19.049999,19.120001,19.120001,4722100
2012-05-16,19.24,19.49,18.92,18.92,18.92,5436100
