Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,14.75,14.9,14.62,14.66,8.932334,146300
2012-02-22,14.87,14.87,14.61,14.61,8.901868,82300
2012-02-23,14.63,14.78,14.56,14.69,8.950611,95100
2012-02-24,14.66,14.84,14.66,14.83,9.035913,45300
2012-02-27,14.91,15.02,14.83,15.02,9.151686,46300
2012-02-28,15.03,15.07,14.97,15.07,9.182151,52900
2012-02-29,15.13,15.21,15.1,15.21,9.26745,32000
2012-03-01,15.22,15.33,15.2,15.3,9.322288,62000
2012-03-02,15.34,15.34,15.24,15.29,9.316195,78000
2012-03-05,15.3,15.3,15.01,15.06,9.176059,74100
2012-03-06,15.05,15.13,14.91,15.12,9.212612,124700
2012-03-07,15.12,15.28,15.1,15.25,9.291821,76200
2012-03-08,15.25,15.31,15.2,15.25,9.291821,90200
2012-03-09,15.25,15.34,15.21,15.28,9.310102,55700
2012-03-12,15.3,15.34,15.25,15.31,9.328383,69900
2012-03-13,15.22,15.24,15,15.07,9.230382,93400
2012-03-14,15.09,15.09,14.75,14.78,9.052756,110900
2012-03-15,14.75,14.76,14.34,14.37,8.801628,290200
2012-03-16,14.31,14.31,13.85,14.06,8.611755,424900
2012-03-19,13.96,14.27,13.87,14.15,8.666881,169400
2012-03-20,14.14,14.39,14.14,14.31,8.764878,112900
2012-03-21,14.39,14.46,14.31,14.39,8.813883,137900
2012-03-22,14.39,14.46,14.32,14.32,8.771005,123300
2012-03-23,14.3,14.35,14.25,14.26,8.734256,108400
2012-03-26,14.3,14.31,14.05,14.13,8.654632,114200
2012-03-27,14.09,14.28,13.99,14.26,8.734256,101000
2012-03-28,14.22,14.38,14.22,14.35,8.78938,72400
2012-03-29,14.36,14.37,14.3,14.31,8.764878,50800
2012-03-30,14.31,14.49,14.31,14.49,8.875131,58200
2012-04-02,14.5,14.57,14.37,14.4,8.820008,98400
2012-04-03,14.44,14.45,14.33,14.41,8.826131,55000
2012-04-04,14.39,14.47,14.38,14.45,8.850632,50700
2012-04-05,14.42,14.52,14.42,14.49,8.875131,42900
2012-04-09,14.5,14.66,14.5,14.64,8.967008,84500
2012-04-10,14.6,14.7,14.6,14.61,8.948627,45600
2012-04-11,14.65,14.71,14.6,14.68,8.991504,55900
2012-04-12,14.59,14.62,14.5,14.54,8.954555,32600
2012-04-13,14.58,14.64,14.53,14.64,9.016142,37800
2012-04-16,14.63,14.69,14.6,14.65,9.022298,44100
2012-04-17,14.62,14.65,14.52,14.61,8.997662,79200
2012-04-18,14.64,14.65,14.58,14.64,9.016142,48300
2012-04-19,14.61,14.69,14.6,14.64,9.016142,53000
2012-04-20,14.63,14.7,14.61,14.7,9.053089,44200
2012-04-23,14.75,14.75,14.64,14.72,9.065405,53000
2012-04-24,14.7,14.75,14.68,14.75,9.083881,57500
2012-04-25,14.7,14.75,14.67,14.7,9.053089,64800
2012-04-26,14.7,14.76,14.7,14.75,9.083881,51700
2012-04-27,14.72,14.79,14.72,14.76,9.090039,56700
2012-04-30,14.8,14.94,14.76,14.83,9.133153,45000
2012-05-01,14.9,15.04,14.87,14.97,9.219372,82600
2012-05-02,14.89,14.92,14.86,14.91,9.182422,67000
2012-05-03,14.93,14.93,14.82,14.92,9.188581,56000
2012-05-04,14.93,14.93,14.84,14.91,9.182422,36300
2012-05-07,14.93,14.94,14.86,14.9,9.176264,60000
2012-05-08,14.97,15.11,14.91,15.01,9.244007,79400
2012-05-09,15.07,15.08,15.02,15.05,9.268641,70000
2012-05-10,15.1,15.14,15.01,15.04,9.262482,56800
2012-05-11,15.1,15.1,14.92,14.99,9.281055,63800
2012-05-14,15.03,15.03,14.89,14.92,9.237713,52500
2012-05-15,14.92,14.99,14.92,14.98,9.274867,32000
2012-05-16,15.03,15.04,14.96,15.03,9.305821,64900
