Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,8.37,8.43,8.36,8.43,8.43,675500
2012-02-22,8.38,8.41,8.35,8.35,8.35,607700
2012-02-23,8.34,8.42,8.34,8.42,8.42,407400
2012-02-24,8.43,8.45,8.41,8.45,8.45,460000
2012-02-27,8.36,8.4,8.34,8.34,8.34,651900
2012-02-28,8.34,8.39,8.34,8.35,8.35,498400
2012-02-29,8.34,8.46,8.34,8.43,8.43,534300
2012-03-01,8.45,8.49,8.44,8.48,8.48,543100
2012-03-02,8.19,8.32,8.04,8.07,8.07,1955900
2012-03-05,8.05,8.05,7.93,7.94,7.94,1233400
2012-03-06,7.82,7.86,7.7,7.73,7.73,1095300
2012-03-07,7.75,7.94,7.75,7.94,7.94,679600
2012-03-08,7.99,8.11,7.99,8.11,8.11,605000
2012-03-09,8.12,8.17,8.1,8.12,8.12,493000
2012-03-12,8.11,8.11,8.04,8.09,8.09,583800
2012-03-13,7.95,7.98,7.89,7.98,7.98,611500
2012-03-14,7.95,7.96,7.87,7.89,7.89,405400
2012-03-15,7.9,7.93,7.85,7.86,7.86,314000
2012-03-16,7.85,7.88,7.66,7.8,7.8,650900
2012-03-19,7.76,7.82,7.75,7.8,7.8,461400
2012-03-20,7.72,7.76,7.7,7.71,7.71,363400
2012-03-21,7.76,7.76,7.68,7.71,7.71,431400
2012-03-22,7.67,7.72,7.63,7.63,7.63,407700
2012-03-23,7.64,7.7,7.63,7.68,7.68,368200
2012-03-26,7.72,7.77,7.71,7.77,7.77,476600
2012-03-27,7.79,7.85,7.78,7.83,7.83,474200
2012-03-28,7.83,7.84,7.72,7.75,7.75,397100
2012-03-29,7.73,7.77,7.68,7.77,7.77,377500
2012-03-30,7.85,7.91,7.75,7.85,7.85,767800
2012-04-02,7.77,7.97,7.76,7.93,7.93,592900
2012-04-03,7.93,7.93,7.8,7.87,7.87,438900
2012-04-04,7.77,7.8,7.72,7.74,7.74,412500
2012-04-05,7.73,7.76,7.7,7.7,7.7,283200
2012-04-09,7.63,7.71,7.61,7.64,7.64,342100
2012-04-10,7.66,7.69,7.48,7.55,7.55,406100
2012-04-11,7.65,7.68,7.58,7.62,7.62,294000
2012-04-12,7.65,7.8,7.65,7.75,7.75,380800
2012-04-13,7.75,7.75,7.66,7.7,7.7,189000
2012-04-16,7.74,7.75,7.61,7.63,7.63,234100
2012-04-17,7.69,7.75,7.66,7.74,7.74,447000
2012-04-18,7.69,7.74,7.69,7.69,7.69,283700
2012-04-19,7.7,7.72,7.61,7.65,7.65,327700
2012-04-20,7.75,7.76,7.63,7.64,7.64,356800
2012-04-23,7.57,7.6,7.51,7.58,7.58,430500
2012-04-24,7.57,7.66,7.57,7.64,7.64,357100
2012-04-25,7.7,7.73,7.68,7.73,7.73,271800
2012-04-26,7.71,7.78,7.7,7.76,7.76,212800
2012-04-27,7.76,7.77,7.73,7.75,7.75,228800
2012-04-30,7.73,7.75,7.7,7.71,7.71,245000
2012-05-01,7.7,7.78,7.7,7.74,7.74,434400
2012-05-02,7.66,7.69,7.61,7.67,7.67,430200
2012-05-03,7.7,7.71,7.63,7.63,7.63,347400
2012-05-04,7.6,7.6,7.51,7.53,7.53,280400
2012-05-07,7.53,7.55,7.5,7.52,7.52,284000
2012-05-08,7.46,7.49,7.37,7.45,7.45,509300
2012-05-09,7.38,7.4,7.34,7.37,7.37,427100
