Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,19.790001,19.790001,19.440001,19.440001,18.375294,14100
2012-02-22,19.6,19.799999,19.49,19.57,18.498173,16200
2012-02-23,19.360001,19.459999,19.219999,19.43,18.365843,14700
2012-02-24,18.799999,18.870001,18.65,18.82,17.789251,6600
2012-02-27,18.49,18.67,18.35,18.42,17.411158,6600
2012-02-28,18.73,18.969999,18.73,18.940001,17.902678,11300
2012-02-29,19.01,19.200001,18.98,18.98,17.940489,10800
2012-03-01,19.299999,19.6,19.299999,19.370001,18.309128,16000
2012-03-02,19.32,19.389999,19.18,19.389999,18.328032,8600
2012-03-05,18.889999,18.940001,18.6,18.6,17.581301,17200
2012-03-06,18.23,18.23,17.91,17.969999,16.985806,20500
2012-03-07,18.290001,18.469999,18.27,18.33,17.326088,17000
2012-03-08,18.93,19.209999,18.93,19.120001,18.072823,16200
2012-03-09,18.860001,18.93,18.73,18.93,17.893225,6200
2012-03-12,18.799999,18.9,18.620001,18.799999,17.770346,9000
2012-03-13,18.620001,19.18,18.620001,19.18,18.129534,20400
2012-03-14,18.639999,18.66,18.41,18.549999,17.534039,15700
2012-03-15,18.33,18.52,18.299999,18.440001,17.430063,14000
2012-03-16,18.48,18.52,18.23,18.23,17.231564,18000
2012-03-19,18.049999,18.1,17.75,17.76,16.787308,27900
2012-03-20,17.700001,17.790001,17.629999,17.629999,16.664423,13500
2012-03-21,17.6,17.6,17.5,17.549999,16.588808,4400
2012-03-22,17.25,17.35,16.93,16.93,16.002764,23300
2012-03-23,16.959999,17.15,16.860001,17.059999,16.125643,26400
2012-03-26,16.940001,17.16,16.91,17.16,16.220169,41700
2012-03-27,16.98,17.08,16.82,16.82,15.898787,12800
2012-03-28,16.459999,16.540001,16.200001,16.540001,15.634125,62900
2012-03-29,16.139999,16.290001,15.95,16,15.123699,112700
2012-03-30,16.43,16.540001,16.34,16.5,15.596313,28100
2012-04-02,16.440001,16.559999,16.35,16.48,15.577409,30900
2012-04-03,16.309999,16.440001,16.280001,16.43,15.530148,23000
2012-04-04,16.25,16.360001,16,16.15,15.265484,58400
2012-04-05,16.41,16.77,16.389999,16.709999,15.794811,33800
2012-04-09,16.41,16.549999,16.280001,16.280001,15.388366,10300
2012-04-10,16.01,16.049999,15.63,15.76,14.896845,35500
2012-04-11,15.55,15.55,15.38,15.5,14.651083,36000
2012-04-12,15.55,15.87,15.53,15.85,14.981915,14100
2012-04-13,15.74,15.74,15.46,15.56,14.707798,24400
2012-04-16,15,15.14,15,15,14.178469,34400
2012-04-17,14.64,14.9,14.57,14.73,13.923255,35400
2012-04-18,14.65,15,14.65,14.87,14.055588,21800
2012-04-19,14.69,14.81,14.58,14.71,13.90435,28800
2012-04-20,14.75,14.87,14.7,14.82,14.008326,5300
2012-04-23,14.81,14.81,14.66,14.67,13.866542,20400
2012-04-24,15.43,15.54,15.31,15.42,14.575465,23200
2012-04-25,15.77,16,15.76,15.96,15.085889,31300
2012-04-26,16.459999,16.459999,15.84,15.9,15.029176,79200
2012-04-27,16.209999,16.219999,16,16.18,15.293839,24300
2012-04-30,16.32,16.9,16.15,16.9,15.974407,285000
2012-05-01,16.48,16.67,16.450001,16.450001,15.549055,58600
2012-05-02,17,17.040001,16.790001,16.9,15.974407,165000
2012-05-03,17.09,17.16,16.950001,16.950001,16.021671,21000
2012-05-04,17.4,17.49,17.23,17.27,16.324142,42100
2012-05-07,17.620001,17.82,17.469999,17.700001,16.730591,509700
2012-05-08,17.25,17.42,17.049999,17.1,16.163452,57100
2012-05-09,17.059999,17.110001,16.950001,16.99,16.059477,41000
2012-05-10,16.9,17.120001,16.5,16.530001,15.624672,22700
2012-05-11,16.379999,16.58,16.23,16.35,15.454531,25000
2012-05-14,16.08,16.219999,15.86,15.95,15.076437,47900
2012-05-15,15.39,15.43,15.14,15.17,14.339157,28000
2012-05-16,15.6,15.77,15.44,15.52,14.669989,18400
2012-05-17,15.47,15.47,15.09,15.09,14.263539,29500
2012-05-18,15.11,15.25,14.9,14.95,14.131207,24100
2012-05-21,15.04,15.3,15.02,15.25,14.414777,28100
2012-05-22,15.21,15.28,15,15.07,14.244635,17000
2012-05-23,14.84,14.84,14.59,14.77,13.961066,24000
2012-05-24,14.67,14.72,14.48,14.55,13.753115,46500
2012-05-25,14.52,14.55,14.41,14.45,13.658591,23800
2012-05-29,15.02,15.48,15.01,15.44,14.594369,47600
2012-05-30,14.86,14.86,14.62,14.62,13.81928,28900
2012-05-31,14.25,14.31,14.05,14.26,13.478998,30000
2012-06-01,14.39,14.6,14.08,14.17,13.393926,97300
2012-06-04,14.12,14.19,13.92,14.03,13.261594,233200
2012-06-05,14.49,14.81,14.37,14.81,13.998874,32900
2012-06-06,14.95,15.16,14.83,15.14,14.310801,41300
2012-06-07,15.2,15.41,15.1,15.29,14.452585,44100
2012-06-08,15.24,15.46,15.2,15.34,14.499846,13600
2012-06-11,15.85,15.85,15.42,15.45,14.603822,34400
2012-06-12,16.26,16.4,16.07,16.219999,15.331649,52000
2012-06-13,16.25,16.32,16.01,16.15,15.265484,33900
2012-06-14,15.59,15.69,15.47,15.51,14.660537,58900
2012-06-15,15.52,15.66,14.28,14.35,13.564068,386300
2012-06-18,15.2,15.44,15.16,15.26,14.424228,45100
2012-06-19,15.24,15.35,15.11,15.3,14.462038,19400
2012-06-20,15.56,15.67,15.46,15.56,14.707798,30900
2012-06-21,15.98,15.98,15.53,15.59,14.736155,64900
2012-06-22,15.92,15.92,15.52,15.6,14.745606,71900
2012-06-25,15.98,16.030001,15.66,15.92,15.048081,48800
2012-06-26,15.77,15.89,15.67,15.88,15.010272,20400
2012-06-27,15.77,15.82,15.59,15.75,14.887391,26600
2012-06-28,15.42,15.43,15.16,15.34,14.499846,28000
2012-06-29,15.77,16,15.68,16,15.123699,38900
2012-07-02,15.9,16.030001,15.9,15.95,15.076437,14000
2012-07-03,15.84,16.120001,15.84,16.120001,15.237127,12700
2012-07-05,15.6,15.6,15.36,15.52,14.669989,13600
2012-07-06,15.55,15.62,15.45,15.56,14.707798,17100
2012-07-09,15.71,15.74,15.61,15.67,14.811773,14200
2012-07-10,15.82,15.82,15.42,15.44,14.594369,19500
2012-07-11,15.54,15.54,15.29,15.45,14.603822,14900
2012-07-12,15.66,15.82,15.65,15.71,14.849582,19100
2012-07-13,16.66,16.969999,16.65,16.969999,16.040573,71500
2012-07-16,17.299999,17.35,17.15,17.219999,16.27688,32000
2012-07-17,17.48,17.59,17.33,17.5,16.541546,43400
2012-07-18,17.26,17.360001,17.030001,17.190001,16.248526,57900
2012-07-19,17.440001,17.629999,17.379999,17.629999,16.664423,22500
2012-07-20,17.17,17.309999,16.950001,17.08,16.144548,12800
2012-07-23,16.459999,16.67,16.27,16.540001,15.634125,17600
2012-07-24,16.6,16.610001,16.450001,16.610001,15.700291,10200
2012-07-25,16.82,16.959999,16.48,16.48,15.577409,8100
2012-07-26,17.129999,17.32,17.09,17.24,16.295786,18800
2012-07-27,17.549999,17.940001,17.549999,17.860001,16.88183,35900
2012-07-30,17.27,17.360001,17.139999,17.18,16.239073,32100
2012-07-31,17.35,17.5,17.25,17.360001,16.409214,6900
2012-08-01,17.440001,17.5,17.07,17.07,16.135096,9800
2012-08-02,17.34,17.440001,17.129999,17.27,16.324142,25100
2012-08-03,17.440001,17.6,17.360001,17.5,16.541546,18700
2012-08-06,17.110001,17.26,17.049999,17.26,16.314692,28300
2012-08-07,16.98,17.24,16.950001,17.24,16.295786,25700
2012-08-08,16.799999,16.99,16.67,16.889999,15.964953,13500
2012-08-09,16.99,17.049999,16.870001,16.969999,16.040573,8400
2012-08-10,16.860001,17.129999,16.85,17.129999,16.191809,10100
2012-08-13,17.02,17.17,17.02,17.1,16.163452,4600
2012-08-14,17.57,17.620001,17.4,17.4,16.447023,13200
2012-08-15,17.25,17.35,17.1,17.35,16.399761,7900
2012-08-16,17.030001,17.219999,16.969999,17.219999,16.27688,11300
2012-08-17,16.950001,16.959999,16.74,16.74,15.823171,13200
2012-08-20,16.84,17.030001,16.799999,17.030001,16.097286,6500
2012-08-21,16.92,16.92,16.66,16.82,15.898787,14500
2012-08-22,16.43,16.450001,16.25,16.379999,15.482887,10300
2012-08-23,16.190001,16.290001,15.97,15.97,15.095343,23400
2012-08-24,16.18,16.33,16.18,16.23,15.341103,11400
2012-08-27,16.1,16.1,15.78,15.98,15.104795,18500
2012-08-28,15.69,15.7,15.55,15.68,14.821225,10500
2012-08-29,15.31,15.49,15.18,15.3,14.462038,14400
2012-08-30,15.37,15.37,14.99,15.11,14.282443,16500
2012-08-31,15.15,15.26,15.15,15.24,14.405324,10600
2012-09-04,15.31,15.31,15.09,15.09,14.263539,8500
2012-09-05,15.09,15.09,15.09,15.09,14.263539,0
2012-09-06,15.09,15.09,15.09,15.09,14.263539,0
2012-09-07,15.09,15.09,15.09,15.09,14.263539,0
2012-09-10,15.09,15.09,15.09,15.09,14.263539,0
2012-09-11,15.09,15.09,15.09,15.09,14.263539,0
2012-09-12,15.43,15.79,15.43,15.77,14.906297,26000
2012-09-13,15.35,15.84,15.24,15.62,14.764512,24900
2012-09-14,15.24,15.43,15.2,15.31,14.47149,23700
2012-09-17,14.94,15.08,14.79,15.08,14.254086,19300
2012-09-18,15.32,15.39,15.19,15.26,14.424228,18500
2012-09-19,15.5,15.59,15.42,15.55,14.698345,21500
2012-09-20,15.75,15.84,15.61,15.7,14.84013,21200
2012-09-21,15.65,15.65,15.2,15.35,14.509299,25800
2012-09-24,15.34,15.45,14.83,15.15,14.320251,42500
2012-09-25,15.32,15.43,15.12,15.12,14.291896,12600
2012-09-26,14.85,14.88,14.7,14.7,13.894899,8900
2012-09-27,14.88,15.06,14.82,14.94,14.121754,20600
2012-09-28,15.1,15.25,15.05,15.19,14.358062,13700
2012-10-01,15.2,15.35,15.03,15.16,14.329705,15000
2012-10-02,15.18,15.32,15.05,15.3,14.462038,11000
2012-10-03,15.27,15.51,15.27,15.4,14.556561,12300
2012-10-04,15.71,15.95,15.71,15.8,14.934653,27400
2012-10-05,16.1,16.24,16.08,16.08,15.199317,15300
2012-10-08,16.379999,16.379999,16.219999,16.280001,15.388366,13100
2012-10-09,16.23,16.23,15.95,15.95,15.076437,14700
2012-10-10,15.8,15.93,15.68,15.87,15.000819,6600
2012-10-11,16.02,16.17,15.95,16.1,15.218223,14600
2012-10-12,16.299999,16.35,16.16,16.200001,15.312747,8800
2012-10-15,16.389999,16.549999,16.379999,16.549999,15.643577,8600
2012-10-16,16.709999,16.98,16.709999,16.85,15.927145,9700
2012-10-17,16.959999,17.110001,16.92,17.110001,16.172907,12900
2012-10-18,16.84,17,16.83,17,16.06893,8400
2012-10-19,17.190001,17.190001,16.870001,16.99,16.059477,14600
2012-10-22,17.02,17.110001,16.969999,17.040001,16.106741,7700
2012-10-23,16.809999,16.85,16.700001,16.809999,15.889337,11800
2012-10-24,17.34,17.360001,17.24,17.299999,16.352501,21800
2012-10-25,17.74,17.860001,17.700001,17.82,16.844021,32500
2012-10-26,17.27,17.360001,17.139999,17.16,16.220169,17000
2012-10-31,17.43,17.5,17.139999,17.139999,16.201262,8200
2012-11-01,17.48,17.75,17.34,17.75,16.777855,33700
2012-11-02,18.23,18.280001,17.98,17.98,16.995256,21200
2012-11-05,18.719999,18.719999,18.48,18.66,17.638014,28200
2012-11-06,18.110001,18.200001,17.950001,18,17.014162,18400
2012-11-07,17.67,17.700001,16.9,16.9,15.974407,21100
2012-11-08,16.940001,17.08,16.780001,16.9,15.974407,10800
2012-11-09,17.08,17.35,17.08,17.34,16.39031,15100
2012-11-12,17.530001,17.610001,17.41,17.549999,16.588808,7800
