Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,10.83,10.83,9.57,10.05,8.927426,26706000
2012-02-22,10,10.21,9.93,9.93,8.820832,9361000
2012-02-23,10.02,10.04,9.57,9.69,8.607643,10959500
2012-02-24,9.74,9.86,9.49,9.53,8.465513,9416100
2012-02-27,9.57,9.74,9.4,9.66,8.580991,10316600
2012-02-28,9.67,9.92,9.6,9.9,8.794185,12150400
2012-02-29,9.85,10.07,9.75,9.81,8.714237,9454600
2012-03-01,9.8,9.93,9.59,9.64,8.563226,10799300
2012-03-02,9.67,10.09,9.62,9.77,8.678704,15245600
2012-03-05,9.71,9.75,9.41,9.67,8.589873,12015200
2012-03-06,9.53,9.82,9.29,9.36,8.314501,10179200
2012-03-07,9.39,9.6,9.34,9.37,8.323383,7012500
2012-03-08,9.31,9.56,9.24,9.47,8.412214,10089500
2012-03-09,9.6,9.6,9.34,9.37,8.323383,10153900
2012-03-12,9.4,9.53,9.19,9.19,8.163489,11235700
2012-03-13,9.38,9.4,9.14,9.31,8.270084,16418800
2012-03-14,9.3,9.31,9.07,9.3,8.261204,12680700
2012-03-15,9.29,9.83,9.25,9.63,8.554342,22472900
2012-03-16,9.66,9.69,9.21,9.21,8.181255,14737100
2012-03-19,9.25,9.41,9.17,9.31,8.270084,9817500
2012-03-20,9.36,9.63,9.24,9.53,8.465513,9882800
2012-03-21,9.58,9.93,9.45,9.74,8.652056,21023800
2012-03-22,9.73,9.96,9.46,9.53,8.465513,14986700
2012-03-23,9.51,9.69,9.45,9.62,8.545456,9249700
2012-03-26,9.68,9.9,9.53,9.88,8.776417,10079500
2012-03-27,9.85,9.92,9.72,9.81,8.714237,8508500
2012-03-28,9.87,10.28,9.86,10,8.883012,17276600
2012-03-29,10.01,10.11,9.76,10.07,8.945193,11634700
2012-03-30,10.02,10.02,9.73,9.92,8.811948,11853600
2012-04-02,9.88,10.08,9.8,10.01,8.891896,10551700
2012-04-03,10.08,10.58,10.07,10.32,9.167268,16724700
2012-04-04,10.25,10.62,10.2,10.48,9.309399,12339800
2012-04-05,10.4,10.64,10.29,10.37,9.211685,8456300
2012-04-09,10.3,10.4,10.15,10.29,9.140621,5835400
2012-04-10,10.26,10.36,9.78,9.81,8.714237,9603000
2012-04-11,9.94,10.08,9.84,9.91,8.803065,6920800
2012-04-12,9.98,10.49,9.98,10.26,9.113972,10834900
2012-04-13,10.21,10.26,10.08,10.13,8.998492,7007000
2012-04-16,10.15,10.46,10.08,10.25,9.10509,15157900
2012-04-17,10.35,10.48,10.19,10.44,9.273866,12285200
2012-04-18,10.42,10.61,10.39,10.53,9.353812,10180200
2012-04-19,10.56,11.03,10.38,10.82,9.611421,22660200
2012-04-20,10.85,10.94,10.56,10.75,9.549238,12197600
2012-04-23,10.53,10.62,10.3,10.39,9.229453,9612100
2012-04-24,10.4,10.62,10.39,10.48,9.309399,9782600
2012-04-25,10.46,10.72,10.25,10.48,9.309399,12228400
2012-04-26,10.52,10.64,10.25,10.4,9.238332,8304000
2012-04-27,10.39,10.85,10.3,10.82,9.611421,10975200
2012-04-30,10.77,11.12,10.72,10.96,9.735783,13160200
2012-05-01,11.14,11.34,10.98,11.05,9.815728,13729900
2012-05-02,10.97,11.04,10.76,10.87,9.655837,7707300
2012-05-03,10.81,11.13,10.81,10.96,9.735783,8483900
2012-05-04,11.05,11.2,10.9,11,9.771316,15183900
2012-05-07,11,11.25,10.95,11.17,9.922328,11680500
2012-05-08,11.1,11.23,10.99,11.17,9.922328,11789400
