Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,16.700001,16.700001,16.290001,16.33,16.33,55500
2012-02-22,16.33,16.370001,15.89,16.02,16.02,68300
2012-02-23,16.040001,16.290001,15.85,16.23,16.23,80100
2012-02-24,16.24,16.24,15.93,16,16,82000
2012-02-27,15.54,15.61,15.14,15.29,15.29,407800
2012-02-28,15.22,15.6,15.2,15.42,15.42,505700
2012-02-29,15.49,15.84,15.27,15.27,15.27,186600
2012-03-01,15.3,15.55,15.26,15.31,15.31,189000
2012-03-02,15.25,15.44,14.87,14.89,14.89,298900
2012-03-05,14.85,15.03,14.65,14.71,14.71,240500
2012-03-06,14.57,14.65,14.22,14.32,14.32,289300
2012-03-07,14.32,14.64,14.32,14.49,14.49,234200
2012-03-08,14.55,14.93,14.42,14.65,14.65,267100
2012-03-09,15.55,16.389999,14.71,16,16,434500
2012-03-12,16,16,15.78,15.83,15.83,195300
2012-03-13,15.91,16.049999,15.78,16.049999,16.049999,305900
2012-03-14,15.94,16.030001,15.61,15.73,15.73,161500
2012-03-15,15.78,15.78,15.5,15.75,15.75,238300
2012-03-16,15.77,15.86,15.47,15.5,15.5,382700
2012-03-19,15.45,15.7,15.28,15.66,15.66,157100
2012-03-20,15.53,15.64,15.42,15.5,15.5,104900
2012-03-21,15.48,15.73,15.37,15.61,15.61,98400
2012-03-22,15.49,15.58,15.36,15.52,15.52,187800
2012-03-23,15.47,15.62,15.26,15.58,15.58,104400
2012-03-26,15.73,16.309999,15.65,16.26,16.26,175600
2012-03-27,16.24,16.25,16,16.08,16.08,182000
2012-03-28,16.040001,16.34,16.030001,16.07,16.07,320800
2012-03-29,15.98,16.219999,15.85,16,16,157400
2012-03-30,16.110001,16.110001,15.92,16,16,179800
2012-04-02,15.95,16.280001,15.76,16.27,16.27,195500
2012-04-03,16.219999,16.32,16,16.139999,16.139999,103400
2012-04-04,15.96,16,15.63,15.77,15.77,129600
2012-04-05,15.68,15.83,15.64,15.74,15.74,76900
2012-04-09,15.49,15.55,15.11,15.14,15.14,123900
2012-04-10,15.13,15.13,14.65,14.66,14.66,153100
