Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,16.6,16.74,16.549999,16.639999,7.562354,236800
2012-02-22,16.700001,16.84,16.629999,16.83,7.6487,231200
2012-02-23,16.84,16.889999,16.73,16.76,7.616889,220600
2012-02-24,16.84,16.99,16.76,16.91,7.685059,325500
2012-02-27,16.870001,16.950001,16.799999,16.879999,7.671426,259700
2012-02-28,16.9,16.950001,16.77,16.83,7.6487,266500
2012-02-29,16.879999,16.99,16.76,16.76,7.616889,272200
2012-03-01,16.83,17.09,16.83,17.07,7.757776,272000
2012-03-02,17.08,17.15,16.860001,16.860001,7.662336,327200
2012-03-05,16.92,17.01,16.700001,16.99,7.721416,414200
2012-03-06,16.879999,16.879999,16.6,16.75,7.612343,264000
2012-03-07,16.67,16.780001,16.639999,16.719999,7.59871,314100
2012-03-08,16.879999,17,16.700001,16.780001,7.625978,434600
2012-03-09,16.860001,16.93,16.790001,16.85,7.657792,230000
2012-03-12,16.93,16.93,16.77,16.84,7.653247,156900
2012-03-13,16.93,17,16.9,17,7.725962,174300
2012-03-14,17.049999,17.049999,16.719999,16.75,7.612343,195800
2012-03-15,16.809999,16.84,16.700001,16.74,7.6078,128700
2012-03-16,16.709999,16.76,16.309999,16.370001,7.439647,220200
2012-03-19,16.4,16.59,16.370001,16.49,7.494182,288200
2012-03-20,16.459999,16.51,16.370001,16.469999,7.485093,149500
2012-03-21,16.540001,16.6,16.49,16.58,7.535087,170500
2012-03-22,16.57,16.57,16.309999,16.450001,7.476002,251400
2012-03-23,16.549999,16.549999,16.379999,16.52,7.507817,112800
2012-03-26,16.620001,16.719999,16.549999,16.59,7.539629,187600
2012-03-27,16.67,16.77,16.57,16.719999,7.59871,190100
2012-03-28,16.49,16.59,16.370001,16.370001,7.575572,62200
2012-03-29,16.370001,16.389999,16.120001,16.209999,7.501528,203100
2012-03-30,16.32,16.32,16.209999,16.24,7.515409,209900
2012-04-02,16.18,16.370001,16.139999,16.360001,7.570944,207500
2012-04-03,16.4,16.51,16.32,16.440001,7.607966,179200
2012-04-04,16.43,16.43,16.190001,16.25,7.520041,238900
2012-04-05,16.26,16.280001,16.110001,16.23,7.510783,168400
2012-04-09,16.120001,16.209999,16.01,16.1,7.450623,110400
2012-04-10,16.15,16.27,15.7,15.7,7.265514,329100
2012-04-11,15.87,16.030001,15.8,16.01,7.408974,255200
2012-04-12,16.09,16.24,16.09,16.24,7.515409,120400
2012-04-13,16.360001,16.700001,16.200001,16.309999,7.547806,229400
2012-04-16,16.440001,16.440001,16.27,16.34,7.561687,183900
2012-04-17,16.41,16.440001,16.25,16.389999,7.584826,146800
2012-04-18,16.41,16.469999,16.35,16.360001,7.570944,143700
2012-04-19,16.379999,16.42,16.129999,16.200001,7.4969,263300
2012-04-20,16.34,16.440001,16.209999,16.379999,7.580199,128200
2012-04-23,16.34,16.34,16.209999,16.299999,7.543176,135400
2012-04-24,16.389999,16.450001,16.219999,16.27,7.529294,156100
2012-04-25,16.42,16.43,16.299999,16.35,7.566317,142400
2012-04-26,16.379999,16.469999,16.34,16.459999,7.617222,143500
2012-04-27,16.469999,16.540001,16.450001,16.52,7.644988,136300
2012-04-30,16.52,16.67,16.5,16.65,7.705146,138000
2012-05-01,16.67,16.82,16.620001,16.780001,7.765308,135300
2012-05-02,16.75,16.83,16.67,16.719999,7.737543,169000
2012-05-03,16.719999,16.85,16.629999,16.75,7.751424,215200
2012-05-04,16.700001,16.74,16.559999,16.719999,7.737543,173700
2012-05-07,16.719999,16.77,16.610001,16.67,7.714403,170000
2012-05-08,16.700001,16.709999,16.52,16.639999,7.700522,201300
2012-05-09,16.549999,16.549999,16.379999,16.450001,7.612592,279000
2012-05-10,16.48,16.48,16.299999,16.4,7.589455,189800
2012-05-11,16.290001,16.33,16.23,16.24,7.515409,160000
2012-05-14,16.139999,16.139999,15.86,15.89,7.353442,230600
2012-05-15,15.87,15.94,15.75,15.76,7.293281,192000
2012-05-16,15.86,15.86,15.45,15.53,7.186842,308800
2012-05-17,15.55,15.55,15.07,15.1,6.987853,643800
2012-05-18,15.17,15.17,14.86,14.9,6.895297,168000
2012-05-21,15.02,15.16,14.85,15.12,6.997109,224200
2012-05-22,15.21,15.35,15.14,15.24,7.052639,163500
2012-05-23,15.24,15.24,14.78,15.05,6.964715,313000
2012-05-24,15.09,15.21,14.78,14.95,6.918437,392100
2012-05-25,15.04,15.08,14.71,14.86,6.876786,296800
2012-05-29,14.96,14.99,14.9,14.94,6.913809,258500
2012-05-30,14.9,14.91,14.78,14.91,6.899927,314400
2012-05-31,14.91,14.91,14.76,14.77,6.835136,270500
2012-06-01,14.56,14.73,14.56,14.56,6.737954,295500
2012-06-04,14.57,14.71,14.28,14.28,6.608377,355500
2012-06-05,14.33,14.63,14.29,14.63,6.770349,184400
2012-06-06,14.74,14.96,14.71,14.96,6.923062,154100
2012-06-07,15.16,15.17,15.02,15.04,6.960084,154300
2012-06-08,15.05,15.15,14.96,15.15,7.010991,143200
2012-06-11,15.31,15.43,15.07,15.1,6.987853,234900
2012-06-12,15.19,15.38,15,15.31,7.085033,226900
2012-06-13,15.3,15.3,15.09,15.29,7.075778,179000
2012-06-14,15.38,15.38,15.22,15.28,7.071151,169700
2012-06-15,15.28,15.32,15.08,15.19,7.0295,191400
2012-06-18,15.17,15.38,15.1,15.3,7.080406,320600
2012-06-19,15.35,15.78,15.33,15.76,7.293281,360600
2012-06-20,15.84,15.96,15.75,15.96,7.385836,163000
2012-06-21,16,16,15.61,15.67,7.251631,184700
2012-06-22,15.77,15.85,15.51,15.58,7.209982,176100
2012-06-25,15.48,15.75,15.29,15.48,7.163703,201700
2012-06-26,15.63,15.68,15.53,15.62,7.228493,171700
2012-06-27,15.48,15.51,15.35,15.37,7.252085,213300
2012-06-28,15.43,15.52,15.33,15.52,7.32286,205000
2012-06-29,15.72,15.85,15.63,15.7,7.40779,163100
2012-07-02,15.83,15.91,15.8,15.87,7.488002,113800
2012-07-03,15.92,16.09,15.92,16.01,7.554059,109300
2012-07-05,16.07,16.1,15.86,16,7.549342,186000
2012-07-06,15.95,16,15.82,15.85,7.478564,137900
2012-07-09,15.8,16.01,15.75,16.01,7.554059,207300
2012-07-10,16.139999,16.139999,15.79,15.82,7.46441,169900
2012-07-11,16.040001,16.040001,15.84,15.97,7.535185,147400
2012-07-12,15.91,15.93,15.75,15.88,7.492723,116100
2012-07-13,15.84,16.25,15.84,16.09,7.591804,214800
2012-07-16,16.15,16.24,16.01,16.23,7.657861,197600
2012-07-17,16.23,16.360001,16.110001,16.309999,7.695609,148700
2012-07-18,16.34,16.43,16.290001,16.4,7.738073,162400
2012-07-19,16.469999,16.5,16.26,16.4,7.738073,214100
2012-07-20,16.360001,16.5,16.280001,16.459999,7.766385,158800
2012-07-23,16.08,16.33,15.91,16.32,7.700327,320300
2012-07-24,16.33,16.370001,16.049999,16.110001,7.601243,237800
2012-07-25,16.200001,16.26,16.15,16.25,7.6673,209000
2012-07-26,16.280001,16.540001,16.25,16.5,7.785257,195500
2012-07-27,16.620001,16.709999,16.559999,16.559999,7.813567,164600
2012-07-30,16.59,16.65,16.549999,16.59,7.827723,190200
2012-07-31,16.59,16.67,16.379999,16.450001,7.761663,304200
2012-08-01,16.58,16.709999,16.42,16.65,7.85603,175500
2012-08-02,16.6,16.68,16.49,16.549999,7.808848,209100
2012-08-03,16.85,16.9,16.639999,16.75,7.903214,202100
2012-08-06,16.879999,16.879999,16.559999,16.639999,7.851316,260700
2012-08-07,16.74,16.77,16.610001,16.76,7.907934,225300
2012-08-08,16.719999,16.83,16.559999,16.68,7.870189,233700
2012-08-09,16.68,16.82,16.629999,16.82,7.936242,162800
2012-08-10,16.809999,16.85,16.73,16.85,7.9504,179600
2012-08-13,16.84,16.84,16.65,16.74,7.898497,171800
2012-08-14,16.809999,16.84,16.709999,16.83,7.940961,151400
2012-08-15,16.809999,16.809999,16.620001,16.68,7.870189,168000
2012-08-16,16.73,16.799999,16.690001,16.75,7.903214,143900
2012-08-17,16.77,16.77,16.540001,16.68,7.870189,161300
2012-08-20,16.76,16.76,16.65,16.719999,7.889061,163100
2012-08-21,16.82,16.82,16.65,16.719999,7.889061,192800
2012-08-22,16.700001,16.76,16.67,16.709999,7.884344,153800
2012-08-23,16.66,16.790001,16.629999,16.75,7.903214,212900
2012-08-24,16.76,16.76,16.549999,16.690001,7.874906,179800
2012-08-27,16.68,16.68,16.51,16.540001,7.804131,154800
2012-08-28,16.549999,16.73,16.52,16.73,7.89378,200200
2012-08-29,16.780001,16.780001,16.620001,16.700001,7.879624,187800
2012-08-30,16.700001,16.74,16.629999,16.719999,7.889061,164900
2012-08-31,16.809999,16.809999,16.65,16.74,7.898497,166400
2012-09-04,16.77,16.809999,16.73,16.799999,7.926805,232700
2012-09-05,16.809999,16.860001,16.76,16.85,7.9504,202600
2012-09-06,16.879999,16.940001,16.860001,16.93,7.988145,152500
2012-09-07,16.940001,17,16.76,16.83,7.940961,273000
2012-09-10,16.780001,16.959999,16.780001,16.82,7.936242,150200
2012-09-11,16.91,17,16.82,17,8.021174,189700
2012-09-12,17,17.110001,16.969999,17.049999,8.044765,208400
2012-09-13,17.129999,17.24,17.07,17.15,8.091949,198100
2012-09-14,17.15,17.440001,17.139999,17.309999,8.167441,222400
2012-09-17,17.4,17.43,17.120001,17.309999,8.167441,226100
2012-09-18,17.309999,17.389999,17.200001,17.200001,8.115541,195900
2012-09-19,17.209999,17.209999,16.969999,17.02,8.03061,259200
2012-09-20,17,17.15,16.879999,17.07,8.054204,219500
2012-09-21,17.200001,17.209999,16.98,17.049999,8.044765,271000
2012-09-24,17.049999,17.049999,16.799999,16.860001,7.955119,297800
2012-09-25,16.9,17.139999,16.870001,16.889999,7.969273,305300
2012-09-26,16.799999,16.940001,16.610001,16.719999,8.007586,223100
2012-09-27,16.75,16.809999,16.65,16.66,7.978852,439600
2012-09-28,16.65,16.68,16.469999,16.469999,7.887855,354300
2012-10-01,16.59,16.700001,16.469999,16.540001,7.92138,326100
2012-10-02,16.610001,16.74,16.52,16.629999,7.964481,176000
2012-10-03,16.67,16.719999,16.530001,16.68,7.988429,172900
2012-10-04,16.68,16.68,16.5,16.639999,7.969273,248700
2012-10-05,16.65,16.77,16.59,16.639999,7.969273,172500
2012-10-08,16.65,16.73,16.540001,16.620001,7.959696,202100
2012-10-09,16.639999,16.66,16.440001,16.5,7.902224,186600
2012-10-10,16.469999,16.52,16.290001,16.43,7.868699,182100
2012-10-11,16.450001,16.540001,16.379999,16.43,7.868699,178500
2012-10-12,16.360001,16.5,16.360001,16.450001,7.878277,125300
2012-10-15,16.559999,16.68,16.5,16.68,7.988429,250300
2012-10-16,16.780001,16.84,16.66,16.76,8.026744,260500
2012-10-17,16.799999,16.92,16.700001,16.75,8.021954,186100
2012-10-18,16.790001,16.879999,16.690001,16.74,8.017163,214100
2012-10-19,16.77,16.799999,16.67,16.67,7.98364,196400
2012-10-22,16.709999,16.780001,16.620001,16.68,7.988429,179700
2012-10-23,16.639999,16.73,16.59,16.67,7.98364,220100
2012-10-24,16.68,16.77,16.549999,16.65,7.974061,213500
2012-10-25,16.74,16.74,16.559999,16.610001,7.954906,164300
2012-10-26,16.620001,16.629999,16.450001,16.59,7.945326,223000
2012-10-31,16.65,16.68,16.360001,16.469999,7.887855,230300
2012-11-01,16.58,16.719999,16.5,16.719999,8.007586,193000
2012-11-02,16.82,16.879999,16.549999,16.809999,8.050689,298400
2012-11-05,16.73,16.73,16.469999,16.5,7.902224,171200
2012-11-06,16.58,16.690001,16.559999,16.6,7.950115,116300
2012-11-07,16.549999,16.68,16.530001,16.559999,7.930958,202300
2012-11-08,16.6,16.65,16.549999,16.65,7.974061,136500
2012-11-09,16.610001,16.709999,16.549999,16.620001,7.959696,151600
2012-11-12,16.639999,16.709999,16.6,16.67,7.98364,118100
2012-11-13,16.65,16.77,16.49,16.59,7.945326,149100
2012-11-14,16.6,16.6,15.85,15.86,7.595711,353300
2012-11-15,15.81,15.88,15.45,15.75,7.543031,390100
2012-11-16,15.82,16.17,15.8,16.049999,7.686708,183500
2012-11-19,16.219999,16.450001,16.08,16.16,7.739391,289800
2012-11-20,16.219999,16.33,16.16,16.33,7.820807,224800
2012-11-21,16.43,16.450001,16.290001,16.450001,7.878277,176900
2012-11-23,16.5,16.559999,16.309999,16.469999,7.887855,62100
2012-11-26,16.389999,16.52,16.23,16.290001,7.801652,205400
2012-11-27,16.35,16.5,16.33,16.48,7.892646,191600
2012-11-28,16.48,16.65,16.34,16.65,7.974061,183600
2012-11-29,16.68,16.799999,16.52,16.58,7.940537,192300
2012-11-30,16.639999,16.690001,16.5,16.620001,7.959696,160700
2012-12-03,16.51,16.52,16.360001,16.360001,7.835176,239200
2012-12-04,16.370001,16.459999,16.16,16.389999,7.84954,724500
2012-12-05,16.389999,16.540001,16.26,16.26,7.787281,331900
2012-12-06,16.25,16.450001,16.219999,16.309999,7.811228,361900
2012-12-07,16.4,16.540001,16.35,16.5,7.902224,211900
2012-12-10,16.360001,16.549999,16.33,16.35,7.830387,229400
2012-12-11,16.389999,16.639999,16.389999,16.48,7.892646,284600
2012-12-12,16.5,16.610001,16.379999,16.610001,7.954906,279500
2012-12-13,16.65,16.75,16.620001,16.68,7.988429,220900
2012-12-14,16.73,16.93,16.719999,16.75,8.021954,306100
2012-12-17,16.84,16.860001,16.73,16.860001,8.074636,250500
2012-12-18,16.91,16.950001,16.75,16.860001,8.074636,210300
2012-12-19,16.780001,16.889999,16.639999,16.879999,8.20589,338400
2012-12-20,16.860001,16.91,16.709999,16.790001,8.16214,206000
2012-12-21,16.6,16.790001,16.559999,16.73,8.132969,204800
2012-12-24,16.76,16.83,16.639999,16.719999,8.128111,97900
2012-12-26,16.809999,16.83,16.620001,16.709999,8.123249,192500
2012-12-27,16.629999,16.73,16.51,16.57,8.055188,254400
2012-12-28,16.559999,16.719999,16.559999,16.709999,8.123249,197400
2012-12-31,16.709999,16.940001,16.690001,16.84,8.186447,247900
2013-01-02,16.99,17.33,16.969999,17.32,8.419789,476800
2013-01-03,17.4,17.48,17.18,17.34,8.429512,214600
2013-01-04,17.370001,17.450001,17.32,17.35,8.434372,245900
2013-01-07,17.379999,17.440001,17.219999,17.309999,8.414927,190000
2013-01-08,17.299999,17.52,17.16,17.280001,8.400344,238900
2013-01-09,17.25,17.360001,17.129999,17.280001,8.400344,326700
2013-01-10,17.379999,17.4,17.200001,17.290001,8.405204,293000
2013-01-11,17.280001,17.35,17.200001,17.32,8.419789,249400
2013-01-14,17.26,17.35,17.17,17.24,8.380898,207000
2013-01-15,17.34,17.4,17.25,17.33,8.42465,358200
2013-01-16,17.25,17.34,17.120001,17.139999,8.332285,259400
2013-01-17,17.26,17.379999,17.209999,17.290001,8.405204,383600
2013-01-18,17.360001,17.440001,17.33,17.440001,8.478125,300200
2013-01-22,17.450001,17.450001,17.290001,17.41,8.463537,297900
2013-01-23,17.450001,17.49,17.33,17.35,8.434372,271400
2013-01-24,17.41,17.549999,17.309999,17.450001,8.482985,293600
2013-01-25,17.5,17.58,17.35,17.379999,8.448956,287000
2013-01-28,17.450001,17.450001,17.16,17.34,8.429512,267100
2013-01-29,17.360001,17.379999,17.18,17.370001,8.444095,255400
2013-01-30,17.35,17.459999,17.309999,17.4,8.458678,203600
2013-01-31,17.43,17.459999,17.290001,17.4,8.458678,258200
2013-02-01,17.5,17.629999,17.43,17.629999,8.570489,284600
2013-02-04,17.6,17.6,17.389999,17.450001,8.482985,169100
2013-02-05,17.530001,17.620001,17.35,17.6,8.555904,185900
2013-02-06,17.559999,17.559999,17.469999,17.549999,8.531601,157700
2013-02-07,17.58,17.610001,17.34,17.379999,8.448956,195400
2013-02-08,17.440001,17.57,17.41,17.57,8.541322,136000
2013-02-11,17.59,17.59,17.41,17.52,8.517015,175400
2013-02-12,17.5,17.559999,17.48,17.49,8.502431,141600
2013-02-13,17.530001,17.59,17.469999,17.549999,8.531601,167000
2013-02-14,17.58,17.65,17.540001,17.65,8.580212,226200
2013-02-15,17.629999,17.67,17.52,17.65,8.580212,149900
2013-02-19,17.65,17.719999,17.469999,17.48,8.497571,226700
2013-02-20,17.450001,17.629999,17.450001,17.629999,8.570489,208700
2013-02-21,17.620001,17.620001,17.469999,17.6,8.555904,219000
2013-02-22,17.58,17.65,17.43,17.459999,8.487846,135100
2013-02-25,17.49,17.5,17.15,17.190001,8.356593,197900
2013-02-26,17.23,17.309999,17.049999,17.200001,8.361451,310400
2013-02-27,17.24,17.27,17.1,17.24,8.380898,192400
2013-02-28,17.26,17.33,17.219999,17.219999,8.371175,211900
2013-03-01,17.17,17.299999,17.139999,17.209999,8.366312,125000
2013-03-04,17.219999,17.299999,17.129999,17.15,8.337147,162300
2013-03-05,17.27,17.33,17.209999,17.26,8.390617,142600
2013-03-06,17.35,17.35,17.18,17.26,8.390617,140000
2013-03-07,17.299999,17.32,17.129999,17.219999,8.371175,138200
2013-03-08,17.27,17.309999,17.190001,17.290001,8.405204,122000
2013-03-11,17.15,17.440001,17.139999,17.35,8.434372,223300
