Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,8.51,8.93,8.38,8.6,8.6,1652300
2012-02-22,8.63,8.63,8.37,8.44,8.44,827600
2012-02-23,8.43,8.62,8.17,8.48,8.48,858400
2012-02-24,8.51,8.67,8.46,8.48,8.48,561600
2012-02-27,8.36,8.36,7.89,7.93,7.93,1514200
2012-02-28,7.91,8.25,7.71,8.01,8.01,2630600
2012-02-29,8.02,8.22,7.78,7.89,7.89,1008200
2012-03-01,7.96,8.21,7.9,8.04,8.04,652700
2012-03-02,8.02,8.1,7.71,7.74,7.74,675700
2012-03-05,7.7,7.76,7.46,7.59,7.59,516400
2012-03-06,7.35,7.49,7.27,7.38,7.38,561300
2012-03-07,7.43,7.69,7.3,7.6,7.6,469000
2012-03-08,7.66,7.73,7.42,7.61,7.61,418900
2012-03-09,7.61,7.89,7.55,7.64,7.64,409700
2012-03-12,7.64,7.64,7.35,7.49,7.49,355400
2012-03-13,7.53,8.75,7.46,8.69,8.69,2685600
2012-03-14,8.5,9.2,8.5,8.62,8.62,2334700
2012-03-15,8.65,8.87,8.43,8.61,8.61,918400
2012-03-16,8.59,8.94,8.46,8.81,8.81,1817400
2012-03-19,8.81,9.22,8.81,8.93,8.93,1270700
2012-03-20,8.82,8.83,8.53,8.63,8.63,748500
2012-03-21,8.68,8.79,8.38,8.71,8.71,824400
2012-03-22,8.59,8.83,8.59,8.8,8.8,754700
2012-03-23,8.84,9.5,8.72,9.44,9.44,1362800
2012-03-26,9.55,9.63,9.27,9.5,9.5,699000
2012-03-27,9.49,9.725,9.34,9.5,9.5,711900
2012-03-28,9.48,9.75,9.2,9.75,9.75,1319000
2012-03-29,9.64,9.75,9.35,9.55,9.55,931200
2012-03-30,9.69,9.85,9.42,9.45,9.45,854900
2012-04-02,9.38,10.23,9.36,10.11,10.11,1293600
2012-04-03,10.06,10.316,9.66,9.79,9.79,1333000
2012-04-04,9.63,9.73,9.132,9.46,9.46,1098800
2012-04-05,9.35,9.4,9.12,9.22,9.22,866200
2012-04-09,9.02,9.12,8.81,8.95,8.95,590700
2012-04-10,8.96,9.21,8.7,8.95,8.95,1046900
2012-04-11,9.08,9.15,8.78,8.84,8.84,590400
2012-04-12,8.86,9.15,8.74,9.03,9.03,1136100
2012-04-13,9,9,8.59,8.63,8.63,456300
2012-04-16,8.71,8.98,8.49,8.85,8.85,731900
2012-04-17,8.98,9.18,8.85,8.87,8.87,516000
2012-04-18,8.76,8.87,8.62,8.76,8.76,499600
2012-04-19,8.81,8.88,8.6,8.74,8.74,455900
2012-04-20,8.88,8.98,8.6,8.71,8.71,507200
2012-04-23,8.57,8.73,8.17,8.61,8.61,795300
2012-04-24,8.66,8.92,8.49,8.83,8.83,534600
2012-04-25,8.97,9.27,8.85,9.22,9.22,489700
2012-04-26,9.22,9.55,9.14,9.41,9.41,428200
2012-04-27,9.43,9.44,9.151,9.43,9.43,304000
2012-04-30,9.42,9.42,8.91,9.07,9.07,631300
2012-05-01,9.1,9.65,9.03,9.38,9.38,750000
2012-05-02,9.31,9.34,9.13,9.22,9.22,445200
2012-05-03,9.19,9.19,8.54,8.63,8.63,763100
2012-05-04,8.61,8.61,8.2,8.28,8.28,672700
2012-05-07,8.23,8.43,8.05,8.37,8.37,700000
2012-05-08,8.27,8.27,7.85,8.18,8.18,986500
2012-05-09,7.96,8.25,7.61,8.13,8.13,835200
2012-05-10,8.24,8.46,8.08,8.19,8.19,624900
2012-05-11,8.1,8.52,8.1,8.2,8.2,623000
2012-05-14,8.03,8.15,7.9,7.94,7.94,468700
2012-05-15,7.96,8.21,7.9,7.98,7.98,833800
2012-05-16,8.05,8.145,7.68,7.69,7.69,498400
2012-05-17,7.73,7.95,7.56,7.61,7.61,469200
2012-05-18,7.64,8.01,7.64,7.75,7.75,568500
2012-05-21,7.77,8.13,7.72,8.12,8.12,377900
2012-05-22,8.11,8.42,7.9,7.96,7.96,528900
2012-05-23,7.88,8.27,7.61,8.26,8.26,534000
2012-05-24,8.26,8.37,7.89,8.07,8.07,426800
2012-05-25,8.09,8.18,7.98,8.04,8.04,275800
2012-05-29,8.23,9.34,8.23,9.1,9.1,1359200
2012-05-30,8.96,8.96,8.47,8.56,8.56,2047000
2012-05-31,8.55,8.6,8.1,8.53,8.53,562700
2012-06-01,8.18,8.24,7.75,7.79,7.79,596600
2012-06-04,7.82,7.91,7.48,7.66,7.66,561500
2012-06-05,7.61,8.17,7.55,7.85,7.85,615300
2012-06-06,7.95,8.32,7.9,8.28,8.28,494300
2012-06-07,8.57,8.7,8.17,8.2,8.2,523500
2012-06-08,8.11,8.32,7.93,8.23,8.23,318700
2012-06-11,8.37,8.46,8.08,8.11,8.11,596900
2012-06-12,8.19,8.42,8,8.27,8.27,452600
2012-06-13,8.23,8.32,7.8,7.82,7.82,509800
2012-06-14,7.85,8.21,7.76,8.19,8.19,525300
2012-06-15,8.22,8.47,8.03,8.45,8.45,992300
2012-06-18,8.34,8.34,8.05,8.13,8.13,439100
2012-06-19,8.2,8.51,8.14,8.42,8.42,489600
2012-06-20,8.43,8.57,8.11,8.21,8.21,402600
2012-06-21,8.21,8.23,7.33,7.36,7.36,829900
2012-06-22,7.47,7.66,7.29,7.65,7.65,2476200
2012-06-25,7.47,7.49,7.08,7.27,7.27,510400
2012-06-26,7.31,7.76,7.2,7.74,7.74,633300
2012-06-27,7.75,8.06,7.74,8.02,8.02,678700
2012-06-28,7.87,8.36,7.86,8.35,8.35,643200
2012-06-29,8.68,8.75,8.48,8.63,8.63,682900
2012-07-02,8.7,8.92,8.22,8.92,8.92,614900
2012-07-03,9,9.48,9,9.38,9.38,480400
2012-07-05,9.31,9.41,8.85,8.92,8.92,527900
2012-07-06,8.78,8.78,8.4,8.55,8.55,464600
2012-07-09,8.55,8.64,8.39,8.49,8.49,359400
2012-07-10,8.59,8.67,8.1,8.17,8.17,394800
2012-07-11,8.22,8.3,8.11,8.23,8.23,492700
2012-07-12,8.13,8.42,8,8.31,8.31,527900
2012-07-13,8.36,8.6,8.35,8.48,8.48,417600
2012-07-16,8.46,8.48,8.19,8.24,8.24,429100
2012-07-17,8.34,8.52,8.11,8.46,8.46,357600
2012-07-18,8.41,8.49,8.15,8.24,8.24,368300
2012-07-19,8.31,8.31,8.05,8.2,8.2,337300
2012-07-20,8.11,8.41,8,8.38,8.38,361700
2012-07-23,8.16,8.16,7.6,7.68,7.68,611600
2012-07-24,7.74,7.81,7.14,7.34,7.34,612200
2012-07-25,7.41,7.44,6.88,7.09,7.09,647000
2012-07-26,7.26,7.38,6.96,7.26,7.26,438700
2012-07-27,7.31,7.47,7.01,7.35,7.35,512300
2012-07-30,7.36,7.48,7.2,7.44,7.44,347500
2012-07-31,7.38,7.82,7.31,7.33,7.33,592100
2012-08-01,7.38,7.62,7.2,7.34,7.34,480200
2012-08-02,7.25,7.35,7.01,7.08,7.08,490500
2012-08-03,7.29,7.91,7.29,7.82,7.82,802400
2012-08-06,7.83,8.03,7.82,7.93,7.93,421100
2012-08-07,8.03,8.45,8,8.03,8.03,555300
2012-08-08,8.02,8.28,7.46,7.53,7.53,740200
2012-08-09,7.53,7.81,7.3,7.63,7.63,381700
2012-08-10,7.5,7.65,7.33,7.65,7.65,411900
2012-08-13,7.62,7.64,7.36,7.54,7.54,304300
2012-08-14,7.63,7.95,7.54,7.91,7.91,386400
2012-08-15,7.85,8.14,7.73,8.09,8.09,369900
2012-08-16,8.08,8.35,7.96,8.3,8.3,424600
2012-08-17,7.98,7.98,7.75,7.8,7.8,466700
2012-08-20,7.78,7.87,7.62,7.85,7.85,369500
2012-08-21,7.9,8.06,7.71,7.75,7.75,255400
2012-08-22,7.75,7.81,7.56,7.7,7.7,231300
2012-08-23,7.71,7.815,7.48,7.48,7.48,215700
2012-08-24,7.43,7.5,7.3,7.37,7.37,301100
2012-08-27,7.41,7.7,7.31,7.53,7.53,257400
2012-08-28,7.5,7.69,7.42,7.65,7.65,283600
2012-08-29,7.67,7.745,7.58,7.61,7.61,235400
2012-08-30,7.55,7.55,7.3,7.3,7.3,232800
2012-08-31,7.4,7.48,7.3,7.41,7.41,278800
2012-09-04,7.42,7.46,7.1,7.39,7.39,367900
2012-09-05,7.37,7.5,7.35,7.38,7.38,646000
2012-09-06,7.46,8,7.43,7.98,7.98,654500
2012-09-07,8,8.47,7.95,8.45,8.45,649800
2012-09-10,8.42,8.46,8.17,8.28,8.28,362900
2012-09-11,8.25,8.72,8.1,8.72,8.72,586400
2012-09-12,8.75,8.82,8.61,8.77,8.77,415700
2012-09-13,8.8,9,8.58,8.92,8.92,567800
2012-09-14,8.94,9.37,8.94,9.09,9.09,818600
2012-09-17,9.01,9.48,8.9,9.18,9.18,778300
2012-09-18,9.19,9.46,9.05,9.17,9.17,668800
2012-09-19,9.21,9.405,9.07,9.17,9.17,698000
2012-09-20,9.06,9.27,9.02,9.12,9.12,423300
2012-09-21,9.26,9.6,9.25,9.35,9.35,1756700
2012-09-24,9.25,9.28,8.79,8.85,8.85,456600
2012-09-25,8.9,9.25,8.45,8.47,8.47,560900
2012-09-26,8.47,8.59,8.28,8.5,8.5,464300
2012-09-27,8.59,8.75,8.4,8.63,8.63,482000
2012-09-28,8.55,8.63,8.48,8.55,8.55,313600
2012-10-01,8.69,8.75,8.52,8.6,8.6,330300
2012-10-02,8.68,8.68,8.45,8.55,8.55,439400
2012-10-03,8.54,8.54,8.21,8.31,8.31,296600
2012-10-04,8.4,8.585,8.3,8.39,8.39,261200
2012-10-05,8.45,8.55,8.24,8.33,8.33,240000
2012-10-08,8.26,8.39,8.22,8.29,8.29,191700
2012-10-09,8.33,8.55,8.25,8.44,8.44,250700
2012-10-10,8.41,8.55,8.11,8.22,8.22,292100
2012-10-11,8.34,8.43,8.23,8.38,8.38,497000
2012-10-12,8.31,8.43,8.15,8.19,8.19,174400
2012-10-15,8.21,8.28,7.93,8.2,8.2,223500
2012-10-16,8.24,8.48,8.18,8.24,8.24,328700
2012-10-17,8.26,8.78,8.24,8.7,8.7,279900
2012-10-18,8.65,8.7,8.3,8.34,8.34,371700
2012-10-19,8.31,8.36,7.99,8.13,8.13,366200
2012-10-22,8.1,8.19,7.84,8.03,8.03,267000
