Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,58.509998,58.639999,57.34,57.540001,39.240822,1653100
2012-02-22,57.48,57.84,56.91,56.91,38.811184,1595500
2012-02-23,57,57.630001,56.990002,57.599998,39.281742,1558700
2012-02-24,57.77,58.18,57.400002,58.060001,39.595444,1397700
2012-02-27,57.57,58.02,57.060001,57.709999,39.356754,1262200
2012-02-28,57.869999,58.080002,56.880001,57.029999,38.893002,1368400
2012-02-29,57.240002,57.59,56.720001,56.889999,38.797535,1688600
2012-03-01,56.84,57.5,56.790001,57.41,39.152161,1356200
2012-03-02,57.41,57.869999,57.32,57.66,39.322655,953000
2012-03-05,57.68,58.650002,57.41,58.630001,39.984173,1266400
2012-03-06,58.240002,58.740002,58.110001,58.279999,39.745487,1872400
2012-03-07,58.43,58.5,57.75,58.34,39.7864,1895300
2012-03-08,58.77,58.849998,57.84,58.220001,39.704567,1721400
2012-03-09,58.400002,59.41,58.209999,59.310001,40.447914,2357900
2012-03-12,59.41,59.919998,59.27,59.52,40.591129,1813500
2012-03-13,59.650002,60.869999,59.650002,60.82,41.477695,2376800
2012-03-14,60.869999,60.93,60.02,60.439999,41.218544,1733700
2012-03-15,60.419998,60.419998,59.299999,59.549999,40.611584,2645000
2012-03-16,59.5,60.150002,59.389999,59.970001,40.898022,2721100
2012-03-19,60.009998,61.41,59.720001,61.029999,41.620907,2394800
2012-03-20,60.5,61.02,60.450001,60.790001,41.457241,1446800
2012-03-21,60.689999,60.689999,60.200001,60.360001,41.393806,1553000
2012-03-22,60.099998,60.099998,59.049999,59.5,40.804031,1713400
2012-03-23,59.599998,60.560001,59.540001,60.150002,41.249794,1671600
2012-03-26,60.759998,60.950001,60.490002,60.950001,41.798412,1694900
2012-03-27,61.09,61.27,60.759998,60.799999,41.695549,1709700
2012-03-28,60.68,60.939999,60.259998,60.790001,41.68869,2109700
2012-03-29,60.450001,61.43,60.09,61.32,42.052155,1994600
2012-03-30,61.799999,62.790001,61.630001,62.619999,42.943668,3133900
2012-04-02,62.470001,62.740002,62.220001,62.57,42.909389,1957300
2012-04-03,62.610001,62.799999,62.080002,62.330002,42.744793,1501600
2012-04-04,62.049999,62.16,61.509998,61.709999,42.319607,1558600
2012-04-05,61.720001,61.77,61.330002,61.389999,42.100155,1458000
2012-04-09,60.709999,61,60.130001,60.599998,41.558392,1581800
2012-04-10,60.77,60.849998,58.990002,59.279999,40.653152,2402500
2012-04-11,59.799999,60.009998,59.490002,59.82,41.023491,1778200
2012-04-12,60.02,60.529999,59.830002,60.52,41.503536,1942400
2012-04-13,60.439999,61.380001,60.200001,60.849998,41.729832,1553800
2012-04-16,61.23,62.41,61.18,62.009998,42.525345,1821200
2012-04-17,62.32,62.32,61.57,61.959999,42.491055,1489600
2012-04-18,61.580002,61.93,61.41,61.57,42.223606,1121800
2012-04-19,61.57,61.869999,61.330002,61.59,42.23732,2369900
2012-04-20,61.740002,62.34,61.66,62.110001,42.593922,1998400
2012-04-23,61.740002,62.040001,61.330002,61.389999,42.100155,2428000
2012-04-24,61.580002,62.5,61.490002,62.450001,42.827084,1900300
2012-04-25,62.75,62.77,62.279999,62.689999,42.991673,1924300
2012-04-26,62.32,62.34,60.68,61.650002,42.278465,2940500
2012-04-27,61.380001,61.759998,61.139999,61.57,42.223606,2064800
2012-04-30,61.48,61.599998,60.919998,61.439999,42.134457,1848600
2012-05-01,61.509998,62.889999,61.360001,62.580002,42.916245,1501800
2012-05-02,62.220001,62.73,61.880001,62.580002,42.916245,1125900
2012-05-03,62.599998,62.889999,62.43,62.490002,42.85453,1923700
2012-05-04,62.360001,62.82,62.139999,62.689999,42.991673,2486000
2012-05-07,62.560001,63.84,62.32,63.669998,43.663746,1912600
2012-05-08,63.139999,63.48,62.970001,63.419998,43.492298,1915900
2012-05-09,62.790001,63.650002,62.790001,63.130001,43.293419,1871500
2012-05-10,63.560001,63.669998,62.759998,63.09,43.265987,1510300
2012-05-11,62.73,63.509998,62.59,63.360001,43.451141,1615300
2012-05-14,62.75,63.419998,62.57,62.73,43.019108,2159800
2012-05-15,62.73,62.939999,62.099998,62.34,42.751648,1700100
2012-05-16,62.450001,62.619999,61.470001,61.73,42.333324,1672600
2012-05-17,61.610001,61.779999,60.43,60.43,41.441795,2479300
2012-05-18,60.709999,61.259998,60.139999,60.349998,41.386944,2330800
2012-05-21,60.459999,61.830002,60.43,61.73,42.333324,1931700
2012-05-22,61.869999,62.34,61.639999,61.959999,42.491055,1482000
2012-05-23,61.68,62.060001,61.099998,61.970001,42.497917,1600000
2012-05-24,62.02,62.59,61.389999,62.080002,42.573338,983300
2012-05-25,62.380001,62.59,61.59,61.639999,42.271603,2872300
2012-05-29,61.959999,62.709999,61.959999,62.529999,42.88195,1994100
2012-05-30,61.740002,61.889999,60.549999,60.57,41.537811,2980100
2012-05-31,60.709999,61.540001,60.18,61.099998,41.901276,4318000
2012-06-01,59.919998,60.470001,59.540001,59.599998,40.872616,2867500
2012-06-04,59.779999,59.790001,58.68,59.049999,40.495422,2185200
2012-06-05,58.740002,60.779999,58.669998,60.419998,41.434944,2127900
2012-06-06,61.049999,61.810001,60.450001,61.73,42.333324,2393200
2012-06-07,62.07,62.5,60.91,61.09,41.894424,1823200
2012-06-08,60.810001,61.91,60.810001,61.900002,42.449913,1333800
2012-06-11,62.34,62.380001,60.599998,60.700001,41.626968,1944600
2012-06-12,60.919998,61.029999,60.130001,60.970001,41.81213,1763100
2012-06-13,60.369999,61.330002,60.369999,60.759998,41.66811,1951500
2012-06-14,60.810001,62.099998,60.709999,61.919998,42.463634,1593000
2012-06-15,62.209999,62.27,61.439999,61.93,42.470474,1921200
2012-06-18,61.66,62.509998,61.490002,61.93,42.470474,1591200
2012-06-19,62.150002,62.299999,61.509998,61.82,42.395054,1883200
2012-06-20,61.66,61.77,60.459999,60.880001,41.979595,2108100
2012-06-21,61.32,61.389999,59.360001,59.470001,41.007336,2432900
2012-06-22,59.810001,59.900002,58.950001,59.34,40.917694,4891400
2012-06-25,58.889999,59.580002,58.669998,59.5,41.028023,2150300
2012-06-26,59.43,59.790001,59.150002,59.52,41.041817,2414400
2012-06-27,59.689999,59.689999,59.099998,59.5,41.028023,1689100
2012-06-28,59.209999,60.560001,58.959999,60.529999,41.738251,1572200
2012-06-29,61.549999,62.400002,61.189999,62.360001,43.00013,2398000
2012-07-02,62.84,62.959999,61.98,62.939999,43.400055,1870100
2012-07-03,62.689999,63.509998,62.610001,63.459999,43.758625,1080400
2012-07-05,63.240002,63.5,62.73,62.970001,43.420746,970200
2012-07-06,62.349998,63.360001,62.23,63.209999,43.586231,1053000
2012-07-09,63.18,63.450001,62.900002,63.450001,43.751736,1162900
2012-07-10,63.450001,64.379997,62.220001,62.549999,43.131142,1372100
2012-07-11,62.5,63.18,62.279999,63.029999,43.462116,1881400
2012-07-12,62.689999,63.990002,62.439999,63.639999,43.882732,1647600
2012-07-13,63.759998,64.879997,63.720001,64.760002,44.655037,1534500
2012-07-16,64.790001,64.980003,64.370003,64.82,44.696404,1048500
2012-07-17,65.080002,65.720001,64.510002,65.470001,45.144608,1722600
2012-07-18,65.160004,65.440002,64.639999,64.949997,44.786045,1660500
2012-07-19,64.970001,65.43,63.82,64.540001,44.503338,1944200
2012-07-20,64.019997,64.650002,63.779999,64.089996,44.193031,2115300
2012-07-23,63.490002,64.169998,63.25,63.950001,44.096497,1504900
2012-07-24,63.91,64.099998,62.849998,63.459999,43.758625,1434500
2012-07-25,63.779999,63.98,62.950001,63.490002,43.779312,1207600
2012-07-26,64.25,64.440002,62.119999,62.919998,43.386265,2475500
2012-07-27,63.259998,63.400002,62.599998,62.98,43.427647,1858300
2012-07-30,63.02,63.52,62.869999,63.330002,43.668983,1569700
2012-07-31,63.290001,63.560001,63.209999,63.310001,43.655193,1954300
2012-08-01,63.369999,63.830002,62.5,62.5,43.096661,1484200
2012-08-02,62.110001,62.849998,61.919998,62.790001,43.296627,1423100
2012-08-03,63.27,63.43,62.580002,62.709999,43.241459,995600
2012-08-06,62.959999,63.009998,62.290001,62.349998,42.993233,806600
2012-08-07,62.48,62.529999,61.380001,61.41,42.345051,1157000
2012-08-08,61.02,61.23,60.549999,60.830002,41.945122,1394900
2012-08-09,60.689999,61.009998,60.18,60.25,41.545181,1685100
2012-08-10,60.220001,60.349998,59.919998,60.200001,41.510704,2034200
2012-08-13,60.130001,60.41,59.689999,59.759998,41.207298,1665500
2012-08-14,59.849998,60.040001,59.169998,59.32,40.903904,1530700
2012-08-15,59.23,59.700001,59.16,59.560001,41.069393,1193000
2012-08-16,59.48,59.75,59.009998,59.75,41.200405,2120000
2012-08-17,60.049999,60.23,59.830002,60.169998,41.490013,1844700
2012-08-20,60.009998,60.32,59.669998,60.110001,41.448647,1422100
2012-08-21,60.16,60.419998,59.830002,60.32,41.593441,1139400
2012-08-22,60.130001,60.98,59.549999,60.93,42.014072,1977100
2012-08-23,60.759998,61.610001,60.52,61.27,42.248505,2026100
2012-08-24,60.970001,61.040001,60.040001,60.82,41.938221,1825000
2012-08-27,60.889999,61.330002,60.560001,61.029999,42.083023,1797400
2012-08-28,60.900002,61.369999,60.59,61.119999,42.145088,1106500
2012-08-29,61.049999,61.240002,60.889999,60.919998,42.007168,761100
2012-08-30,60.650002,60.91,60.459999,60.619999,41.800308,1054400
2012-08-31,60.82,60.82,60.040001,60.400002,41.648605,2111400
2012-09-04,60.490002,60.68,60.040001,60.599998,41.786522,1217100
2012-09-05,60.720001,60.779999,59.950001,60.330002,41.600349,1119900
2012-09-06,60.689999,60.900002,60.400002,60.720001,41.869278,1465900
2012-09-07,61.150002,61.470001,60.560001,60.560001,41.758942,1850700
2012-09-10,60.619999,60.619999,59.459999,59.459999,41.000435,2216000
2012-09-11,59.68,59.990002,59.07,59.360001,40.93148,1792800
2012-09-12,59.5,59.529999,59,59.25,40.855637,1765000
2012-09-13,59.290001,60.360001,59.09,60.18,41.49691,2149400
2012-09-14,60.490002,61.02,60.049999,60.23,41.531391,2231500
2012-09-17,60.119999,60.599998,60.119999,60.240002,41.538288,1093400
2012-09-18,60.029999,60.549999,59.439999,59.77,41.214195,1349900
2012-09-19,59.279999,59.779999,58.869999,59.110001,40.990559,1478200
2012-09-20,58.860001,58.880001,57.459999,57.549999,39.908749,2490100
2012-09-21,57.689999,57.689999,57.25,57.43,39.825539,2945800
2012-09-24,56.939999,58.119999,56.759998,57.740002,40.040516,1793700
2012-09-25,57.810001,57.93,56.959999,56.990002,39.520412,1763300
2012-09-26,56.869999,57.830002,56.869999,57.380001,39.790863,1661800
2012-09-27,57.48,58.610001,57.27,57.740002,40.040516,2558900
2012-09-28,57.450001,57.790001,57.27,57.529999,39.894886,1648600
2012-10-01,57.630001,57.799999,56.5,57.209999,39.672981,1593000
2012-10-02,57.419998,57.549999,56.689999,57.529999,39.894886,1604000
2012-10-03,57.509998,57.970001,56.98,57.130001,39.617504,1173300
2012-10-04,57.369999,57.5,56.380001,56.48,39.166748,2029000
2012-10-05,56.73,57.27,56.509998,56.880001,39.444134,1584600
2012-10-08,56.84,56.889999,56.220001,56.400002,39.111271,1169000
2012-10-09,56.450001,56.66,55.830002,55.84,38.722939,1699300
2012-10-10,55.93,56.389999,55.66,56.34,39.069668,1463600
2012-10-11,56.619999,56.799999,56.119999,56.189999,38.965641,1999200
2012-10-12,56.259998,56.93,55.880001,56.02,38.847759,1559500
2012-10-15,56.130001,56.299999,55.759998,56.209999,38.979515,1358300
2012-10-16,56.369999,56.639999,56.209999,56.369999,39.090473,1239200
2012-10-17,57.080002,57.080002,56.130001,56.389999,39.10434,1987700
2012-10-18,56.380001,57.52,56.299999,57.48,39.860207,957400
2012-10-19,57.5,58.119999,56.950001,57.130001,39.617504,1717900
2012-10-22,56.290001,56.790001,55.939999,56.310001,39.048855,1543300
2012-10-23,55.849998,56.52,55.639999,56.290001,39.034988,1189800
2012-10-24,56.48,56.639999,55.799999,56.119999,38.917107,1243400
2012-10-25,56.93,57.049999,55.810001,56.419998,39.125137,1492200
2012-10-26,56.419998,56.490002,55.57,56.060001,38.875496,1299500
2012-10-31,56.799999,57.529999,56.16,57.41,39.811668,1837100
2012-11-01,57.240002,58.150002,57.07,58.150002,40.324825,2537000
2012-11-02,58.48,59.610001,58.220001,59.099998,40.983624,2600000
2012-11-05,58.82,58.849998,58.139999,58.560001,40.609158,1676600
2012-11-06,58.560001,58.849998,57.950001,58.59,40.629959,1811700
2012-11-07,58.459999,58.599998,57.939999,58,40.220814,1821500
2012-11-08,57.82,58.150002,57.130001,57.130001,39.617504,1151800
2012-11-09,56.939999,57.330002,56.619999,56.66,39.291573,1672800
2012-11-12,56.810001,56.830002,56.049999,56.299999,39.04192,1312300
2012-11-13,56.009998,56.349998,55.880001,55.959999,38.806152,1143600
2012-11-14,56.139999,56.139999,54.310001,54.509998,37.800629,1872100
2012-11-15,54.349998,54.700001,53.990002,54.279999,37.641132,1913200
2012-11-16,54.450001,54.700001,53.700001,54.310001,37.661938,2094200
2012-11-19,54.779999,55.240002,54.52,54.700001,37.932388,1253900
2012-11-20,54.68,54.68,54.07,54.599998,37.863045,1707300
2012-11-21,54.349998,54.720001,53.93,54.060001,37.488567,1064100
2012-11-23,54.439999,54.52,54.009998,54.459999,37.765961,449800
2012-11-26,54.099998,54.990002,53.84,54.43,37.745152,1496100
2012-11-27,53.5,56.68,53.25,55.25,38.313782,5447800
2012-11-28,54.759998,55.310001,54.200001,55.18,38.265251,3209500
2012-11-29,55.790001,56.099998,55.119999,55.75,38.660511,18146200
2012-11-30,55.939999,55.98,55.07,55.509998,38.494087,4000900
2012-12-03,55.759998,55.869999,55.049999,55.209999,38.286053,2507200
2012-12-04,55.34,55.5,54.970001,54.98,38.126553,2519400
2012-12-05,55.310001,55.310001,54.34,54.43,37.745152,2750600
2012-12-06,54.669998,55.560001,54.43,55.560001,38.528763,3445200
2012-12-07,55.48,55.73,54.91,55.110001,38.216709,2157000
2012-12-10,54.91,55.48,54.900002,55.09,38.202835,1708800
2012-12-11,55.25,55.34,54.77,55,38.14043,1764700
2012-12-12,55.119999,55.630001,54.790001,55.369999,38.396996,2015100
2012-12-13,55.259998,55.700001,54.900002,55.130001,38.230572,1580100
