Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,2.03,2.06,2.03,2.05,2.05,2000
2012-02-22,2.07,2.07,2.07,2.07,2.07,400
2012-02-23,2.05,2.09,2.05,2.09,2.09,1300
2012-02-24,2.07,2.07,2.07,2.07,2.07,400
2012-02-27,2.05,2.07,1.95,2.06,2.06,23200
2012-02-28,2.05,2.14,2.05,2.14,2.14,2300
2012-02-29,2.11,2.12,2.1,2.11,2.11,1800
2012-03-01,2.12,2.14,2.08,2.14,2.14,11000
2012-03-02,2.1,2.1,2.06,2.07,2.07,3400
2012-03-05,2.07,2.09,1.93,2.04,2.04,8100
2012-03-06,2.04,2.04,2.04,2.04,2.04,0
2012-03-07,2.03,2.04,2,2.01,2.01,3000
2012-03-08,2,2,2,2,2,1100
2012-03-09,2.01,2.01,1.95,1.96,1.96,3100
2012-03-12,1.98,1.99,1.95,1.96,1.96,4100
2012-03-13,1.97,2,1.96,1.98,1.98,2200
2012-03-14,1.99,2,1.97,2,2,11100
2012-03-15,2.01,2.07,2.01,2.07,2.07,2900
2012-03-16,1.99,2.06,1.99,2.06,2.06,3700
2012-03-19,2.06,2.1,2.06,2.1,2.1,1300
2012-03-20,2.06,2.06,2.06,2.06,2.06,500
2012-03-21,2.08,2.08,1.96,1.96,1.96,4500
2012-03-22,1.98,2.04,1.98,2.02,2.02,2900
2012-03-23,2.03,2.1,2.03,2.08,2.08,7200
2012-03-26,2.07,2.07,2,2.07,2.07,1000
2012-03-27,2.1,2.12,2.08,2.09,2.09,7000
2012-03-28,2.07,2.15,2.04,2.13,2.13,12000
2012-03-29,2.13,2.17,2.1,2.16,2.16,7400
2012-03-30,2.19,2.28,2.17,2.27,2.27,7800
2012-04-02,2.24,2.28,2.19,2.24,2.24,2200
2012-04-03,2.22,2.22,2.12,2.14,2.14,5000
2012-04-04,2.1,2.13,2.07,2.07,2.07,11700
2012-04-05,2,2.21,2,2.09,2.09,9900
2012-04-09,2.07,2.07,2.05,2.05,2.05,5200
2012-04-10,2.03,2.1,2.02,2.04,2.04,6800
2012-04-11,2.08,2.1,2,2.07,2.07,11800
2012-04-12,2.04,2.08,2.04,2.08,2.08,1200
2012-04-13,2.06,2.06,2,2.02,2.02,5000
2012-04-16,2.04,2.06,2.03,2.03,2.03,1500
2012-04-17,2.03,2.05,2.03,2.05,2.05,600
2012-04-18,2.03,2.03,2.02,2.02,2.02,1100
2012-04-19,2.04,2.04,2.02,2.02,2.02,6200
2012-04-20,2.02,2.07,2,2.03,2.03,13500
2012-04-23,2,2.04,2,2.02,2.02,10900
2012-04-24,2.02,2.02,2.02,2.02,2.02,2000
2012-04-25,2.02,2.04,2,2.04,2.04,12700
2012-04-26,2.01,2.05,1.98,2.01,2.01,21500
2012-04-27,2.01,2.1,1.96,2.1,2.1,31000
2012-04-30,2.09,2.18,2.09,2.18,2.18,24000
2012-05-01,2.17,2.17,2.14,2.14,2.14,1700
2012-05-02,2.15,2.15,2.03,2.04,2.04,5000
2012-05-03,2.03,2.04,2.01,2.03,2.03,16000
2012-05-04,2.01,2.01,2.01,2.01,2.01,2000
2012-05-07,2.02,2.09,2.02,2.07,2.07,4300
2012-05-08,2.05,2.05,2,2.02,2.02,11600
2012-05-09,2.03,2.03,2,2,2,6700
2012-05-10,2,2,2,2,2,0
2012-05-11,2,2.03,1.99,2.02,2.02,8600
2012-05-14,2.01,2.01,1.98,1.98,1.98,2800
2012-05-15,2,2,1.98,1.98,1.98,600
2012-05-16,1.98,1.98,1.98,1.98,1.98,0
2012-05-17,1.98,1.98,1.81,1.96,1.96,4500
2012-05-18,1.93,1.97,1.9,1.96,1.96,8800
2012-05-21,1.95,2.01,1.95,2.01,2.01,3700
2012-05-22,1.99,2.02,1.99,1.99,1.99,2000
2012-05-23,1.99,2,1.99,2,2,1100
2012-05-24,2.01,2.04,2.01,2.03,2.03,3100
2012-05-25,1.99,2.07,1.99,2.05,2.05,6500
2012-05-29,2.03,2.1,2.03,2.1,2.1,63700
2012-05-30,2.11,2.13,2.07,2.13,2.13,3000
2012-05-31,2.1,2.18,2.07,2.18,2.18,7300
2012-06-01,2.18,2.18,2.18,2.18,2.18,0
2012-06-04,2.15,2.15,2.07,2.08,2.08,14900
2012-06-05,2.08,2.09,2.08,2.09,2.09,1600
2012-06-06,2.13,2.16,2.13,2.16,2.16,3500
2012-06-07,2.16,2.21,2.12,2.16,2.16,7600
2012-06-08,2.17,2.2,2.14,2.17,2.17,5100
2012-06-11,2.17,2.17,2.13,2.15,2.15,3600
2012-06-12,2.15,2.16,2.12,2.15,2.15,10200
2012-06-13,2.14,2.17,2.12,2.13,2.13,4900
2012-06-14,2.17,2.17,2.11,2.14,2.14,6300
2012-06-15,2.14,2.14,2.14,2.14,2.14,0
2012-06-18,2.15,2.16,2.14,2.16,2.16,4100
2012-06-19,2.16,2.19,2.15,2.19,2.19,12100
2012-06-20,2.18,2.2,2.18,2.2,2.2,3500
2012-06-21,2.22,2.22,2.11,2.21,2.21,15000
2012-06-22,2.22,2.29,2.22,2.27,2.27,27300
2012-06-25,2.25,2.29,2.25,2.29,2.29,14700
2012-06-26,2.28,2.3,2.28,2.3,2.3,3800
2012-06-27,2.3,2.5,2.3,2.44,2.44,31800
2012-06-28,2.44,2.48,2.33,2.44,2.44,14800
2012-06-29,2.46,2.46,2.31,2.44,2.44,3600
2012-07-02,2.41,2.44,2.34,2.42,2.42,7100
2012-07-03,2.33,2.39,2.3,2.38,2.38,5700
2012-07-05,2.33,2.36,2.3,2.35,2.35,6700
2012-07-06,2.3,2.35,2.24,2.35,2.35,1600
2012-07-09,2.28,2.38,2.28,2.38,2.38,4300
2012-07-10,2.38,2.39,2.3,2.35,2.35,1300
2012-07-11,2.33,2.38,2.27,2.38,2.38,4200
2012-07-12,2.38,2.38,2.38,2.38,2.38,500
2012-07-13,2.38,2.38,2.38,2.38,2.38,400
2012-07-16,2.37,2.37,2.25,2.34,2.34,5800
2012-07-17,2.32,2.37,2.24,2.37,2.37,2900
2012-07-18,2.37,2.37,2.37,2.37,2.37,0
2012-07-19,2.37,2.37,2.37,2.37,2.37,200
2012-07-20,2.32,2.35,2.28,2.34,2.34,4800
2012-07-23,2.31,2.31,2.27,2.27,2.27,3000
2012-07-24,2.3,2.34,2.28,2.3,2.3,3500
2012-07-25,2.3,2.35,2.3,2.35,2.35,3000
2012-07-26,2.35,2.39,2.31,2.37,2.37,6100
2012-07-27,2.38,2.4,2.26,2.4,2.4,5100
2012-07-30,2.27,2.4,2.25,2.4,2.4,13500
2012-07-31,2.4,2.46,2.29,2.46,2.46,7000
