Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,30.549999,30.870001,30.43,30.629999,28.12982,340500
2012-02-22,30.41,31.01,30.4,30.92,28.396149,517600
2012-02-23,30.75,30.83,30.32,30.66,28.15737,679000
2012-02-24,30.879999,30.879999,30.5,30.709999,28.203287,1392900
2012-02-27,30.32,30.459999,30.15,30.290001,27.817574,1045200
2012-02-28,30.299999,30.389999,29.780001,29.950001,27.50532,1060700
2012-02-29,29.67,30.24,29.57,30.059999,27.606344,1224500
2012-03-01,30.09,30.6,30.08,30.469999,27.982882,924700
2012-03-02,30.59,30.85,30.120001,30.26,27.790018,662900
2012-03-05,30.190001,30.200001,29.48,29.610001,27.193077,714500
2012-03-06,29.07,29.08,28.07,28.42,26.100212,1612500
2012-03-07,28.32,28.65,28.200001,28.6,26.26552,1268300
2012-03-08,28.91,29.440001,28.780001,29.24,26.853277,436900
2012-03-09,29.040001,29.5,28.959999,29.309999,26.917559,459800
2012-03-12,28.969999,29.48,28.969999,29.299999,26.908375,940300
2012-03-13,29.459999,30.040001,29.200001,30.01,27.560425,638600
2012-03-14,29.700001,30.67,29.57,30.629999,28.12982,1646900
2012-03-15,30.799999,31.08,30.540001,30.799999,28.285938,1303200
2012-03-16,30.799999,31.059999,30.25,30.879999,28.359411,1285600
2012-03-19,30.549999,30.969999,30.549999,30.809999,28.295126,650200
2012-03-20,30.08,30.309999,29.83,30.16,27.698177,674800
2012-03-21,30.700001,31.68,30.700001,31.389999,28.827782,2429800
2012-03-22,30.84,31.120001,30.370001,31.049999,28.515539,1995200
2012-03-23,31.290001,31.450001,30.969999,31.4,28.836964,869100
2012-03-26,31.5,32.310001,31.49,32.279999,29.645138,920400
2012-03-27,32.279999,32.279999,31.940001,32.02,29.406364,825600
2012-03-28,31.709999,32.040001,31.629999,31.85,29.250237,1081900
2012-03-29,31.32,32.130001,31.32,32.09,29.470642,1216500
2012-03-30,32.169998,32.169998,31.76,31.98,29.369623,918400
