Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,15.18,15.35,15.17,15.22,9.546485,25400
2012-02-22,15.3,15.3,15.17,15.24,9.559028,10300
2012-02-23,15.29,15.34,15.17,15.34,9.621749,14200
2012-02-24,15.41,15.53,15.41,15.51,9.728384,9400
2012-02-27,15.49,15.7,15.49,15.7,9.847557,11200
2012-02-28,15.74,15.74,15.49,15.53,9.740926,19800
2012-02-29,15.58,15.7,15.51,15.51,9.728384,10100
2012-03-01,15.54,15.7,15.5,15.65,9.816197,13000
2012-03-02,15.75,15.8,15.68,15.78,9.897735,8200
2012-03-05,15.83,15.85,15.8,15.84,9.93537,6100
2012-03-06,15.84,15.84,15.73,15.73,9.86637,7000
2012-03-07,15.82,15.83,15.73,15.73,9.86637,3500
2012-03-08,15.76,15.94,15.76,15.94,9.998092,6900
2012-03-09,15.94,16,15.93,16,10.035727,5700
2012-03-12,16.09,16.09,15.88,15.89,9.966732,16200
2012-03-13,16.01,16.01,15.93,15.98,10.023184,3900
2012-03-14,15.98,15.98,15.54,15.56,9.759744,14700
2012-03-15,15.57,15.57,15,15.04,9.433582,31200
2012-03-16,15.04,15.05,14.57,14.57,9.138782,38300
2012-03-19,14.55,15.19,14.51,15.07,9.452399,58400
2012-03-20,14.84,15.14,14.84,15.14,9.496309,20300
2012-03-21,15.12,15.18,15.1,15.18,9.573882,8000
2012-03-22,15.14,15.46,15.14,15.35,9.681099,12500
2012-03-23,15.44,15.44,15.15,15.15,9.554959,9700
2012-03-26,15.27,15.27,15.13,15.13,9.542339,6200
2012-03-27,15.15,15.37,15.12,15.37,9.693707,14900
2012-03-28,15.22,15.65,15.22,15.65,9.870305,9700
2012-03-29,15.65,15.77,15.6,15.73,9.920759,11000
2012-03-30,15.81,15.98,15.74,15.97,10.072124,12100
2012-04-02,15.9,15.95,15.87,15.87,10.009059,15400
2012-04-03,16,16,15.84,15.95,10.059515,5900
2012-04-04,16.040001,16.07,15.93,16.07,10.135193,16200
2012-04-05,16.1,16.1,16,16.059999,10.128886,10400
2012-04-09,16.1,16.15,16.030001,16.040001,10.116274,9100
2012-04-10,16.139999,16.25,16.129999,16.17,10.198262,8000
2012-04-11,16.09,16.120001,15.92,16.040001,10.116274,11200
2012-04-12,16.120001,16.120001,15.91,15.94,10.053204,5000
2012-04-13,16,16,15.9,16,10.091046,4400
2012-04-16,16,16.049999,15.95,16.01,10.097352,5300
2012-04-17,16.09,16.139999,15.99,16.02,10.10366,2600
2012-04-18,16.120001,16.120001,16,16.120001,10.166727,13200
2012-04-19,16.1,16.110001,15.95,16.01,10.149611,6400
2012-04-20,15.95,15.95,15.75,15.95,10.111576,10500
2012-04-23,15.95,15.95,15.81,15.84,10.041843,10900
2012-04-24,15.9,15.98,15.8,15.98,10.130593,2700
2012-04-25,16.059999,16.09,15.97,16.049999,10.174969,3500
2012-04-26,16.09,16.110001,16.040001,16.07,10.187647,2300
2012-04-27,16.1,16.1,16.02,16.030001,10.162292,8100
2012-04-30,16.059999,16.059999,16.02,16.02,10.155951,2000
2012-05-01,16.08,16.08,15.93,16.01,10.149611,8300
2012-05-02,16,16.040001,15.96,15.96,10.117916,2800
2012-05-03,15.96,16,15.87,15.9,10.079872,8300
2012-05-04,15.85,15.94,15.85,15.91,10.086219,3400
2012-05-07,15.91,16.030001,15.88,15.97,10.124255,4100
2012-05-08,16.040001,16.040001,15.87,15.95,10.111576,5400
2012-05-09,15.95,16.059999,15.9,15.98,10.130593,8800
2012-05-10,15.98,16.09,15.95,15.98,10.130593,14500
2012-05-11,16.02,16.02,15.89,15.89,10.073534,11000
2012-05-14,15.9,16.02,15.78,15.78,10.003807,7100
2012-05-15,15.78,15.98,15.78,15.94,10.105236,6200
2012-05-16,16,16,15.79,15.9,10.079872,8400
2012-05-17,15.9,15.94,15.85,15.86,10.054519,3100
2012-05-18,15.86,16,15.78,16,10.143274,10300
2012-05-21,16,16,15.79,15.88,10.119694,12100
2012-05-22,15.95,15.99,15.92,15.96,10.170676,5000
2012-05-23,16.02,16.030001,15.94,15.94,10.157931,9300
2012-05-24,15.94,15.94,15.84,15.84,10.094204,9700
2012-05-25,15.9,15.95,15.9,15.92,10.145186,6200
2012-05-29,15.97,16.120001,15.96,15.98,10.183421,12700
2012-05-30,16.040001,16.049999,15.98,16.02,10.20891,5400
2012-05-31,16.02,16.049999,16.02,16.02,10.20891,3800
2012-06-01,16.1,16.1,15.99,15.99,10.189795,6800
2012-06-04,15.96,16.120001,15.94,15.96,10.170676,6600
2012-06-05,15.96,16,15.9,15.9,10.132437,8300
2012-06-06,15.96,15.99,15.9,15.96,10.170676,14500
2012-06-07,15.91,15.91,15.78,15.78,10.05597,18000
2012-06-08,15.82,16.1,15.82,16.09,10.253518,16600
2012-06-11,16.139999,16.200001,16.139999,16.200001,10.323617,14100
2012-06-12,16.25,16.25,16.16,16.16,10.298131,5200
2012-06-13,16.190001,16.25,16.190001,16.25,10.35548,10200
2012-06-14,16.17,16.190001,16.110001,16.139999,10.285383,8800
2012-06-15,16.139999,16.18,16.07,16.08,10.247145,8700
2012-06-18,16.16,16.24,16.059999,16.18,10.310876,10100
2012-06-19,16.24,16.280001,16.15,16.200001,10.323617,19400
2012-06-20,16.110001,16.24,16.110001,16.23,10.396001,4800
2012-06-21,16.23,16.23,16.110001,16.110001,10.319134,2800
2012-06-22,16.280001,16.280001,16.15,16.17,10.357567,8200
2012-06-25,16.15,16.23,16.15,16.23,10.396001,6300
2012-06-26,16.15,16.15,16.1,16.120001,10.325537,7900
2012-06-27,16.120001,16.26,16.110001,16.26,10.415211,16700
2012-06-28,16.23,16.42,16.23,16.42,10.517706,27500
2012-06-29,16.52,16.52,16.26,16.4,10.504889,6300
2012-07-02,16.52,16.58,16.440001,16.58,10.620187,10400
2012-07-03,16.67,16.790001,16.610001,16.73,10.716265,3900
2012-07-05,16.74,16.940001,16.74,16.75,10.72908,8900
2012-07-06,16.860001,16.860001,16.68,16.68,10.68424,2900
2012-07-09,16.799999,16.799999,16.540001,16.67,10.677834,12600
2012-07-10,16.639999,16.700001,16.620001,16.65,10.66503,15500
