Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,12.24,12.27,12,12.16,8.709177,587400
2012-02-22,12.08,12.13,11.78,11.78,8.437016,704900
2012-02-23,11.8,12.13,11.75,12.09,8.65904,697800
2012-02-24,12.18,12.18,11.91,11.95,8.558775,437800
2012-02-27,11.83,12.21,11.7,12.13,8.687691,564400
2012-02-28,12.06,12.06,11.83,11.9,8.60812,520600
2012-02-29,11.95,12.03,11.73,11.79,8.528549,965800
2012-03-01,11.87,12,11.75,11.76,8.506846,740900
2012-03-02,11.77,11.82,11.49,11.54,8.347707,929200
2012-03-05,11.51,11.71,11.46,11.6,8.391109,455700
2012-03-06,11.49,11.5,11.31,11.36,8.2175,735000
2012-03-07,11.39,11.51,11.33,11.48,8.304306,534200
2012-03-08,11.54,11.66,11.45,11.64,8.420045,541200
2012-03-09,11.64,11.94,11.62,11.78,8.521314,616000
2012-03-12,11.81,11.94,11.73,11.85,8.571954,435600
2012-03-13,11.94,12.15,11.9,12.15,8.788965,1168100
2012-03-14,12.18,12.29,11.97,12.13,8.774494,488000
2012-03-15,12.18,12.35,12.08,12.33,8.91917,640800
2012-03-16,12.37,12.47,12.21,12.35,8.933637,920800
2012-03-19,12.3,12.5,12.11,12.44,8.998739,592700
2012-03-20,12.33,12.39,12.2,12.27,8.875768,588200
2012-03-21,12.3,12.42,12.25,12.29,8.890236,645600
2012-03-22,12.2,12.2,12.01,12.1,8.752792,727800
2012-03-23,12.08,12.21,12.02,12.19,8.817897,743500
2012-03-26,12.34,12.43,12.26,12.34,8.926404,720200
2012-03-27,12.39,12.39,12.21,12.21,8.832366,512100
2012-03-28,12.2,12.46,12.19,12.4,8.969805,1599000
2012-03-29,12.3,12.3,12.02,12.25,8.8613,728100
2012-03-30,12.37,12.38,12.08,12.08,8.738327,795600
2012-04-02,12.08,12.35,11.94,12.32,8.911936,1140600
2012-04-03,12.33,12.36,12.14,12.29,8.890236,582300
2012-04-04,12.13,12.16,11.91,11.96,8.651523,826500
2012-04-05,11.89,11.96,11.81,11.89,8.600888,648000
2012-04-09,11.71,11.73,11.52,11.61,8.398342,840200
2012-04-10,11.62,11.67,11.39,11.41,8.25367,885800
2012-04-11,11.54,11.67,11.43,11.64,8.420045,767500
2012-04-12,11.64,11.78,11.62,11.72,8.477911,628200
2012-04-13,11.69,11.69,11.39,11.39,8.239201,710000
2012-04-16,11.46,11.7,11.35,11.62,8.405577,687200
2012-04-17,11.68,11.9,11.68,11.79,8.528549,467500
2012-04-18,11.66,11.74,11.56,11.57,8.369408,532700
2012-04-19,11.59,11.7,11.4,11.53,8.340471,567800
2012-04-20,11.73,11.85,11.63,11.7,8.463447,585700
2012-04-23,11.53,11.56,11.38,11.52,8.333239,820100
2012-04-24,11.24,11.36,10.96,11.36,8.2175,1073800
2012-04-25,11.45,11.6,11.33,11.45,8.282603,680500
2012-04-26,11.45,11.54,11.37,11.49,8.311538,474200
2012-04-27,11.49,11.65,11.35,11.61,8.398342,487300
2012-04-30,11.56,11.61,11.33,11.35,8.210266,732000
2012-05-01,11.32,11.65,11.32,11.33,8.1958,880200
2012-05-02,11.28,11.28,11.09,11.26,8.145164,727800
2012-05-03,11.26,11.32,11.15,11.23,8.123463,661600
2012-05-04,11.15,11.18,10.93,10.97,7.935382,632100
2012-05-07,10.92,11.07,10.91,11.01,7.96432,581200
2012-05-08,10.91,11.21,10.9,11.18,8.087291,751000
2012-05-09,11.01,11.05,10.87,11,7.957087,591000
2012-05-10,11.09,11.19,11.04,11.18,8.087291,608500
2012-05-11,11,11.18,10.8,11.15,8.065592,750100
2012-05-14,11,11.08,10.91,10.96,7.928149,895500
2012-05-15,10.99,11.28,10.89,11.07,8.00772,1093000
2012-05-16,11.15,11.16,10.9,10.91,7.891984,699600
2012-05-17,10.9,10.92,10.62,10.62,7.682204,846900
2012-05-18,10.62,10.82,10.55,10.58,7.653271,931100
2012-05-21,10.6,10.8,10.5,10.72,7.754544,822000
2012-05-22,10.74,10.91,10.71,10.77,7.790712,923300
2012-05-23,10.67,10.92,10.6,10.9,7.884748,624000
2012-05-24,10.9,10.97,10.75,10.97,7.935382,525200
2012-05-25,10.98,11,10.84,10.88,7.870282,412300
2012-05-29,11,11.06,10.81,10.94,7.913682,515000
2012-05-30,10.82,10.87,10.66,10.66,7.711139,622000
2012-05-31,10.63,10.69,10.46,10.62,7.769666,1257000
2012-06-01,10.45,10.52,10.19,10.21,7.46971,1033800
2012-06-04,10.24,10.29,9.89,9.97,7.294123,868700
2012-06-05,9.92,10.07,9.9,9.95,7.279492,884000
2012-06-06,10.03,10.1,9.96,10.08,7.374599,1047300
2012-06-07,10.23,10.38,10.16,10.2,7.462395,841800
2012-06-08,10.16,10.39,10.07,10.38,7.594083,462000
2012-06-11,10.5,10.52,10.12,10.13,7.41118,815000
2012-06-12,10.15,10.25,10.05,10.25,7.498974,748100
2012-06-13,10.24,10.35,10.08,10.12,7.403862,602900
2012-06-14,10.11,10.29,10.06,10.24,7.491659,680700
2012-06-15,10.32,10.52,10.18,10.41,7.616026,951700
2012-06-18,10.34,10.47,10.19,10.4,7.608715,528900
2012-06-19,10.43,10.7,10.41,10.61,7.762352,673800
2012-06-20,10.6,10.67,10.47,10.59,7.74772,506400
2012-06-21,10.61,10.7,10.32,10.34,7.564816,656100
2012-06-22,10.38,10.63,10.31,10.61,7.762352,1406500
2012-06-25,10.41,10.49,10.34,10.43,7.630665,548400
2012-06-26,10.44,10.61,10.37,10.47,7.659927,507100
2012-06-27,10.47,10.73,10.41,10.72,7.84283,447500
2012-06-28,10.64,10.68,10.5,10.67,7.806249,462000
2012-06-29,10.93,10.97,10.83,10.87,7.95257,704200
2012-07-02,10.93,11.13,10.9,11.13,8.142787,747100
2012-07-03,11.12,11.28,11.06,11.28,8.25253,280600
2012-07-05,11.23,11.29,11.16,11.18,8.179367,313000
2012-07-06,11.03,11.16,10.94,11.09,8.113523,302500
2012-07-09,11.04,11.09,10.98,11.05,8.084261,559700
2012-07-10,11.15,11.23,10.95,11.04,8.076944,413000
2012-07-11,11.03,11.11,11,11.08,8.106207,396200
2012-07-12,11,11.12,10.95,11.08,8.106207,343900
2012-07-13,11.1,11.35,11.1,11.35,8.303741,501200
2012-07-16,11.31,11.31,11.19,11.24,8.223265,516400
2012-07-17,11.28,11.45,11.14,11.42,8.354952,512300
2012-07-18,11.38,11.57,11.31,11.43,8.362267,714000
2012-07-19,11.43,11.43,11.21,11.28,8.25253,530500
2012-07-20,11.17,11.31,11.09,11.11,8.128156,637300
