Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,17.58,17.639999,16.559999,16.879999,16.877028,351000
2012-02-22,16.700001,17.620001,16.700001,17.24,17.236965,889000
2012-02-23,17.379999,17.559999,16.84,17,16.997007,697500
2012-02-24,17.120001,17.4,16.799999,16.860001,16.857033,760500
2012-02-27,16.66,17.040001,16.5,16.959999,16.957012,631000
2012-02-28,17.120001,18.280001,17.02,18.08,18.076817,941000
2012-02-29,18.18,18.42,17.52,17.58,17.576904,724000
2012-03-01,17.360001,17.559999,16.9,17.02,17.017004,713000
2012-03-02,17.040001,17.219999,16.68,16.84,16.837034,533500
2012-03-05,17.18,17.280001,16.66,16.66,16.657066,389500
2012-03-06,16.16,16.219999,15.76,16.139999,16.137157,408000
2012-03-07,16.120001,16.16,15.72,16.02,16.017179,517500
2012-03-08,16.52,16.879999,16.4,16.879999,16.877028,718000
2012-03-09,16.74,16.940001,16.219999,16.219999,16.217144,710000
2012-03-12,16.200001,16.34,15.66,15.82,15.817214,562000
2012-03-13,16.059999,16.68,15.98,16.68,16.677063,415000
2012-03-14,16.74,16.74,16.299999,16.42,16.417109,571000
2012-03-15,16.52,17.02,16.360001,16.92,16.917021,687500
2012-03-16,16.98,17.18,16.26,16.299999,16.297129,695000
2012-03-19,16.32,16.440001,16.040001,16.26,16.257137,601000
2012-03-20,16.02,16.120001,15.78,16,15.997183,690500
2012-03-21,15.9,16,15.44,15.44,15.437281,1164000
2012-03-22,15.28,15.56,14.82,14.9,14.897376,783500
2012-03-23,15.08,15.16,14.78,14.86,14.857383,295500
2012-03-26,14.62,14.66,14.14,14.26,14.257489,1111000
2012-03-27,14.16,14.66,14.1,14.56,14.557437,804000
2012-03-28,14.46,14.48,13.56,13.62,13.617601,2737500
2012-03-29,13.56,13.64,13.3,13.56,13.557612,1279000
2012-03-30,13.72,13.78,13.36,13.46,13.45763,623500
2012-04-02,13.46,13.58,13.2,13.24,13.237669,1695000
2012-04-03,13.26,13.36,12.92,13.04,13.037704,914000
2012-04-04,12.5,12.72,12.42,12.54,12.537792,936000
2012-04-05,12.5,12.62,12.26,12.38,12.37782,672000
2012-04-09,12.18,12.32,12.08,12.2,12.197852,581000
2012-04-10,12.2,12.36,12.06,12.12,12.117866,1725000
2012-04-11,12.22,12.28,11.72,11.76,11.75793,659500
2012-04-12,11.9,12.04,11.8,11.96,11.957894,446000
2012-04-13,12,12.06,11.48,11.56,11.557965,411500
2012-04-16,11.52,11.62,11.1,11.14,11.138039,719500
2012-04-17,11.86,12.28,11.8,12.1,12.09787,1558500
2012-04-18,11.76,11.86,11.18,11.18,11.178032,1272000
2012-04-19,11.32,11.42,10.92,11.02,11.01806,594000
2012-04-20,11.16,11.18,10.9,10.98,10.978066,530500
2012-04-23,10.72,10.72,10.34,10.4,10.398169,650000
2012-04-24,10.68,10.96,10.58,10.86,10.858088,749000
2012-04-25,11.02,11.08,10.62,10.78,10.778102,391500
2012-04-26,10.68,11.02,10.42,11,10.998063,751000
2012-04-27,11.08,11.14,10.74,10.8,10.798099,488000
2012-04-30,10.86,10.88,10.54,10.6,10.598134,367000
2012-05-01,10.5,10.68,10.38,10.48,10.478154,325500
2012-05-02,10.48,10.6,10.34,10.56,10.558141,508000
2012-05-03,10.62,10.64,10.38,10.46,10.458158,314500
2012-05-04,10.62,11.02,10.58,10.94,10.938073,1302500
2012-05-07,10.82,11.48,10.78,11.38,11.377996,688000
2012-05-08,11.16,11.22,10.96,11.1,11.098046,985000
2012-05-09,10.66,10.74,10.28,10.34,10.33818,1002000
2012-05-10,10.4,10.46,10.22,10.3,10.298186,519500
2012-05-11,10.3,10.62,10.22,10.46,10.458158,375500
2012-05-14,10.14,10.2,9.52,9.58,9.578313,770000
2012-05-15,9.66,9.7,9.26,9.42,9.418342,471500
2012-05-16,9.76,9.86,9.3,9.52,9.518324,755500
2012-05-17,9.72,9.86,9.4,9.62,9.618306,1524500
2012-05-18,9.52,9.78,9.24,9.7,9.698292,1174000
2012-05-21,9.68,9.82,9.58,9.8,9.798275,494000
2012-05-22,9.6,9.6,8.94,8.98,8.978418,1120500
2012-05-23,8.92,8.96,8.5,8.78,8.778454,1391000
2012-05-24,8.8,8.8,8.2,8.34,8.338531,1002000
2012-05-25,8.38,8.68,8.3,8.5,8.498504,1151000
2012-05-29,8.88,9.04,8.6,8.86,8.858439,563500
2012-05-30,8.54,8.58,8.28,8.3,8.298539,614500
2012-05-31,8.28,8.4,7.9,7.9,7.898609,2687500
2012-06-01,7.8,8.22,7.78,8,7.998591,1304500
2012-06-04,8.06,8.1,7.82,7.96,7.958599,729500
2012-06-05,7.98,8.1,7.66,7.74,7.738637,499500
2012-06-06,7.68,7.94,7.54,7.78,7.77863,731500
2012-06-07,8.02,8.04,7.8,7.8,7.798627,374000
2012-06-08,7.72,7.94,7.66,7.78,7.77863,693000
2012-06-11,7.94,8.04,7.78,7.84,7.83862,813000
2012-06-12,8.2,8.26,7.88,8.1,8.098575,975000
2012-06-13,8,8.26,7.98,8.1,8.098575,959500
2012-06-14,8.1,8.78,8.1,8.56,8.558494,1036000
2012-06-15,8.7,9.44,8.7,9.42,9.418342,1332500
2012-06-18,9.32,9.4,9.12,9.2,9.19838,618000
2012-06-19,9.3,9.82,9.3,9.58,9.578313,1096000
2012-06-20,9.62,10.08,9.46,10.02,10.018236,1521000
2012-06-21,9.9,10.02,9.46,9.5,9.498327,843000
2012-06-22,9.6,9.9,9.52,9.58,9.578313,543000
2012-06-25,9.38,9.64,9.28,9.54,9.538321,361500
2012-06-26,9.38,9.62,9.1,9.12,9.118394,485000
2012-06-27,9,9.08,8.52,8.62,8.618483,710000
2012-06-28,8.54,8.7,8.4,8.68,8.678472,371500
2012-06-29,9.14,9.2,8.8,8.82,8.818447,462000
2012-07-02,8.98,9.1,8.9,8.94,8.938425,232500
2012-07-03,9,9.18,8.94,9.02,9.018413,154000
2012-07-05,8.78,8.92,8.32,8.42,8.418517,614000
2012-07-06,8.4,8.4,8.06,8.16,8.158563,686500
2012-07-09,8.36,8.38,8.1,8.2,8.198556,339000
2012-07-10,8.32,8.4,8,8.08,8.078577,528500
2012-07-11,8.08,8.38,8.06,8.2,8.198556,505000
2012-07-12,8.12,8.54,8.02,8.46,8.45851,437000
2012-07-13,8.62,8.64,8.36,8.52,8.5185,420000
2012-07-16,8.6,8.6,8.22,8.24,8.238549,552000
2012-07-17,8.28,8.66,8.28,8.66,8.658475,1204500
2012-07-18,8.6,8.9,8.58,8.82,8.818447,430000
2012-07-19,9.04,9.44,8.96,9.28,9.278366,670000
2012-07-20,9.18,9.26,8.76,8.8,8.79845,734500
2012-07-23,8.38,8.48,8.2,8.28,8.278542,459000
2012-07-24,8.28,8.32,8,8.02,8.018588,595500
2012-07-25,8.18,8.2,7.98,8.04,8.038585,334500
2012-07-26,8.26,8.56,8.12,8.54,8.538496,436500
2012-07-27,8.64,9.42,8.6,9.36,9.358352,922000
2012-07-30,9.3,9.82,9.18,9.72,9.718288,622000
2012-07-31,9.72,9.74,9.26,9.32,9.318358,679000
2012-08-01,9.4,9.5,8.86,8.9,8.898433,1098000
2012-08-02,8.64,8.94,8.56,8.74,8.738461,545000
2012-08-03,9.06,9.2,9.02,9.18,9.178384,519500
2012-08-06,9.18,9.82,9.12,9.72,9.718288,561000
2012-08-07,9.84,9.84,9.32,9.4,9.398345,553000
2012-08-08,9.4,10.08,9.4,10.04,10.038232,1386500
2012-08-09,9.88,10.58,9.86,10.46,10.458158,1160500
2012-08-10,10.64,10.8,10.3,10.7,10.698116,955500
2012-08-13,10.58,10.92,10.48,10.9,10.898081,573500
2012-08-14,10.46,10.66,9.36,9.52,9.518324,2538000
2012-08-15,9.52,9.86,9.34,9.68,9.678296,541500
2012-08-16,9.8,10.26,9.6,10.12,10.118218,516000
2012-08-17,10.02,10.04,9.62,9.62,9.618306,1620000
2012-08-20,9.8,10.02,9.76,9.92,9.918254,597500
2012-08-21,10.04,10.16,10,10,9.99824,497500
2012-08-22,10.14,10.74,10.04,10.52,10.518148,817000
2012-08-23,10.48,10.56,9.9,10.06,10.058229,650500
2012-08-24,10.14,10.28,9.84,10.12,10.118218,469500
2012-08-27,9.86,10.16,9.76,10.16,10.158211,550000
2012-08-28,10.08,10.08,9.88,10.02,10.018236,510000
2012-08-29,9.88,9.9,9.42,9.5,9.498327,685500
2012-08-30,9.4,9.58,9.26,9.4,9.398345,646500
2012-08-31,9.4,9.76,9.4,9.6,9.59831,794000
