Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,1.8,1.95,1.75,1.95,1.95,16900
2012-02-22,1.99,2.19,1.8,2,2,14900
2012-02-23,2.05,2.05,1.5,1.75,1.75,5100
2012-02-24,1.85,2.3,1.85,2.3,2.3,21900
2012-02-27,2.2,2.2,1.85,2.15,2.15,10900
2012-02-28,2,2.13,2,2.13,2.13,1300
2012-02-29,2,2.2,2,2.2,2.2,9800
2012-03-01,1.9,1.9,1.9,1.9,1.9,1000
2012-03-02,2.01,2.15,2.01,2.15,2.15,5000
2012-03-05,2.15,2.15,2.15,2.15,2.15,0
2012-03-06,2,2.2,2,2.2,2.2,15000
2012-03-07,2,2.15,1.8,2.15,2.15,15000
2012-03-08,2.18,2.18,2.18,2.18,2.18,1300
2012-03-09,2.18,2.18,2.18,2.18,2.18,0
2012-03-12,2.25,2.25,2.25,2.25,2.25,300
2012-03-13,2.2,2.2,2.2,2.2,2.2,500
2012-03-14,2.2,2.2,2.2,2.2,2.2,1500
2012-03-15,2.2,2.2,2.2,2.2,2.2,600
2012-03-16,2.2,2.2,2.2,2.2,2.2,300
2012-03-19,1.9,2.25,1.9,2.25,2.25,200
2012-03-20,2.2,2.2,2.2,2.2,2.2,200
2012-03-21,2.2,2.2,2.2,2.2,2.2,200
2012-03-22,2.25,2.25,2,2.25,2.25,6700
2012-03-23,2.15,2.2,2.15,2.2,2.2,4800
2012-03-26,2,2.2,2,2.2,2.2,21900
2012-03-27,2,2.2,1.91,2,2,16000
2012-03-28,1.91,2.25,1.91,2.25,2.25,11900
2012-03-29,2,2.25,2,2.25,2.25,9400
2012-03-30,2.3,2.39,2.2,2.39,2.39,17800
2012-04-02,2.39,2.39,2.25,2.25,2.25,600
2012-04-03,1.9,2.25,1.9,2.2,2.2,32100
2012-04-04,2.2,2.2,2.12,2.2,2.2,2300
2012-04-05,2.2,2.2,2.2,2.2,2.2,200
2012-04-09,2.11,2.2,2.11,2.2,2.2,1000
2012-04-10,2.12,2.2,2.05,2.15,2.15,20200
2012-04-11,2.13,2.2,2.13,2.2,2.2,6000
2012-04-12,2.15,2.23,2.15,2.2,2.2,3200
2012-04-13,2.05,2.19,2.05,2.19,2.19,13500
2012-04-16,2.19,2.19,2.19,2.19,2.19,0
2012-04-17,2.19,2.19,2.19,2.19,2.19,100
2012-04-18,1.75,2.24,1.75,2.24,2.24,15200
2012-04-19,2.23,2.23,2.23,2.23,2.23,100
2012-04-20,2.23,2.23,2.23,2.23,2.23,100
2012-04-23,2.19,2.19,2.19,2.19,2.19,200
2012-04-24,2.19,2.19,2.19,2.19,2.19,500
2012-04-25,2.2,2.2,2.2,2.2,2.2,200
2012-04-26,2.2,2.2,2.2,2.2,2.2,300
2012-04-27,2.2,2.2,2.2,2.2,2.2,0
2012-04-30,2.25,2.3,2.25,2.25,2.25,19000
2012-05-01,2.38,2.38,2.38,2.38,2.38,200
2012-05-02,2.3,2.3,2.3,2.3,2.3,1100
2012-05-03,2.3,2.3,2.3,2.3,2.3,0
2012-05-04,2.2,2.2,2.15,2.15,2.15,3000
2012-05-07,2.15,2.15,2.15,2.15,2.15,0
2012-05-08,2.08,2.16,2.08,2.16,2.16,5100
2012-05-09,2.07,2.35,2.06,2.35,2.35,8000
2012-05-10,2.25,2.25,2.25,2.25,2.25,100
2012-05-11,2.16,2.33,2.16,2.33,2.33,300
2012-05-14,2.2,2.25,2.1,2.25,2.25,7800
2012-05-15,2.25,2.35,2.23,2.35,2.35,5700
2012-05-16,2.35,2.35,2.35,2.35,2.35,0
2012-05-17,2.35,2.35,2.35,2.35,2.35,0
2012-05-18,2.25,2.25,2.25,2.25,2.25,100
2012-05-21,2.09,2.25,2.06,2.25,2.25,600
2012-05-22,2.15,2.15,2.1,2.1,2.1,1500
2012-05-23,2.09,2.15,2.07,2.1,2.1,8100
2012-05-24,2.1,2.18,2.1,2.15,2.15,18800
2012-05-25,2.13,2.2,2.13,2.2,2.2,7200
2012-05-29,2.2,2.2,2.2,2.2,2.2,500
