Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,22.34,22.450001,22.09,22.1,16.140356,1500
2012-02-22,22.4,22.440001,21.690001,22.02,16.081932,11500
2012-02-23,22.049999,22.120001,22.049999,22.120001,16.154961,700
2012-02-24,22.23,22.23,22.23,22.23,16.2353,200
2012-02-27,22.290001,22.290001,22.290001,22.290001,16.279116,100
2012-02-28,22.120001,22.459999,22.120001,22.35,16.322933,1700
2012-02-29,22.43,22.459999,22.299999,22.299999,16.286415,3600
2012-03-01,22.15,22.41,22.15,22.35,16.322933,2300
2012-03-02,22.440001,22.450001,22.27,22.27,16.264509,900
2012-03-05,22.440001,22.440001,22.26,22.360001,16.330242,900
2012-03-06,22.25,22.25,22.15,22.219999,16.227989,3100
2012-03-07,22.34,22.35,22.120001,22.120001,16.154961,1800
2012-03-08,21.860001,22.41,21.860001,22.25,16.249899,3900
2012-03-09,22.190001,22.190001,22.18,22.18,16.19878,500
2012-03-12,22.219999,22.219999,22.200001,22.200001,16.364637,1000
2012-03-13,22.389999,22.41,22.389999,22.41,16.519436,600
2012-03-14,22.440001,22.459999,22.43,22.440001,16.54155,1100
2012-03-15,22.389999,22.49,22.370001,22.49,16.578407,1200
2012-03-16,22.49,22.6,22.280001,22.540001,16.615261,7200
2012-03-19,22.6,22.66,22.51,22.51,16.593153,1400
2012-03-20,22.530001,22.629999,22.309999,22.52,16.600531,5600
2012-03-21,22.5,22.5,22.5,22.5,16.585781,1100
2012-03-22,22.5,22.5,22.5,22.5,16.585781,500
2012-03-23,22.809999,22.860001,22.6,22.66,16.703726,4300
2012-03-26,22.790001,22.84,22.58,22.84,16.836414,4300
2012-03-27,22.84,22.889999,22.51,22.889999,16.87327,4300
2012-03-28,22.84,22.84,22.6,22.799999,16.806923,800
2012-03-29,22.75,22.889999,22.540001,22.799999,16.806923,3800
2012-03-30,22.790001,22.799999,21.66,22.4,16.512064,35400
2012-04-02,22.440001,22.440001,22.440001,22.440001,16.54155,400
2012-04-03,22.389999,22.549999,22.35,22.5,16.585781,5100
2012-04-04,22.51,22.75,22.459999,22.75,16.770065,8100
2012-04-05,22.559999,22.559999,22.4,22.5,16.585781,1600
2012-04-09,22.5,22.74,22.5,22.73,16.755325,1300
2012-04-10,22.74,22.74,22.530001,22.530001,16.607895,1100
2012-04-11,22.690001,22.690001,22.440001,22.440001,16.54155,400
2012-04-12,22.440001,22.440001,22.440001,22.440001,16.54155,200
2012-04-13,22.370001,22.370001,22.35,22.35,16.475208,1300
2012-04-16,22.6,22.709999,22.6,22.709999,16.74058,1100
2012-04-17,22.459999,22.459999,22.459999,22.459999,16.556295,200
2012-04-18,22.67,22.73,22.620001,22.700001,16.73321,1600
2012-04-19,22.629999,22.629999,22.5,22.5,16.585781,1400
2012-04-20,22.25,22.25,22.25,22.25,16.401495,300
2012-04-23,22.25,22.5,22.25,22.450001,16.548922,2200
2012-04-24,22.09,22.370001,22.09,22.17,16.342522,1300
2012-04-25,22.09,22.459999,22.09,22.440001,16.54155,2300
2012-04-26,22.200001,22.200001,22.190001,22.190001,16.357267,500
2012-04-27,22.440001,22.450001,22.440001,22.450001,16.548922,600
2012-04-30,22.389999,22.5,22.389999,22.5,16.585781,2300
2012-05-01,22.280001,22.5,22.280001,22.5,16.585781,800
2012-05-02,22.43,22.860001,22.17,22.82,16.821667,7600
2012-05-03,22.67,22.67,22.65,22.65,16.696346,1000
2012-05-04,22.73,22.75,22.73,22.75,16.770065,400
2012-05-07,22.6,22.6,22.08,22.299999,16.438349,7600
2012-05-08,22.299999,22.299999,22.299999,22.299999,16.438349,0
2012-05-09,22.26,22.27,22.200001,22.27,16.416237,1500
2012-05-10,22.27,22.27,22.27,22.27,16.416237,0
2012-05-11,22,22.299999,21.950001,22,16.217209,5200
2012-05-14,21.85,21.870001,21.85,21.870001,16.121376,400
2012-05-15,21.98,22,21.98,21.99,16.209835,1700
2012-05-16,22,22,22,22,16.217209,100
2012-05-17,21.860001,21.99,21.65,21.65,15.959203,3300
2012-05-18,21.67,21.67,21.67,21.67,15.973947,600
2012-05-21,22.030001,22.030001,22.030001,22.030001,16.239323,800
2012-05-22,22.030001,22.030001,22.030001,22.030001,16.239323,0
2012-05-23,21.719999,22.09,21.719999,22.09,16.283554,1300
2012-05-24,22.09,22.09,22.09,22.09,16.283554,0
2012-05-25,22.15,22.16,22.15,22.16,16.335157,400
2012-05-29,22.280001,22.65,22.280001,22.65,16.696346,1200
2012-05-30,22.43,22.639999,22.43,22.540001,16.615261,2200
2012-05-31,22.629999,22.65,22.629999,22.65,16.696346,300
2012-06-01,22.65,22.65,22.65,22.65,16.696346,0
2012-06-04,22.65,22.65,22.65,22.65,16.696346,0
2012-06-05,22.68,22.68,22.68,22.68,16.718472,100
2012-06-06,22.68,22.68,22.68,22.68,16.718472,0
2012-06-07,22.68,22.68,22.68,22.68,16.718472,0
2012-06-08,22.74,22.74,22.68,22.68,16.718472,800
2012-06-11,22.6,22.74,22.450001,22.450001,16.548922,3000
2012-06-12,22.360001,22.549999,22.299999,22.299999,16.592073,1800
2012-06-13,22.24,22.360001,21.74,22.360001,16.636721,2700
2012-06-14,22,22.870001,21.93,22.870001,17.016178,3800
2012-06-15,22.700001,22.780001,22.459999,22.75,16.926895,2900
2012-06-18,22.4,22.809999,22.4,22.790001,16.956654,4000
2012-06-19,22.66,22.74,22.5,22.73,16.912012,6500
2012-06-20,22.52,22.75,22.469999,22.469999,16.718563,2600
2012-06-21,22.799999,22.84,22.48,22.82,16.978979,1700
2012-06-22,22.85,22.85,22.68,22.68,16.874809,1000
2012-06-25,22.65,22.879999,22.65,22.879999,17.023615,3900
2012-06-26,22.85,22.889999,22.790001,22.799999,16.964096,6100
2012-06-27,22.6,22.700001,22.6,22.700001,16.88969,400
2012-06-28,22.74,22.879999,22.74,22.879999,17.023615,1600
2012-06-29,22.709999,22.709999,22.709999,22.709999,16.897131,100
2012-07-02,22.709999,22.709999,22.709999,22.709999,16.897131,0
2012-07-03,22.959999,22.959999,22.809999,22.809999,16.971537,400
2012-07-05,22.9,22.9,22.9,22.9,17.038498,400
2012-07-06,22.9,22.9,22.9,22.9,17.038498,0
2012-07-09,22.58,22.58,22.58,22.58,16.800409,100
2012-07-10,22.58,22.58,22.58,22.58,16.800409,0
2012-07-11,22.58,22.58,22.58,22.58,16.800409,0
2012-07-12,22.639999,22.66,22.57,22.639999,16.845051,1300
2012-07-13,22.67,22.76,22.65,22.76,16.934338,1500
2012-07-16,22.77,22.77,22.540001,22.77,16.941778,5100
2012-07-17,22.530001,22.75,22.52,22.530001,16.763203,3500
2012-07-18,22.540001,22.540001,21.83,22.129999,16.46559,20800
2012-07-19,22.049999,22.27,21.559999,21.559999,16.041489,19400
2012-07-20,21.870001,21.950001,21.790001,21.950001,16.331661,9900
2012-07-23,21.629999,21.870001,21.35,21.809999,16.227497,5200
2012-07-24,21.82,21.9,21.709999,21.889999,16.28702,2500
2012-07-25,21.870001,21.969999,21.74,21.74,16.175413,4900
2012-07-26,21.75,22.09,21.75,22.08,16.428387,2000
2012-07-27,22,22.57,21.950001,22.32,16.606958,7900
2012-07-30,21.860001,22.190001,21.860001,22.190001,16.510235,3000
2012-07-31,22.200001,22.629999,22.200001,22.49,16.733442,2600
2012-08-01,22.299999,22.299999,22.23,22.23,16.539991,1000
2012-08-02,21.950001,22.030001,21.91,22.01,16.376307,2200
2012-08-03,21.950001,22.040001,21.950001,21.969999,16.346546,3700
2012-08-06,21.9,21.9,21.9,21.9,16.29446,100
2012-08-07,22.040001,22.200001,22,22.200001,16.517673,1000
2012-08-08,22.02,22.209999,22.02,22.209999,16.525114,1900
2012-08-09,22.280001,22.469999,22.17,22.25,16.554873,4200
2012-08-10,22.209999,22.309999,22.15,22.15,16.480467,4600
2012-08-13,22.15,22.450001,22.120001,22.42,16.681362,12700
2012-08-14,22.43,22.530001,22.43,22.469999,16.718563,2300
2012-08-15,22.459999,22.469999,22.459999,22.459999,16.711119,2600
2012-08-16,22.459999,22.639999,22.459999,22.639999,16.845051,2700
2012-08-17,22.639999,22.639999,22.639999,22.639999,16.845051,0
2012-08-20,22.52,22.879999,22.51,22.84,16.993862,4100
2012-08-21,22.84,22.84,22.84,22.84,16.993862,0
2012-08-22,22.610001,22.610001,22.15,22.15,16.480467,3200
2012-08-23,22.27,22.27,21.879999,21.879999,16.279577,2500
2012-08-24,21.75,21.75,21.530001,21.610001,16.078695,3900
2012-08-27,21.75,22.120001,21.75,22.1,16.44327,2100
2012-08-28,22.24,22.450001,22.1,22.32,16.606958,2500
2012-08-29,22.040001,22.26,21.799999,22.190001,16.510235,4900
2012-08-30,21.940001,22,21.940001,22,16.368866,300
2012-08-31,22,22,22,22,16.368866,0
2012-09-04,21.82,21.83,21.77,21.83,16.242382,2100
2012-09-05,21.83,22.219999,21.83,22.219999,16.532551,900
2012-09-06,22.309999,22.440001,22.24,22.389999,16.659037,4300
2012-09-07,22.49,22.76,22.48,22.76,16.934338,5300
2012-09-10,22.719999,22.799999,22.700001,22.799999,16.964096,1300
2012-09-11,22.67,22.799999,22.67,22.690001,16.882248,1300
2012-09-12,22.799999,22.799999,22.65,22.65,17.011435,4000
2012-09-13,22.780001,22.780001,22.610001,22.610001,16.981394,2000
2012-09-14,22.799999,22.9,22.799999,22.9,17.199202,1700
2012-09-17,22.9,22.9,22.9,22.9,17.199202,0
2012-09-18,22.59,22.940001,22.59,22.940001,17.22924,1000
2012-09-19,22.58,22.98,21.98,22.440001,16.853716,7600
2012-09-20,22.450001,22.530001,22.450001,22.51,16.90629,700
2012-09-21,22.51,22.540001,22.43,22.43,16.846203,5600
2012-09-24,22.18,22.25,22.18,22.25,16.711014,1400
2012-09-25,22.35,22.35,22.299999,22.299999,16.748562,600
2012-09-26,22.879999,22.879999,22.110001,22.629999,16.996412,1300
2012-09-27,22.77,22.77,22.33,22.35,16.786121,3100
2012-09-28,22.68,22.77,22.459999,22.77,17.101563,1600
2012-10-01,22.77,22.99,22.5,22.969999,17.25177,1800
2012-10-02,22.9,22.99,22.9,22.99,17.266794,2100
2012-10-03,22.940001,22.940001,22.940001,22.940001,17.22924,200
2012-10-04,22.76,22.77,22.52,22.52,16.913795,2300
2012-10-05,22.48,22.690001,22.48,22.690001,17.041475,1600
2012-10-08,22.58,22.629999,22.58,22.629999,16.996412,300
2012-10-09,22.610001,22.639999,22.6,22.6,16.973883,900
2012-10-10,22.6,22.99,22.469999,22.99,17.266794,5700
2012-10-11,22.959999,22.99,22.940001,22.99,17.266794,5600
2012-10-12,22.98,22.99,22.98,22.99,17.266794,1100
2012-10-15,22.99,23.040001,22.709999,22.99,17.266794,2200
2012-10-16,22.99,23.190001,22.99,23.190001,17.417004,6100
2012-10-17,23.190001,23.190001,23.1,23.1,17.349411,2100
2012-10-18,23.190001,23.190001,22.93,23.139999,17.379452,2800
2012-10-19,23.190001,23.290001,23,23,17.274303,11300
2012-10-22,23.280001,23.280001,22.969999,22.969999,17.25177,5900
2012-10-23,23.030001,23.290001,22.6,22.700001,17.048988,3800
2012-10-24,23.290001,23.290001,22.85,22.99,17.266794,10100
