Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,60.799999,60.799999,60.34,60.68,60.68,1914600
2012-02-22,60.150002,60.299999,59.639999,60.240002,60.240002,1216800
2012-02-23,60.119999,60.84,59.869999,60.720001,60.720001,1509000
2012-02-24,60.720001,61.169998,60.389999,61.110001,61.110001,2356900
2012-02-27,60.669998,60.91,60.34,60.349998,60.349998,1416300
2012-02-28,60.27,60.490002,59.57,59.580002,59.580002,2098200
2012-02-29,59.5,61.029999,59.470001,60.700001,60.700001,2287200
2012-03-01,60.77,61.290001,60.619999,61.119999,61.119999,1439000
2012-03-02,61.189999,61.52,61.049999,61.330002,61.330002,1454500
2012-03-05,61.32,61.540001,60.900002,60.93,60.93,920200
2012-03-06,60.720001,61,59.740002,59.799999,59.799999,1167300
2012-03-07,60.049999,60.049999,59.5,59.650002,59.650002,1387700
2012-03-08,59.98,60.119999,59.459999,59.560001,59.560001,1196100
2012-03-09,59.75,59.75,59.43,59.490002,59.490002,1030600
2012-03-12,60.169998,60.619999,59.990002,60.560001,60.560001,1384800
2012-03-13,60.77,60.860001,60.400002,60.84,60.84,1022500
2012-03-14,60.580002,60.919998,60.169998,60.32,60.32,915400
2012-03-15,60.369999,60.549999,60.259998,60.299999,60.299999,977800
2012-03-16,60.25,60.290001,59.889999,60.139999,60.139999,1325900
2012-03-19,60.060001,60.389999,59.919998,60.32,60.32,556700
2012-03-20,60.279999,60.380001,59.82,60.150002,60.150002,624900
2012-03-21,60.139999,60.470001,60.130001,60.130001,60.130001,654200
2012-03-22,59.75,60.5,59.73,60.400002,60.400002,535300
2012-03-23,60.310001,60.689999,60.279999,60.52,60.52,576700
2012-03-26,60.689999,61.32,60.689999,61.240002,61.240002,941600
2012-03-27,61.360001,61.48,61.169998,61.330002,61.330002,576900
2012-03-28,61.259998,61.279999,60.740002,60.91,60.91,523300
2012-03-29,60.830002,61.279999,60.5,61.18,61.18,895400
2012-03-30,61.360001,61.599998,61.09,61.330002,61.330002,980000
2012-04-02,61.330002,62.060001,61.189999,61.880001,61.880001,1394800
2012-04-03,61.849998,61.93,61.060001,61.470001,61.470001,1126300
2012-04-04,61.299999,61.549999,61.02,61.25,61.25,1047500
2012-04-05,61.16,61.290001,60.43,60.66,60.66,1134700
2012-04-09,60.09,60.349998,59.650002,59.810001,59.810001,1142100
2012-04-10,59.700001,60.110001,59.509998,60.029999,60.029999,2016500
2012-04-11,60.299999,60.880001,60.220001,60.849998,60.849998,1561300
2012-04-12,61.16,61.689999,60.860001,61.650002,61.650002,1389500
2012-04-13,61.59,62.029999,61.5,61.689999,61.689999,1319100
2012-04-16,62.02,62.18,61.650002,61.689999,61.689999,1252900
2012-04-17,62.02,62.560001,61.610001,62.450001,62.450001,1153800
2012-04-18,62.41,62.599998,62,62.349998,62.349998,960400
2012-04-19,62.450001,63.150002,62.369999,62.900002,62.900002,1774500
2012-04-20,62.939999,63.27,62.860001,63.150002,63.150002,753100
2012-04-23,62.73,63.200001,61.869999,62.290001,62.290001,1147300
2012-04-24,64.720001,66.940002,64.400002,66,66,4939600
2012-04-25,66.190002,67,66,66.599998,66.599998,1985800
2012-04-26,66.169998,66.839996,65.489998,66.57,66.57,2357100
2012-04-27,66.5,67,66.330002,66.75,66.75,1173300
2012-04-30,66.449997,67.129997,66.25,67.010002,67.010002,1466600
2012-05-01,67,67.389999,66.629997,66.660004,66.660004,1874200
2012-05-02,66.830002,67.32,66.599998,67,67,1162900
2012-05-03,67.169998,67.419998,66.760002,67.330002,67.330002,1317900
2012-05-04,67.209999,67.449997,66.879997,66.889999,66.889999,1132000
2012-05-07,66.720001,67.32,66.510002,67.040001,67.040001,1227700
2012-05-08,66.760002,67.910004,66.760002,67.739998,67.739998,1916200
2012-05-09,67.68,68.330002,67.400002,67.940002,67.940002,1529200
2012-05-10,68.300003,68.849998,68.099998,68.669998,68.669998,1324900
2012-05-11,68.360001,68.790001,68.050003,68.459999,68.459999,1146700
2012-05-14,68.099998,69.459999,68.07,69,69,1285000
2012-05-15,68.82,69.099998,68.300003,68.5,68.5,1706800
2012-05-16,68.589996,68.849998,68.230003,68.449997,68.449997,1513200
2012-05-17,68.639999,68.970001,68.25,68.349998,68.349998,1195400
2012-05-18,68.459999,68.75,67.300003,67.410004,67.410004,2205800
2012-05-21,67.989998,67.989998,66.970001,67.650002,67.650002,1095400
2012-05-22,67.43,68,67.43,67.900002,67.900002,1115800
2012-05-23,67.25,67.449997,66.940002,67.220001,67.220001,948000
2012-05-24,67.160004,68.099998,67.050003,68,68,1639800
2012-05-25,68.18,68.339996,67.489998,67.720001,67.720001,1023700
2012-05-29,68,68,67.459999,67.760002,67.760002,868900
2012-05-30,67.470001,67.910004,67.459999,67.610001,67.610001,1227600
2012-05-31,67.5,67.610001,66.849998,66.860001,66.860001,1508200
2012-06-01,66.110001,66.959999,65.75,65.900002,65.900002,1482900
2012-06-04,65.900002,66.040001,65.43,66.010002,66.010002,1162800
2012-06-05,65.860001,66.110001,65.580002,65.93,65.93,1093200
2012-06-06,66.160004,66.800003,66.07,66.800003,66.800003,956700
2012-06-07,67.32,67.32,66.57,66.669998,66.669998,732900
2012-06-08,66.800003,67.610001,66.559998,67.57,67.57,1322500
2012-06-11,67.769997,67.769997,67.190002,67.290001,67.290001,807000
2012-06-12,67.330002,67.720001,67.199997,67.57,67.57,1051800
2012-06-13,68.209999,69.230003,67.989998,68.849998,68.849998,1905400
2012-06-14,69.199997,69.330002,68.510002,68.919998,68.919998,1204300
2012-06-15,69.18,69.489998,68.900002,69.489998,69.489998,1377000
2012-06-18,69.410004,69.980003,69.220001,69.720001,69.720001,808200
2012-06-19,69.650002,70.309998,69.540001,70.25,70.25,1137600
2012-06-20,70.089996,70.629997,70,70.629997,70.629997,1353300
2012-06-21,71,71,69.540001,69.559998,69.559998,1341200
2012-06-22,69.620003,69.870003,69.389999,69.5,69.5,1646100
2012-06-25,69.269997,69.510002,68.400002,68.410004,68.410004,1478900
2012-06-26,69.010002,70.550003,68.669998,70,70,2621200
2012-06-27,70.169998,70.330002,69.379997,69.379997,69.379997,1141500
2012-06-28,69.07,69.970001,68.849998,69.769997,69.769997,1633100
2012-06-29,69.940002,72.029999,69.940002,72.029999,72.029999,2567900
2012-07-02,71.970001,72.300003,71.5,72.089996,72.089996,1192000
2012-07-03,72,72.730003,71.919998,72.580002,72.580002,808100
