Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,10.5,10.57,10.31,10.44,5.199803,360400
2012-02-22,10.4,10.51,10.31,10.33,5.145018,252400
2012-02-23,10.34,10.49,10.31,10.48,5.219727,309400
2012-02-24,10.51,10.51,10.37,10.42,5.189843,169500
2012-02-27,10.3,10.49,10.3,10.47,5.214746,166100
2012-02-28,10.52,10.54,10.42,10.49,5.224707,415900
2012-02-29,10.66,10.72,10.32,10.32,5.140036,811600
2012-03-01,10.57,10.91,10.5,10.61,5.284475,698400
2012-03-02,10.6,10.67,10.45,10.45,5.204784,576600
2012-03-05,10.45,10.7,10.4,10.7,5.329299,420400
2012-03-06,10.64,10.82,10.41,10.43,5.194822,719900
2012-03-07,10.46,10.91,10.45,10.91,5.433894,552500
2012-03-08,10.69,10.87,10.6,10.72,5.454246,514400
2012-03-09,10.73,11,10.68,10.81,5.500037,435800
2012-03-12,10.82,10.9,10.71,10.73,5.459332,286000
2012-03-13,10.75,10.94,10.71,10.93,5.561092,348100
2012-03-14,10.92,10.94,10.65,10.72,5.454246,308400
2012-03-15,10.81,10.88,10.62,10.71,5.449157,296700
2012-03-16,10.73,10.76,10.52,10.53,5.357576,528400
2012-03-19,10.54,10.9,10.54,10.79,5.489861,317700
2012-03-20,10.77,10.84,10.66,10.79,5.489861,257300
2012-03-21,10.79,10.96,10.7,10.88,5.535653,275000
2012-03-22,10.77,10.84,10.71,10.81,5.500037,301900
2012-03-23,10.78,11.08,10.75,11.05,5.622148,432900
2012-03-26,11.14,11.28,11.05,11.26,5.728995,435800
2012-03-27,11.24,11.28,11,11.01,5.601797,232500
2012-03-28,11.05,11.08,10.83,10.86,5.525476,449400
2012-03-29,10.76,10.96,10.73,10.88,5.535653,275900
2012-03-30,10.97,11.15,10.78,11.08,5.637412,479900
2012-04-02,11.04,11.15,11.03,11.12,5.657763,249700
2012-04-03,11.14,11.19,11.03,11.08,5.637412,244300
2012-04-04,11,11.1,10.97,11.09,5.642498,264000
2012-04-05,11.05,11.15,11.01,11.12,5.657763,224100
2012-04-09,11.05,11.09,10.93,10.96,5.576356,244100
2012-04-10,10.99,11.07,10.73,10.78,5.484774,316800
2012-04-11,11,11.1,10.9,10.94,5.566181,330900
2012-04-12,11,11.1,10.95,10.99,5.591619,288600
2012-04-13,10.98,11.07,10.86,11.01,5.601797,444500
2012-04-16,11.12,11.15,11.01,11.06,5.627234,340800
2012-04-17,11.2,11.34,11.16,11.19,5.693379,357000
2012-04-18,11.21,11.3,11.13,11.14,5.667938,396400
2012-04-19,11.18,11.25,11.01,11.05,5.622148,535600
2012-04-20,11.18,11.21,11.02,11.09,5.642498,367800
2012-04-23,11.01,11.05,10.95,10.98,5.586531,263000
2012-04-24,11.02,11.2,11.02,11.17,5.683201,219000
2012-04-25,11.35,11.35,11.17,11.26,5.728995,310900
2012-04-26,11.31,11.5,11.27,11.4,5.800224,659400
2012-04-27,11.5,11.52,11.41,11.5,5.851104,390800
2012-04-30,11.55,11.68,11.38,11.41,5.805313,293300
2012-05-01,11.45,11.53,11.25,11.26,5.728995,257100
2012-05-02,11.25,11.49,11.25,11.43,5.815487,293000
2012-05-03,11.49,11.59,11.26,11.29,5.744256,368100
2012-05-04,11.35,11.44,11.22,11.25,5.723906,402000
2012-05-07,11.26,11.57,11.26,11.5,5.851104,248000
2012-05-08,11.42,11.5,11.29,11.46,5.830753,391400
2012-05-09,11.4,11.48,10.9,10.98,5.586531,639000
2012-05-10,11.08,11.28,10.94,11.12,5.657763,369800
2012-05-11,11.11,11.22,11.05,11.1,5.647588,263000
2012-05-14,11.01,11.29,11.01,11.09,5.642498,416500
2012-05-15,11.13,11.39,11.04,11.18,5.688292,478200
2012-05-16,11.02,11.15,10.82,10.92,5.677891,400900
2012-05-17,10.92,11.02,10.68,10.74,5.5843,371100
2012-05-18,10.81,10.81,10.02,10.21,5.308726,808600
2012-05-21,10.28,10.36,9.96,10.34,5.376319,464900
2012-05-22,10.3,10.94,10.28,10.44,5.428313,448400
2012-05-23,10.35,10.64,10.25,10.62,5.521906,407000
2012-05-24,10.68,10.68,10.36,10.51,5.46471,223800
2012-05-25,10.56,10.66,10.51,10.54,5.480309,195600
2012-05-29,10.65,10.76,10.51,10.6,5.511507,194800
2012-05-30,10.53,10.63,10.49,10.59,5.506307,215000
2012-05-31,10.57,10.61,10.4,10.56,5.490706,249800
