Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,8.59,8.7,8.5,8.67,8.67,77500
2012-02-22,8.59,8.59,8.39,8.42,8.42,73200
2012-02-23,8.46,8.52,8.2,8.5,8.5,55500
2012-02-24,8.46,8.77,8.32,8.49,8.49,38900
2012-02-27,8.36,8.49,8.11,8.24,8.24,54100
2012-02-28,8.24,8.49,8.23,8.42,8.42,36100
2012-02-29,8.49,8.59,7.93,8.08,8.08,63800
2012-03-01,8.16,8.24,7.63,7.64,7.64,79000
2012-03-02,7.63,7.73,7.23,7.3,7.3,89000
2012-03-05,7.31,7.46,7.25,7.32,7.32,66000
2012-03-06,7.25,7.33,7.13,7.14,7.14,79200
2012-03-07,7.19,7.35,7.14,7.29,7.29,57600
2012-03-08,7.36,7.38,7.2,7.24,7.24,38600
2012-03-09,7.23,7.4,7.2,7.37,7.37,53400
2012-03-12,7.35,7.39,7.31,7.37,7.37,37300
2012-03-13,7.41,7.84,7.37,7.83,7.83,64700
2012-03-14,7.82,7.95,7.79,7.88,7.88,24600
2012-03-15,7.85,7.95,7.53,7.87,7.87,54200
2012-03-16,7.9,7.94,7.75,7.83,7.83,119400
2012-03-19,7.78,8.2,7.76,8.07,8.07,44700
2012-03-20,7.97,8.25,7.97,7.99,7.99,45100
2012-03-21,8.03,8.2,7.98,7.98,7.98,32100
2012-03-22,7.93,8.11,7.93,8.07,8.07,35300
2012-03-23,8.09,8.35,8,8.32,8.32,48800
2012-03-26,8.4,8.75,8.4,8.73,8.73,74200
2012-03-27,8.73,8.74,8.44,8.59,8.59,50200
2012-03-28,8.58,8.65,8.16,8.26,8.26,63500
2012-03-29,8.17,8.39,8.07,8.24,8.24,52600
2012-03-30,8.34,8.34,8.15,8.23,8.23,61600
2012-04-02,8.18,8.56,8.15,8.56,8.56,102400
2012-04-03,8.51,8.63,8.2,8.42,8.42,87500
2012-04-04,8.26,8.26,8.1,8.19,8.19,54400
2012-04-05,8.13,8.26,8.12,8.24,8.24,42700
2012-04-09,8.04,8.19,7.93,8.01,8.01,72100
2012-04-10,8.01,8.15,7.84,7.88,7.88,85600
2012-04-11,7.93,8.1,7.93,8.05,8.05,52200
2012-04-12,8.02,8.48,8.02,8.39,8.39,38500
2012-04-13,8.32,8.32,7.87,7.97,7.97,38600
2012-04-16,8.02,8.4,7.93,8.35,8.35,66800
2012-04-17,8.42,8.9,8.33,8.81,8.81,132200
2012-04-18,8.74,9.15,8.62,8.78,8.78,90200
2012-04-19,8.75,8.93,8.36,8.43,8.43,68400
2012-04-20,8.54,8.87,8.45,8.51,8.51,79300
2012-04-23,8.34,8.46,8.15,8.22,8.22,53600
2012-04-24,8.22,8.62,8.22,8.51,8.51,65800
2012-04-25,8.67,8.94,8.64,8.9,8.9,52200
2012-04-26,10.25,11.24,10,11.06,11.06,967900
2012-04-27,11.06,11.2,10.76,11.1,11.1,522200
2012-04-30,11.03,11.17,10.6,10.66,10.66,243000
2012-05-01,10.68,10.74,10,10.13,10.13,279000
2012-05-02,10,10.1,9.77,9.85,9.85,331000
2012-05-03,9.86,10.6,9.86,10.04,10.04,149100
2012-05-04,10,10.04,9.48,9.5,9.5,99000
2012-05-07,9.51,10.13,9.42,10.11,10.11,192000
2012-05-08,10.01,10.11,9.57,9.79,9.79,216900
2012-05-09,9.66,10.03,9.58,9.86,9.86,158000
2012-05-10,9.93,9.96,9.75,9.86,9.86,483300
2012-05-11,9.77,10.53,9.75,10.51,10.51,207000
2012-05-14,10.34,10.44,10.2,10.38,10.38,105600
2012-05-15,10.33,10.56,10.17,10.54,10.54,204000
2012-05-16,10.37,10.54,9.95,10,10,79700
2012-05-17,10.07,10.18,9.85,9.95,9.95,210700
2012-05-18,9.94,9.94,9.3,9.42,9.42,201000
2012-05-21,9.49,9.65,9.26,9.57,9.57,253800
2012-05-22,9.56,9.84,9.49,9.73,9.73,243000
2012-05-23,9.59,9.79,9.3,9.68,9.68,107000
2012-05-24,9.68,9.88,9.54,9.83,9.83,132300
2012-05-25,9.81,9.91,9.42,9.46,9.46,130800
2012-05-29,9.59,10.03,9.51,10,10,261600
2012-05-30,9.85,9.91,9.65,9.69,9.69,123400
2012-05-31,9.75,9.85,9.51,9.64,9.64,178500
2012-06-01,9.36,9.44,8.45,8.6,8.6,256900
2012-06-04,8.67,9.12,8.59,9.04,9.04,248400
2012-06-05,8.93,9.02,8.75,8.84,8.84,142300
2012-06-06,8.96,9.17,8.93,9.02,9.02,126700
2012-06-07,9.17,9.17,8.7,8.76,8.76,93800
2012-06-08,8.76,9,8.65,8.93,8.93,145500
2012-06-11,9.01,9.06,8.65,8.66,8.66,170700
2012-06-12,8.7,9.27,8.69,9.16,9.16,104500
2012-06-13,9.14,9.16,8.72,8.78,8.78,105500
2012-06-14,8.78,8.87,8.56,8.72,8.72,76100
2012-06-15,8.76,9.11,8.7,9.02,9.02,137000
2012-06-18,8.93,8.93,8.63,8.69,8.69,75500
2012-06-19,8.72,9.45,8.69,9.3,9.3,159700
2012-06-20,9.28,9.73,9.23,9.53,9.53,130200
2012-06-21,9.56,9.56,9.31,9.5,9.5,164300
2012-06-22,9.58,9.9,9.43,9.81,9.81,333800
2012-06-25,9.53,9.65,9.31,9.45,9.45,122600
2012-06-26,9.41,9.58,9.3,9.37,9.37,112200
