Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,9.75,9.9,9.68,9.74,9.147665,8900
2012-02-22,9.76,9.76,9.55,9.56,8.97861,7500
2012-02-23,9.58,9.74,9.57,9.74,9.147665,7200
2012-02-24,9.77,9.78,9.63,9.69,9.100703,5000
2012-02-27,9.63,9.73,9.53,9.73,9.138273,7800
2012-02-28,9.68,9.75,9.58,9.61,9.02557,5300
2012-02-29,9.62,9.71,9.12,9.16,8.602938,11800
2012-03-01,9.21,9.22,9.01,9.01,8.46206,23000
2012-03-02,8.97,8.99,8.46,8.46,7.945507,17300
2012-03-05,8.39,8.46,8.29,8.39,7.879766,3300
2012-03-06,8.28,8.28,7.44,7.82,7.344429,14500
2012-03-07,7.87,8.37,7.87,8.25,7.748279,14100
2012-03-08,8.5,9.5,8.5,9.5,8.922259,13600
2012-03-09,9.36,9.56,9.26,9.54,8.959827,14400
2012-03-12,9.54,9.67,9.54,9.59,9.006788,4400
2012-03-13,9.64,9.65,9.44,9.65,9.063135,6800
2012-03-14,9.57,9.65,9.57,9.59,9.006788,3800
2012-03-15,9.74,9.75,9.58,9.75,9.157056,8500
2012-03-16,9.76,9.86,9.63,9.86,9.260366,22100
2012-03-19,9.85,9.9,9.69,9.75,9.157056,12600
2012-03-20,9.7,9.82,9.68,9.68,9.091314,14700
2012-03-21,9.76,9.86,9.68,9.8,9.204017,2800
2012-03-22,9.71,9.82,9.24,9.82,9.222798,29900
2012-03-23,9.84,10,9.75,9.99,9.382458,12600
2012-03-26,10.11,10.65,10.01,10.58,9.936579,18900
2012-03-27,10.58,10.68,10.27,10.28,9.654825,8800
2012-03-28,10.36,10.43,10.14,10.21,9.589079,7000
2012-03-29,10.11,10.28,10.11,10.16,9.542123,5100
2012-03-30,10.29,10.4,9.96,9.96,9.354285,14100
2012-04-02,10,10.49,10,10.38,9.748743,21700
2012-04-03,10.38,10.49,10.28,10.3,9.673611,13000
2012-04-04,10.19,10.3,9.99,9.99,9.382458,11100
2012-04-05,9.95,10.16,9.81,10.01,9.401245,24000
2012-04-09,9.67,10,9.67,9.74,9.147665,12500
2012-04-10,9.79,10,9.55,9.73,9.138273,33000
2012-04-11,9.9,10.15,9.71,10.15,9.532728,27300
2012-04-12,10.1,10.45,10.1,10.33,9.701785,23400
2012-04-13,10.33,10.36,10.06,10.13,9.513947,26400
2012-04-16,10.22,10.46,10.01,10.38,9.748743,10400
2012-04-17,10.57,10.79,10.56,10.63,9.983541,9500
2012-04-18,10.52,10.54,10.34,10.47,9.83327,6800
2012-04-19,10.5,10.5,9.8,9.8,9.204017,10300
2012-04-20,9.97,10.49,9.97,10.47,9.83327,17200
2012-04-23,10.18,10.42,10.18,10.24,9.617258,17300
2012-04-24,10.3,10.42,10.24,10.42,9.786311,5200
2012-04-25,10.47,10.58,10.39,10.58,9.936579,15000
2012-04-26,10.52,10.6,10.42,10.57,9.927188,3200
2012-04-27,10.6,10.6,10.49,10.6,9.955364,7300
2012-04-30,10.6,10.63,10.52,10.63,9.983541,9900
2012-05-01,10.63,10.7,10.25,10.26,9.636042,15600
2012-05-02,10.17,10.39,9.94,10.15,9.532728,11000
2012-05-03,10.09,10.2,10,10.02,9.410637,9300
2012-05-04,10.02,10.02,9.5,9.56,8.97861,14700
2012-05-07,9.59,9.86,9.5,9.83,9.23219,5700
2012-05-08,9.7,10.25,9.7,10.09,9.47638,7500
2012-05-09,9.97,10.09,9.88,9.91,9.307326,4200
2012-05-10,9.99,9.99,9.63,9.88,9.279148,6700
2012-05-11,9.86,9.89,9.63,9.8,9.204017,8300
2012-05-14,9.53,9.59,9.3,9.59,9.006788,19600
2012-05-15,9.6,9.84,9.3,9.32,8.753206,12000
2012-05-16,9.41,9.49,9.33,9.33,8.762598,7100
2012-05-17,9.39,9.5,9.3,9.3,8.734425,7800
2012-05-18,9.3,9.41,9.08,9.19,8.631112,15100
2012-05-21,9.24,9.24,8.24,9.13,8.574759,19100
2012-05-22,9.07,9.19,8.67,8.74,8.208479,8400
2012-05-23,8.75,8.75,8.61,8.65,8.123955,7900
2012-05-24,8.69,8.7,8.43,8.52,8.00186,4800
2012-05-25,8.51,8.53,8.47,8.5,7.983076,5100
2012-05-29,8.36,8.9,8.36,8.81,8.274222,16500
2012-05-30,8.72,8.96,8.66,8.78,8.246047,10000
2012-05-31,8.82,9.13,8.78,9.05,8.499629,17900
2012-06-01,8.84,9.11,8.71,8.74,8.208479,10700
2012-06-04,8.86,8.93,8.74,8.81,8.274222,4600
2012-06-05,8.82,9.13,8.82,9.05,8.499629,9900
2012-06-06,9.08,9.66,9.02,9.61,9.060611,12000
2012-06-07,9.79,9.79,9.31,9.43,8.890903,10900
2012-06-08,9.41,9.62,9.29,9.62,9.07004,4700
2012-06-11,9.67,10.01,9.45,9.5,8.9569,14100
2012-06-12,9.5,9.56,9.26,9.45,8.909759,6200
2012-06-13,9.49,9.89,9.49,9.6,9.051185,5900
2012-06-14,9.65,9.65,9.1,9.32,8.787191,16400
2012-06-15,9.31,9.6,9.31,9.39,8.853189,24200
2012-06-18,9.37,9.75,9.14,9.67,9.117182,15500
2012-06-19,9.76,9.88,9.66,9.88,9.315174,10300
2012-06-20,9.82,9.98,9.82,9.83,9.268033,2500
2012-06-21,9.87,9.92,9.64,9.64,9.088898,6300
2012-06-22,9.8,9.97,9.61,9.95,9.381176,69500
2012-06-25,9.75,9.87,9.5,9.56,9.01347,5600
2012-06-26,9.53,9.8,9.42,9.75,9.192607,3100
2012-06-27,9.73,10.18,9.63,10.01,9.437745,12000
2012-06-28,9.88,10.03,9.52,9.74,9.183181,9000
2012-06-29,9.99,9.99,9.7,9.85,9.286892,18600
2012-07-02,9.73,10,9.51,10,9.428315,15000
2012-07-03,10.01,10.34,9.97,10.26,9.673452,21800
2012-07-05,10.32,10.32,10.01,10.19,9.607455,15700
2012-07-06,10.09,10.09,9.86,9.91,9.34346,4600
2012-07-09,9.97,10.15,9.69,9.69,9.136036,8900
2012-07-10,9.81,9.88,9.69,9.81,9.249179,9300
2012-07-11,9.85,10.05,9.84,9.93,9.362318,8900
2012-07-12,9.81,10.07,9.62,9.99,9.418885,7700
2012-07-13,10.09,10.43,9.99,10.43,9.833734,7400
2012-07-16,10.26,10.38,10.03,10.1,9.522599,4200
2012-07-17,10.14,10.14,9.93,10.09,9.513171,3500
2012-07-18,10.11,10.45,10.11,10.42,9.824306,7100
2012-07-19,10.41,10.48,10.2,10.2,9.616882,3300
2012-07-20,10.12,10.12,9.61,9.61,9.060611,8100
2012-07-23,9.46,9.48,9.34,9.45,8.909759,7400
2012-07-24,9.35,9.36,9.11,9.12,8.598625,5400
2012-07-25,9.29,9.29,9.09,9.09,8.570339,4800
2012-07-26,9.28,9.37,9.04,9.18,8.655195,3000
2012-07-27,9.18,9.65,9.06,9.64,9.088898,8300
2012-07-30,9.57,9.64,9.45,9.49,8.947472,3900
2012-07-31,9.5,9.58,9.38,9.44,8.900331,4700
2012-08-01,9.56,9.6,9.42,9.42,8.881474,18100
