Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,7.425,7.53,7.395,7.4425,3.471656,14896000
2012-02-22,7.4675,7.6075,7.4475,7.5125,3.504309,11136000
2012-02-23,7.48875,7.48875,7.39,7.45625,3.47807,16220800
2012-02-24,7.4975,7.5325,7.41875,7.45375,3.476904,12738400
2012-02-27,7.36625,7.375,7.24875,7.34,3.423844,11706400
2012-02-28,7.3025,7.3375,7.25375,7.31375,3.411599,10089600
2012-02-29,7.28125,7.29875,7.20375,7.21,3.363203,17178400
2012-03-01,7.23,7.28125,7.1825,7.235,3.374865,11141600
2012-03-02,7.225,7.24375,7.18625,7.21125,3.363786,9862400
2012-03-05,7.125,7.1625,7.075,7.135,3.328219,12018400
2012-03-06,7.0475,7.06625,6.93625,6.97,3.251252,9913600
2012-03-07,7.125,7.17875,7.0975,7.1325,3.327053,11628800
2012-03-08,7.25,7.265,7.19625,7.215,3.365535,9699200
2012-03-09,7.2425,7.3,7.185,7.275,3.393524,13284800
2012-03-12,7.12125,7.21125,7.1,7.19875,3.357956,13994400
2012-03-13,7.25,7.375,7.2175,7.36875,3.437255,11140800
2012-03-14,7.305,7.35625,7.26125,7.33875,3.423261,9844800
2012-03-15,7.2575,7.3975,7.22125,7.3825,3.443669,10155200
2012-03-16,7.29,7.39125,7.26875,7.34625,3.426759,14733600
2012-03-19,7.25375,7.31875,7.16625,7.2625,3.387693,11276800
2012-03-20,7.18625,7.21625,7.11875,7.20625,3.361454,9263200
2012-03-21,7.2525,7.26125,7.17,7.2175,3.366702,9002400
2012-03-22,7.0675,7.1225,7.02875,7.05875,3.292651,15080800
2012-03-23,7.0975,7.13125,7.02125,7.12875,3.325303,21140800
2012-03-26,7.1025,7.19125,7.06875,7.17625,3.34746,10643200
2012-03-27,7.1675,7.2525,7.15,7.19625,3.35679,9770400
2012-03-28,7.125,7.1725,6.96,6.98875,3.259999,17407200
2012-03-29,6.9675,7.06625,6.905,7.0575,3.292068,12239200
2012-03-30,7.135,7.2175,7.08375,7.12875,3.325303,12432000
2012-04-02,7.14,7.215,7.10375,7.17125,3.345127,14633600
2012-04-03,7.1825,7.23375,7.14875,7.2,3.358539,10119200
2012-04-04,7.1375,7.18125,7.025,7.12125,3.321805,8080000
2012-04-05,7.0525,7.185,6.99,7.17375,3.346294,15295200
2012-04-09,7.03,7.11875,7.03,7.09625,3.310144,11475200
2012-04-10,6.95125,7.10375,6.935,7.03,3.27924,22768800
2012-04-11,7.075,7.175,7.0325,7.05875,3.292651,17518400
2012-04-12,7.01625,7.10875,6.92875,7.09625,3.310144,27828000
2012-04-13,6.09375,6.19125,6.065,6.14375,2.865837,78881600
2012-04-16,6.04375,6.0875,5.9325,5.93625,2.769046,31031200
2012-04-17,5.96875,6.01125,5.9225,5.9425,2.77196,23815200
2012-04-18,5.905,5.9175,5.84375,5.85125,2.729397,13481600
2012-04-19,5.87125,5.97,5.865,5.89125,2.748055,17855200
2012-04-20,5.91875,5.92,5.82375,5.83125,2.720067,14275200
2012-04-23,5.65625,5.71625,5.55625,5.7075,2.662342,22386400
2012-04-24,5.70875,5.775,5.70125,5.7175,2.667006,16022400
2012-04-25,5.75,5.79375,5.6625,5.765,2.689163,15468800
2012-04-26,5.7625,5.87375,5.72125,5.85875,2.732894,13235200
2012-04-27,5.85625,5.88625,5.8125,5.8825,2.743973,11940000
2012-04-30,5.9425,5.9875,5.865,5.9125,2.757967,11424800
2012-05-01,5.92125,5.96625,5.89625,5.92125,2.762048,9105600
2012-05-02,5.91125,5.965,5.86875,5.95125,2.776043,10486400
2012-05-03,5.955,5.95625,5.81875,5.84,2.724148,8800000
2012-05-04,5.8075,5.80875,5.64,5.70875,2.662925,13324000
2012-05-07,5.7225,5.73625,5.57625,5.60625,2.615112,23572000
2012-05-08,5.61375,5.655,5.51375,5.6275,2.625025,23405600
2012-05-09,5.54,5.60625,5.47625,5.5525,2.590039,13334400
2012-05-10,5.52375,5.585,5.51125,5.5575,2.592372,8175200
2012-05-11,5.46,5.53,5.4225,5.46625,2.549807,9532000
2012-05-14,5.4225,5.465,5.39375,5.4125,2.524735,10221600
2012-05-15,5.5425,5.6775,5.5,5.51125,2.570798,18814400
2012-05-16,5.515,5.5175,5.415,5.42625,2.531149,15000800
2012-05-17,5.44625,5.44625,5.3075,5.31,2.476922,16676800
2012-05-18,5.41125,5.4525,5.3375,5.35875,2.499662,17414400
2012-05-21,5.32375,5.38,5.22,5.37,2.50491,15984800
2012-05-22,5.31,5.39875,5.2775,5.3625,2.699745,13688000
2012-05-23,5.3125,5.33,5.19875,5.3025,2.669538,9697600
2012-05-24,5.31625,5.425,5.3,5.3975,2.717366,13792000
2012-05-25,5.37625,5.4,5.30375,5.3075,2.672055,9349600
2012-05-29,5.39625,5.46875,5.3925,5.43125,2.734358,13588800
2012-05-30,5.40375,5.40375,5.26875,5.31375,2.675202,15687200
2012-05-31,5.305,5.35875,5.2625,5.2625,2.6494,34419200
2012-06-01,5.245,5.31625,5.175,5.2725,2.654434,16043200
2012-06-04,5.31625,5.3775,5.27625,5.33625,2.68653,12209600
2012-06-05,5.3,5.42125,5.29875,5.41125,2.724288,10174400
2012-06-06,5.445,5.6675,5.445,5.61875,2.828754,22396800
2012-06-07,5.625,5.65875,5.465,5.485,2.761418,19963200
2012-06-08,5.46375,5.47,5.43125,5.4525,2.745056,6768000
2012-06-11,5.48375,5.5,5.35875,5.365,2.701004,7720800
2012-06-12,5.46,5.55,5.44,5.51625,2.777151,12774400
2012-06-13,5.51625,5.57875,5.45875,5.475,2.756382,12310400
2012-06-14,5.5625,5.57625,5.51125,5.545,2.791624,14808000
2012-06-15,5.64875,5.695,5.62125,5.625,2.8319,19424800
2012-06-18,5.53875,5.57875,5.49375,5.565,2.801693,14565600
2012-06-19,5.5425,5.6025,5.50625,5.53125,2.784702,17616800
2012-06-20,5.5,5.525,5.36875,5.49375,2.765822,14345600
2012-06-21,5.50625,5.5175,5.2825,5.295,2.665762,16386400
2012-06-22,5.375,5.385,5.285,5.3375,2.687159,14002400
2012-06-25,5.3375,5.35625,5.27375,5.3075,2.672055,13744800
2012-06-26,5.31625,5.3375,5.28375,5.31875,2.677719,16724800
2012-06-27,5.35875,5.42375,5.35375,5.405,2.721141,20441600
2012-06-28,5.385,5.39875,5.305,5.35125,2.694082,20789600
2012-06-29,5.57125,5.6425,5.55,5.6325,2.835676,18408000
2012-07-02,5.6825,5.71125,5.635,5.6775,2.858331,21789600
2012-07-03,5.68875,5.75625,5.665,5.75625,2.897978,6608000
2012-07-05,5.6325,5.65,5.515,5.57375,2.806099,13760000
2012-07-06,5.485,5.52125,5.3975,5.44375,2.74065,9825600
2012-07-09,5.4375,5.5425,5.42,5.50625,2.772116,12529600
2012-07-10,5.53375,5.60375,5.415,5.44,2.738762,15614400
2012-07-11,5.5275,5.5425,5.36875,5.4525,2.745056,20438400
2012-07-12,4.88,4.9375,4.765,4.84375,2.438581,75989600
2012-07-13,4.9575,5.03125,4.91625,5.02625,2.53046,33893600
2012-07-16,4.88875,4.97,4.85125,4.91625,2.475081,36171200
2012-07-17,4.92125,4.9375,4.87375,4.90125,2.467529,19424800
2012-07-18,4.875,5.01875,4.86375,4.97375,2.504029,9400800
2012-07-19,5.045,5.075,5.01375,5.02,2.527313,19004800
2012-07-20,4.98875,5.01,4.905,4.9425,2.488297,9566400
2012-07-23,4.8375,4.865,4.775,4.85,2.441728,11094400
2012-07-24,4.815,4.82625,4.74125,4.79125,2.41215,15216000
2012-07-25,4.785,4.85,4.755,4.77125,2.402081,16014400
2012-07-26,4.8075,4.85875,4.79,4.83125,2.432288,15926400
2012-07-27,4.86875,4.9575,4.84375,4.94875,2.491443,8014400
2012-07-30,4.9925,5.015,4.91,4.93625,2.48515,13115200
2012-07-31,4.98375,4.99125,4.9175,4.9475,2.490814,9140800
2012-08-01,4.9925,5.0225,4.95375,4.9875,2.510952,10942400
2012-08-02,4.9075,4.945,4.87125,4.905,2.469417,17012000
2012-08-03,4.9575,5.05,4.95,5.00625,2.520391,10677600
2012-08-06,5.08125,5.13125,5.07875,5.08375,2.559408,11573600
2012-08-07,5.11125,5.21625,5.11125,5.17375,2.604719,11339200
2012-08-08,5.18125,5.20125,5.1475,5.18125,2.608495,6652000
2012-08-09,5.195,5.20875,5.17125,5.19875,2.617305,6444800
2012-08-10,5.225,5.23375,5.1875,5.22375,2.629892,9044000
2012-08-13,5.21125,5.2375,5.1375,5.175,2.605348,9068800
2012-08-14,5.215,5.22,5.13125,5.14375,2.589616,11188800
2012-08-15,5.14,5.18375,5.1375,5.1725,2.60409,8048800
2012-08-16,5.1775,5.26875,5.1625,5.26,2.648141,12650400
2012-08-17,5.28375,5.35,5.28375,5.3225,2.679607,11002400
2012-08-20,5.31125,5.3425,5.24125,5.33375,2.685271,14752000
2012-08-21,5.41875,5.48,5.3925,5.43625,2.736875,17904800
2012-08-22,5.4575,5.4775,5.4075,5.4375,2.737504,14774400
2012-08-23,5.5525,5.575,5.44375,5.45125,2.744426,21265600
2012-08-24,5.42,5.46875,5.395,5.455,2.746313,13216800
2012-08-27,5.40625,5.4225,5.3725,5.4025,2.719883,12397600
2012-08-28,5.41375,5.4475,5.37375,5.385,2.711073,9919200
2012-08-29,5.36875,5.37875,5.32625,5.34375,2.690305,7976000
2012-08-30,5.3425,5.35375,5.27625,5.30125,2.668909,8443200
2012-08-31,5.3225,5.3625,5.27,5.31625,2.676461,6276000
2012-09-04,5.2975,5.31375,5.23375,5.275,2.655693,12819200
2012-09-05,5.255,5.305,5.1975,5.29625,2.666391,12100000
2012-09-06,5.38625,5.5925,5.37625,5.58125,2.809874,22112000
2012-09-07,5.6225,5.75,5.61375,5.7075,2.873435,15260000
2012-09-10,5.665,5.7025,5.65875,5.66375,2.851408,9304800
2012-09-11,5.7,5.73875,5.68125,5.73,2.884763,13966400
2012-09-12,5.75,5.785,5.7375,5.7625,2.901125,13120800
2012-09-13,5.765,5.9925,5.68125,5.91625,2.97853,23394400
2012-09-14,6.055,6.09375,5.985,6.01875,3.030133,24274400
2012-09-17,5.96625,6.0275,5.8825,6.02375,3.03265,20873600
2012-09-18,6.04875,6.07625,5.9375,5.96,3.000556,12973600
2012-09-19,6.01375,6.01625,5.93,5.93875,2.989858,13278400
2012-09-20,5.96875,6.00125,5.92125,5.9825,3.011883,11347200
2012-09-21,6.05125,6.1125,6.03,6.09,3.066005,15598400
2012-09-24,6.06,6.0775,6.015,6.03125,3.036427,6852000
2012-09-25,6.0825,6.0875,5.93125,5.935,2.98797,14619200
2012-09-26,5.95625,5.985,5.85,5.91375,2.977271,17220800
2012-09-27,5.93625,5.9875,5.905,5.96625,3.003702,17066400
2012-09-28,5.96625,6.11,5.95125,6.0675,3.054676,17408800
2012-10-01,6.17,6.23625,6.12875,6.1825,3.112573,17072800
2012-10-02,6.1825,6.2275,6.1475,6.18375,3.113203,14904800
2012-10-03,6.18125,6.22125,6.12375,6.18625,3.114461,15115200
2012-10-04,6.24125,6.24875,6.1775,6.20625,3.12453,14344800
2012-10-05,6.1375,6.18625,6.07375,6.09375,3.067892,18892000
2012-10-08,5.97875,6.04125,5.94375,5.98625,3.013771,17304000
2012-10-09,6.0175,6.0475,5.925,5.9325,2.986711,14575200
2012-10-10,5.91875,5.935,5.83,5.85875,2.949581,16106400
2012-10-11,6,6.04125,5.935,6.0275,3.034539,20548800
2012-10-12,5.58375,5.61125,5.4025,5.5675,2.802952,79955200
2012-10-15,5.5625,5.5925,5.5225,5.57125,2.80484,18162400
2012-10-16,5.5625,5.5725,5.505,5.57125,2.950811,25110400
2012-10-17,5.5375,5.5775,5.50125,5.51625,2.921681,28542400
2012-10-18,5.5325,5.55875,5.4925,5.555,2.942204,18212000
2012-10-19,5.53375,5.54625,5.4225,5.46125,2.89255,28940800
2012-10-22,5.525,5.54125,5.47,5.4975,2.91175,15498400
2012-10-23,5.4225,5.445,5.3725,5.41375,2.867392,11028800
2012-10-24,5.445,5.445,5.36875,5.375,2.846868,9690400
2012-10-25,5.46375,5.46375,5.4075,5.43375,2.877985,9729600
2012-10-26,5.3825,5.4025,5.3225,5.33375,2.82502,20899200
2012-10-31,5.4275,5.4825,5.40375,5.4275,2.874674,14637600
2012-11-01,5.4775,5.52,5.465,5.49,2.907778,19108000
2012-11-02,5.55125,5.575,5.47125,5.47625,2.900495,10292000
2012-11-05,5.45,5.475,5.395,5.47125,2.897846,10685600
2012-11-06,5.47,5.53375,5.4575,5.5,2.913074,20431200
2012-11-07,5.4775,5.485,5.39,5.41125,2.866068,21779200
2012-11-08,5.44375,5.45,5.35,5.35875,2.838261,15098400
2012-11-09,5.3,5.40625,5.3,5.38125,2.850178,16053600
2012-11-12,5.34,5.38625,5.3375,5.35,2.833626,10015200
2012-11-13,5.31,5.32625,5.25375,5.26,2.785959,14098400
2012-11-14,5.27875,5.2925,5.2025,5.21375,2.761462,13139200
2012-11-15,5.2075,5.2675,5.19875,5.2325,2.771393,13721600
2012-11-16,5.28625,5.33375,5.28625,5.31875,2.817075,22946400
2012-11-19,5.3775,5.4275,5.3625,5.40875,2.864743,10049600
2012-11-20,5.30875,5.31125,5.21,5.25625,2.783971,18924000
2012-11-21,5.28875,5.31625,5.255,5.295,2.804496,8286400
2012-11-23,5.30875,5.44625,5.30875,5.44125,2.881957,8007200
2012-11-26,5.43125,5.48375,5.40625,5.4825,2.903805,12746400
2012-11-27,5.5625,5.5625,5.4425,5.45,2.886591,12872000
2012-11-28,5.43375,5.45375,5.395,5.43,2.875998,21672000
2012-11-29,5.53125,5.58625,5.5075,5.5825,2.95677,15512800
2012-11-30,5.59375,5.59375,5.525,5.55625,2.942868,10491200
2012-12-03,5.53125,5.55,5.49625,5.5,2.913074,8401600
2012-12-04,5.50375,5.545,5.4925,5.50375,2.91506,13055200
2012-12-05,5.45875,5.48625,5.3625,5.43625,2.879309,20253600
2012-12-06,5.36,5.4,5.3325,5.3725,2.845544,19870400
2012-12-07,5.3625,5.37875,5.305,5.3525,2.834951,17803200
2012-12-10,5.3,5.39375,5.29625,5.38875,2.854151,14009600
2012-12-11,5.32375,5.385,5.3025,5.375,2.846868,41335200
2012-12-12,5.37625,5.37625,5.32375,5.35,2.833626,13643200
