Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,12.41,12.5,12.41,12.46,4.820955,82700
2012-02-22,12.53,12.56,12.49,12.56,4.859646,80000
2012-02-23,12.6,12.62,12.52,12.56,4.859646,111300
2012-02-24,12.67,12.68,12.6,12.67,4.902208,68300
2012-02-27,12.62,12.66,12.51,12.51,4.840301,74900
2012-02-28,12.55,12.62,12.35,12.45,4.817087,130900
2012-02-29,12.5,12.56,12.47,12.5,4.836433,84700
2012-03-01,12.54,12.64,12.51,12.63,4.88673,98000
2012-03-02,12.65,12.65,12.53,12.57,4.863516,71100
2012-03-05,12.55,12.55,12.4,12.46,4.820955,60200
2012-03-06,12.38,12.4,12.16,12.24,4.735834,92600
2012-03-07,12.21,12.37,12.21,12.3,4.759049,53000
2012-03-08,12.38,12.42,12.32,12.42,4.80548,42100
2012-03-09,12.38,12.43,12.36,12.41,4.801611,41100
2012-03-12,12.4,12.42,12.26,12.34,4.774526,45800
2012-03-13,12.34,12.5,12.25,12.5,4.836433,102600
2012-03-14,12.52,12.54,12.43,12.44,4.813218,73300
2012-03-15,12.4,12.56,12.35,12.41,4.801611,73200
2012-03-16,12.43,12.66,12.43,12.58,4.867385,80000
2012-03-19,12.65,12.65,12.55,12.57,4.863516,81000
2012-03-20,12.51,12.55,12.38,12.44,4.813218,73800
2012-03-21,12.44,12.46,12.32,12.38,4.790003,73900
2012-03-22,12.36,12.37,12.15,12.2,4.720357,84000
2012-03-23,12.21,12.34,12.2,12.33,4.770657,75600
2012-03-26,12.38,12.38,12.29,12.35,4.778395,85500
2012-03-27,12.37,12.37,12.26,12.36,4.782264,77900
2012-03-28,12.36,12.36,12.2,12.25,4.739704,107900
2012-03-29,12.22,12.28,12.17,12.28,4.751311,78300
2012-03-30,12.29,12.33,12.24,12.27,4.747442,85700
2012-04-02,12.01,12.09,11.96,12.07,4.79913,21200
2012-04-03,12.02,12.05,11.87,11.92,4.73949,82200
2012-04-04,11.87,11.9,11.81,11.86,4.715633,75600
2012-04-05,11.8,11.84,11.7,11.77,4.679849,64400
2012-04-09,11.69,11.71,11.61,11.66,4.636111,80400
2012-04-10,11.65,11.65,11.49,11.52,4.580446,64000
2012-04-11,11.62,11.63,11.52,11.59,4.608278,67900
2012-04-12,11.56,11.68,11.54,11.64,4.62816,66900
2012-04-13,11.64,11.7,11.55,11.63,4.624185,58400
2012-04-16,11.72,11.72,11.53,11.58,4.604302,84500
2012-04-17,11.66,11.75,11.61,11.75,4.671896,94700
2012-04-18,11.69,11.71,11.58,11.62,4.620206,65500
2012-04-19,11.58,11.66,11.51,11.57,4.600326,58200
2012-04-20,11.6,11.63,11.53,11.6,4.612256,72600
2012-04-23,11.4,11.54,11.4,11.42,4.540685,65500
2012-04-24,11.45,11.53,11.45,11.53,4.584422,51200
2012-04-25,11.59,11.63,11.53,11.6,4.612256,92700
2012-04-26,11.62,11.74,11.59,11.71,4.655993,71300
2012-04-27,11.66,11.7,11.59,11.63,4.624185,49800
2012-04-30,11.63,11.64,11.53,11.62,4.620206,58000
2012-05-01,11.57,11.7,11.57,11.68,4.644064,75600
2012-05-02,11.59,11.73,11.56,11.73,4.663943,79000
2012-05-03,11.66,11.67,11.5,11.57,4.600326,91000
2012-05-04,11.5,11.5,11.4,11.46,4.556592,57600
